"","V1"
"2xBorealeBlanche_50x.txt",0.15
"2xBorealeIPA_50x.txt",0.247
"AbriTempeteBotaOuelle_50x.txt",0.21
"AbriTempeteEcume_50x.txt",0.152
"AbriTempetePalabre_50x.txt",0.165
"AbriTempeteTerreFerme_25x.txt",0.444
"AlchimisteEcossaise_50x.txt",0.401
"AlchimisteIPA_50x.txt",0.251
"AlchimisteRousse_50x.txt",0.215
"ArchibaldJoufflue_25x.txt",0.297
"ArsenalSaisonNoireFut_100x.txt",0.195
"AvantGardePerduDansMalle_50x.txt",0.241
"BarberieBitterPasseeDate_50x.txt",0.264
"BarberieCuivreeAuThe_50x.txt",0.212
"BDMBlancheCan355_50x.txt",0.208
"BDMBunker_50x.txt",0.195
"BdMCelebrante_50x.txt",0.191
"BDMDruide_50x.txt",0.268
"BDMExploite_100x.txt",0.425
"BDMInterdite60_50x.txt",0.197
"BDMLoccasion_50x.txt",0.18
"BDMNectareus_100x.txt",0.19
"BDMTrinqueur_100x.txt",0.429
"BelleGueuleRousse_50x.txt",0.243
"BeneluxCongo_50x.txt",0.27
"BeneluxCongo_50xBIS.txt",0.238
"BeneluxCuda_100x.txt",0.17
"BeneluxEnfantRoi_50x.txt",0.156
"BeneluxGaia_50x.txt",0.131
"BeneluxMarginale_100x.txt",0.373
"BeneluxSessionIPA_50x.txt",0.182
"BeneluxSessionPrintemps_50x.txt",0.182
"BerlinerWeiss_50x.txt",0.164
"BGHanami_50x.txt",0.18
"BilboquetBrownAle_100x.txt",0.201
"BilboquetPeaudOurs_50x.txt",0.27
"BittATibiKristalWhite_25x.txt",0.238
"BittATibiPaleAle_50x.txt",0.257
"BockaleIPABlanche_50x.txt",0.211
"BockaleScotchAle_100x.txt",0.318
"BorealeBlanche_50x.txt",0.143
"BorealeBlonde_50x.txt",0.152
"BorealeCuivree_50x.txt",0.239
"BorealeDoubleBlanche_50x.txt",0.205
"BorealeIPA_50x.txt",0.198
"BorealeRousse_50x.txt",0.221
"BrasseurIllimiteSaisonRosemont_50x.txt",0.164
"BVMBlonde_25x.txt",0.251
"BWSeinDEsprit_50x.txt",0.151
"CanoeBock_50x.txt",0.402
"CanoeDarkAle_100x.txt",0.274
"CanoeLager_50x.txt",0.208
"CanoeNWAmberAle_50x.txt",0.277
"CanoePaleAle_50x.txt",0.286
"CanoeWhiteIPA_50x.txt",0.238
"CastorWeeheavySpeyside_50x.txt",0.348
"ChalevoixIPA_50x.txt",0.177
"CharlesbourgBrumaire_50x.txt",0.197
"CharlesHenriBlanche_50x.txt",0.176
"CharlevoixDominusTriple_50x.txt",0.174
"CharlevoixDominusVobiscumBlanche_50x.txt",0.163
"CharlevoixImperialeStout_100x.txt",0.283
"CharlevoixIPA_50x.txt",0.177
"ChouapeRousse_50x.txt",0.279
"Cidre_50x.txt",0.278
"CorsairPorter_100x.txt",0.309
"DDCCorneduDiable_50x.txt",0.346
"DDCEquinoxduPrintemps_50x.txt",0.453
"DDCMoralite_50x.txt",0.23
"DDCPenombre_100x.txt",0.21
"DDCPtitBlanc_50x.txt",0.159
"DDCRigorMortis_50x.txt",0.403
"DDCRoseedHibiscus_50x.txt",0.23
"DDCRoutedesEpices_100x.txt",0.177
"DDCSentinelle_50x.txt",0.175
"DDCSolsticeDete_50x.txt",0.202
"DomaineBerthiaumeLEauClaire_50x.txt",0.223
"DunhamCyclope_50x.txt",0.235
"EspacePubliqueBalcon_50x.txt",0.122
"EspacePubliqueBalconFut_50x.txt",0.077
