"2xBorealBlanche50xspc - RawData"
"Wavelength nm.","Abs."
190.00,3.113
191.00,3.011
192.00,3.275
193.00,3.429
194.00,3.184
195.00,3.413
196.00,3.380
197.00,3.401
198.00,3.418
199.00,3.426
200.00,3.402
201.00,3.510
202.00,3.731
203.00,3.464
204.00,3.400
205.00,3.249
206.00,3.194
207.00,3.020
208.00,2.924
209.00,2.764
210.00,2.647
211.00,2.533
212.00,2.429
213.00,2.316
214.00,2.215
215.00,2.116
216.00,2.019
217.00,1.925
218.00,1.834
219.00,1.745
220.00,1.657
221.00,1.576
222.00,1.499
223.00,1.422
224.00,1.344
225.00,1.269
226.00,1.193
227.00,1.116
228.00,1.042
229.00,0.973
230.00,0.908
231.00,0.849
232.00,0.798
233.00,0.752
234.00,0.711
235.00,0.677
236.00,0.647
237.00,0.622
238.00,0.601
239.00,0.584
240.00,0.571
241.00,0.560
242.00,0.552
243.00,0.547
244.00,0.543
245.00,0.541
246.00,0.540
247.00,0.540
248.00,0.541
249.00,0.542
250.00,0.544
251.00,0.546
252.00,0.549
253.00,0.553
254.00,0.556
255.00,0.559
256.00,0.562
257.00,0.565
258.00,0.567
259.00,0.568
260.00,0.569
261.00,0.570
262.00,0.572
263.00,0.573
264.00,0.574
265.00,0.575
266.00,0.575
267.00,0.575
268.00,0.574
269.00,0.572
270.00,0.569
271.00,0.566
272.00,0.561
273.00,0.556
274.00,0.550
275.00,0.542
276.00,0.534
277.00,0.525
278.00,0.514
279.00,0.503
280.00,0.491
281.00,0.479
282.00,0.467
283.00,0.452
284.00,0.437
285.00,0.421
286.00,0.407
287.00,0.392
288.00,0.378
289.00,0.363
290.00,0.347
291.00,0.332
292.00,0.319
293.00,0.307
294.00,0.297
295.00,0.288
296.00,0.281
297.00,0.275
298.00,0.268
299.00,0.263
300.00,0.258
301.00,0.254
302.00,0.250
303.00,0.247
304.00,0.244
305.00,0.241
306.00,0.239
307.00,0.237
308.00,0.234
309.00,0.232
310.00,0.231
311.00,0.229
312.00,0.227
313.00,0.225
314.00,0.223
315.00,0.222
316.00,0.220
317.00,0.219
318.00,0.216
319.00,0.215
320.00,0.213
321.00,0.211
322.00,0.208
323.00,0.206
324.00,0.203
325.00,0.200
326.00,0.197
327.00,0.195
328.00,0.191
329.00,0.188
330.00,0.185
331.00,0.181
332.00,0.178
333.00,0.174
334.00,0.170
335.00,0.167
336.00,0.164
337.00,0.160
338.00,0.157
339.00,0.153
340.00,0.150
341.00,0.145
342.00,0.142
343.00,0.138
344.00,0.135
345.00,0.132
346.00,0.129
347.00,0.126
348.00,0.122
349.00,0.120
350.00,0.117
351.00,0.114
352.00,0.111
353.00,0.109
354.00,0.106
355.00,0.104
356.00,0.102
357.00,0.100
358.00,0.098
359.00,0.095
360.00,0.093
361.00,0.092
362.00,0.090
363.00,0.088
364.00,0.087
365.00,0.085
366.00,0.084
367.00,0.082
368.00,0.081
369.00,0.080
370.00,0.078
371.00,0.077
372.00,0.076
373.00,0.075
374.00,0.074
375.00,0.073
376.00,0.072
377.00,0.071
378.00,0.070
379.00,0.069
380.00,0.068
381.00,0.067
382.00,0.066
383.00,0.065
384.00,0.065
385.00,0.064
386.00,0.063
387.00,0.063
388.00,0.062
389.00,0.061
390.00,0.061
391.00,0.060
392.00,0.060
393.00,0.059
394.00,0.059
395.00,0.058
396.00,0.058
397.00,0.057
398.00,0.057
399.00,0.057
400.00,0.056
401.00,0.056
402.00,0.055
403.00,0.055
404.00,0.055
405.00,0.054
406.00,0.054
407.00,0.054
408.00,0.053
409.00,0.053
410.00,0.053
411.00,0.053
412.00,0.052
413.00,0.052
414.00,0.052
415.00,0.052
416.00,0.051
417.00,0.051
418.00,0.051
419.00,0.051
420.00,0.051
421.00,0.051
422.00,0.050
423.00,0.050
424.00,0.050
425.00,0.050
426.00,0.050
427.00,0.049
428.00,0.049
429.00,0.049
430.00,0.049
431.00,0.049
432.00,0.049
433.00,0.049
434.00,0.048
435.00,0.048
436.00,0.048
437.00,0.048
438.00,0.048
439.00,0.048
440.00,0.048
441.00,0.048
442.00,0.047
443.00,0.047
444.00,0.047
445.00,0.047
446.00,0.047
447.00,0.047
448.00,0.047
449.00,0.047
450.00,0.046
451.00,0.046
452.00,0.046
453.00,0.046
454.00,0.046
455.00,0.046
456.00,0.046
457.00,0.046
458.00,0.046
459.00,0.046
460.00,0.046
461.00,0.046
462.00,0.045
463.00,0.045
464.00,0.045
465.00,0.045
466.00,0.045
467.00,0.045
468.00,0.045
469.00,0.045
470.00,0.045
471.00,0.045
472.00,0.045
473.00,0.044
474.00,0.044
475.00,0.044
476.00,0.044
477.00,0.044
478.00,0.044
479.00,0.044
480.00,0.044
481.00,0.044
482.00,0.044
483.00,0.044
484.00,0.044
485.00,0.044
486.00,0.044
487.00,0.043
488.00,0.043
489.00,0.043
490.00,0.043
491.00,0.043
492.00,0.043
493.00,0.043
494.00,0.043
495.00,0.043
496.00,0.043
497.00,0.043
498.00,0.043
499.00,0.043
500.00,0.043
501.00,0.042
502.00,0.042
503.00,0.042
504.00,0.042
505.00,0.042
506.00,0.042
507.00,0.042
508.00,0.042
509.00,0.042
510.00,0.042
511.00,0.042
512.00,0.042
513.00,0.042
514.00,0.042
515.00,0.042
516.00,0.042
517.00,0.042
518.00,0.042
519.00,0.042
520.00,0.041
521.00,0.041
522.00,0.041
523.00,0.041
524.00,0.041
525.00,0.041
526.00,0.041
527.00,0.041
528.00,0.041
529.00,0.041
530.00,0.041
531.00,0.041
532.00,0.041
533.00,0.041
534.00,0.041
535.00,0.041
536.00,0.041
537.00,0.041
538.00,0.041
539.00,0.041
540.00,0.040
541.00,0.040
542.00,0.040
543.00,0.040
544.00,0.040
545.00,0.040
546.00,0.040
547.00,0.040
548.00,0.040
549.00,0.040
550.00,0.040
551.00,0.040
552.00,0.040
553.00,0.040
554.00,0.040
555.00,0.040
556.00,0.040
557.00,0.040
558.00,0.040
559.00,0.040
560.00,0.040
561.00,0.040
562.00,0.040
563.00,0.040
564.00,0.040
565.00,0.040
566.00,0.040
567.00,0.040
568.00,0.040
569.00,0.040
570.00,0.040
571.00,0.039
572.00,0.039
573.00,0.039
574.00,0.039
575.00,0.039
576.00,0.039
577.00,0.039
578.00,0.039
579.00,0.039
580.00,0.039
581.00,0.039
582.00,0.039
583.00,0.039
584.00,0.039
585.00,0.039
586.00,0.039
587.00,0.039
588.00,0.039
589.00,0.039
590.00,0.039
591.00,0.039
592.00,0.039
593.00,0.039
594.00,0.039
595.00,0.039
596.00,0.039
597.00,0.039
598.00,0.039
599.00,0.039
600.00,0.039
601.00,0.039
602.00,0.039
603.00,0.039
604.00,0.039
605.00,0.039
606.00,0.039
607.00,0.039
608.00,0.039
609.00,0.039
610.00,0.039
611.00,0.039
612.00,0.039
613.00,0.039
614.00,0.039
615.00,0.039
616.00,0.039
617.00,0.039
618.00,0.039
619.00,0.039
620.00,0.039
621.00,0.039
622.00,0.039
623.00,0.039
624.00,0.039
625.00,0.039
626.00,0.039
627.00,0.039
628.00,0.039
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.039
637.00,0.039
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.038
646.00,0.038
647.00,0.038
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.038
654.00,0.038
655.00,0.038
656.00,0.038
657.00,0.038
658.00,0.038
659.00,0.038
660.00,0.038
661.00,0.038
662.00,0.038
663.00,0.038
664.00,0.038
665.00,0.038
666.00,0.038
667.00,0.038
668.00,0.038
669.00,0.038
670.00,0.038
671.00,0.038
672.00,0.038
673.00,0.038
674.00,0.038
675.00,0.038
676.00,0.038
677.00,0.038
678.00,0.038
679.00,0.038
680.00,0.038
681.00,0.038
682.00,0.038
683.00,0.038
684.00,0.038
685.00,0.038
686.00,0.038
687.00,0.038
688.00,0.038
689.00,0.038
690.00,0.038
691.00,0.038
692.00,0.038
693.00,0.038
694.00,0.038
695.00,0.038
696.00,0.038
697.00,0.038
698.00,0.038
699.00,0.039
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.039
709.00,0.039
710.00,0.039
711.00,0.039
712.00,0.040
713.00,0.040
714.00,0.040
715.00,0.040
716.00,0.040
717.00,0.040
718.00,0.041
719.00,0.041
720.00,0.041
721.00,0.041
722.00,0.042
723.00,0.042
724.00,0.042
725.00,0.042
726.00,0.042
727.00,0.043
728.00,0.043
729.00,0.044
730.00,0.044
731.00,0.045
732.00,0.045
733.00,0.045
734.00,0.046
735.00,0.046
736.00,0.047
737.00,0.047
738.00,0.047
739.00,0.047
740.00,0.047
741.00,0.047
742.00,0.047
743.00,0.047
744.00,0.047
745.00,0.047
746.00,0.047
747.00,0.047
748.00,0.047
749.00,0.047
750.00,0.047
751.00,0.047
752.00,0.047
753.00,0.047
754.00,0.047
755.00,0.047
756.00,0.047
757.00,0.047
758.00,0.047
759.00,0.047
760.00,0.048
761.00,0.047
762.00,0.047
763.00,0.047
764.00,0.047
765.00,0.047
766.00,0.047
767.00,0.047
768.00,0.047
769.00,0.047
770.00,0.047
771.00,0.047
772.00,0.047
773.00,0.047
774.00,0.046
775.00,0.046
776.00,0.046
777.00,0.046
778.00,0.046
779.00,0.046
780.00,0.046
781.00,0.046
782.00,0.046
783.00,0.046
784.00,0.046
785.00,0.046
786.00,0.046
787.00,0.046
788.00,0.045
789.00,0.045
790.00,0.045
791.00,0.045
792.00,0.045
793.00,0.045
794.00,0.045
795.00,0.045
796.00,0.044
797.00,0.044
798.00,0.044
799.00,0.044
800.00,0.044
801.00,0.044
802.00,0.044
803.00,0.044
804.00,0.044
805.00,0.044
806.00,0.044
807.00,0.044
808.00,0.044
809.00,0.044
810.00,0.044
811.00,0.044
812.00,0.044
813.00,0.044
814.00,0.044
815.00,0.044
816.00,0.044
817.00,0.044
818.00,0.044
819.00,0.044
820.00,0.044
821.00,0.044
822.00,0.045
823.00,0.045
824.00,0.045
825.00,0.046
826.00,0.046
827.00,0.046
828.00,0.047
829.00,0.048
830.00,0.048
831.00,0.049
832.00,0.049
833.00,0.050
834.00,0.050
835.00,0.050
836.00,0.050
837.00,0.051
838.00,0.051
839.00,0.051
840.00,0.051
841.00,0.051
842.00,0.051
843.00,0.051
844.00,0.051
845.00,0.052
846.00,0.052
847.00,0.052
848.00,0.052
849.00,0.052
850.00,0.052
851.00,0.052
852.00,0.052
853.00,0.053
854.00,0.053
855.00,0.053
856.00,0.053
857.00,0.053
858.00,0.053
859.00,0.053
860.00,0.053
861.00,0.053
862.00,0.053
863.00,0.054
864.00,0.054
865.00,0.054
866.00,0.054
867.00,0.054
868.00,0.054
869.00,0.054
870.00,0.054
871.00,0.055
872.00,0.055
873.00,0.055
874.00,0.055
875.00,0.055
876.00,0.056
877.00,0.056
878.00,0.056
879.00,0.056
880.00,0.056
881.00,0.057
882.00,0.057
883.00,0.057
884.00,0.058
885.00,0.058
886.00,0.058
887.00,0.058
888.00,0.058
889.00,0.059
890.00,0.059
891.00,0.059
892.00,0.059
893.00,0.060
894.00,0.060
895.00,0.060
896.00,0.060
897.00,0.061
898.00,0.061
899.00,0.061
900.00,0.061
