"BorealeIPA50x - RawData"
"Wavelength nm.","Abs."
190.00,3.089
191.00,3.664
192.00,3.964
193.00,3.918
194.00,3.788
195.00,3.930
196.00,3.965
197.00,3.964
198.00,3.867
199.00,3.785
200.00,3.947
201.00,3.867
202.00,3.936
203.00,3.941
204.00,3.932
205.00,3.976
206.00,3.959
207.00,3.903
208.00,3.878
209.00,3.991
210.00,3.742
211.00,3.828
212.00,3.765
213.00,3.481
214.00,3.305
215.00,3.241
216.00,3.064
217.00,2.928
218.00,2.790
219.00,2.668
220.00,2.530
221.00,2.416
222.00,2.303
223.00,2.189
224.00,2.076
225.00,1.966
226.00,1.856
227.00,1.742
228.00,1.634
229.00,1.536
230.00,1.444
231.00,1.361
232.00,1.287
233.00,1.222
234.00,1.167
235.00,1.118
236.00,1.077
237.00,1.043
238.00,1.014
239.00,0.991
240.00,0.972
241.00,0.957
242.00,0.947
243.00,0.940
244.00,0.935
245.00,0.933
246.00,0.932
247.00,0.932
248.00,0.933
249.00,0.936
250.00,0.939
251.00,0.943
252.00,0.948
253.00,0.954
254.00,0.959
255.00,0.965
256.00,0.970
257.00,0.975
258.00,0.978
259.00,0.980
260.00,0.983
261.00,0.984
262.00,0.986
263.00,0.988
264.00,0.989
265.00,0.990
266.00,0.990
267.00,0.991
268.00,0.989
269.00,0.986
270.00,0.981
271.00,0.975
272.00,0.967
273.00,0.957
274.00,0.946
275.00,0.934
276.00,0.921
277.00,0.906
278.00,0.890
279.00,0.873
280.00,0.855
281.00,0.836
282.00,0.815
283.00,0.793
284.00,0.770
285.00,0.745
286.00,0.722
287.00,0.700
288.00,0.677
289.00,0.653
290.00,0.628
291.00,0.604
292.00,0.583
293.00,0.564
294.00,0.549
295.00,0.535
296.00,0.523
297.00,0.513
298.00,0.502
299.00,0.493
300.00,0.485
301.00,0.478
302.00,0.471
303.00,0.464
304.00,0.458
305.00,0.452
306.00,0.446
307.00,0.440
308.00,0.435
309.00,0.429
310.00,0.424
311.00,0.418
312.00,0.413
313.00,0.408
314.00,0.403
315.00,0.398
316.00,0.393
317.00,0.387
318.00,0.382
319.00,0.377
320.00,0.371
321.00,0.366
322.00,0.360
323.00,0.354
324.00,0.348
325.00,0.341
326.00,0.336
327.00,0.329
328.00,0.323
329.00,0.317
330.00,0.310
331.00,0.303
332.00,0.297
333.00,0.291
334.00,0.284
335.00,0.278
336.00,0.272
337.00,0.265
338.00,0.259
339.00,0.253
340.00,0.247
341.00,0.240
342.00,0.234
343.00,0.228
344.00,0.223
345.00,0.218
346.00,0.212
347.00,0.207
348.00,0.202
349.00,0.197
350.00,0.193
351.00,0.188
352.00,0.184
353.00,0.179
354.00,0.175
355.00,0.172
356.00,0.168
357.00,0.164
358.00,0.161
359.00,0.157
360.00,0.154
361.00,0.151
362.00,0.148
363.00,0.145
364.00,0.142
365.00,0.139
366.00,0.137
367.00,0.135
368.00,0.132
369.00,0.130
370.00,0.128
371.00,0.125
372.00,0.123
373.00,0.121
374.00,0.119
375.00,0.117
376.00,0.115
377.00,0.113
378.00,0.111
379.00,0.109
380.00,0.108
381.00,0.106
382.00,0.104
383.00,0.103
384.00,0.101
385.00,0.099
386.00,0.098
387.00,0.097
388.00,0.095
389.00,0.094
390.00,0.093
391.00,0.091
392.00,0.090
393.00,0.089
394.00,0.088
395.00,0.087
396.00,0.086
397.00,0.085
398.00,0.084
399.00,0.083
400.00,0.082
401.00,0.081
402.00,0.080
403.00,0.079
404.00,0.078
405.00,0.078
406.00,0.077
407.00,0.076
408.00,0.075
409.00,0.075
410.00,0.074
411.00,0.074
412.00,0.073
413.00,0.072
414.00,0.072
415.00,0.071
416.00,0.071
417.00,0.070
418.00,0.070
419.00,0.069
420.00,0.069
