"AbriTempeteBotaOuelle_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.909
191.00,3.365
192.00,3.608
193.00,3.650
194.00,3.553
195.00,3.634
196.00,3.782
197.00,3.898
198.00,3.827
199.00,3.867
200.00,3.816
201.00,3.635
202.00,3.635
203.00,3.884
204.00,3.819
205.00,3.964
206.00,3.813
207.00,3.853
208.00,3.860
209.00,3.637
210.00,3.690
211.00,3.695
212.00,3.535
213.00,3.321
214.00,3.129
215.00,2.969
216.00,2.875
217.00,2.770
218.00,2.642
219.00,2.495
220.00,2.362
221.00,2.246
222.00,2.137
223.00,2.023
224.00,1.915
225.00,1.810
226.00,1.706
227.00,1.601
228.00,1.500
229.00,1.408
230.00,1.321
231.00,1.244
232.00,1.176
233.00,1.116
234.00,1.064
235.00,1.021
236.00,0.984
237.00,0.954
238.00,0.929
239.00,0.910
240.00,0.896
241.00,0.885
242.00,0.878
243.00,0.874
244.00,0.873
245.00,0.873
246.00,0.875
247.00,0.878
248.00,0.882
249.00,0.887
250.00,0.892
251.00,0.898
252.00,0.906
253.00,0.913
254.00,0.919
255.00,0.925
256.00,0.931
257.00,0.936
258.00,0.938
259.00,0.939
260.00,0.939
261.00,0.939
262.00,0.939
263.00,0.940
264.00,0.939
265.00,0.938
266.00,0.936
267.00,0.932
268.00,0.927
269.00,0.920
270.00,0.912
271.00,0.902
272.00,0.891
273.00,0.879
274.00,0.865
275.00,0.849
276.00,0.833
277.00,0.816
278.00,0.796
279.00,0.776
280.00,0.755
281.00,0.734
282.00,0.711
283.00,0.687
284.00,0.662
285.00,0.637
286.00,0.613
287.00,0.589
288.00,0.564
289.00,0.539
290.00,0.514
291.00,0.489
292.00,0.467
293.00,0.449
294.00,0.433
295.00,0.419
296.00,0.408
297.00,0.398
298.00,0.388
299.00,0.380
300.00,0.374
301.00,0.367
302.00,0.362
303.00,0.357
304.00,0.354
305.00,0.350
306.00,0.346
307.00,0.343
308.00,0.340
309.00,0.338
310.00,0.336
311.00,0.333
312.00,0.331
313.00,0.329
314.00,0.328
315.00,0.326
316.00,0.323
317.00,0.321
318.00,0.318
319.00,0.316
320.00,0.313
321.00,0.310
322.00,0.307
323.00,0.303
324.00,0.299
325.00,0.294
326.00,0.290
327.00,0.285
328.00,0.280
329.00,0.275
330.00,0.269
331.00,0.264
332.00,0.258
333.00,0.252
334.00,0.246
335.00,0.240
336.00,0.234
337.00,0.228
338.00,0.222
339.00,0.216
340.00,0.210
341.00,0.203
342.00,0.196
343.00,0.191
344.00,0.185
345.00,0.180
346.00,0.175
347.00,0.169
348.00,0.164
349.00,0.159
350.00,0.154
351.00,0.149
352.00,0.145
353.00,0.141
354.00,0.136
355.00,0.133
356.00,0.129
357.00,0.125
358.00,0.122
359.00,0.118
360.00,0.115
361.00,0.112
362.00,0.109
363.00,0.107
364.00,0.105
365.00,0.102
366.00,0.099
367.00,0.097
368.00,0.095
369.00,0.093
370.00,0.091
371.00,0.089
372.00,0.088
373.00,0.086
374.00,0.085
375.00,0.083
376.00,0.081
377.00,0.080
378.00,0.079
379.00,0.077
380.00,0.076
381.00,0.075
382.00,0.073
383.00,0.072
384.00,0.072
385.00,0.070
386.00,0.070
387.00,0.069
388.00,0.068
389.00,0.067
390.00,0.066
391.00,0.065
392.00,0.064
393.00,0.064
394.00,0.063
395.00,0.062
396.00,0.062
397.00,0.061
398.00,0.061
399.00,0.060
400.00,0.059
401.00,0.059
402.00,0.058
403.00,0.058
404.00,0.058
405.00,0.057
406.00,0.057
407.00,0.056
408.00,0.056
409.00,0.056
410.00,0.055
411.00,0.055
412.00,0.055
413.00,0.054
414.00,0.054
415.00,0.054
416.00,0.053
417.00,0.053
418.00,0.053
419.00,0.053
420.00,0.053
421.00,0.052
422.00,0.052
423.00,0.052
424.00,0.052
425.00,0.052
426.00,0.051
427.00,0.051
428.00,0.051
429.00,0.051
430.00,0.051
431.00,0.050
432.00,0.050
433.00,0.050
434.00,0.050
435.00,0.050
436.00,0.049
437.00,0.049
438.00,0.049
439.00,0.049
440.00,0.049
441.00,0.049
442.00,0.049
443.00,0.049
444.00,0.048
445.00,0.048
446.00,0.048
447.00,0.048
448.00,0.048
449.00,0.048
450.00,0.048
451.00,0.047
452.00,0.047
453.00,0.047
454.00,0.047
455.00,0.047
456.00,0.047
457.00,0.047
458.00,0.047
459.00,0.047
460.00,0.047
461.00,0.046
462.00,0.046
463.00,0.046
464.00,0.046
465.00,0.046
466.00,0.046
467.00,0.046
468.00,0.046
469.00,0.046
470.00,0.046
471.00,0.046
472.00,0.045
473.00,0.045
474.00,0.045
475.00,0.045
476.00,0.045
477.00,0.045
478.00,0.045
479.00,0.045
480.00,0.045
481.00,0.045
482.00,0.045
483.00,0.045
484.00,0.044
485.00,0.044
486.00,0.044
487.00,0.044
488.00,0.044
489.00,0.044
490.00,0.044
491.00,0.044
492.00,0.044
493.00,0.044
494.00,0.044
495.00,0.044
496.00,0.044
497.00,0.044
498.00,0.043
499.00,0.043
500.00,0.043
501.00,0.043
502.00,0.043
503.00,0.043
504.00,0.043
505.00,0.043
506.00,0.043
507.00,0.043
508.00,0.043
509.00,0.043
510.00,0.043
511.00,0.043
512.00,0.043
513.00,0.043
514.00,0.042
515.00,0.042
516.00,0.042
517.00,0.042
518.00,0.042
519.00,0.042
520.00,0.042
521.00,0.042
522.00,0.042
523.00,0.042
524.00,0.042
525.00,0.042
526.00,0.042
527.00,0.042
528.00,0.042
529.00,0.042
530.00,0.042
531.00,0.042
532.00,0.042
533.00,0.041
534.00,0.041
535.00,0.041
536.00,0.042
537.00,0.041
538.00,0.041
539.00,0.041
540.00,0.041
541.00,0.041
542.00,0.041
543.00,0.041
544.00,0.041
545.00,0.041
546.00,0.041
547.00,0.041
548.00,0.041
549.00,0.041
550.00,0.041
551.00,0.041
552.00,0.041
553.00,0.041
554.00,0.041
555.00,0.041
556.00,0.041
557.00,0.040
558.00,0.040
559.00,0.040
560.00,0.040
561.00,0.040
562.00,0.040
563.00,0.040
564.00,0.040
565.00,0.040
566.00,0.040
567.00,0.040
568.00,0.040
569.00,0.040
570.00,0.040
571.00,0.040
572.00,0.040
573.00,0.040
574.00,0.040
575.00,0.040
576.00,0.040
577.00,0.040
578.00,0.040
579.00,0.040
580.00,0.040
581.00,0.040
582.00,0.040
583.00,0.040
584.00,0.040
585.00,0.040
586.00,0.040
587.00,0.040
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.040
592.00,0.040
593.00,0.040
594.00,0.040
595.00,0.040
596.00,0.040
597.00,0.040
598.00,0.040
599.00,0.040
600.00,0.040
601.00,0.040
602.00,0.040
603.00,0.040
604.00,0.040
605.00,0.040
606.00,0.040
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.040
613.00,0.040
614.00,0.040
615.00,0.040
616.00,0.040
617.00,0.039
618.00,0.039
619.00,0.039
620.00,0.039
621.00,0.039
622.00,0.039
623.00,0.039
624.00,0.039
625.00,0.039
626.00,0.039
627.00,0.039
628.00,0.039
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.039
637.00,0.039
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
658.00,0.039
659.00,0.039
660.00,0.039
661.00,0.039
662.00,0.039
663.00,0.039
664.00,0.039
665.00,0.039
666.00,0.039
667.00,0.039
668.00,0.039
669.00,0.039
670.00,0.039
671.00,0.039
672.00,0.039
673.00,0.039
674.00,0.039
675.00,0.039
676.00,0.039
677.00,0.039
678.00,0.039
679.00,0.039
680.00,0.039
681.00,0.039
682.00,0.039
683.00,0.039
684.00,0.039
685.00,0.039
686.00,0.039
687.00,0.039
688.00,0.039
689.00,0.039
690.00,0.039
691.00,0.039
692.00,0.039
693.00,0.039
694.00,0.039
695.00,0.039
696.00,0.039
697.00,0.039
698.00,0.039
699.00,0.039
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.040
709.00,0.040
710.00,0.040
711.00,0.040
712.00,0.040
713.00,0.040
714.00,0.040
715.00,0.041
716.00,0.041
717.00,0.041
718.00,0.041
719.00,0.041
720.00,0.042
721.00,0.042
722.00,0.042
723.00,0.042
724.00,0.042
725.00,0.043
726.00,0.043
727.00,0.043
728.00,0.044
729.00,0.044
730.00,0.045
731.00,0.045
732.00,0.046
733.00,0.046
734.00,0.046
735.00,0.047
736.00,0.047
737.00,0.047
738.00,0.047
739.00,0.048
740.00,0.048
741.00,0.048
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.048
748.00,0.048
749.00,0.048
750.00,0.048
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.048
755.00,0.048
756.00,0.048
757.00,0.048
758.00,0.048
759.00,0.048
760.00,0.048
761.00,0.048
762.00,0.048
763.00,0.048
764.00,0.048
765.00,0.048
766.00,0.048
767.00,0.047
768.00,0.048
769.00,0.047
770.00,0.047
771.00,0.047
772.00,0.047
773.00,0.047
774.00,0.047
775.00,0.047
776.00,0.047
777.00,0.047
778.00,0.047
779.00,0.047
780.00,0.047
781.00,0.047
782.00,0.046
783.00,0.046
784.00,0.046
785.00,0.046
786.00,0.046
787.00,0.046
788.00,0.046
789.00,0.046
790.00,0.046
791.00,0.046
792.00,0.045
