"AbriTempeteTerreFerme_25x - RawData"
"Wavelength nm.","Abs."
190.00,3.551
191.00,3.786
192.00,3.894
193.00,3.704
194.00,3.777
195.00,3.702
196.00,3.756
197.00,3.780
198.00,3.718
199.00,3.797
200.00,3.785
201.00,3.896
202.00,3.940
203.00,3.778
204.00,3.945
205.00,3.892
206.00,3.897
207.00,3.937
208.00,3.979
209.00,3.979
210.00,3.900
211.00,3.997
212.00,3.967
213.00,3.875
214.00,3.942
215.00,3.884
216.00,3.860
217.00,3.963
218.00,3.964
219.00,3.832
220.00,3.718
221.00,3.689
222.00,3.546
223.00,3.391
224.00,3.236
225.00,3.139
226.00,2.992
227.00,2.839
228.00,2.690
229.00,2.546
230.00,2.423
231.00,2.309
232.00,2.204
233.00,2.110
234.00,2.027
235.00,1.957
236.00,1.896
237.00,1.843
238.00,1.798
239.00,1.759
240.00,1.728
241.00,1.703
242.00,1.686
243.00,1.673
244.00,1.665
245.00,1.660
246.00,1.658
247.00,1.659
248.00,1.662
249.00,1.665
250.00,1.670
251.00,1.677
252.00,1.686
253.00,1.692
254.00,1.703
255.00,1.711
256.00,1.720
257.00,1.727
258.00,1.732
259.00,1.734
260.00,1.735
261.00,1.736
262.00,1.737
263.00,1.741
264.00,1.741
265.00,1.739
266.00,1.739
267.00,1.732
268.00,1.728
269.00,1.722
270.00,1.710
271.00,1.694
272.00,1.678
273.00,1.658
274.00,1.637
275.00,1.615
276.00,1.592
277.00,1.564
278.00,1.538
279.00,1.510
280.00,1.479
281.00,1.445
282.00,1.411
283.00,1.374
284.00,1.335
285.00,1.296
286.00,1.260
287.00,1.223
288.00,1.183
289.00,1.143
290.00,1.100
291.00,1.060
292.00,1.024
293.00,0.991
294.00,0.963
295.00,0.938
296.00,0.916
297.00,0.896
298.00,0.877
299.00,0.860
300.00,0.844
301.00,0.830
302.00,0.816
303.00,0.803
304.00,0.792
305.00,0.781
306.00,0.771
307.00,0.760
308.00,0.750
309.00,0.741
310.00,0.732
311.00,0.723
312.00,0.714
313.00,0.706
314.00,0.699
315.00,0.690
316.00,0.682
317.00,0.674
318.00,0.665
319.00,0.657
320.00,0.648
