"AlchimisteEcossaise_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.481
191.00,3.119
192.00,3.272
193.00,3.443
194.00,3.626
195.00,3.550
196.00,3.396
197.00,3.577
198.00,3.600
199.00,3.684
200.00,3.670
201.00,3.707
202.00,3.579
203.00,3.749
204.00,3.911
205.00,3.816
206.00,3.824
207.00,3.822
208.00,3.792
209.00,3.688
210.00,3.604
211.00,3.432
212.00,3.495
213.00,3.349
214.00,3.232
215.00,3.179
216.00,3.100
217.00,2.949
218.00,2.843
219.00,2.736
220.00,2.630
221.00,2.525
222.00,2.427
223.00,2.330
224.00,2.233
225.00,2.140
226.00,2.048
227.00,1.956
228.00,1.865
229.00,1.782
230.00,1.700
231.00,1.621
232.00,1.548
233.00,1.482
234.00,1.423
235.00,1.370
236.00,1.325
237.00,1.285
238.00,1.249
239.00,1.219
240.00,1.192
241.00,1.170
242.00,1.154
243.00,1.142
244.00,1.133
245.00,1.126
246.00,1.123
247.00,1.120
248.00,1.119
249.00,1.119
250.00,1.121
251.00,1.124
252.00,1.128
253.00,1.133
254.00,1.138
255.00,1.143
256.00,1.149
257.00,1.153
258.00,1.158
259.00,1.162
260.00,1.164
261.00,1.167
262.00,1.170
263.00,1.174
264.00,1.177
265.00,1.180
266.00,1.182
267.00,1.184
268.00,1.186
269.00,1.186
270.00,1.186
271.00,1.184
272.00,1.183
273.00,1.180
274.00,1.177
275.00,1.172
276.00,1.166
277.00,1.159
278.00,1.150
279.00,1.141
280.00,1.130
281.00,1.120
282.00,1.108
283.00,1.094
284.00,1.079
285.00,1.063
286.00,1.048
287.00,1.031
288.00,1.014
289.00,0.996
290.00,0.976
291.00,0.957
292.00,0.938
293.00,0.921
294.00,0.905
295.00,0.889
296.00,0.875
297.00,0.861
298.00,0.847
299.00,0.833
300.00,0.820
301.00,0.806
302.00,0.793
303.00,0.780
304.00,0.767
305.00,0.755
306.00,0.742
307.00,0.729
308.00,0.716
309.00,0.703
310.00,0.691
311.00,0.679
312.00,0.667
313.00,0.656
314.00,0.645
315.00,0.634
316.00,0.624
317.00,0.613
318.00,0.602
319.00,0.591
320.00,0.581
321.00,0.570
322.00,0.560
323.00,0.550
324.00,0.539
325.00,0.530
326.00,0.520
327.00,0.510
328.00,0.500
329.00,0.491
330.00,0.482
331.00,0.473
332.00,0.464
333.00,0.456
334.00,0.447
335.00,0.439
336.00,0.431
337.00,0.424
338.00,0.416
339.00,0.408
340.00,0.401
341.00,0.393
342.00,0.385
343.00,0.378
344.00,0.371
345.00,0.365
346.00,0.359
347.00,0.353
348.00,0.346
349.00,0.340
350.00,0.334
351.00,0.328
352.00,0.322
353.00,0.317
354.00,0.312
355.00,0.306
356.00,0.301
357.00,0.296
358.00,0.291
359.00,0.286
360.00,0.281
361.00,0.276
362.00,0.271
363.00,0.268
364.00,0.263
365.00,0.259
366.00,0.255
367.00,0.251
368.00,0.247
369.00,0.243
370.00,0.239
371.00,0.236
372.00,0.232
373.00,0.229
374.00,0.226
375.00,0.222
376.00,0.219
377.00,0.216
378.00,0.212
379.00,0.209
380.00,0.206
381.00,0.203
382.00,0.200
383.00,0.198
384.00,0.195
385.00,0.192
386.00,0.190
387.00,0.188
388.00,0.185
389.00,0.183
390.00,0.180
391.00,0.178
392.00,0.176
393.00,0.174
394.00,0.171
395.00,0.169
396.00,0.167
397.00,0.166
398.00,0.164
399.00,0.162
400.00,0.160
401.00,0.158
402.00,0.157
403.00,0.155
404.00,0.153
405.00,0.152
406.00,0.150
407.00,0.149
408.00,0.147
409.00,0.146
410.00,0.144
411.00,0.143
412.00,0.141
413.00,0.140
414.00,0.138
415.00,0.137
416.00,0.136
417.00,0.135
418.00,0.133
419.00,0.132
420.00,0.131
421.00,0.130
422.00,0.128
423.00,0.127
424.00,0.126
425.00,0.125
426.00,0.124
427.00,0.123
428.00,0.121
429.00,0.120
430.00,0.119
431.00,0.118
432.00,0.117
433.00,0.116
434.00,0.115
435.00,0.114
436.00,0.113
437.00,0.112
438.00,0.111
439.00,0.110
440.00,0.110
441.00,0.109
442.00,0.108
443.00,0.107
444.00,0.106
445.00,0.105
446.00,0.104
447.00,0.104
448.00,0.103
449.00,0.102
450.00,0.101
451.00,0.101
452.00,0.100
453.00,0.099
454.00,0.098
455.00,0.098
456.00,0.097
457.00,0.096
458.00,0.096
459.00,0.095
460.00,0.094
461.00,0.093
462.00,0.093
463.00,0.092
464.00,0.091
465.00,0.091
466.00,0.090
467.00,0.090
468.00,0.089
469.00,0.088
470.00,0.088
471.00,0.087
472.00,0.087
473.00,0.086
474.00,0.085
475.00,0.085
476.00,0.084
477.00,0.084
478.00,0.083
479.00,0.082
480.00,0.082
481.00,0.081
482.00,0.081
483.00,0.080
484.00,0.079
485.00,0.079
486.00,0.079
487.00,0.078
488.00,0.077
489.00,0.077
490.00,0.076
491.00,0.076
492.00,0.076
493.00,0.075
494.00,0.075
495.00,0.074
496.00,0.074
497.00,0.073
498.00,0.073
499.00,0.072
500.00,0.072
501.00,0.072
502.00,0.071
503.00,0.071
504.00,0.070
505.00,0.070
506.00,0.070
507.00,0.069
508.00,0.069
509.00,0.068
510.00,0.068
511.00,0.068
512.00,0.067
513.00,0.067
514.00,0.067
515.00,0.066
516.00,0.066
517.00,0.066
518.00,0.065
519.00,0.065
520.00,0.065
521.00,0.064
522.00,0.064
523.00,0.064
524.00,0.063
525.00,0.063
526.00,0.063
527.00,0.063
528.00,0.062
529.00,0.062
530.00,0.062
531.00,0.061
532.00,0.061
533.00,0.061
534.00,0.061
535.00,0.060
536.00,0.060
537.00,0.060
538.00,0.060
539.00,0.059
540.00,0.059
541.00,0.059
542.00,0.059
543.00,0.058
544.00,0.058
545.00,0.058
546.00,0.058
547.00,0.058
548.00,0.057
549.00,0.057
550.00,0.057
551.00,0.057
552.00,0.056
553.00,0.056
554.00,0.056
555.00,0.056
556.00,0.056
557.00,0.055
558.00,0.055
559.00,0.055
560.00,0.055
561.00,0.055
562.00,0.055
563.00,0.054
564.00,0.054
565.00,0.054
566.00,0.054
567.00,0.054
568.00,0.054
569.00,0.053
570.00,0.053
571.00,0.053
572.00,0.053
573.00,0.053
574.00,0.053
575.00,0.052
576.00,0.052
577.00,0.052
578.00,0.052
579.00,0.052
580.00,0.052
581.00,0.051
582.00,0.051
583.00,0.051
584.00,0.051
585.00,0.051
586.00,0.051
587.00,0.051
588.00,0.051
589.00,0.051
590.00,0.051
591.00,0.050
592.00,0.050
593.00,0.050
594.00,0.050
595.00,0.050
596.00,0.050
597.00,0.050
598.00,0.050
599.00,0.050
600.00,0.050
601.00,0.050
602.00,0.050
603.00,0.049
604.00,0.049
605.00,0.049
606.00,0.049
607.00,0.049
608.00,0.049
609.00,0.049
610.00,0.049
611.00,0.049
612.00,0.049
613.00,0.049
614.00,0.048
615.00,0.048
616.00,0.048
617.00,0.048
618.00,0.048
619.00,0.048
620.00,0.048
621.00,0.048
622.00,0.048
623.00,0.048
624.00,0.048
625.00,0.047
626.00,0.047
627.00,0.047
628.00,0.047
629.00,0.047
630.00,0.047
631.00,0.047
632.00,0.047
633.00,0.047
634.00,0.047
635.00,0.047
636.00,0.046
637.00,0.046
638.00,0.046
639.00,0.046
640.00,0.046
641.00,0.046
642.00,0.046
643.00,0.046
644.00,0.046
645.00,0.046
646.00,0.046
647.00,0.046
648.00,0.046
649.00,0.046
650.00,0.046
651.00,0.046
652.00,0.046
653.00,0.046
654.00,0.045
655.00,0.045
656.00,0.045
657.00,0.045
658.00,0.045
659.00,0.045
660.00,0.045
661.00,0.045
662.00,0.045
663.00,0.045
664.00,0.045
665.00,0.045
666.00,0.045
667.00,0.045
668.00,0.045
669.00,0.045
670.00,0.045
671.00,0.045
672.00,0.045
673.00,0.044
674.00,0.044
675.00,0.044
676.00,0.044
677.00,0.044
678.00,0.044
679.00,0.044
680.00,0.044
681.00,0.044
682.00,0.044
683.00,0.044
684.00,0.044
685.00,0.044
686.00,0.044
687.00,0.044
688.00,0.044
689.00,0.044
690.00,0.044
691.00,0.044
692.00,0.044
693.00,0.044
694.00,0.044
695.00,0.044
696.00,0.044
697.00,0.044
698.00,0.044
699.00,0.044
700.00,0.044
701.00,0.044
702.00,0.044
703.00,0.044
704.00,0.044
705.00,0.044
706.00,0.044
707.00,0.044
708.00,0.044
709.00,0.044
710.00,0.044
711.00,0.045
712.00,0.045
713.00,0.045
714.00,0.045
715.00,0.045
716.00,0.045
717.00,0.045
718.00,0.046
719.00,0.046
720.00,0.046
721.00,0.046
722.00,0.046
723.00,0.046
724.00,0.047
725.00,0.047
726.00,0.047
727.00,0.048
728.00,0.048
729.00,0.048
730.00,0.049
731.00,0.049
732.00,0.050
733.00,0.050
734.00,0.051
735.00,0.051
736.00,0.051
737.00,0.051
738.00,0.052
739.00,0.052
740.00,0.052
741.00,0.052
742.00,0.052
743.00,0.052
744.00,0.052
745.00,0.052
746.00,0.052
747.00,0.052
748.00,0.052
749.00,0.052
750.00,0.052
751.00,0.052
752.00,0.052
753.00,0.052
754.00,0.052
755.00,0.052
756.00,0.051
757.00,0.051
758.00,0.051
759.00,0.051
760.00,0.052
761.00,0.051
762.00,0.051
763.00,0.051
764.00,0.051
765.00,0.051
766.00,0.051
767.00,0.051
768.00,0.051
769.00,0.051
770.00,0.051
771.00,0.051
772.00,0.051
773.00,0.051
774.00,0.050
775.00,0.050
