"ArchibaldJoufflue_25x - RawData"
"Wavelength nm.","Abs."
190.00,2.917
191.00,3.049
192.00,3.053
193.00,3.149
194.00,3.492
195.00,3.507
196.00,3.782
197.00,3.745
198.00,3.702
199.00,3.782
200.00,3.435
201.00,3.758
202.00,3.760
203.00,3.919
204.00,3.881
205.00,3.699
206.00,3.584
207.00,3.637
208.00,3.798
209.00,3.794
210.00,3.717
211.00,3.740
212.00,3.691
213.00,3.839
214.00,3.825
215.00,3.640
216.00,3.620
217.00,3.508
218.00,3.289
219.00,3.263
220.00,3.122
221.00,3.004
222.00,2.869
223.00,2.731
224.00,2.562
225.00,2.422
226.00,2.274
227.00,2.120
228.00,1.976
229.00,1.844
230.00,1.723
231.00,1.610
232.00,1.511
233.00,1.422
234.00,1.346
235.00,1.282
236.00,1.228
237.00,1.183
238.00,1.148
239.00,1.119
240.00,1.097
241.00,1.081
242.00,1.070
243.00,1.064
244.00,1.060
245.00,1.059
246.00,1.061
247.00,1.064
248.00,1.068
249.00,1.073
250.00,1.079
251.00,1.085
252.00,1.092
253.00,1.099
254.00,1.105
255.00,1.112
256.00,1.118
257.00,1.123
258.00,1.126
259.00,1.127
260.00,1.128
261.00,1.128
262.00,1.128
263.00,1.129
264.00,1.130
265.00,1.128
266.00,1.126
267.00,1.123
268.00,1.118
269.00,1.111
270.00,1.102
271.00,1.091
272.00,1.080
273.00,1.067
274.00,1.053
275.00,1.037
276.00,1.020
277.00,1.001
278.00,0.980
279.00,0.959
280.00,0.938
281.00,0.915
282.00,0.892
283.00,0.866
284.00,0.839
285.00,0.811
286.00,0.785
287.00,0.760
288.00,0.735
289.00,0.709
290.00,0.681
291.00,0.654
292.00,0.630
293.00,0.608
294.00,0.591
295.00,0.574
296.00,0.560
297.00,0.548
298.00,0.536
299.00,0.526
300.00,0.517
301.00,0.508
302.00,0.501
303.00,0.494
304.00,0.488
305.00,0.483
306.00,0.479
307.00,0.474
308.00,0.469
309.00,0.466
310.00,0.462
311.00,0.459
312.00,0.455
313.00,0.452
314.00,0.449
315.00,0.446
316.00,0.443
317.00,0.439
318.00,0.435
319.00,0.432
320.00,0.427
321.00,0.423
322.00,0.418
323.00,0.413
324.00,0.408
325.00,0.402
326.00,0.397
327.00,0.390
328.00,0.384
329.00,0.377
330.00,0.370
331.00,0.363
332.00,0.356
333.00,0.349
334.00,0.341
335.00,0.333
336.00,0.326
337.00,0.318
338.00,0.311
339.00,0.303
340.00,0.297
341.00,0.287
342.00,0.279
343.00,0.272
344.00,0.265
345.00,0.258
346.00,0.251
347.00,0.245
348.00,0.239
349.00,0.233
350.00,0.226
351.00,0.220
352.00,0.215
353.00,0.209
354.00,0.204
355.00,0.199
356.00,0.194
357.00,0.190
358.00,0.185
359.00,0.181
360.00,0.176
361.00,0.173
362.00,0.169
363.00,0.166
364.00,0.162
365.00,0.159
366.00,0.156
367.00,0.153
368.00,0.150
369.00,0.148
370.00,0.145
371.00,0.142
372.00,0.140
373.00,0.138
374.00,0.136
375.00,0.133
376.00,0.131
377.00,0.129
378.00,0.127
379.00,0.126
380.00,0.124
381.00,0.122
382.00,0.121
383.00,0.119
384.00,0.118
385.00,0.116
386.00,0.115
387.00,0.114
388.00,0.112
389.00,0.111
390.00,0.110
391.00,0.109
392.00,0.108
393.00,0.107
394.00,0.106
395.00,0.105
396.00,0.104
397.00,0.103
398.00,0.103
399.00,0.102
400.00,0.101
401.00,0.100
402.00,0.100
403.00,0.099
404.00,0.098
405.00,0.098
406.00,0.097
407.00,0.096
408.00,0.096
409.00,0.095
410.00,0.095
411.00,0.094
412.00,0.094
413.00,0.093
414.00,0.093
415.00,0.092
416.00,0.092
417.00,0.092
418.00,0.091
419.00,0.091
420.00,0.090
421.00,0.090
422.00,0.089
423.00,0.089
424.00,0.089
425.00,0.088
426.00,0.088
427.00,0.087
428.00,0.087
429.00,0.087
430.00,0.087
431.00,0.086
432.00,0.086
433.00,0.086
434.00,0.085
435.00,0.085
436.00,0.084
437.00,0.084
438.00,0.084
439.00,0.084
440.00,0.083
441.00,0.083
442.00,0.083
443.00,0.083
444.00,0.082
445.00,0.082
446.00,0.082
447.00,0.082
448.00,0.081
449.00,0.081
450.00,0.081
451.00,0.081
452.00,0.080
453.00,0.080
454.00,0.080
455.00,0.080
456.00,0.080
457.00,0.079
458.00,0.079
459.00,0.079
460.00,0.079
461.00,0.078
462.00,0.078
463.00,0.078
464.00,0.078
465.00,0.078
466.00,0.077
467.00,0.077
468.00,0.077
469.00,0.077
470.00,0.077
471.00,0.076
472.00,0.076
473.00,0.076
474.00,0.076
475.00,0.076
476.00,0.076
477.00,0.075
478.00,0.075
479.00,0.075
480.00,0.075
481.00,0.075
482.00,0.074
483.00,0.074
484.00,0.074
485.00,0.074
486.00,0.074
487.00,0.074
488.00,0.073
489.00,0.073
490.00,0.073
491.00,0.073
492.00,0.073
493.00,0.073
494.00,0.072
495.00,0.072
496.00,0.072
497.00,0.072
498.00,0.072
499.00,0.072
500.00,0.072
501.00,0.071
502.00,0.071
503.00,0.071
504.00,0.071
505.00,0.071
506.00,0.071
507.00,0.071
508.00,0.070
509.00,0.070
510.00,0.070
511.00,0.070
512.00,0.070
513.00,0.070
514.00,0.070
515.00,0.070
516.00,0.069
517.00,0.069
518.00,0.069
519.00,0.069
520.00,0.069
521.00,0.069
522.00,0.069
523.00,0.068
524.00,0.068
525.00,0.068
526.00,0.068
527.00,0.068
528.00,0.068
529.00,0.068
530.00,0.068
531.00,0.068
532.00,0.067
533.00,0.067
534.00,0.067
535.00,0.067
536.00,0.067
537.00,0.067
538.00,0.067
539.00,0.067
540.00,0.067
541.00,0.066
542.00,0.066
543.00,0.066
544.00,0.066
545.00,0.066
546.00,0.066
547.00,0.066
548.00,0.066
549.00,0.066
550.00,0.066
551.00,0.065
552.00,0.065
553.00,0.065
554.00,0.065
555.00,0.065
556.00,0.065
557.00,0.065
558.00,0.065
559.00,0.065
560.00,0.065
561.00,0.065
562.00,0.064
563.00,0.064
564.00,0.064
565.00,0.064
566.00,0.064
567.00,0.064
568.00,0.064
569.00,0.064
570.00,0.064
571.00,0.064
572.00,0.064
573.00,0.063
574.00,0.063
575.00,0.063
576.00,0.063
577.00,0.063
578.00,0.063
579.00,0.063
580.00,0.063
581.00,0.063
582.00,0.063
583.00,0.063
584.00,0.063
585.00,0.063
586.00,0.063
587.00,0.063
588.00,0.062
589.00,0.062
590.00,0.062
591.00,0.062
592.00,0.062
593.00,0.062
594.00,0.062
595.00,0.062
596.00,0.062
597.00,0.062
598.00,0.062
599.00,0.062
600.00,0.062
601.00,0.062
602.00,0.062
603.00,0.062
604.00,0.062
605.00,0.062
606.00,0.062
607.00,0.062
608.00,0.062
609.00,0.061
610.00,0.061
611.00,0.061
612.00,0.061
613.00,0.061
614.00,0.061
615.00,0.061
616.00,0.061
617.00,0.061
618.00,0.061
619.00,0.061
620.00,0.061
621.00,0.061
622.00,0.061
623.00,0.061
624.00,0.061
625.00,0.060
626.00,0.060
627.00,0.060
628.00,0.060
629.00,0.060
630.00,0.060
631.00,0.060
632.00,0.060
633.00,0.060
634.00,0.060
635.00,0.060
636.00,0.060
637.00,0.060
638.00,0.060
639.00,0.060
640.00,0.060
641.00,0.060
642.00,0.060
643.00,0.060
644.00,0.059
645.00,0.059
646.00,0.059
647.00,0.059
648.00,0.059
649.00,0.059
650.00,0.059
651.00,0.059
652.00,0.059
653.00,0.059
654.00,0.059
655.00,0.059
656.00,0.059
657.00,0.059
658.00,0.059
659.00,0.059
660.00,0.059
661.00,0.059
662.00,0.059
663.00,0.059
664.00,0.059
665.00,0.059
666.00,0.059
667.00,0.059
668.00,0.059
669.00,0.059
670.00,0.058
671.00,0.058
672.00,0.058
673.00,0.058
674.00,0.058
675.00,0.058
676.00,0.058
677.00,0.058
678.00,0.058
679.00,0.058
680.00,0.058
681.00,0.058
682.00,0.058
683.00,0.058
684.00,0.058
685.00,0.058
686.00,0.058
687.00,0.058
688.00,0.058
689.00,0.058
690.00,0.058
691.00,0.058
692.00,0.058
693.00,0.058
694.00,0.058
695.00,0.058
696.00,0.058
697.00,0.058
698.00,0.058
699.00,0.058
700.00,0.058
701.00,0.058
702.00,0.058
703.00,0.058
704.00,0.058
705.00,0.058
706.00,0.058
707.00,0.058
708.00,0.058
709.00,0.058
710.00,0.058
711.00,0.058
712.00,0.058
713.00,0.059
714.00,0.059
715.00,0.059
716.00,0.059
717.00,0.059
718.00,0.059
719.00,0.059
720.00,0.060
721.00,0.060
722.00,0.060
723.00,0.060
724.00,0.060
725.00,0.061
726.00,0.061
727.00,0.061
728.00,0.062
729.00,0.062
730.00,0.062
731.00,0.063
732.00,0.063
733.00,0.064
734.00,0.064
735.00,0.065
736.00,0.065
737.00,0.065
738.00,0.065
739.00,0.065
740.00,0.065
741.00,0.065
742.00,0.065
743.00,0.065
744.00,0.065
745.00,0.065
746.00,0.065
747.00,0.065
748.00,0.065
749.00,0.065
750.00,0.065
751.00,0.065
752.00,0.065
753.00,0.065
754.00,0.065
755.00,0.065
756.00,0.065
757.00,0.065
758.00,0.065
759.00,0.065
760.00,0.065
761.00,0.065
762.00,0.065
763.00,0.065
764.00,0.065
765.00,0.065
766.00,0.064
767.00,0.064
768.00,0.064
769.00,0.064
770.00,0.064
771.00,0.064
772.00,0.064
773.00,0.064
774.00,0.064
775.00,0.064
776.00,0.064
777.00,0.064
778.00,0.064
779.00,0.063
780.00,0.063
781.00,0.063
782.00,0.063
783.00,0.063
784.00,0.063
785.00,0.063
786.00,0.063
787.00,0.062
788.00,0.062
789.00,0.062
790.00,0.062
791.00,0.062
792.00,0.062
793.00,0.062
794.00,0.061
795.00,0.061
796.00,0.061
797.00,0.061
798.00,0.061
799.00,0.061
800.00,0.061
801.00,0.061
802.00,0.061
803.00,0.061
804.00,0.061
805.00,0.060
806.00,0.060
807.00,0.060
808.00,0.060
809.00,0.060
810.00,0.060
811.00,0.060
812.00,0.060
813.00,0.060
814.00,0.060
815.00,0.060
816.00,0.060
817.00,0.060
818.00,0.060
819.00,0.061
820.00,0.061
821.00,0.061
822.00,0.061
823.00,0.061
824.00,0.062
825.00,0.062
826.00,0.062
827.00,0.063
828.00,0.063
829.00,0.064
830.00,0.065
831.00,0.065
832.00,0.065
833.00,0.066
834.00,0.066
835.00,0.066
836.00,0.066
837.00,0.067
838.00,0.067
839.00,0.067
840.00,0.067
841.00,0.067
842.00,0.067
843.00,0.067
844.00,0.067
845.00,0.067
846.00,0.068
847.00,0.068
848.00,0.068
849.00,0.068
850.00,0.068
851.00,0.068
852.00,0.068
853.00,0.068
854.00,0.068
855.00,0.068
856.00,0.068
857.00,0.069
858.00,0.069
859.00,0.069
860.00,0.069
861.00,0.069
862.00,0.069
863.00,0.069
864.00,0.069
865.00,0.069
866.00,0.069
867.00,0.069
868.00,0.070
869.00,0.070
870.00,0.070
871.00,0.070
872.00,0.070
873.00,0.070
874.00,0.070
875.00,0.071
876.00,0.071
877.00,0.071
878.00,0.071
879.00,0.071
880.00,0.072
881.00,0.072
882.00,0.072
883.00,0.072
884.00,0.073
885.00,0.073
886.00,0.073
887.00,0.073
888.00,0.073
889.00,0.074
890.00,0.074
891.00,0.074
892.00,0.074
893.00,0.075
894.00,0.075
895.00,0.075
896.00,0.075
897.00,0.075
898.00,0.076
899.00,0.076
900.00,0.076
