"ArsenalSaisonNoireFut_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.694
191.00,2.889
192.00,3.150
193.00,3.190
194.00,3.133
195.00,3.207
196.00,3.032
197.00,3.106
198.00,3.027
199.00,2.897
200.00,2.835
201.00,2.705
202.00,2.593
203.00,2.504
204.00,2.393
205.00,2.290
206.00,2.188
207.00,2.086
208.00,2.003
209.00,1.915
210.00,1.837
211.00,1.761
212.00,1.692
213.00,1.624
214.00,1.559
215.00,1.497
216.00,1.437
217.00,1.378
218.00,1.321
219.00,1.266
220.00,1.214
221.00,1.166
222.00,1.120
223.00,1.076
224.00,1.032
225.00,0.990
226.00,0.950
227.00,0.908
228.00,0.868
229.00,0.831
230.00,0.796
231.00,0.762
232.00,0.732
233.00,0.704
234.00,0.679
235.00,0.656
236.00,0.636
237.00,0.618
238.00,0.603
239.00,0.589
240.00,0.578
241.00,0.567
242.00,0.560
243.00,0.555
244.00,0.551
245.00,0.547
246.00,0.545
247.00,0.544
248.00,0.543
249.00,0.543
250.00,0.543
251.00,0.544
252.00,0.545
253.00,0.546
254.00,0.547
255.00,0.548
256.00,0.549
257.00,0.551
258.00,0.551
259.00,0.551
260.00,0.551
261.00,0.552
262.00,0.552
263.00,0.552
264.00,0.552
265.00,0.552
266.00,0.551
267.00,0.551
268.00,0.550
269.00,0.549
270.00,0.546
271.00,0.544
272.00,0.541
273.00,0.538
274.00,0.534
275.00,0.531
276.00,0.526
277.00,0.521
278.00,0.516
279.00,0.510
280.00,0.504
281.00,0.497
282.00,0.490
283.00,0.482
284.00,0.474
285.00,0.465
286.00,0.456
287.00,0.447
288.00,0.437
289.00,0.428
290.00,0.418
291.00,0.407
292.00,0.398
293.00,0.389
294.00,0.381
295.00,0.373
296.00,0.365
297.00,0.359
298.00,0.352
299.00,0.345
300.00,0.339
301.00,0.333
302.00,0.328
303.00,0.322
304.00,0.317
305.00,0.312
306.00,0.308
307.00,0.303
308.00,0.299
309.00,0.295
310.00,0.291
311.00,0.287
312.00,0.284
313.00,0.280
314.00,0.277
315.00,0.274
316.00,0.271
317.00,0.268
318.00,0.265
319.00,0.262
320.00,0.258
321.00,0.255
322.00,0.252
323.00,0.249
324.00,0.246
325.00,0.243
326.00,0.239
327.00,0.237
328.00,0.233
329.00,0.230
330.00,0.226
331.00,0.223
332.00,0.220
333.00,0.216
334.00,0.213
335.00,0.210
336.00,0.207
337.00,0.204
338.00,0.201
339.00,0.198
340.00,0.195
341.00,0.190
342.00,0.187
343.00,0.184
344.00,0.181
345.00,0.178
346.00,0.175
347.00,0.172
348.00,0.169
349.00,0.167
350.00,0.164
351.00,0.162
352.00,0.159
353.00,0.156
354.00,0.154
355.00,0.152
356.00,0.149
357.00,0.147
358.00,0.144
359.00,0.142
360.00,0.140
361.00,0.138
362.00,0.136
363.00,0.134
364.00,0.132
365.00,0.130
366.00,0.128
367.00,0.126
368.00,0.125
369.00,0.123
370.00,0.121
371.00,0.119
372.00,0.118
373.00,0.116
374.00,0.114
375.00,0.113
376.00,0.111
377.00,0.109
378.00,0.108
379.00,0.106
380.00,0.105
381.00,0.103
382.00,0.102
383.00,0.100
384.00,0.099
385.00,0.098
386.00,0.096
387.00,0.095
388.00,0.094
389.00,0.093
390.00,0.091
391.00,0.090
392.00,0.089
393.00,0.088
394.00,0.087
395.00,0.086
396.00,0.084
397.00,0.083
398.00,0.082
399.00,0.081
400.00,0.080
401.00,0.079
402.00,0.078
403.00,0.077
404.00,0.076
405.00,0.075
406.00,0.074
407.00,0.074
408.00,0.073
409.00,0.072
410.00,0.071
411.00,0.070
412.00,0.069
413.00,0.068
414.00,0.067
415.00,0.067
416.00,0.066
417.00,0.065
418.00,0.064
419.00,0.064
420.00,0.063
421.00,0.062
422.00,0.061
423.00,0.061
424.00,0.060
425.00,0.059
426.00,0.059
427.00,0.058
428.00,0.057
429.00,0.056
430.00,0.056
431.00,0.055
432.00,0.054
433.00,0.054
434.00,0.053
435.00,0.052
436.00,0.052
437.00,0.051
438.00,0.050
439.00,0.050
440.00,0.049
441.00,0.049
442.00,0.048
443.00,0.047
444.00,0.047
445.00,0.046
446.00,0.046
447.00,0.045
448.00,0.045
449.00,0.044
450.00,0.044
451.00,0.043
452.00,0.043
453.00,0.042
454.00,0.042
455.00,0.041
456.00,0.040
457.00,0.040
458.00,0.039
459.00,0.039
460.00,0.039
461.00,0.038
462.00,0.038
463.00,0.037
464.00,0.037
465.00,0.036
466.00,0.036
467.00,0.035
468.00,0.035
469.00,0.034
470.00,0.034
471.00,0.034
472.00,0.033
473.00,0.033
474.00,0.032
475.00,0.032
476.00,0.031
477.00,0.031
478.00,0.031
479.00,0.030
480.00,0.030
481.00,0.029
482.00,0.029
483.00,0.028
484.00,0.028
485.00,0.028
486.00,0.027
487.00,0.027
488.00,0.027
489.00,0.026
490.00,0.026
491.00,0.026
492.00,0.025
493.00,0.025
494.00,0.024
495.00,0.024
496.00,0.024
497.00,0.023
498.00,0.023
499.00,0.023
500.00,0.022
501.00,0.022
502.00,0.022
503.00,0.022
504.00,0.021
505.00,0.021
506.00,0.021
507.00,0.020
508.00,0.020
509.00,0.020
510.00,0.019
511.00,0.019
512.00,0.019
513.00,0.019
514.00,0.018
515.00,0.018
516.00,0.018
517.00,0.018
518.00,0.017
519.00,0.017
520.00,0.017
521.00,0.017
522.00,0.016
523.00,0.016
524.00,0.016
525.00,0.015
526.00,0.015
527.00,0.015
528.00,0.015
529.00,0.014
530.00,0.014
531.00,0.014
532.00,0.014
533.00,0.013
534.00,0.013
535.00,0.013
536.00,0.013
537.00,0.013
538.00,0.012
539.00,0.012
540.00,0.012
541.00,0.012
542.00,0.011
543.00,0.011
544.00,0.011
545.00,0.011
546.00,0.011
547.00,0.010
548.00,0.010
549.00,0.010
550.00,0.010
551.00,0.010
552.00,0.009
