"AvantGardePerduDansMalle50x - RawData"
"Wavelength nm.","Abs."
190.00,2.763
191.00,3.025
192.00,3.161
193.00,3.079
194.00,3.175
195.00,3.320
196.00,3.320
197.00,3.434
198.00,3.361
199.00,3.537
200.00,3.554
201.00,3.663
202.00,3.521
203.00,3.547
204.00,3.488
205.00,3.542
206.00,3.465
207.00,3.619
208.00,3.511
209.00,3.573
210.00,3.565
211.00,3.497
212.00,3.427
213.00,3.435
214.00,3.309
215.00,3.193
216.00,3.073
217.00,2.966
218.00,2.835
219.00,2.713
220.00,2.576
221.00,2.448
222.00,2.329
223.00,2.207
224.00,2.085
225.00,1.969
226.00,1.851
227.00,1.731
228.00,1.614
229.00,1.509
230.00,1.410
231.00,1.319
232.00,1.238
233.00,1.167
234.00,1.106
235.00,1.055
236.00,1.013
237.00,0.978
238.00,0.949
239.00,0.927
240.00,0.909
241.00,0.896
242.00,0.888
243.00,0.883
244.00,0.880
245.00,0.880
246.00,0.881
247.00,0.884
248.00,0.888
249.00,0.892
250.00,0.897
251.00,0.904
252.00,0.910
253.00,0.917
254.00,0.923
255.00,0.930
256.00,0.936
257.00,0.941
258.00,0.945
259.00,0.946
260.00,0.948
261.00,0.950
262.00,0.951
263.00,0.953
264.00,0.955
265.00,0.955
266.00,0.955
267.00,0.955
268.00,0.954
269.00,0.950
270.00,0.945
271.00,0.938
272.00,0.930
273.00,0.920
274.00,0.909
275.00,0.897
276.00,0.883
277.00,0.869
278.00,0.852
279.00,0.834
280.00,0.817
281.00,0.798
282.00,0.777
283.00,0.753
284.00,0.729
285.00,0.702
286.00,0.677
287.00,0.654
288.00,0.629
289.00,0.605
290.00,0.578
291.00,0.552
292.00,0.529
293.00,0.509
294.00,0.492
295.00,0.477
296.00,0.463
297.00,0.451
298.00,0.440
299.00,0.430
300.00,0.421
301.00,0.413
302.00,0.406
303.00,0.400
304.00,0.395
305.00,0.389
306.00,0.384
307.00,0.380
308.00,0.375
309.00,0.372
310.00,0.368
311.00,0.365
312.00,0.362
313.00,0.359
314.00,0.355
315.00,0.353
316.00,0.350
317.00,0.347
318.00,0.344
319.00,0.341
320.00,0.337
321.00,0.334
322.00,0.330
323.00,0.326
324.00,0.322
325.00,0.318
326.00,0.313
327.00,0.309
328.00,0.304
329.00,0.299
330.00,0.294
331.00,0.289
332.00,0.284
333.00,0.279
334.00,0.273
335.00,0.267
336.00,0.263
337.00,0.257
338.00,0.252
339.00,0.247
340.00,0.241
341.00,0.234
342.00,0.229
343.00,0.223
344.00,0.218
345.00,0.213
346.00,0.209
347.00,0.204
348.00,0.199
349.00,0.194
350.00,0.190
351.00,0.186
352.00,0.181
353.00,0.177
354.00,0.174
355.00,0.170
356.00,0.167
357.00,0.163
358.00,0.160
359.00,0.157
360.00,0.153
361.00,0.151
362.00,0.148
363.00,0.146
364.00,0.143
365.00,0.141
366.00,0.138
367.00,0.136
368.00,0.134
369.00,0.132
370.00,0.130
371.00,0.128
372.00,0.126
373.00,0.124
374.00,0.123
375.00,0.121
376.00,0.119
377.00,0.118
378.00,0.116
