"BDMBlancheCan355_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.538
191.00,3.454
192.00,3.384
193.00,3.385
194.00,3.704
195.00,3.544
196.00,3.463
197.00,3.884
198.00,3.643
199.00,3.824
200.00,3.715
201.00,3.760
202.00,3.883
203.00,3.674
204.00,3.814
205.00,3.935
206.00,3.644
207.00,3.582
208.00,3.425
209.00,3.242
210.00,3.174
211.00,3.097
212.00,2.958
213.00,2.812
214.00,2.686
215.00,2.571
216.00,2.445
217.00,2.336
218.00,2.228
219.00,2.111
220.00,2.005
221.00,1.907
222.00,1.813
223.00,1.722
224.00,1.629
225.00,1.543
226.00,1.458
227.00,1.368
228.00,1.280
229.00,1.197
230.00,1.119
231.00,1.048
232.00,0.985
233.00,0.928
234.00,0.879
235.00,0.837
236.00,0.801
237.00,0.770
238.00,0.745
239.00,0.726
240.00,0.712
241.00,0.700
242.00,0.693
243.00,0.688
244.00,0.686
245.00,0.685
246.00,0.685
247.00,0.687
248.00,0.690
249.00,0.693
250.00,0.696
251.00,0.700
252.00,0.705
253.00,0.709
254.00,0.714
255.00,0.718
256.00,0.722
257.00,0.726
258.00,0.728
259.00,0.729
260.00,0.730
261.00,0.731
262.00,0.732
263.00,0.733
264.00,0.734
265.00,0.734
266.00,0.734
267.00,0.733
268.00,0.731
269.00,0.727
270.00,0.723
271.00,0.718
272.00,0.712
273.00,0.705
274.00,0.697
275.00,0.688
276.00,0.678
277.00,0.668
278.00,0.656
279.00,0.643
280.00,0.630
281.00,0.617
282.00,0.602
283.00,0.587
284.00,0.571
285.00,0.553
286.00,0.536
287.00,0.520
288.00,0.503
289.00,0.486
290.00,0.468
291.00,0.451
292.00,0.435
293.00,0.420
294.00,0.408
295.00,0.396
296.00,0.386
297.00,0.377
298.00,0.368
299.00,0.359
300.00,0.352
301.00,0.345
302.00,0.339
303.00,0.334
304.00,0.329
305.00,0.324
306.00,0.320
307.00,0.316
308.00,0.313
309.00,0.310
310.00,0.307
311.00,0.304
312.00,0.302
313.00,0.299
314.00,0.297
315.00,0.295
316.00,0.293
317.00,0.291
318.00,0.288
319.00,0.286
320.00,0.283
321.00,0.281
322.00,0.278
323.00,0.275
324.00,0.272
325.00,0.269
326.00,0.265
327.00,0.262
328.00,0.258
329.00,0.255
330.00,0.251
331.00,0.247
332.00,0.242
333.00,0.238
334.00,0.234
335.00,0.229
336.00,0.225
337.00,0.221
338.00,0.217
339.00,0.213
340.00,0.208
341.00,0.202
342.00,0.198
343.00,0.193
344.00,0.189
345.00,0.185
346.00,0.181
347.00,0.177
348.00,0.173
349.00,0.169
350.00,0.165
351.00,0.161
352.00,0.157
353.00,0.154
354.00,0.150
355.00,0.147
356.00,0.144
357.00,0.140
358.00,0.137
359.00,0.134
360.00,0.131
361.00,0.129
362.00,0.126
363.00,0.123
364.00,0.121
365.00,0.119
366.00,0.117
367.00,0.114
368.00,0.112
369.00,0.110
370.00,0.108
371.00,0.107
372.00,0.105
373.00,0.103
374.00,0.101
375.00,0.100
376.00,0.098
377.00,0.097
378.00,0.095
379.00,0.094
380.00,0.092
381.00,0.091
382.00,0.090
383.00,0.089
384.00,0.088
385.00,0.087
386.00,0.086
387.00,0.085
388.00,0.084
389.00,0.083
390.00,0.083
391.00,0.082
392.00,0.081
393.00,0.080
394.00,0.079
395.00,0.079
396.00,0.078
397.00,0.078
398.00,0.077
399.00,0.077
400.00,0.076
401.00,0.076
402.00,0.075
403.00,0.074
404.00,0.074
405.00,0.074
406.00,0.073
407.00,0.073
408.00,0.072
409.00,0.072
410.00,0.071
411.00,0.071
412.00,0.071
413.00,0.070
414.00,0.070
415.00,0.070
416.00,0.069
417.00,0.069
418.00,0.069
419.00,0.069
420.00,0.068
421.00,0.068
422.00,0.068
423.00,0.068
424.00,0.067
425.00,0.067
426.00,0.067
427.00,0.066
428.00,0.066
429.00,0.066
430.00,0.066
431.00,0.066
432.00,0.065
433.00,0.065
434.00,0.065
435.00,0.065
436.00,0.064
437.00,0.064
438.00,0.064
439.00,0.064
440.00,0.064
441.00,0.063
442.00,0.063
443.00,0.063
444.00,0.063
445.00,0.063
446.00,0.062
447.00,0.062
448.00,0.062
449.00,0.062
450.00,0.062
451.00,0.062
452.00,0.061
453.00,0.061
454.00,0.061
455.00,0.061
456.00,0.061
457.00,0.060
458.00,0.060
459.00,0.060
460.00,0.060
461.00,0.060
462.00,0.060
463.00,0.060
464.00,0.059
465.00,0.059
466.00,0.059
467.00,0.059
468.00,0.059
469.00,0.059
470.00,0.059
471.00,0.059
472.00,0.058
473.00,0.058
474.00,0.058
475.00,0.058
476.00,0.058
477.00,0.058
478.00,0.058
479.00,0.057
480.00,0.057
481.00,0.057
482.00,0.057
483.00,0.057
484.00,0.057
485.00,0.056
486.00,0.056
487.00,0.056
488.00,0.056
489.00,0.056
490.00,0.056
491.00,0.056
492.00,0.056
493.00,0.055
494.00,0.055
495.00,0.055
496.00,0.055
497.00,0.055
498.00,0.055
499.00,0.055
500.00,0.055
