"BDMDruide50x - RawData"
"Wavelength nm.","Abs."
190.00,3.979
191.00,3.604
192.00,3.685
193.00,3.810
194.00,3.883
195.00,3.885
196.00,3.954
197.00,3.904
198.00,3.961
199.00,4.000
200.00,3.953
201.00,4.000
202.00,3.964
203.00,3.969
204.00,3.965
205.00,3.850
206.00,3.933
207.00,3.897
208.00,3.924
209.00,3.855
210.00,3.750
211.00,3.781
212.00,3.385
213.00,3.244
214.00,3.124
215.00,2.996
216.00,2.869
217.00,2.747
218.00,2.628
219.00,2.504
220.00,2.382
221.00,2.278
222.00,2.181
223.00,2.077
224.00,1.973
225.00,1.872
226.00,1.770
227.00,1.662
228.00,1.559
229.00,1.464
230.00,1.373
231.00,1.291
232.00,1.217
233.00,1.151
234.00,1.095
235.00,1.046
236.00,1.003
237.00,0.968
238.00,0.938
239.00,0.914
240.00,0.895
241.00,0.880
242.00,0.869
243.00,0.862
244.00,0.857
245.00,0.854
246.00,0.852
247.00,0.853
248.00,0.853
249.00,0.855
250.00,0.858
251.00,0.861
252.00,0.865
253.00,0.869
254.00,0.874
255.00,0.879
256.00,0.884
257.00,0.888
258.00,0.892
259.00,0.894
260.00,0.896
261.00,0.898
262.00,0.902
263.00,0.904
264.00,0.907
265.00,0.909
266.00,0.910
267.00,0.910
268.00,0.910
269.00,0.908
270.00,0.905
271.00,0.900
272.00,0.895
273.00,0.888
274.00,0.880
275.00,0.870
276.00,0.860
277.00,0.848
278.00,0.834
279.00,0.820
280.00,0.806
281.00,0.791
282.00,0.774
283.00,0.755
284.00,0.735
285.00,0.714
286.00,0.695
287.00,0.677
288.00,0.658
289.00,0.638
290.00,0.618
291.00,0.597
292.00,0.579
293.00,0.562
294.00,0.548
295.00,0.535
296.00,0.524
297.00,0.514
298.00,0.504
299.00,0.494
300.00,0.486
301.00,0.478
302.00,0.470
303.00,0.463
304.00,0.456
305.00,0.450
306.00,0.444
307.00,0.437
308.00,0.431
309.00,0.426
310.00,0.420
311.00,0.415
312.00,0.409
313.00,0.404
314.00,0.399
315.00,0.395
316.00,0.390
317.00,0.386
318.00,0.381
319.00,0.376
320.00,0.371
321.00,0.366
322.00,0.362
323.00,0.357
324.00,0.352
325.00,0.347
326.00,0.342
327.00,0.337
328.00,0.331
329.00,0.326
330.00,0.321
331.00,0.315
332.00,0.310
333.00,0.305
334.00,0.299
335.00,0.294
336.00,0.289
337.00,0.284
338.00,0.278
339.00,0.273
340.00,0.268
341.00,0.262
342.00,0.256
343.00,0.251
344.00,0.247
345.00,0.242
346.00,0.237
347.00,0.232
348.00,0.228
349.00,0.223
350.00,0.218
351.00,0.214
352.00,0.210
353.00,0.206
354.00,0.202
355.00,0.198
356.00,0.194
357.00,0.190
358.00,0.186
359.00,0.183
360.00,0.179
361.00,0.176
362.00,0.173
363.00,0.170
364.00,0.167
365.00,0.164
366.00,0.162
367.00,0.159
368.00,0.156
369.00,0.154
370.00,0.151
371.00,0.149
372.00,0.147
373.00,0.145
374.00,0.142
375.00,0.140
376.00,0.138
377.00,0.136
378.00,0.134
379.00,0.132
380.00,0.130
381.00,0.128
382.00,0.127
383.00,0.125
384.00,0.123
385.00,0.122
386.00,0.120
387.00,0.119
388.00,0.118
389.00,0.116
390.00,0.115
391.00,0.114
392.00,0.112
393.00,0.111
394.00,0.110
395.00,0.109
396.00,0.108
397.00,0.107
398.00,0.106
399.00,0.105
400.00,0.104
401.00,0.103
402.00,0.102
403.00,0.101
404.00,0.100
405.00,0.099
406.00,0.099
407.00,0.098
408.00,0.097
409.00,0.096
410.00,0.095
411.00,0.095
412.00,0.094
413.00,0.093
414.00,0.093
415.00,0.092
416.00,0.091
417.00,0.091
418.00,0.090
419.00,0.090
420.00,0.089
421.00,0.088
422.00,0.088
423.00,0.087
424.00,0.087
425.00,0.086
426.00,0.085
427.00,0.085
428.00,0.084
429.00,0.084
430.00,0.083
431.00,0.083
432.00,0.082
433.00,0.082
434.00,0.081
435.00,0.081
436.00,0.080
437.00,0.080
438.00,0.080
439.00,0.079
440.00,0.079
441.00,0.078
442.00,0.078
443.00,0.077
444.00,0.077
445.00,0.077
446.00,0.076
447.00,0.076
448.00,0.075
449.00,0.075
450.00,0.075
451.00,0.074
452.00,0.074
453.00,0.074
454.00,0.073
455.00,0.073
456.00,0.073
457.00,0.072
458.00,0.072
459.00,0.071
460.00,0.071
461.00,0.071
462.00,0.070
463.00,0.070
464.00,0.070
465.00,0.069
466.00,0.069
467.00,0.069
468.00,0.069
469.00,0.068
470.00,0.068
471.00,0.068
472.00,0.067
473.00,0.067
474.00,0.067
475.00,0.067
476.00,0.066
477.00,0.066
478.00,0.066
479.00,0.065
480.00,0.065
481.00,0.065
482.00,0.064
483.00,0.064
484.00,0.064
485.00,0.064
486.00,0.063
487.00,0.063
488.00,0.063
489.00,0.063
490.00,0.063
491.00,0.062
492.00,0.062
493.00,0.062
494.00,0.062
495.00,0.061
496.00,0.061
497.00,0.061
498.00,0.061
499.00,0.060
500.00,0.060
501.00,0.060
502.00,0.060
503.00,0.060
504.00,0.059
505.00,0.059
506.00,0.059
507.00,0.059
508.00,0.059
509.00,0.058
510.00,0.058
511.00,0.058
512.00,0.058
513.00,0.058
514.00,0.057
515.00,0.057
516.00,0.057
517.00,0.057
518.00,0.057
519.00,0.057
520.00,0.056
521.00,0.056
522.00,0.056
523.00,0.056
524.00,0.056
525.00,0.055
526.00,0.055
527.00,0.055
528.00,0.055
529.00,0.055
530.00,0.055
531.00,0.054
532.00,0.054
533.00,0.054
534.00,0.054
535.00,0.054
536.00,0.054
537.00,0.054
538.00,0.053
539.00,0.053
540.00,0.053
541.00,0.053
542.00,0.053
543.00,0.053
544.00,0.053
545.00,0.052
546.00,0.052
547.00,0.052
548.00,0.052
549.00,0.052
550.00,0.052
551.00,0.052
552.00,0.052
553.00,0.051
554.00,0.051
555.00,0.051
556.00,0.051
557.00,0.051
558.00,0.051
559.00,0.051
560.00,0.051
561.00,0.051
562.00,0.050
563.00,0.050
564.00,0.050
565.00,0.050
566.00,0.050
567.00,0.050
568.00,0.050
569.00,0.050
570.00,0.050
571.00,0.049
572.00,0.049
573.00,0.049
574.00,0.049
575.00,0.049
576.00,0.049
577.00,0.049
578.00,0.049
579.00,0.049
580.00,0.049
581.00,0.049
582.00,0.049
583.00,0.048
584.00,0.048
585.00,0.048
586.00,0.048
587.00,0.048
588.00,0.048
589.00,0.048
590.00,0.048
591.00,0.048
592.00,0.048
593.00,0.048
594.00,0.048
595.00,0.048
596.00,0.048
597.00,0.048
598.00,0.048
599.00,0.048
600.00,0.048
601.00,0.048
602.00,0.048
603.00,0.047
604.00,0.047
605.00,0.047
606.00,0.047
607.00,0.047
608.00,0.047
609.00,0.047
610.00,0.047
611.00,0.047
612.00,0.047
613.00,0.047
614.00,0.047
615.00,0.047
616.00,0.047
617.00,0.047
618.00,0.046
619.00,0.046
620.00,0.046
621.00,0.046
622.00,0.046
623.00,0.046
624.00,0.046
625.00,0.046
626.00,0.046
627.00,0.046
628.00,0.046
629.00,0.046
630.00,0.046
631.00,0.046
632.00,0.046
633.00,0.046
634.00,0.046
635.00,0.046
636.00,0.045
637.00,0.045
638.00,0.045
639.00,0.045
640.00,0.045
641.00,0.045
642.00,0.045
643.00,0.045
644.00,0.045
645.00,0.045
646.00,0.045
647.00,0.045
648.00,0.045
649.00,0.045
650.00,0.045
651.00,0.045
652.00,0.045
653.00,0.045
654.00,0.045
655.00,0.045
656.00,0.045
657.00,0.045
658.00,0.045
