"BDMTrinqueur_100x - RawData"
"Wavelength nm.","Abs."
190.00,2.849
191.00,3.292
192.00,3.121
193.00,3.082
194.00,3.163
195.00,3.195
196.00,3.339
197.00,3.420
198.00,3.646
199.00,3.595
200.00,3.489
201.00,3.506
202.00,3.634
203.00,3.587
204.00,3.552
205.00,3.710
206.00,3.754
207.00,3.590
208.00,3.720
209.00,3.639
210.00,3.607
211.00,3.575
212.00,3.499
213.00,3.404
214.00,3.346
215.00,3.287
216.00,3.167
217.00,3.087
218.00,2.988
219.00,2.876
220.00,2.755
221.00,2.653
222.00,2.561
223.00,2.459
224.00,2.361
225.00,2.259
226.00,2.161
227.00,2.065
228.00,1.971
229.00,1.882
230.00,1.795
231.00,1.712
232.00,1.638
233.00,1.568
234.00,1.505
235.00,1.450
236.00,1.403
237.00,1.362
238.00,1.325
239.00,1.294
240.00,1.268
241.00,1.247
242.00,1.234
243.00,1.225
244.00,1.219
245.00,1.218
246.00,1.218
247.00,1.221
248.00,1.224
249.00,1.229
250.00,1.234
251.00,1.241
252.00,1.248
253.00,1.255
254.00,1.261
255.00,1.269
256.00,1.275
257.00,1.280
258.00,1.284
259.00,1.287
260.00,1.288
261.00,1.290
262.00,1.290
263.00,1.291
264.00,1.291
265.00,1.291
266.00,1.289
267.00,1.285
268.00,1.282
269.00,1.277
270.00,1.271
271.00,1.264
272.00,1.256
273.00,1.246
274.00,1.237
275.00,1.227
276.00,1.215
277.00,1.203
278.00,1.189
279.00,1.174
280.00,1.161
281.00,1.147
282.00,1.132
283.00,1.115
284.00,1.099
285.00,1.082
286.00,1.064
287.00,1.047
288.00,1.031
289.00,1.014
290.00,0.996
291.00,0.977
292.00,0.960
293.00,0.944
294.00,0.930
295.00,0.915
296.00,0.903
297.00,0.890
298.00,0.877
299.00,0.865
300.00,0.852
301.00,0.840
302.00,0.828
303.00,0.816
304.00,0.804
305.00,0.792
306.00,0.780
307.00,0.767
308.00,0.755
309.00,0.743
310.00,0.730
311.00,0.718
312.00,0.706
313.00,0.694
314.00,0.683
315.00,0.672
316.00,0.661
317.00,0.650
318.00,0.639
319.00,0.628
320.00,0.617
321.00,0.606
322.00,0.595
323.00,0.584
324.00,0.574
325.00,0.564
326.00,0.554
327.00,0.544
328.00,0.534
329.00,0.524
330.00,0.514
331.00,0.505
332.00,0.496
333.00,0.487
334.00,0.478
335.00,0.469
336.00,0.461
337.00,0.454
338.00,0.445
339.00,0.437
340.00,0.429
341.00,0.421
342.00,0.412
343.00,0.405
344.00,0.398
345.00,0.392
346.00,0.385
347.00,0.378
348.00,0.372
349.00,0.365
350.00,0.359
351.00,0.353
352.00,0.348
353.00,0.342
354.00,0.336
355.00,0.331
356.00,0.325
357.00,0.320
358.00,0.314
359.00,0.309
360.00,0.305
361.00,0.300
362.00,0.295
363.00,0.290
364.00,0.286
365.00,0.282
366.00,0.278
367.00,0.274
368.00,0.270
369.00,0.266
370.00,0.262
371.00,0.258
372.00,0.254
373.00,0.250
374.00,0.247
375.00,0.243
376.00,0.240
377.00,0.236
378.00,0.233
379.00,0.230
380.00,0.226
381.00,0.223
382.00,0.220
383.00,0.217
384.00,0.214
385.00,0.211
386.00,0.208
387.00,0.205
388.00,0.203
389.00,0.200
390.00,0.198
391.00,0.195
392.00,0.192
393.00,0.190
394.00,0.188
395.00,0.185
396.00,0.183
397.00,0.181
398.00,0.179
399.00,0.177
400.00,0.175
401.00,0.173
402.00,0.171
403.00,0.169
404.00,0.167
405.00,0.165
406.00,0.164
407.00,0.162
408.00,0.160
409.00,0.158
410.00,0.157
411.00,0.155
412.00,0.154
413.00,0.152
414.00,0.150
415.00,0.149
416.00,0.147
417.00,0.146
418.00,0.145
419.00,0.144
420.00,0.142
