"BGHanami50x - RawData"
"Wavelength nm.","Abs."
190.00,2.725
191.00,2.689
192.00,2.745
193.00,2.799
194.00,2.958
195.00,3.058
196.00,3.102
197.00,3.151
198.00,3.141
199.00,3.152
200.00,3.132
201.00,3.231
202.00,3.176
203.00,3.218
204.00,3.141
205.00,3.055
206.00,3.042
207.00,2.974
208.00,2.912
209.00,2.808
210.00,2.702
211.00,2.599
212.00,2.490
213.00,2.379
214.00,2.277
215.00,2.178
216.00,2.079
217.00,1.986
218.00,1.892
219.00,1.800
220.00,1.712
221.00,1.629
222.00,1.550
223.00,1.474
224.00,1.396
225.00,1.323
226.00,1.251
227.00,1.177
228.00,1.105
229.00,1.038
230.00,0.975
231.00,0.918
232.00,0.867
233.00,0.823
234.00,0.785
235.00,0.752
236.00,0.724
237.00,0.700
238.00,0.680
239.00,0.663
240.00,0.650
241.00,0.639
242.00,0.632
243.00,0.626
244.00,0.623
245.00,0.621
246.00,0.621
247.00,0.621
248.00,0.623
249.00,0.625
250.00,0.628
251.00,0.632
252.00,0.635
253.00,0.639
254.00,0.643
255.00,0.647
256.00,0.650
257.00,0.653
258.00,0.654
259.00,0.655
260.00,0.655
261.00,0.656
262.00,0.656
263.00,0.657
264.00,0.657
265.00,0.657
266.00,0.656
267.00,0.655
268.00,0.653
269.00,0.649
270.00,0.645
271.00,0.639
272.00,0.634
273.00,0.627
274.00,0.619
275.00,0.610
276.00,0.601
277.00,0.591
278.00,0.580
279.00,0.569
280.00,0.557
281.00,0.545
282.00,0.532
283.00,0.518
284.00,0.503
285.00,0.487
286.00,0.472
287.00,0.457
288.00,0.442
289.00,0.427
290.00,0.411
291.00,0.395
292.00,0.381
293.00,0.368
294.00,0.358
295.00,0.348
296.00,0.339
297.00,0.331
298.00,0.324
299.00,0.317
300.00,0.310
301.00,0.304
302.00,0.299
303.00,0.295
304.00,0.291
305.00,0.287
306.00,0.284
307.00,0.280
308.00,0.277
309.00,0.275
310.00,0.273
311.00,0.270
312.00,0.268
313.00,0.266
314.00,0.264
315.00,0.262
316.00,0.260
317.00,0.258
318.00,0.256
319.00,0.254
320.00,0.252
321.00,0.250
322.00,0.247
323.00,0.245
324.00,0.242
325.00,0.239
326.00,0.236
327.00,0.233
328.00,0.229
329.00,0.225
330.00,0.222
331.00,0.218
332.00,0.213
333.00,0.209
334.00,0.205
335.00,0.201
336.00,0.197
337.00,0.193
338.00,0.188
339.00,0.184
340.00,0.180
