"BVMBlonde_25x - RawData"
"Wavelength nm.","Abs."
190.00,2.993
191.00,3.280
192.00,3.358
193.00,3.147
194.00,3.421
195.00,3.523
196.00,3.438
197.00,3.484
198.00,3.613
199.00,3.435
200.00,3.723
201.00,3.686
202.00,3.605
203.00,3.579
204.00,3.780
205.00,3.742
206.00,3.923
207.00,3.903
208.00,3.848
209.00,3.790
210.00,3.824
211.00,3.857
212.00,3.766
213.00,3.731
214.00,3.621
215.00,3.535
216.00,3.484
217.00,3.287
218.00,3.177
219.00,3.017
220.00,2.905
221.00,2.794
222.00,2.642
223.00,2.517
224.00,2.371
225.00,2.243
226.00,2.113
227.00,1.982
228.00,1.854
229.00,1.737
230.00,1.628
231.00,1.530
232.00,1.443
233.00,1.366
234.00,1.300
235.00,1.243
236.00,1.195
237.00,1.155
238.00,1.124
239.00,1.099
240.00,1.080
241.00,1.066
242.00,1.058
243.00,1.054
244.00,1.053
245.00,1.054
246.00,1.058
247.00,1.063
248.00,1.069
249.00,1.076
250.00,1.084
251.00,1.093
252.00,1.102
253.00,1.111
254.00,1.120
255.00,1.128
256.00,1.138
257.00,1.143
258.00,1.147
259.00,1.149
260.00,1.150
261.00,1.151
262.00,1.153
263.00,1.155
264.00,1.156
265.00,1.157
266.00,1.156
267.00,1.154
268.00,1.150
269.00,1.144
270.00,1.136
271.00,1.127
272.00,1.117
273.00,1.104
274.00,1.090
275.00,1.074
276.00,1.056
277.00,1.036
278.00,1.014
279.00,0.991
280.00,0.967
281.00,0.943
282.00,0.917
283.00,0.889
284.00,0.860
285.00,0.830
286.00,0.801
287.00,0.773
288.00,0.743
289.00,0.714
290.00,0.683
291.00,0.652
292.00,0.626
293.00,0.601
294.00,0.581
295.00,0.562
296.00,0.546
297.00,0.532
298.00,0.518
299.00,0.505
300.00,0.495
301.00,0.484
302.00,0.476
303.00,0.468
304.00,0.461
305.00,0.455
306.00,0.449
307.00,0.443
308.00,0.438
309.00,0.434
310.00,0.429
311.00,0.425
312.00,0.421
313.00,0.417
314.00,0.414
315.00,0.409
316.00,0.406
317.00,0.402
318.00,0.398
319.00,0.393
320.00,0.389
321.00,0.384
322.00,0.379
323.00,0.373
324.00,0.367
325.00,0.361
326.00,0.355
327.00,0.349
328.00,0.341
329.00,0.334
330.00,0.327
331.00,0.319
332.00,0.312
333.00,0.304
334.00,0.296
335.00,0.289
336.00,0.281
337.00,0.274
338.00,0.265
339.00,0.258
340.00,0.251
341.00,0.242
342.00,0.234
343.00,0.226
344.00,0.219
345.00,0.212
346.00,0.206
347.00,0.200
348.00,0.193
349.00,0.187
350.00,0.181
351.00,0.175
352.00,0.169
353.00,0.164
354.00,0.159
355.00,0.154
356.00,0.150
357.00,0.145
358.00,0.141
