"BarberieCuivreeAuThe_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.835
191.00,3.317
192.00,3.397
193.00,3.522
194.00,3.578
195.00,3.459
196.00,3.869
197.00,3.634
198.00,3.594
199.00,3.415
200.00,3.680
201.00,3.782
202.00,3.606
203.00,3.706
204.00,3.553
205.00,3.577
206.00,3.560
207.00,3.310
208.00,3.364
209.00,3.182
210.00,3.056
211.00,2.970
212.00,2.842
213.00,2.720
214.00,2.613
215.00,2.498
216.00,2.381
217.00,2.264
218.00,2.155
219.00,2.047
220.00,1.948
221.00,1.851
222.00,1.763
223.00,1.679
224.00,1.593
225.00,1.512
226.00,1.434
227.00,1.355
228.00,1.278
229.00,1.210
230.00,1.145
231.00,1.085
232.00,1.031
233.00,0.982
234.00,0.940
235.00,0.904
236.00,0.872
237.00,0.846
238.00,0.824
239.00,0.806
240.00,0.792
241.00,0.780
242.00,0.773
243.00,0.768
244.00,0.766
245.00,0.766
246.00,0.767
247.00,0.770
248.00,0.774
249.00,0.779
250.00,0.784
251.00,0.791
252.00,0.798
253.00,0.805
254.00,0.812
255.00,0.820
256.00,0.828
257.00,0.834
258.00,0.838
259.00,0.842
260.00,0.845
261.00,0.849
262.00,0.852
263.00,0.855
264.00,0.857
265.00,0.858
266.00,0.859
267.00,0.858
268.00,0.856
269.00,0.853
270.00,0.848
271.00,0.842
272.00,0.834
273.00,0.826
274.00,0.816
275.00,0.804
276.00,0.792
277.00,0.779
278.00,0.764
279.00,0.748
280.00,0.732
281.00,0.715
282.00,0.697
283.00,0.678
284.00,0.659
285.00,0.638
286.00,0.619
287.00,0.600
288.00,0.580
289.00,0.560
290.00,0.539
291.00,0.519
292.00,0.501
293.00,0.485
294.00,0.471
295.00,0.458
296.00,0.447
297.00,0.438
298.00,0.428
299.00,0.420
300.00,0.411
301.00,0.404
302.00,0.397
303.00,0.391
304.00,0.385
305.00,0.379
306.00,0.374
307.00,0.368
308.00,0.363
309.00,0.358
310.00,0.353
311.00,0.348
312.00,0.344
313.00,0.339
314.00,0.335
315.00,0.331
316.00,0.326
317.00,0.322
318.00,0.318
319.00,0.313
320.00,0.309
321.00,0.304
322.00,0.300
323.00,0.295
324.00,0.290
325.00,0.285
326.00,0.281
327.00,0.276
328.00,0.271
329.00,0.266
330.00,0.260
331.00,0.255
332.00,0.250
333.00,0.245
334.00,0.240
335.00,0.235
336.00,0.231
337.00,0.226
338.00,0.221
339.00,0.216
340.00,0.212
341.00,0.206
342.00,0.201
343.00,0.197
344.00,0.193
345.00,0.188
346.00,0.184
347.00,0.180
348.00,0.176
349.00,0.172
350.00,0.169
351.00,0.165
352.00,0.161
353.00,0.158
354.00,0.155
355.00,0.152
356.00,0.148
357.00,0.145
358.00,0.142
359.00,0.139
360.00,0.136
361.00,0.133
362.00,0.131
363.00,0.129
364.00,0.126
365.00,0.124
366.00,0.122
367.00,0.120
368.00,0.118
369.00,0.115
370.00,0.113
371.00,0.111
372.00,0.110
373.00,0.108
374.00,0.106
375.00,0.104
376.00,0.103
377.00,0.101
378.00,0.099
379.00,0.098
380.00,0.096
381.00,0.095
382.00,0.093
383.00,0.092
384.00,0.091
385.00,0.090
386.00,0.089
387.00,0.087
388.00,0.086
389.00,0.085
390.00,0.084
391.00,0.083
392.00,0.082
393.00,0.081
394.00,0.080
395.00,0.079
396.00,0.079
397.00,0.078
398.00,0.077
399.00,0.076
400.00,0.076
401.00,0.075
402.00,0.074
403.00,0.074
404.00,0.073
405.00,0.072
406.00,0.072
407.00,0.071
408.00,0.071
409.00,0.070
410.00,0.070
411.00,0.069
412.00,0.069
413.00,0.068
414.00,0.068
415.00,0.067
416.00,0.067
417.00,0.067
418.00,0.066
419.00,0.066
420.00,0.065
421.00,0.065
422.00,0.065
423.00,0.064
424.00,0.064
425.00,0.064
426.00,0.063
427.00,0.063
428.00,0.063
429.00,0.062
430.00,0.062
431.00,0.062
432.00,0.061
433.00,0.061
434.00,0.061
435.00,0.061
436.00,0.060
437.00,0.060
438.00,0.060
439.00,0.060
440.00,0.059
441.00,0.059
442.00,0.059
443.00,0.058
444.00,0.058
445.00,0.058
446.00,0.058
447.00,0.058
448.00,0.057
449.00,0.057
450.00,0.057
451.00,0.057
452.00,0.057
453.00,0.056
454.00,0.056
455.00,0.056
456.00,0.056
457.00,0.056
458.00,0.055
459.00,0.055
460.00,0.055
461.00,0.055
462.00,0.055
463.00,0.054
464.00,0.054
465.00,0.054
466.00,0.054
467.00,0.054
468.00,0.054
469.00,0.053
470.00,0.053
471.00,0.053
472.00,0.053
473.00,0.053
474.00,0.053
475.00,0.052
476.00,0.052
477.00,0.052
478.00,0.052
479.00,0.052
480.00,0.052
