"BdMCelebrante50x - RawData"
"Wavelength nm.","Abs."
190.00,3.146
191.00,3.572
192.00,3.527
193.00,3.595
194.00,3.782
195.00,3.543
196.00,3.792
197.00,3.880
198.00,3.796
199.00,3.786
200.00,3.947
201.00,3.788
202.00,3.800
203.00,3.784
204.00,3.822
205.00,3.891
206.00,3.818
207.00,3.782
208.00,3.865
209.00,3.869
210.00,3.738
211.00,3.562
212.00,3.484
213.00,3.352
214.00,3.182
215.00,3.070
216.00,2.918
217.00,2.771
218.00,2.648
219.00,2.514
220.00,2.373
221.00,2.259
222.00,2.147
223.00,2.032
224.00,1.914
225.00,1.801
226.00,1.689
227.00,1.578
228.00,1.471
229.00,1.373
230.00,1.282
231.00,1.201
232.00,1.128
233.00,1.064
234.00,1.010
235.00,0.965
236.00,0.929
237.00,0.899
238.00,0.877
239.00,0.860
240.00,0.848
241.00,0.840
242.00,0.837
243.00,0.836
244.00,0.838
245.00,0.842
246.00,0.848
247.00,0.855
248.00,0.862
249.00,0.870
250.00,0.878
251.00,0.887
252.00,0.895
253.00,0.904
254.00,0.912
255.00,0.919
256.00,0.927
257.00,0.932
258.00,0.935
259.00,0.937
260.00,0.937
261.00,0.938
262.00,0.937
263.00,0.937
264.00,0.937
265.00,0.934
266.00,0.932
267.00,0.927
268.00,0.921
269.00,0.913
270.00,0.903
271.00,0.892
272.00,0.880
273.00,0.866
274.00,0.850
275.00,0.833
276.00,0.815
277.00,0.796
278.00,0.775
279.00,0.753
280.00,0.731
281.00,0.709
282.00,0.686
283.00,0.661
284.00,0.637
285.00,0.611
286.00,0.587
287.00,0.563
288.00,0.540
289.00,0.518
290.00,0.494
291.00,0.472
292.00,0.452
293.00,0.433
294.00,0.419
295.00,0.405
296.00,0.393
297.00,0.383
298.00,0.374
299.00,0.365
300.00,0.358
301.00,0.351
302.00,0.345
303.00,0.340
304.00,0.335
305.00,0.331
306.00,0.326
307.00,0.322
308.00,0.318
309.00,0.315
310.00,0.311
311.00,0.308
312.00,0.305
313.00,0.302
314.00,0.299
315.00,0.296
316.00,0.293
317.00,0.290
318.00,0.287
319.00,0.284
320.00,0.281
321.00,0.277
322.00,0.273
323.00,0.270
324.00,0.266
325.00,0.262
326.00,0.258
327.00,0.254
328.00,0.249
329.00,0.244
330.00,0.239
331.00,0.235
332.00,0.230
333.00,0.225
334.00,0.220
335.00,0.215
336.00,0.210
337.00,0.205
338.00,0.200
339.00,0.195
340.00,0.191
341.00,0.184
342.00,0.179
343.00,0.175
344.00,0.170
345.00,0.166
346.00,0.162
347.00,0.158
348.00,0.153
349.00,0.149
350.00,0.146
351.00,0.142
352.00,0.138
353.00,0.135
354.00,0.132
355.00,0.129
356.00,0.125
357.00,0.123
358.00,0.120
359.00,0.117
360.00,0.114
361.00,0.112
362.00,0.110
363.00,0.108
364.00,0.106
365.00,0.103
366.00,0.101
367.00,0.099
368.00,0.098
369.00,0.096
370.00,0.094
371.00,0.093
372.00,0.092
373.00,0.090
374.00,0.088
375.00,0.087
376.00,0.086
377.00,0.084
378.00,0.083
379.00,0.082
380.00,0.081
381.00,0.080
382.00,0.079
383.00,0.078
384.00,0.077
385.00,0.076
386.00,0.075
387.00,0.074
388.00,0.073
389.00,0.073
390.00,0.072
391.00,0.071
392.00,0.071
393.00,0.070
394.00,0.069
395.00,0.069
396.00,0.068
397.00,0.068
398.00,0.067
399.00,0.067
400.00,0.066
401.00,0.066
402.00,0.065
403.00,0.065
404.00,0.064
