"BelleGueuleRousse_50x - RawData"
"Wavelength nm.","Abs."
190.00,3.742
191.00,3.008
192.00,2.906
193.00,3.250
194.00,3.372
195.00,3.288
196.00,3.656
197.00,3.480
198.00,3.567
199.00,3.440
200.00,3.558
201.00,3.637
202.00,3.645
203.00,3.550
204.00,3.795
205.00,3.845
206.00,3.549
207.00,3.504
208.00,3.533
209.00,3.290
210.00,3.272
211.00,3.180
212.00,3.139
213.00,2.997
214.00,2.878
215.00,2.768
216.00,2.663
217.00,2.558
218.00,2.445
219.00,2.335
220.00,2.224
221.00,2.127
222.00,2.034
223.00,1.936
224.00,1.837
225.00,1.747
226.00,1.654
227.00,1.558
228.00,1.465
229.00,1.380
230.00,1.298
231.00,1.224
232.00,1.157
233.00,1.096
234.00,1.044
235.00,0.998
236.00,0.958
237.00,0.924
238.00,0.895
239.00,0.870
240.00,0.850
241.00,0.833
242.00,0.820
243.00,0.811
244.00,0.804
245.00,0.799
246.00,0.795
247.00,0.794
248.00,0.793
249.00,0.793
250.00,0.795
251.00,0.798
252.00,0.801
253.00,0.805
254.00,0.809
255.00,0.813
256.00,0.818
257.00,0.823
258.00,0.827
259.00,0.830
260.00,0.833
261.00,0.837
262.00,0.841
263.00,0.845
264.00,0.850
265.00,0.853
266.00,0.856
267.00,0.859
268.00,0.861
269.00,0.861
270.00,0.861
271.00,0.860
272.00,0.858
273.00,0.855
274.00,0.850
275.00,0.843
276.00,0.836
277.00,0.827
278.00,0.816
279.00,0.805
280.00,0.792
281.00,0.779
282.00,0.765
283.00,0.748
284.00,0.731
285.00,0.712
286.00,0.694
287.00,0.676
288.00,0.659
289.00,0.641
290.00,0.621
291.00,0.602
292.00,0.584
293.00,0.568
294.00,0.554
295.00,0.541
296.00,0.530
297.00,0.520
298.00,0.509
299.00,0.499
300.00,0.490
301.00,0.481
302.00,0.473
303.00,0.466
304.00,0.458
305.00,0.451
306.00,0.444
307.00,0.438
308.00,0.431
309.00,0.425
310.00,0.419
311.00,0.413
312.00,0.407
313.00,0.401
