"BeneluxCongo50x - RawData"
"Wavelength nm.","Abs."
190.00,3.223
191.00,3.513
192.00,3.599
193.00,3.361
194.00,3.720
195.00,3.794
196.00,3.685
197.00,3.866
198.00,3.839
199.00,3.669
200.00,3.673
201.00,3.749
202.00,3.938
203.00,3.777
204.00,3.833
205.00,3.834
206.00,3.860
207.00,3.747
208.00,3.803
209.00,3.921
210.00,3.828
211.00,3.907
212.00,3.668
213.00,3.467
214.00,3.311
215.00,3.261
216.00,3.169
217.00,2.972
218.00,2.875
219.00,2.738
220.00,2.620
221.00,2.491
222.00,2.378
223.00,2.265
224.00,2.146
225.00,2.033
226.00,1.919
227.00,1.805
228.00,1.696
229.00,1.595
230.00,1.499
231.00,1.415
232.00,1.339
233.00,1.271
234.00,1.213
235.00,1.164
236.00,1.121
237.00,1.086
238.00,1.056
239.00,1.032
240.00,1.012
241.00,0.998
242.00,0.988
243.00,0.981
244.00,0.977
245.00,0.975
246.00,0.975
247.00,0.977
248.00,0.980
249.00,0.985
250.00,0.991
251.00,0.998
252.00,1.005
253.00,1.012
254.00,1.019
255.00,1.027
256.00,1.033
257.00,1.040
258.00,1.044
259.00,1.046
260.00,1.049
261.00,1.051
262.00,1.053
263.00,1.054
264.00,1.054
265.00,1.054
266.00,1.052
267.00,1.051
268.00,1.048
269.00,1.043
270.00,1.035
271.00,1.024
272.00,1.013
273.00,1.000
274.00,0.985
275.00,0.970
276.00,0.954
277.00,0.937
278.00,0.918
279.00,0.899
280.00,0.879
281.00,0.858
282.00,0.836
283.00,0.812
284.00,0.788
285.00,0.762
286.00,0.738
287.00,0.715
288.00,0.691
289.00,0.666
290.00,0.640
291.00,0.615
292.00,0.594
293.00,0.574
294.00,0.558
295.00,0.544
296.00,0.531
297.00,0.521
298.00,0.511
299.00,0.501
300.00,0.493
301.00,0.485
302.00,0.479
303.00,0.473
304.00,0.467
305.00,0.462
306.00,0.456
307.00,0.451
308.00,0.446
309.00,0.442
310.00,0.438
311.00,0.433
312.00,0.429
313.00,0.425
314.00,0.421
315.00,0.417
316.00,0.412
317.00,0.408
318.00,0.404
319.00,0.399
320.00,0.395
321.00,0.390
322.00,0.385
323.00,0.379
324.00,0.374
325.00,0.368
326.00,0.362
327.00,0.356
328.00,0.350
329.00,0.344
330.00,0.337
331.00,0.330
332.00,0.324
333.00,0.317
334.00,0.310
335.00,0.303
336.00,0.297
337.00,0.290
338.00,0.283
339.00,0.277
340.00,0.270
341.00,0.262
342.00,0.255
343.00,0.249
344.00,0.243
345.00,0.237
346.00,0.231
347.00,0.226
348.00,0.220
349.00,0.215
350.00,0.210
351.00,0.205
352.00,0.200
353.00,0.195
354.00,0.190
355.00,0.186
356.00,0.182
357.00,0.177
358.00,0.174
359.00,0.170
360.00,0.166
361.00,0.163
362.00,0.159
363.00,0.156
364.00,0.153
365.00,0.150
366.00,0.147
367.00,0.144
368.00,0.142
369.00,0.139
370.00,0.136
371.00,0.134
372.00,0.132
373.00,0.129
374.00,0.127
375.00,0.125
376.00,0.122
377.00,0.120
378.00,0.118
379.00,0.116
380.00,0.114
381.00,0.112
382.00,0.110
383.00,0.108
384.00,0.106
385.00,0.104
386.00,0.103
387.00,0.101
388.00,0.099
389.00,0.098
390.00,0.096
391.00,0.095
392.00,0.093
393.00,0.092
394.00,0.091
