"Luda100x - RawData"
"Wavelength nm.","Abs."
190.00,3.205
191.00,3.530
192.00,3.461
193.00,3.414
194.00,3.331
195.00,3.363
196.00,3.640
197.00,3.637
198.00,3.623
199.00,3.635
200.00,3.470
201.00,3.466
202.00,3.303
203.00,3.217
204.00,3.112
205.00,2.930
206.00,2.811
207.00,2.689
208.00,2.589
209.00,2.469
210.00,2.368
211.00,2.257
212.00,2.161
213.00,2.068
214.00,1.979
215.00,1.891
216.00,1.806
217.00,1.726
218.00,1.646
219.00,1.567
220.00,1.492
221.00,1.423
222.00,1.357
223.00,1.292
224.00,1.227
225.00,1.163
226.00,1.100
227.00,1.037
228.00,0.977
229.00,0.922
230.00,0.869
231.00,0.823
232.00,0.780
233.00,0.742
234.00,0.709
235.00,0.680
236.00,0.656
237.00,0.635
238.00,0.617
239.00,0.603
240.00,0.591
241.00,0.582
242.00,0.575
243.00,0.570
244.00,0.567
245.00,0.565
246.00,0.565
247.00,0.565
248.00,0.566
249.00,0.568
250.00,0.571
251.00,0.574
252.00,0.577
253.00,0.581
254.00,0.584
255.00,0.588
256.00,0.592
257.00,0.595
258.00,0.596
259.00,0.598
260.00,0.599
261.00,0.599
262.00,0.601
263.00,0.602
264.00,0.603
265.00,0.603
266.00,0.603
267.00,0.602
268.00,0.601
269.00,0.599
270.00,0.596
271.00,0.592
272.00,0.588
273.00,0.583
274.00,0.578
275.00,0.571
276.00,0.564
277.00,0.557
278.00,0.548
279.00,0.538
280.00,0.529
281.00,0.519
282.00,0.509
283.00,0.496
284.00,0.484
285.00,0.471
286.00,0.459
287.00,0.447
288.00,0.434
289.00,0.421
290.00,0.408
291.00,0.394
292.00,0.382
293.00,0.372
294.00,0.363
295.00,0.355
296.00,0.349
297.00,0.342
298.00,0.336
299.00,0.331
300.00,0.326
301.00,0.321
302.00,0.316
303.00,0.312
304.00,0.308
305.00,0.305
306.00,0.301
307.00,0.296
308.00,0.293
309.00,0.289
310.00,0.286
311.00,0.282
312.00,0.279
313.00,0.276
314.00,0.272
315.00,0.269
316.00,0.266
317.00,0.262
318.00,0.259
319.00,0.255
320.00,0.252
321.00,0.248
322.00,0.244
323.00,0.240
324.00,0.236
325.00,0.232
326.00,0.228
327.00,0.224
328.00,0.220
329.00,0.215
330.00,0.211
331.00,0.207
332.00,0.203
333.00,0.198
334.00,0.194
335.00,0.190
336.00,0.185
337.00,0.181
338.00,0.177
339.00,0.174
340.00,0.170
341.00,0.164
342.00,0.161
343.00,0.157
344.00,0.154
345.00,0.150
346.00,0.146
