"BeneluxMarginale100x - RawData"
"Wavelength nm.","Abs."
190.00,3.544
191.00,3.437
192.00,3.292
193.00,3.500
194.00,3.724
195.00,3.825
196.00,3.639
197.00,3.368
198.00,3.588
199.00,3.578
200.00,3.573
201.00,3.290
202.00,3.225
203.00,3.138
204.00,3.048
205.00,2.950
206.00,2.804
207.00,2.728
208.00,2.623
209.00,2.524
210.00,2.440
211.00,2.363
212.00,2.281
213.00,2.204
214.00,2.134
215.00,2.071
216.00,2.006
217.00,1.942
218.00,1.885
219.00,1.825
220.00,1.768
221.00,1.716
222.00,1.665
223.00,1.614
224.00,1.563
225.00,1.514
226.00,1.465
227.00,1.415
228.00,1.365
229.00,1.319
230.00,1.274
231.00,1.231
232.00,1.190
233.00,1.152
234.00,1.116
235.00,1.083
236.00,1.054
237.00,1.026
238.00,1.000
239.00,0.976
240.00,0.955
241.00,0.936
242.00,0.922
243.00,0.911
244.00,0.902
245.00,0.894
246.00,0.888
247.00,0.883
248.00,0.879
249.00,0.877
250.00,0.875
251.00,0.875
252.00,0.875
253.00,0.875
254.00,0.876
255.00,0.877
256.00,0.879
257.00,0.880
258.00,0.882
259.00,0.883
260.00,0.884
261.00,0.885
262.00,0.887
263.00,0.889
264.00,0.890
265.00,0.892
266.00,0.892
267.00,0.893
268.00,0.894
269.00,0.894
270.00,0.893
271.00,0.892
272.00,0.891
273.00,0.888
274.00,0.886
275.00,0.882
276.00,0.878
277.00,0.873
278.00,0.867
279.00,0.861
280.00,0.853
281.00,0.846
282.00,0.837
283.00,0.828
284.00,0.817
285.00,0.806
286.00,0.795
287.00,0.783
288.00,0.770
289.00,0.757
290.00,0.743
291.00,0.728
292.00,0.715
293.00,0.702
294.00,0.689
295.00,0.677
296.00,0.665
297.00,0.654
298.00,0.642
299.00,0.631
300.00,0.620
301.00,0.610
302.00,0.600
303.00,0.591
304.00,0.582
305.00,0.573
306.00,0.564
307.00,0.555
308.00,0.548
309.00,0.539
310.00,0.532
311.00,0.525
312.00,0.518
313.00,0.512
314.00,0.505
315.00,0.499
316.00,0.493
317.00,0.487
318.00,0.482
319.00,0.477
320.00,0.472
321.00,0.466
322.00,0.460
323.00,0.455
324.00,0.450
325.00,0.445
326.00,0.440
327.00,0.435
328.00,0.429
329.00,0.425
330.00,0.419
331.00,0.415
332.00,0.410
333.00,0.405
334.00,0.400
335.00,0.395
336.00,0.391
337.00,0.387
338.00,0.382
339.00,0.378
340.00,0.373
341.00,0.367
342.00,0.364
343.00,0.359
344.00,0.355
345.00,0.351
346.00,0.348
347.00,0.344
