"SessionIPABenelux50x - RawData"
"Wavelength nm.","Abs."
190.00,3.172
191.00,3.213
192.00,3.706
193.00,3.683
194.00,3.837
195.00,3.515
196.00,3.812
197.00,3.658
198.00,3.600
199.00,3.879
200.00,3.880
201.00,3.612
202.00,3.696
203.00,3.683
204.00,3.492
205.00,3.370
206.00,3.295
207.00,3.238
208.00,3.058
209.00,2.937
210.00,2.814
211.00,2.686
212.00,2.565
213.00,2.464
214.00,2.347
215.00,2.242
216.00,2.140
217.00,2.041
218.00,1.947
219.00,1.856
220.00,1.769
221.00,1.689
222.00,1.611
223.00,1.535
224.00,1.458
225.00,1.386
226.00,1.314
227.00,1.241
228.00,1.170
229.00,1.107
230.00,1.046
231.00,0.991
232.00,0.941
233.00,0.895
234.00,0.856
235.00,0.821
236.00,0.791
237.00,0.764
238.00,0.742
239.00,0.722
240.00,0.705
241.00,0.691
242.00,0.680
243.00,0.672
244.00,0.665
245.00,0.660
246.00,0.656
247.00,0.654
248.00,0.652
249.00,0.652
250.00,0.653
251.00,0.655
252.00,0.657
253.00,0.660
254.00,0.663
255.00,0.667
256.00,0.671
257.00,0.673
258.00,0.675
259.00,0.676
260.00,0.677
261.00,0.678
262.00,0.679
263.00,0.680
264.00,0.680
265.00,0.680
266.00,0.680
267.00,0.680
268.00,0.679
269.00,0.676
270.00,0.672
271.00,0.667
272.00,0.660
273.00,0.653
274.00,0.644
275.00,0.635
276.00,0.625
277.00,0.615
278.00,0.603
279.00,0.592
280.00,0.579
281.00,0.566
282.00,0.551
283.00,0.535
284.00,0.518
285.00,0.499
286.00,0.482
287.00,0.465
288.00,0.447
289.00,0.430
290.00,0.411
291.00,0.393
292.00,0.377
293.00,0.363
294.00,0.352
295.00,0.341
296.00,0.332
297.00,0.325
298.00,0.317
299.00,0.311
300.00,0.305
301.00,0.300
302.00,0.296
303.00,0.292
304.00,0.288
305.00,0.284
306.00,0.281
307.00,0.278
308.00,0.275
309.00,0.273
310.00,0.271
311.00,0.268
312.00,0.266
313.00,0.264
314.00,0.262
315.00,0.260
316.00,0.258
317.00,0.256
318.00,0.254
319.00,0.252
320.00,0.249
321.00,0.247
322.00,0.245
323.00,0.242
324.00,0.240
325.00,0.237
326.00,0.233
327.00,0.230
328.00,0.227
329.00,0.224
330.00,0.220
331.00,0.216
332.00,0.213
333.00,0.209
334.00,0.205
335.00,0.201
336.00,0.197
337.00,0.193
338.00,0.190
339.00,0.186
340.00,0.182
341.00,0.177
342.00,0.173
343.00,0.169
344.00,0.166
345.00,0.162
346.00,0.158
347.00,0.155
348.00,0.152
349.00,0.148
350.00,0.145
351.00,0.142
352.00,0.139
353.00,0.136
354.00,0.133
355.00,0.130
356.00,0.127
357.00,0.125
358.00,0.122
359.00,0.120
360.00,0.117
361.00,0.115
362.00,0.113
363.00,0.111
364.00,0.110
365.00,0.107
366.00,0.106
367.00,0.104
368.00,0.102
369.00,0.100
370.00,0.098
371.00,0.097
372.00,0.095
373.00,0.094
374.00,0.092
375.00,0.091
376.00,0.089
377.00,0.087
378.00,0.086
379.00,0.085
380.00,0.083
381.00,0.082
382.00,0.081
383.00,0.079
384.00,0.078
385.00,0.077
386.00,0.076
387.00,0.074
388.00,0.073
389.00,0.072
390.00,0.071
391.00,0.070
392.00,0.069
393.00,0.068
394.00,0.067
395.00,0.066
396.00,0.065
397.00,0.065
398.00,0.064
399.00,0.063
400.00,0.062
401.00,0.062
402.00,0.061
403.00,0.060
404.00,0.060
405.00,0.059
406.00,0.058
407.00,0.058
408.00,0.057
409.00,0.057
410.00,0.056
411.00,0.056
412.00,0.055
413.00,0.055
414.00,0.055
415.00,0.054
416.00,0.054
417.00,0.054
418.00,0.053
419.00,0.053
420.00,0.053
421.00,0.052
422.00,0.052
423.00,0.052
424.00,0.052
425.00,0.051
426.00,0.051
427.00,0.051
428.00,0.051
429.00,0.051
430.00,0.050
431.00,0.050
432.00,0.050
433.00,0.050
434.00,0.050
435.00,0.049
436.00,0.049
437.00,0.049
438.00,0.049
439.00,0.049
440.00,0.049
441.00,0.048
442.00,0.048
443.00,0.048
444.00,0.048
445.00,0.048
446.00,0.048
447.00,0.048
448.00,0.048
449.00,0.047
450.00,0.047
451.00,0.047
452.00,0.047
453.00,0.047
454.00,0.047
455.00,0.047
456.00,0.047
457.00,0.046
458.00,0.046
459.00,0.046
460.00,0.046
461.00,0.046
462.00,0.046
463.00,0.046
464.00,0.046
465.00,0.046
466.00,0.046
467.00,0.045
468.00,0.045
469.00,0.045
470.00,0.045
471.00,0.045
472.00,0.045
473.00,0.045
474.00,0.045
475.00,0.045
476.00,0.045
477.00,0.045
478.00,0.044
479.00,0.044
480.00,0.044
481.00,0.044
482.00,0.044
483.00,0.044
484.00,0.044
485.00,0.044
486.00,0.044
487.00,0.044
488.00,0.043
489.00,0.043
490.00,0.043
491.00,0.043
492.00,0.043
493.00,0.043
494.00,0.043
495.00,0.043
496.00,0.043
497.00,0.043
498.00,0.043
499.00,0.043
500.00,0.043
501.00,0.042
502.00,0.042
503.00,0.042
504.00,0.042
505.00,0.042
506.00,0.042
507.00,0.042
508.00,0.042
509.00,0.042
510.00,0.042
511.00,0.042
512.00,0.042
513.00,0.042
514.00,0.042
515.00,0.042
516.00,0.042
517.00,0.041
518.00,0.041
519.00,0.041
520.00,0.041
521.00,0.041
522.00,0.041
523.00,0.041
524.00,0.041
525.00,0.041
526.00,0.041
527.00,0.041
528.00,0.041
529.00,0.041
530.00,0.041
531.00,0.041
532.00,0.041
533.00,0.041
534.00,0.040
535.00,0.040
536.00,0.041
537.00,0.040
538.00,0.040
539.00,0.040
540.00,0.040
541.00,0.040
542.00,0.040
543.00,0.040
544.00,0.040
545.00,0.040
546.00,0.040
547.00,0.040
548.00,0.040
549.00,0.040
550.00,0.040
551.00,0.040
552.00,0.040
553.00,0.040
554.00,0.040
555.00,0.040
556.00,0.040
557.00,0.039
558.00,0.039
559.00,0.039
560.00,0.039
561.00,0.039
562.00,0.039
563.00,0.039
564.00,0.039
565.00,0.039
566.00,0.039
567.00,0.039
568.00,0.039
569.00,0.039
570.00,0.039
571.00,0.039
572.00,0.039
573.00,0.039
574.00,0.039
575.00,0.039
576.00,0.039
577.00,0.039
578.00,0.039
579.00,0.039
580.00,0.039
581.00,0.039
582.00,0.039
583.00,0.039
584.00,0.039
585.00,0.039
586.00,0.039
587.00,0.039
588.00,0.039
589.00,0.039
590.00,0.039
591.00,0.039
592.00,0.039
593.00,0.038
594.00,0.039
595.00,0.039
596.00,0.039
597.00,0.039
598.00,0.039
599.00,0.039
600.00,0.039
601.00,0.039
602.00,0.039
603.00,0.039
604.00,0.039
605.00,0.039
606.00,0.039
607.00,0.039
608.00,0.039
609.00,0.039
610.00,0.039
611.00,0.039
612.00,0.038
613.00,0.038
614.00,0.038
615.00,0.038
616.00,0.038
617.00,0.038
618.00,0.038
619.00,0.038
620.00,0.038
621.00,0.038
622.00,0.038
623.00,0.038
624.00,0.038
625.00,0.038
626.00,0.038
627.00,0.038
628.00,0.038
629.00,0.038
630.00,0.038
631.00,0.038
632.00,0.038
633.00,0.038
634.00,0.038
635.00,0.038
636.00,0.038
637.00,0.038
638.00,0.038
639.00,0.038
640.00,0.038
641.00,0.038
642.00,0.038
643.00,0.038
644.00,0.038
645.00,0.038
646.00,0.038
647.00,0.038
648.00,0.038
649.00,0.038
650.00,0.038
651.00,0.038
652.00,0.038
653.00,0.038
654.00,0.038
655.00,0.038
656.00,0.038
657.00,0.038
658.00,0.038
659.00,0.038
