"BilboquetBrownAle100x - RawData"
"Wavelength nm.","Abs."
190.00,3.965
191.00,3.874
192.00,3.498
193.00,3.866
194.00,3.853
195.00,3.887
196.00,3.812
197.00,3.664
198.00,3.698
199.00,3.499
200.00,3.327
201.00,3.197
202.00,3.114
203.00,2.982
204.00,2.820
205.00,2.656
206.00,2.536
207.00,2.411
208.00,2.309
209.00,2.208
210.00,2.118
211.00,2.031
212.00,1.950
213.00,1.871
214.00,1.793
215.00,1.724
216.00,1.654
217.00,1.587
218.00,1.522
219.00,1.457
220.00,1.396
221.00,1.339
222.00,1.285
223.00,1.231
224.00,1.177
225.00,1.124
226.00,1.072
227.00,1.020
228.00,0.970
229.00,0.925
230.00,0.881
231.00,0.842
232.00,0.806
233.00,0.773
234.00,0.743
235.00,0.717
236.00,0.694
237.00,0.675
238.00,0.657
239.00,0.643
240.00,0.631
241.00,0.620
242.00,0.613
243.00,0.608
244.00,0.605
245.00,0.603
246.00,0.602
247.00,0.603
248.00,0.603
249.00,0.605
250.00,0.606
251.00,0.609
252.00,0.612
253.00,0.614
254.00,0.617
255.00,0.620
256.00,0.623
257.00,0.625
258.00,0.627
259.00,0.628
260.00,0.629
261.00,0.630
262.00,0.631
263.00,0.632
264.00,0.633
265.00,0.634
266.00,0.635
267.00,0.634
268.00,0.634
269.00,0.633
270.00,0.631
271.00,0.628
272.00,0.625
273.00,0.622
274.00,0.617
275.00,0.612
276.00,0.606
277.00,0.598
278.00,0.591
279.00,0.582
280.00,0.573
281.00,0.563
282.00,0.554
283.00,0.543
284.00,0.532
285.00,0.520
286.00,0.508
287.00,0.496
288.00,0.484
289.00,0.472
290.00,0.459
291.00,0.446
292.00,0.434
293.00,0.424
294.00,0.415
295.00,0.406
296.00,0.398
297.00,0.391
298.00,0.384
299.00,0.378
300.00,0.372
301.00,0.366
302.00,0.360
303.00,0.355
304.00,0.350
305.00,0.345
306.00,0.341
307.00,0.336
308.00,0.331
309.00,0.327
310.00,0.322
311.00,0.318
312.00,0.313
313.00,0.310
314.00,0.306
315.00,0.302
316.00,0.298
317.00,0.294
318.00,0.290
319.00,0.287
320.00,0.282
321.00,0.278
322.00,0.274
323.00,0.270
324.00,0.266
325.00,0.262
326.00,0.258
327.00,0.253
328.00,0.249
329.00,0.245
330.00,0.240
331.00,0.236
332.00,0.232
333.00,0.228
334.00,0.223
335.00,0.219
336.00,0.216
337.00,0.212
338.00,0.207
339.00,0.204
340.00,0.201
341.00,0.195
342.00,0.192
343.00,0.188
344.00,0.184
345.00,0.181
346.00,0.178
347.00,0.175
348.00,0.172
349.00,0.169
350.00,0.166
351.00,0.163
352.00,0.160
353.00,0.157
354.00,0.155
355.00,0.152
356.00,0.150
357.00,0.148
358.00,0.145
359.00,0.143
360.00,0.141
361.00,0.138
362.00,0.136
363.00,0.134
364.00,0.133
365.00,0.131
366.00,0.129
367.00,0.127
368.00,0.126
369.00,0.124
370.00,0.122
371.00,0.120
372.00,0.119
373.00,0.117
374.00,0.116
375.00,0.114
376.00,0.113
377.00,0.112
378.00,0.110
379.00,0.109
380.00,0.108
381.00,0.106
382.00,0.105
383.00,0.104
384.00,0.103
385.00,0.101
386.00,0.100
387.00,0.099
388.00,0.098
389.00,0.097
390.00,0.096
391.00,0.095
392.00,0.094
393.00,0.093
394.00,0.092
395.00,0.091
396.00,0.090
397.00,0.089
398.00,0.089
399.00,0.088
400.00,0.087
401.00,0.086
402.00,0.085
403.00,0.085
404.00,0.084
405.00,0.083
406.00,0.083
407.00,0.082
408.00,0.081
409.00,0.081
410.00,0.080
411.00,0.079
412.00,0.079
413.00,0.078
414.00,0.077
415.00,0.077
416.00,0.076
417.00,0.076
418.00,0.075
419.00,0.075
420.00,0.074
421.00,0.074
422.00,0.073
423.00,0.073
424.00,0.072
425.00,0.072
426.00,0.071
427.00,0.071
428.00,0.070
429.00,0.070
430.00,0.070
431.00,0.069
432.00,0.069
433.00,0.068
434.00,0.068
435.00,0.067
436.00,0.067
437.00,0.067
438.00,0.066
439.00,0.066
440.00,0.066
441.00,0.065
442.00,0.065
443.00,0.064
444.00,0.064
445.00,0.064
446.00,0.063
447.00,0.063
448.00,0.063
449.00,0.062
450.00,0.062
451.00,0.062
452.00,0.061
453.00,0.061
454.00,0.061
455.00,0.061
456.00,0.060
457.00,0.060
458.00,0.060
459.00,0.059
460.00,0.059
461.00,0.059
462.00,0.059
463.00,0.058
464.00,0.058
465.00,0.058
466.00,0.057
467.00,0.057
468.00,0.057
469.00,0.057
470.00,0.056
471.00,0.056
472.00,0.056
473.00,0.056
474.00,0.055
475.00,0.055
476.00,0.055
477.00,0.055
478.00,0.054
479.00,0.054
480.00,0.054
481.00,0.054
482.00,0.053
483.00,0.053
484.00,0.053
485.00,0.053
486.00,0.052
487.00,0.052
488.00,0.052
489.00,0.052
490.00,0.052
491.00,0.051
492.00,0.051
493.00,0.051
494.00,0.051
495.00,0.051
496.00,0.051
497.00,0.050
498.00,0.050
499.00,0.050
500.00,0.050
501.00,0.050
502.00,0.049
503.00,0.049
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.048
509.00,0.048
510.00,0.048
511.00,0.048
512.00,0.048
513.00,0.048
514.00,0.048
515.00,0.047
516.00,0.047
517.00,0.047
518.00,0.047
519.00,0.047
520.00,0.047
521.00,0.047
522.00,0.046
523.00,0.046
524.00,0.046
525.00,0.046
526.00,0.046
527.00,0.046
528.00,0.046
529.00,0.045
530.00,0.045
531.00,0.045
532.00,0.045
533.00,0.045
534.00,0.045
535.00,0.045
536.00,0.045
537.00,0.045
538.00,0.044
539.00,0.044
540.00,0.044
541.00,0.044
542.00,0.044
543.00,0.044
544.00,0.044
545.00,0.044
546.00,0.044
547.00,0.043
548.00,0.043
549.00,0.043
550.00,0.043
551.00,0.043
552.00,0.043
553.00,0.043
554.00,0.043
555.00,0.043
556.00,0.043
557.00,0.043
558.00,0.042
559.00,0.042
560.00,0.042
561.00,0.042
562.00,0.042
563.00,0.042
564.00,0.042
565.00,0.042
566.00,0.042
567.00,0.042
568.00,0.042
569.00,0.042
570.00,0.042
571.00,0.042
572.00,0.041
573.00,0.041
574.00,0.041
575.00,0.041
576.00,0.041
577.00,0.041
578.00,0.041
579.00,0.041
580.00,0.041
581.00,0.041
582.00,0.041
583.00,0.041
584.00,0.041
585.00,0.041
586.00,0.041
587.00,0.041
588.00,0.041
589.00,0.041
590.00,0.041
591.00,0.041
592.00,0.041
593.00,0.041
594.00,0.041
595.00,0.040
596.00,0.040
597.00,0.040
598.00,0.041
599.00,0.040
600.00,0.040
601.00,0.041
602.00,0.040
603.00,0.040
604.00,0.040
605.00,0.040
606.00,0.040
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.040
613.00,0.040
614.00,0.040
615.00,0.040
616.00,0.040
617.00,0.040
618.00,0.040
619.00,0.040
620.00,0.040
621.00,0.040
622.00,0.040
623.00,0.040
624.00,0.040
625.00,0.040
626.00,0.040
627.00,0.039
628.00,0.039
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.039
637.00,0.039
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
658.00,0.039
659.00,0.039
660.00,0.039
661.00,0.039
662.00,0.039
663.00,0.039
664.00,0.039
665.00,0.039
666.00,0.039
667.00,0.039
668.00,0.039
669.00,0.039
670.00,0.039
671.00,0.039
672.00,0.039
673.00,0.039
674.00,0.038
675.00,0.038
676.00,0.038
677.00,0.038
678.00,0.038
679.00,0.038
680.00,0.038
681.00,0.038
682.00,0.038
683.00,0.038
684.00,0.038
685.00,0.038
686.00,0.038
687.00,0.038
688.00,0.038
689.00,0.038
690.00,0.038
691.00,0.038
692.00,0.038
693.00,0.038
694.00,0.038
695.00,0.038
696.00,0.039
697.00,0.039
698.00,0.039
699.00,0.039
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.039
709.00,0.039
710.00,0.039
711.00,0.039
712.00,0.039
713.00,0.040
714.00,0.040
715.00,0.040
716.00,0.040
717.00,0.040
718.00,0.040
719.00,0.041
720.00,0.041
721.00,0.041
722.00,0.041
723.00,0.041
724.00,0.042
725.00,0.042
726.00,0.042
727.00,0.043
728.00,0.043
729.00,0.043
730.00,0.044
731.00,0.044
732.00,0.045
733.00,0.045
734.00,0.046
735.00,0.046
736.00,0.046
737.00,0.047
738.00,0.047
739.00,0.047
740.00,0.047
741.00,0.047
742.00,0.047
743.00,0.047
744.00,0.047
745.00,0.047
746.00,0.047
747.00,0.047
748.00,0.047
749.00,0.047
750.00,0.047
751.00,0.047
752.00,0.047
753.00,0.047
754.00,0.047
755.00,0.047
756.00,0.047
757.00,0.047
758.00,0.047
759.00,0.047
760.00,0.047
761.00,0.047
762.00,0.047
763.00,0.047
764.00,0.047
765.00,0.047
766.00,0.047
767.00,0.047
768.00,0.047
769.00,0.047
770.00,0.047
771.00,0.047
772.00,0.046
773.00,0.046
774.00,0.046
775.00,0.046
776.00,0.046
777.00,0.046
778.00,0.046
779.00,0.046
780.00,0.046
781.00,0.046
782.00,0.046
783.00,0.046
784.00,0.045
785.00,0.045
786.00,0.045
787.00,0.045
788.00,0.045
789.00,0.045
790.00,0.045
791.00,0.045
792.00,0.045
793.00,0.044
794.00,0.044
795.00,0.044
796.00,0.044
797.00,0.044
798.00,0.044
799.00,0.044
800.00,0.044
801.00,0.044
802.00,0.044
803.00,0.044
804.00,0.043
805.00,0.043
806.00,0.043
807.00,0.043
808.00,0.043
809.00,0.043
810.00,0.044
811.00,0.043
812.00,0.043
813.00,0.044
814.00,0.044
815.00,0.044
816.00,0.044
817.00,0.044
818.00,0.044
819.00,0.044
820.00,0.044
821.00,0.044
822.00,0.044
823.00,0.045
824.00,0.045
825.00,0.045
826.00,0.046
827.00,0.046
828.00,0.047
829.00,0.047
830.00,0.048
831.00,0.048
832.00,0.049
833.00,0.049
834.00,0.050
835.00,0.050
836.00,0.050
837.00,0.050
838.00,0.050
839.00,0.051
840.00,0.051
841.00,0.051
842.00,0.051
843.00,0.051
844.00,0.051
845.00,0.051
846.00,0.051
847.00,0.051
848.00,0.052
849.00,0.052
850.00,0.052
851.00,0.052
852.00,0.052
853.00,0.052
854.00,0.052
855.00,0.052
856.00,0.052
857.00,0.053
858.00,0.053
859.00,0.053
860.00,0.053
861.00,0.053
862.00,0.053
863.00,0.053
864.00,0.053
865.00,0.053
866.00,0.054
867.00,0.054
868.00,0.054
869.00,0.054
870.00,0.054
871.00,0.054
872.00,0.054
873.00,0.055
874.00,0.055
875.00,0.055
876.00,0.055
877.00,0.055
878.00,0.056
879.00,0.056
880.00,0.056
881.00,0.056
882.00,0.057
883.00,0.057
884.00,0.057
885.00,0.057
886.00,0.058
887.00,0.058
888.00,0.058
889.00,0.058
890.00,0.058
