"BilboquetPeaudOurs50x - RawData"
"Wavelength nm.","Abs."
190.00,2.792
191.00,2.893
192.00,2.908
193.00,3.095
194.00,3.200
195.00,3.117
196.00,3.344
197.00,3.315
198.00,3.445
199.00,3.390
200.00,3.417
201.00,3.502
202.00,3.535
203.00,3.483
204.00,3.346
205.00,3.519
206.00,3.443
207.00,3.405
208.00,3.363
209.00,3.259
210.00,3.124
211.00,3.068
212.00,2.933
213.00,2.845
214.00,2.755
215.00,2.657
216.00,2.554
217.00,2.452
218.00,2.356
219.00,2.258
220.00,2.166
221.00,2.074
222.00,1.982
223.00,1.894
224.00,1.805
225.00,1.719
226.00,1.635
227.00,1.547
228.00,1.464
229.00,1.389
230.00,1.319
231.00,1.255
232.00,1.197
233.00,1.145
234.00,1.100
235.00,1.060
236.00,1.026
237.00,0.996
238.00,0.971
239.00,0.951
240.00,0.933
241.00,0.919
242.00,0.909
243.00,0.902
244.00,0.897
245.00,0.894
246.00,0.893
247.00,0.892
248.00,0.893
249.00,0.895
250.00,0.898
251.00,0.901
252.00,0.905
253.00,0.910
254.00,0.914
255.00,0.919
256.00,0.923
257.00,0.927
258.00,0.929
259.00,0.931
260.00,0.933
261.00,0.935
262.00,0.937
263.00,0.939
264.00,0.941
265.00,0.942
266.00,0.943
267.00,0.942
268.00,0.942
269.00,0.940
270.00,0.936
271.00,0.931
272.00,0.925
273.00,0.917
274.00,0.908
275.00,0.898
276.00,0.886
277.00,0.874
278.00,0.859
279.00,0.844
280.00,0.828
281.00,0.811
282.00,0.793
283.00,0.774
284.00,0.754
285.00,0.734
286.00,0.714
287.00,0.694
288.00,0.674
289.00,0.653
290.00,0.630
291.00,0.608
292.00,0.588
293.00,0.571
294.00,0.556
295.00,0.543
296.00,0.532
297.00,0.522
298.00,0.511
299.00,0.502
300.00,0.494
301.00,0.486
302.00,0.479
303.00,0.473
304.00,0.467
305.00,0.461
306.00,0.455
307.00,0.450
308.00,0.444
309.00,0.439
310.00,0.434
311.00,0.430
312.00,0.425
313.00,0.421
314.00,0.416
315.00,0.412
316.00,0.407
317.00,0.403
318.00,0.398
319.00,0.393
320.00,0.388
321.00,0.383
322.00,0.377
323.00,0.372
324.00,0.367
325.00,0.361
326.00,0.355
327.00,0.350
328.00,0.343
329.00,0.337
330.00,0.331
331.00,0.325
332.00,0.318
333.00,0.312
334.00,0.306
335.00,0.300
336.00,0.294
337.00,0.288
338.00,0.282
339.00,0.276
340.00,0.270
341.00,0.263
342.00,0.257
343.00,0.251
344.00,0.246
345.00,0.240
346.00,0.235
347.00,0.230
348.00,0.225
349.00,0.220
350.00,0.216
351.00,0.211
352.00,0.207
353.00,0.202
354.00,0.198
355.00,0.195
356.00,0.191
357.00,0.187
358.00,0.183
359.00,0.180
360.00,0.176
361.00,0.173
362.00,0.170
363.00,0.167
364.00,0.164
365.00,0.161
366.00,0.159
367.00,0.156
368.00,0.153
369.00,0.151
370.00,0.148
371.00,0.146
372.00,0.144
373.00,0.142
374.00,0.139
375.00,0.137
376.00,0.135
377.00,0.133
378.00,0.132
379.00,0.130
380.00,0.128
381.00,0.126
382.00,0.124
383.00,0.123
384.00,0.121
385.00,0.120
386.00,0.119
387.00,0.117
388.00,0.116
389.00,0.115
390.00,0.113
391.00,0.112
392.00,0.111
393.00,0.110
394.00,0.108
395.00,0.108
396.00,0.107
397.00,0.106
398.00,0.105
399.00,0.104
400.00,0.103
401.00,0.102
402.00,0.101
403.00,0.100
404.00,0.100
405.00,0.099
406.00,0.098
407.00,0.097
408.00,0.097
409.00,0.096
410.00,0.095
411.00,0.095
412.00,0.094
413.00,0.094
414.00,0.093
415.00,0.092
416.00,0.092
417.00,0.092
418.00,0.091
419.00,0.091
420.00,0.090
421.00,0.090
422.00,0.089
423.00,0.089
424.00,0.088
425.00,0.088
426.00,0.087
427.00,0.087
428.00,0.087
429.00,0.086
430.00,0.086
431.00,0.085
432.00,0.085
433.00,0.085
434.00,0.084
435.00,0.084
436.00,0.083
437.00,0.083
438.00,0.083
439.00,0.083
440.00,0.082
441.00,0.082
442.00,0.082
443.00,0.081
444.00,0.081
445.00,0.081
446.00,0.080
447.00,0.080
448.00,0.080
449.00,0.080
450.00,0.079
451.00,0.079
452.00,0.079
453.00,0.079
454.00,0.078
455.00,0.078
456.00,0.078
457.00,0.078
458.00,0.077
459.00,0.077
460.00,0.077
461.00,0.077
462.00,0.077
463.00,0.076
464.00,0.076
465.00,0.076
466.00,0.076
467.00,0.075
468.00,0.075
469.00,0.075
470.00,0.075
471.00,0.075
472.00,0.074
473.00,0.074
474.00,0.074
475.00,0.074
476.00,0.074
477.00,0.073
478.00,0.073
479.00,0.073
480.00,0.073
481.00,0.073
482.00,0.073
483.00,0.072
484.00,0.072
485.00,0.072
486.00,0.072
487.00,0.072
488.00,0.071
489.00,0.071
490.00,0.071
491.00,0.071
492.00,0.071
493.00,0.071
494.00,0.070
495.00,0.070
496.00,0.070
497.00,0.070
498.00,0.070
499.00,0.070
500.00,0.070
501.00,0.069
502.00,0.069
503.00,0.069
504.00,0.069
505.00,0.069
506.00,0.069
507.00,0.069
508.00,0.069
509.00,0.068
510.00,0.068
511.00,0.068
512.00,0.068
513.00,0.068
514.00,0.068
515.00,0.068
516.00,0.067
517.00,0.067
518.00,0.067
519.00,0.067
520.00,0.067
521.00,0.067
522.00,0.067
523.00,0.067
524.00,0.067
525.00,0.066
526.00,0.066
527.00,0.066
528.00,0.066
529.00,0.066
530.00,0.066
531.00,0.066
532.00,0.066
533.00,0.066
534.00,0.065
535.00,0.065
536.00,0.066
537.00,0.065
538.00,0.065
539.00,0.065
540.00,0.065
541.00,0.065
542.00,0.065
543.00,0.065
544.00,0.065
545.00,0.064
546.00,0.064
547.00,0.064
548.00,0.064
549.00,0.064
550.00,0.064
551.00,0.064
552.00,0.064
553.00,0.064
554.00,0.064
555.00,0.064
556.00,0.064
557.00,0.063
558.00,0.063
559.00,0.063
560.00,0.063
561.00,0.063
562.00,0.063
563.00,0.063
564.00,0.063
