"BittATibiKristalWhite_25x - RawData"
"Wavelength nm.","Abs."
190.00,3.129
191.00,3.599
192.00,3.630
193.00,3.671
194.00,3.670
195.00,3.577
196.00,3.931
197.00,3.856
198.00,3.664
199.00,3.815
200.00,3.706
201.00,3.794
202.00,3.909
203.00,3.953
204.00,3.824
205.00,3.853
206.00,3.860
207.00,3.897
208.00,3.905
209.00,3.983
210.00,3.933
211.00,3.920
212.00,3.836
213.00,3.880
214.00,3.864
215.00,3.625
216.00,3.541
217.00,3.503
218.00,3.420
219.00,3.203
220.00,3.062
221.00,2.903
222.00,2.738
223.00,2.610
224.00,2.458
225.00,2.317
226.00,2.168
227.00,2.024
228.00,1.880
229.00,1.748
230.00,1.625
231.00,1.515
232.00,1.419
233.00,1.336
234.00,1.266
235.00,1.207
236.00,1.159
237.00,1.120
238.00,1.090
239.00,1.066
240.00,1.050
241.00,1.040
242.00,1.035
243.00,1.032
244.00,1.034
245.00,1.038
246.00,1.044
247.00,1.051
248.00,1.060
249.00,1.069
250.00,1.079
251.00,1.089
252.00,1.099
253.00,1.109
254.00,1.118
255.00,1.126
256.00,1.134
257.00,1.140
258.00,1.144
259.00,1.145
260.00,1.146
261.00,1.146
262.00,1.147
263.00,1.146
264.00,1.145
265.00,1.143
266.00,1.139
267.00,1.133
268.00,1.125
269.00,1.116
270.00,1.104
271.00,1.089
272.00,1.075
273.00,1.058
274.00,1.039
275.00,1.018
276.00,0.997
277.00,0.974
278.00,0.949
279.00,0.923
280.00,0.897
281.00,0.870
282.00,0.843
283.00,0.813
284.00,0.783
285.00,0.752
286.00,0.723
287.00,0.696
288.00,0.670
289.00,0.643
290.00,0.615
291.00,0.587
292.00,0.563
293.00,0.540
294.00,0.522
295.00,0.505
296.00,0.491
297.00,0.479
298.00,0.466
299.00,0.456
300.00,0.446
301.00,0.438
302.00,0.430
303.00,0.423
304.00,0.417
305.00,0.411
306.00,0.405
307.00,0.400
308.00,0.394
309.00,0.390
310.00,0.386
311.00,0.381
312.00,0.377
313.00,0.373
314.00,0.370
315.00,0.366
316.00,0.362
317.00,0.359
318.00,0.355
319.00,0.351
320.00,0.347
321.00,0.343
322.00,0.339
323.00,0.334
324.00,0.330
325.00,0.324
326.00,0.319
327.00,0.314
328.00,0.309
329.00,0.303
330.00,0.298
331.00,0.292
332.00,0.286
333.00,0.280
334.00,0.274
335.00,0.268
336.00,0.262
337.00,0.256
338.00,0.250
339.00,0.244
340.00,0.238
341.00,0.231
342.00,0.225
343.00,0.219
344.00,0.213
345.00,0.208
346.00,0.202
347.00,0.197
348.00,0.192
349.00,0.186
350.00,0.182
351.00,0.176
352.00,0.172
353.00,0.167
354.00,0.162
355.00,0.158
356.00,0.154
357.00,0.150
358.00,0.146
359.00,0.142
360.00,0.139
361.00,0.135
362.00,0.132
363.00,0.129
364.00,0.126
365.00,0.123
366.00,0.120
367.00,0.118
368.00,0.115
369.00,0.113
370.00,0.111
371.00,0.108
372.00,0.106
373.00,0.104
374.00,0.102
375.00,0.100
376.00,0.098
377.00,0.097
378.00,0.095
379.00,0.093
380.00,0.092
381.00,0.090
382.00,0.089
383.00,0.087
384.00,0.086
385.00,0.085
386.00,0.084
387.00,0.083
388.00,0.082
389.00,0.080
390.00,0.079
391.00,0.079
392.00,0.078
393.00,0.077
394.00,0.076
395.00,0.075
396.00,0.074
397.00,0.074
398.00,0.073
399.00,0.072
400.00,0.072
401.00,0.071
402.00,0.071
403.00,0.070
404.00,0.070
405.00,0.069
406.00,0.069
407.00,0.068
408.00,0.068
409.00,0.067
410.00,0.067
411.00,0.066
412.00,0.066
413.00,0.065
414.00,0.065
415.00,0.065
416.00,0.064
417.00,0.064
418.00,0.064
419.00,0.063
420.00,0.063
421.00,0.063
422.00,0.062
423.00,0.062
424.00,0.062
425.00,0.061
426.00,0.061
427.00,0.061
428.00,0.060
429.00,0.060
430.00,0.060
431.00,0.060
432.00,0.059
433.00,0.059
434.00,0.059
435.00,0.059
436.00,0.058
437.00,0.058
438.00,0.058
439.00,0.058
440.00,0.057
441.00,0.057
442.00,0.057
443.00,0.057
444.00,0.057
445.00,0.056
446.00,0.056
447.00,0.056
448.00,0.056
449.00,0.056
450.00,0.055
451.00,0.055
452.00,0.055
453.00,0.055
454.00,0.055
455.00,0.054
456.00,0.054
457.00,0.054
458.00,0.054
459.00,0.054
460.00,0.054
461.00,0.053
462.00,0.053
463.00,0.053
464.00,0.053
465.00,0.053
466.00,0.053
467.00,0.053
468.00,0.052
469.00,0.052
470.00,0.052
471.00,0.052
472.00,0.052
473.00,0.052
474.00,0.051
475.00,0.051
476.00,0.051
477.00,0.051
478.00,0.051
479.00,0.051
480.00,0.051
481.00,0.050
482.00,0.050
483.00,0.050
484.00,0.050
485.00,0.050
486.00,0.050
487.00,0.050
488.00,0.049
489.00,0.049
490.00,0.049
491.00,0.049
492.00,0.049
493.00,0.049
494.00,0.049
495.00,0.049
496.00,0.048
497.00,0.048
498.00,0.048
499.00,0.048
500.00,0.048
501.00,0.048
502.00,0.048
503.00,0.048
504.00,0.048
505.00,0.047
506.00,0.047
507.00,0.047
508.00,0.047
509.00,0.047
510.00,0.047
511.00,0.047
512.00,0.047
513.00,0.047
514.00,0.047
515.00,0.047
516.00,0.046
517.00,0.046
518.00,0.046
519.00,0.046
520.00,0.046
521.00,0.046
522.00,0.046
523.00,0.046
524.00,0.046
