"BockaleIPABlanche50x - RawData"
"Wavelength nm.","Abs."
190.00,2.795
191.00,3.333
192.00,3.623
193.00,3.787
194.00,3.873
195.00,3.754
196.00,3.841
197.00,3.838
198.00,3.803
199.00,3.792
200.00,3.872
201.00,3.799
202.00,3.979
203.00,3.898
204.00,3.808
205.00,3.856
206.00,3.796
207.00,3.546
208.00,3.453
209.00,3.343
210.00,3.250
211.00,3.061
212.00,2.961
213.00,2.836
214.00,2.686
215.00,2.577
216.00,2.441
217.00,2.323
218.00,2.215
219.00,2.105
220.00,1.995
221.00,1.899
222.00,1.803
223.00,1.710
224.00,1.617
225.00,1.527
226.00,1.440
227.00,1.353
228.00,1.271
229.00,1.198
230.00,1.130
231.00,1.069
232.00,1.016
233.00,0.967
234.00,0.927
235.00,0.893
236.00,0.864
237.00,0.841
238.00,0.823
239.00,0.809
240.00,0.799
241.00,0.792
242.00,0.787
243.00,0.785
244.00,0.785
245.00,0.787
246.00,0.789
247.00,0.793
248.00,0.797
249.00,0.801
250.00,0.807
251.00,0.812
252.00,0.817
253.00,0.823
254.00,0.828
255.00,0.832
256.00,0.836
257.00,0.839
258.00,0.840
259.00,0.841
260.00,0.840
261.00,0.839
262.00,0.838
263.00,0.836
264.00,0.834
265.00,0.831
266.00,0.828
267.00,0.825
268.00,0.821
269.00,0.815
270.00,0.807
271.00,0.797
272.00,0.787
273.00,0.774
274.00,0.762
275.00,0.748
276.00,0.735
277.00,0.721
278.00,0.706
279.00,0.690
280.00,0.674
281.00,0.657
282.00,0.640
283.00,0.621
284.00,0.602
285.00,0.582
286.00,0.563
287.00,0.545
288.00,0.525
289.00,0.506
290.00,0.486
291.00,0.466
292.00,0.448
293.00,0.432
294.00,0.419
295.00,0.407
296.00,0.396
297.00,0.387
298.00,0.378
299.00,0.370
300.00,0.363
301.00,0.356
302.00,0.350
303.00,0.345
304.00,0.341
305.00,0.337
306.00,0.333
307.00,0.329
308.00,0.326
309.00,0.323
310.00,0.320
311.00,0.317
312.00,0.314
313.00,0.312
314.00,0.309
315.00,0.307
316.00,0.304
317.00,0.302
318.00,0.299
319.00,0.297
320.00,0.294
321.00,0.291
322.00,0.287
323.00,0.284
324.00,0.281
325.00,0.277
326.00,0.273
327.00,0.269
328.00,0.265
329.00,0.261
330.00,0.256
331.00,0.252
332.00,0.248
333.00,0.243
334.00,0.238
335.00,0.233
336.00,0.229
337.00,0.225
338.00,0.220
339.00,0.215
340.00,0.211
341.00,0.204
342.00,0.200
343.00,0.195
344.00,0.191
345.00,0.187
346.00,0.183
347.00,0.178
348.00,0.175
349.00,0.171
350.00,0.167
351.00,0.163
352.00,0.160
353.00,0.157
354.00,0.153
355.00,0.150
356.00,0.147
357.00,0.144
358.00,0.142
359.00,0.139
360.00,0.136
361.00,0.134
362.00,0.132
363.00,0.130
364.00,0.128
365.00,0.126
366.00,0.124
367.00,0.122
368.00,0.120
369.00,0.118
370.00,0.116
371.00,0.115
372.00,0.113
373.00,0.112
374.00,0.110
375.00,0.109
376.00,0.107
377.00,0.106
378.00,0.104
379.00,0.103
380.00,0.102
381.00,0.101
382.00,0.099
383.00,0.098
384.00,0.097
385.00,0.096
386.00,0.095
387.00,0.094
388.00,0.093
389.00,0.092
390.00,0.091
391.00,0.090
392.00,0.089
393.00,0.088
394.00,0.087
395.00,0.086
396.00,0.086
397.00,0.085
398.00,0.084
399.00,0.083
400.00,0.083
401.00,0.082
402.00,0.082
403.00,0.081
404.00,0.080
405.00,0.080
406.00,0.079
407.00,0.079
408.00,0.078
409.00,0.078
410.00,0.077
411.00,0.077
412.00,0.077
413.00,0.076
414.00,0.076
415.00,0.075
416.00,0.075
417.00,0.075
418.00,0.075
419.00,0.074
420.00,0.074
421.00,0.074
422.00,0.073
423.00,0.073
424.00,0.073
425.00,0.073
426.00,0.072
427.00,0.072
428.00,0.072
429.00,0.072
430.00,0.072
431.00,0.072
432.00,0.071
433.00,0.071
434.00,0.071
435.00,0.071
436.00,0.071
437.00,0.070
438.00,0.070
439.00,0.070
440.00,0.070
441.00,0.070
442.00,0.070
443.00,0.069
444.00,0.069
445.00,0.069
446.00,0.069
447.00,0.069
448.00,0.069
449.00,0.069
450.00,0.069
451.00,0.068
452.00,0.068
453.00,0.068
454.00,0.068
455.00,0.068
456.00,0.068
457.00,0.068
458.00,0.068
459.00,0.067
460.00,0.067
461.00,0.067
462.00,0.067
463.00,0.067
464.00,0.067
465.00,0.067
466.00,0.066
467.00,0.066
468.00,0.066
469.00,0.066
470.00,0.066
471.00,0.066
472.00,0.066
473.00,0.066
474.00,0.065
475.00,0.065
476.00,0.065
477.00,0.065
478.00,0.065
479.00,0.065
480.00,0.065
481.00,0.065
482.00,0.064
483.00,0.064
484.00,0.064
485.00,0.064
486.00,0.064
487.00,0.064
488.00,0.064
489.00,0.063
490.00,0.063
491.00,0.063
492.00,0.063
493.00,0.063
494.00,0.063
495.00,0.063
496.00,0.063
497.00,0.063
498.00,0.062
499.00,0.062
500.00,0.062
501.00,0.062
502.00,0.062
503.00,0.062
504.00,0.062
505.00,0.062
506.00,0.062
507.00,0.062
508.00,0.061
509.00,0.061
510.00,0.061
511.00,0.061
512.00,0.061
513.00,0.061
514.00,0.061
515.00,0.061
516.00,0.061
517.00,0.061
518.00,0.061
519.00,0.060
520.00,0.060
521.00,0.060
522.00,0.060
523.00,0.060
524.00,0.060
525.00,0.060
526.00,0.060
527.00,0.060
528.00,0.060
529.00,0.060
530.00,0.060
531.00,0.059
532.00,0.059
533.00,0.059
534.00,0.059
535.00,0.059
536.00,0.059
