"BockaleScotchAle100x - RawData"
"Wavelength nm.","Abs."
190.00,3.620
191.00,3.803
192.00,3.812
193.00,3.906
194.00,3.801
195.00,3.887
196.00,3.797
197.00,3.831
198.00,3.992
199.00,3.938
200.00,3.954
201.00,3.967
202.00,3.842
203.00,3.774
204.00,3.926
205.00,3.904
206.00,3.912
207.00,3.867
208.00,3.763
209.00,3.648
210.00,3.486
211.00,3.456
212.00,3.231
213.00,3.123
214.00,3.006
215.00,2.875
216.00,2.754
217.00,2.661
218.00,2.555
219.00,2.441
220.00,2.335
221.00,2.242
222.00,2.147
223.00,2.058
224.00,1.965
225.00,1.874
226.00,1.784
227.00,1.694
228.00,1.603
229.00,1.520
230.00,1.442
231.00,1.369
232.00,1.304
233.00,1.244
234.00,1.192
235.00,1.146
236.00,1.107
237.00,1.074
238.00,1.045
239.00,1.022
240.00,1.002
241.00,0.986
242.00,0.976
243.00,0.968
244.00,0.964
245.00,0.961
246.00,0.961
247.00,0.961
248.00,0.963
249.00,0.965
250.00,0.969
251.00,0.973
252.00,0.978
253.00,0.983
254.00,0.988
255.00,0.993
256.00,0.998
257.00,1.002
258.00,1.005
259.00,1.007
260.00,1.008
261.00,1.009
262.00,1.010
263.00,1.011
264.00,1.011
265.00,1.011
266.00,1.010
267.00,1.008
268.00,1.005
269.00,1.000
270.00,0.994
271.00,0.988
272.00,0.981
273.00,0.973
274.00,0.964
275.00,0.954
276.00,0.943
277.00,0.931
278.00,0.916
279.00,0.902
280.00,0.888
281.00,0.873
282.00,0.857
283.00,0.840
284.00,0.822
285.00,0.803
286.00,0.785
287.00,0.768
288.00,0.750
289.00,0.731
290.00,0.712
291.00,0.693
292.00,0.675
293.00,0.660
294.00,0.646
295.00,0.633
296.00,0.621
297.00,0.610
298.00,0.599
299.00,0.589
300.00,0.579
301.00,0.570
302.00,0.562
303.00,0.553
304.00,0.545
305.00,0.537
306.00,0.529
307.00,0.522
308.00,0.514
309.00,0.507
310.00,0.500
311.00,0.494
312.00,0.487
313.00,0.481
314.00,0.475
315.00,0.469
316.00,0.463
317.00,0.457
318.00,0.451
319.00,0.445
320.00,0.439
321.00,0.433
322.00,0.427
323.00,0.421
324.00,0.415
325.00,0.408
