"BorealBlonde50x - RawData"
"Wavelength nm.","Abs."
190.00,3.283
191.00,3.551
192.00,3.911
193.00,3.635
194.00,3.784
195.00,3.848
196.00,3.755
197.00,3.735
198.00,3.815
199.00,3.881
200.00,3.870
201.00,3.766
202.00,3.818
203.00,3.711
204.00,3.732
205.00,3.487
206.00,3.441
207.00,3.257
208.00,3.102
209.00,2.970
210.00,2.826
211.00,2.709
212.00,2.585
213.00,2.476
214.00,2.358
215.00,2.257
216.00,2.152
217.00,2.053
218.00,1.957
219.00,1.856
220.00,1.761
221.00,1.676
222.00,1.595
223.00,1.513
224.00,1.431
225.00,1.352
226.00,1.272
227.00,1.190
228.00,1.111
229.00,1.039
230.00,0.972
231.00,0.913
232.00,0.860
233.00,0.813
234.00,0.773
235.00,0.739
236.00,0.710
237.00,0.686
238.00,0.666
239.00,0.650
240.00,0.638
241.00,0.628
242.00,0.621
243.00,0.617
244.00,0.614
245.00,0.613
246.00,0.613
247.00,0.614
248.00,0.616
249.00,0.619
250.00,0.622
251.00,0.626
252.00,0.629
253.00,0.633
254.00,0.637
255.00,0.641
256.00,0.646
257.00,0.648
258.00,0.650
259.00,0.651
260.00,0.652
261.00,0.653
262.00,0.654
263.00,0.655
264.00,0.656
265.00,0.656
266.00,0.656
267.00,0.655
268.00,0.654
269.00,0.651
270.00,0.647
271.00,0.642
272.00,0.637
273.00,0.630
274.00,0.622
275.00,0.613
276.00,0.603
277.00,0.591
278.00,0.579
279.00,0.565
280.00,0.552
281.00,0.538
282.00,0.522
283.00,0.505
284.00,0.488
285.00,0.469
286.00,0.452
287.00,0.436
288.00,0.419
289.00,0.402
290.00,0.384
291.00,0.366
292.00,0.351
293.00,0.338
294.00,0.327
295.00,0.317
296.00,0.309
297.00,0.302
298.00,0.295
299.00,0.289
300.00,0.283
301.00,0.279
302.00,0.275
303.00,0.271
304.00,0.268
305.00,0.264
306.00,0.261
307.00,0.258
308.00,0.256
309.00,0.253
310.00,0.251
311.00,0.249
312.00,0.246
313.00,0.244
314.00,0.242
315.00,0.240
316.00,0.238
317.00,0.235
318.00,0.233
319.00,0.230
320.00,0.227
321.00,0.225
322.00,0.222
323.00,0.218
324.00,0.215
325.00,0.212
326.00,0.208
327.00,0.205
328.00,0.201
329.00,0.197
330.00,0.193
331.00,0.189
332.00,0.184
333.00,0.180
334.00,0.176
335.00,0.172
336.00,0.168
337.00,0.164
338.00,0.160
339.00,0.156
340.00,0.152
341.00,0.147
342.00,0.143
343.00,0.139
344.00,0.136
345.00,0.132
346.00,0.129
347.00,0.125
348.00,0.122
349.00,0.119
350.00,0.116
351.00,0.113
352.00,0.110
353.00,0.107
354.00,0.105
355.00,0.102
356.00,0.100
357.00,0.097
358.00,0.095
359.00,0.093
360.00,0.091
361.00,0.089
362.00,0.088
363.00,0.086
364.00,0.085
365.00,0.083
366.00,0.082
367.00,0.080
368.00,0.079
369.00,0.078
370.00,0.076
371.00,0.075
372.00,0.074
373.00,0.073
374.00,0.072
375.00,0.071
376.00,0.070
377.00,0.069
378.00,0.068
379.00,0.067
380.00,0.066
381.00,0.065
382.00,0.064
383.00,0.064
384.00,0.063
385.00,0.062
386.00,0.062
387.00,0.061
388.00,0.060
389.00,0.060
390.00,0.059
391.00,0.058
392.00,0.058
393.00,0.057
394.00,0.057
395.00,0.056
396.00,0.056
397.00,0.055
398.00,0.055
399.00,0.054
400.00,0.054
401.00,0.054
402.00,0.053
403.00,0.053
404.00,0.053
405.00,0.052
406.00,0.052
407.00,0.052
408.00,0.051
409.00,0.051
410.00,0.051
411.00,0.050
412.00,0.050
413.00,0.050
414.00,0.050
415.00,0.049
416.00,0.049
417.00,0.049
418.00,0.049
419.00,0.048
420.00,0.048
421.00,0.048
422.00,0.048
423.00,0.048
424.00,0.047
425.00,0.047
426.00,0.047
427.00,0.047
428.00,0.047
429.00,0.047
430.00,0.046
431.00,0.046
432.00,0.046
433.00,0.046
434.00,0.046
435.00,0.046
436.00,0.046
437.00,0.045
438.00,0.045
439.00,0.045
440.00,0.045
441.00,0.045
442.00,0.045
443.00,0.045
444.00,0.045
445.00,0.044
446.00,0.044
447.00,0.044
448.00,0.044
449.00,0.044
450.00,0.044
451.00,0.044
452.00,0.044
453.00,0.044
454.00,0.043
455.00,0.043
456.00,0.043
457.00,0.043
458.00,0.043
459.00,0.043
460.00,0.043
461.00,0.043
462.00,0.043
463.00,0.043
464.00,0.043
465.00,0.043
466.00,0.042
467.00,0.042
468.00,0.042
469.00,0.042
470.00,0.042
471.00,0.042
472.00,0.042
473.00,0.042
474.00,0.042
475.00,0.042
476.00,0.042
477.00,0.042
478.00,0.041
479.00,0.041
480.00,0.041
481.00,0.041
482.00,0.041
483.00,0.041
484.00,0.041
485.00,0.041
486.00,0.041
487.00,0.041
488.00,0.041
489.00,0.041
490.00,0.041
491.00,0.040
492.00,0.040
493.00,0.040
494.00,0.040
495.00,0.040
496.00,0.040
497.00,0.040
498.00,0.040
499.00,0.040
500.00,0.040
501.00,0.040
502.00,0.040
503.00,0.040
504.00,0.040
505.00,0.040
506.00,0.040
507.00,0.040
508.00,0.040
509.00,0.039
510.00,0.039
511.00,0.039
512.00,0.039
513.00,0.039
514.00,0.039
515.00,0.039
516.00,0.039
517.00,0.039
518.00,0.039
519.00,0.039
520.00,0.039
521.00,0.039
522.00,0.039
523.00,0.039
524.00,0.039
525.00,0.039
526.00,0.039
527.00,0.039
528.00,0.039
529.00,0.039
530.00,0.039
531.00,0.038
532.00,0.038
533.00,0.038
534.00,0.038
535.00,0.038
536.00,0.039
537.00,0.038
538.00,0.038
539.00,0.038
540.00,0.038
541.00,0.038
542.00,0.038
543.00,0.038
544.00,0.038
545.00,0.038
546.00,0.038
547.00,0.038
548.00,0.038
549.00,0.038
550.00,0.038
551.00,0.038
552.00,0.038
553.00,0.038
554.00,0.038
555.00,0.038
556.00,0.038
557.00,0.038
558.00,0.038
559.00,0.038
560.00,0.038
561.00,0.038
562.00,0.038
563.00,0.037
564.00,0.037
565.00,0.037
566.00,0.037
567.00,0.037
568.00,0.037
569.00,0.037
570.00,0.037
571.00,0.037
572.00,0.037
573.00,0.037
574.00,0.037
575.00,0.037
576.00,0.037
577.00,0.037
578.00,0.037
579.00,0.037
580.00,0.037
581.00,0.037
582.00,0.037
583.00,0.037
584.00,0.037
585.00,0.037
586.00,0.037
587.00,0.037
588.00,0.037
589.00,0.037
590.00,0.037
591.00,0.037
592.00,0.037
593.00,0.037
594.00,0.037
595.00,0.037
596.00,0.037
597.00,0.037
598.00,0.037
599.00,0.037
600.00,0.037
601.00,0.037
602.00,0.037
603.00,0.037
604.00,0.037
605.00,0.037
606.00,0.037
607.00,0.037
608.00,0.037
609.00,0.037
610.00,0.037
611.00,0.037
612.00,0.037
613.00,0.037
614.00,0.037
615.00,0.037
616.00,0.037
617.00,0.037
618.00,0.037
619.00,0.037
620.00,0.037
621.00,0.037
622.00,0.037
623.00,0.037
624.00,0.037
625.00,0.037
626.00,0.037
627.00,0.037
628.00,0.037
629.00,0.037
630.00,0.037
631.00,0.037
632.00,0.037
633.00,0.037
634.00,0.037
635.00,0.037
636.00,0.037
637.00,0.037
638.00,0.037
639.00,0.037
640.00,0.037
641.00,0.037
642.00,0.037
643.00,0.037
644.00,0.037
645.00,0.037
646.00,0.037
647.00,0.037
648.00,0.037
649.00,0.037
650.00,0.037
651.00,0.037
652.00,0.037
653.00,0.037
654.00,0.037
655.00,0.037
656.00,0.037
657.00,0.037
658.00,0.037
659.00,0.037
660.00,0.037
661.00,0.037
662.00,0.037
663.00,0.037
664.00,0.037
665.00,0.037
666.00,0.037
667.00,0.037
668.00,0.037
669.00,0.037
670.00,0.037
671.00,0.037
672.00,0.037
673.00,0.037
674.00,0.037
675.00,0.037
676.00,0.037
677.00,0.037
678.00,0.037
679.00,0.037
680.00,0.037
681.00,0.037
682.00,0.037
683.00,0.037
684.00,0.037
685.00,0.037
686.00,0.037
687.00,0.037
688.00,0.037
689.00,0.037
690.00,0.037
691.00,0.037
692.00,0.037
693.00,0.037
694.00,0.037
695.00,0.037
696.00,0.037
697.00,0.037
698.00,0.037
699.00,0.037
700.00,0.037
701.00,0.037
702.00,0.037
703.00,0.037
704.00,0.037
705.00,0.038
706.00,0.038
707.00,0.038
708.00,0.038
709.00,0.038
710.00,0.038
711.00,0.038
712.00,0.038
713.00,0.038
714.00,0.039
715.00,0.039
716.00,0.039
717.00,0.039
718.00,0.039
719.00,0.039
720.00,0.040
721.00,0.040
722.00,0.040
723.00,0.040
724.00,0.041
725.00,0.041
726.00,0.041
727.00,0.042
728.00,0.042
729.00,0.042
730.00,0.043
731.00,0.043
732.00,0.044
733.00,0.044
734.00,0.045
735.00,0.045
736.00,0.045
737.00,0.045
738.00,0.046
739.00,0.046
740.00,0.046
741.00,0.046
742.00,0.046
743.00,0.046
744.00,0.046
745.00,0.046
746.00,0.046
747.00,0.046
748.00,0.046
749.00,0.046
750.00,0.046
751.00,0.046
752.00,0.046
753.00,0.046
754.00,0.046
755.00,0.046
756.00,0.046
757.00,0.046
758.00,0.046
759.00,0.046
760.00,0.046
761.00,0.046
762.00,0.046
763.00,0.046
764.00,0.046
765.00,0.046
766.00,0.046
767.00,0.046
768.00,0.046
769.00,0.046
770.00,0.046
771.00,0.046
772.00,0.046
773.00,0.046
774.00,0.045
775.00,0.045
776.00,0.045
777.00,0.045
778.00,0.045
779.00,0.045
780.00,0.045
781.00,0.045
782.00,0.045
783.00,0.045
784.00,0.045
785.00,0.045
786.00,0.044
787.00,0.044
788.00,0.044
789.00,0.044
790.00,0.044
791.00,0.044
792.00,0.044
793.00,0.044
794.00,0.044
795.00,0.043
796.00,0.043
797.00,0.043
798.00,0.043
799.00,0.043
800.00,0.043
801.00,0.043
802.00,0.043
803.00,0.043
804.00,0.043
805.00,0.043
806.00,0.043
807.00,0.043
808.00,0.043
809.00,0.043
810.00,0.043
811.00,0.043
812.00,0.043
813.00,0.043
814.00,0.043
815.00,0.043
816.00,0.043
817.00,0.043
818.00,0.043
819.00,0.043
820.00,0.044
821.00,0.044
822.00,0.044
823.00,0.044
824.00,0.044
825.00,0.045
826.00,0.045
827.00,0.046
828.00,0.046
829.00,0.047
830.00,0.048
831.00,0.048
832.00,0.049
833.00,0.049
834.00,0.049
835.00,0.050
836.00,0.050
837.00,0.050
838.00,0.050
839.00,0.050
840.00,0.050
841.00,0.050
842.00,0.051
843.00,0.051
844.00,0.051
845.00,0.051
846.00,0.051
847.00,0.051
848.00,0.051
849.00,0.051
850.00,0.052
851.00,0.052
852.00,0.052
853.00,0.052
854.00,0.052
855.00,0.052
856.00,0.052
857.00,0.053
858.00,0.053
859.00,0.053
860.00,0.053
861.00,0.053
862.00,0.053
863.00,0.053
864.00,0.053
865.00,0.053
866.00,0.054
867.00,0.054
868.00,0.054
869.00,0.054
870.00,0.054
871.00,0.054
872.00,0.055
873.00,0.055
874.00,0.055
875.00,0.055
876.00,0.055
877.00,0.056
878.00,0.056
879.00,0.056
880.00,0.056
881.00,0.057
882.00,0.057
883.00,0.057
884.00,0.057
885.00,0.058
886.00,0.058
887.00,0.058
888.00,0.058
889.00,0.058
890.00,0.059
891.00,0.059
892.00,0.059
893.00,0.059
894.00,0.060
895.00,0.060
896.00,0.060
897.00,0.061
898.00,0.061
899.00,0.061
900.00,0.061
