"BorealBlanche50x - RawData"
"Wavelength nm.","Abs."
190.00,3.711
191.00,3.271
192.00,3.238
193.00,3.288
194.00,3.485
195.00,3.409
196.00,3.452
197.00,3.630
198.00,3.437
199.00,3.456
200.00,3.656
201.00,3.562
202.00,3.549
203.00,3.409
204.00,3.387
205.00,3.324
206.00,3.142
207.00,2.965
208.00,2.869
209.00,2.721
210.00,2.589
211.00,2.478
212.00,2.370
213.00,2.262
214.00,2.159
215.00,2.063
216.00,1.966
217.00,1.875
218.00,1.786
219.00,1.696
220.00,1.611
221.00,1.533
222.00,1.458
223.00,1.382
224.00,1.306
225.00,1.231
226.00,1.156
227.00,1.081
228.00,1.009
229.00,0.942
230.00,0.880
231.00,0.823
232.00,0.772
233.00,0.726
234.00,0.686
235.00,0.652
236.00,0.623
237.00,0.598
238.00,0.578
239.00,0.562
240.00,0.549
241.00,0.538
242.00,0.531
243.00,0.526
244.00,0.522
245.00,0.520
246.00,0.519
247.00,0.519
248.00,0.519
249.00,0.520
250.00,0.522
251.00,0.525
252.00,0.528
253.00,0.531
254.00,0.534
255.00,0.537
256.00,0.540
257.00,0.543
258.00,0.545
259.00,0.546
260.00,0.546
261.00,0.548
262.00,0.549
263.00,0.551
264.00,0.552
265.00,0.553
266.00,0.553
267.00,0.554
268.00,0.552
269.00,0.551
270.00,0.548
271.00,0.545
272.00,0.541
273.00,0.536
274.00,0.530
275.00,0.523
276.00,0.515
277.00,0.506
278.00,0.495
279.00,0.485
280.00,0.474
281.00,0.462
282.00,0.450
283.00,0.436
284.00,0.421
285.00,0.406
286.00,0.392
287.00,0.378
288.00,0.364
289.00,0.350
290.00,0.334
291.00,0.320
292.00,0.307
293.00,0.295
294.00,0.286
295.00,0.277
296.00,0.270
297.00,0.264
298.00,0.258
299.00,0.253
300.00,0.248
301.00,0.244
302.00,0.241
303.00,0.238
304.00,0.235
305.00,0.232
306.00,0.230
307.00,0.228
308.00,0.226
309.00,0.224
310.00,0.222
311.00,0.220
312.00,0.218
313.00,0.217
314.00,0.216
315.00,0.214
316.00,0.212
317.00,0.210
318.00,0.208
319.00,0.207
320.00,0.205
321.00,0.202
322.00,0.200
323.00,0.198
324.00,0.195
325.00,0.193
326.00,0.190
327.00,0.187
328.00,0.183
329.00,0.181
330.00,0.177
331.00,0.174
332.00,0.170
333.00,0.167
334.00,0.163
335.00,0.160
336.00,0.156
337.00,0.153
338.00,0.149
339.00,0.146
340.00,0.143
341.00,0.138
342.00,0.135
343.00,0.131
344.00,0.128
345.00,0.125
346.00,0.122
347.00,0.119
348.00,0.116
349.00,0.113
350.00,0.111
351.00,0.108
352.00,0.105
353.00,0.103
354.00,0.101
355.00,0.098
356.00,0.096
357.00,0.094
358.00,0.092
359.00,0.090
360.00,0.088
361.00,0.086
362.00,0.084
363.00,0.083
364.00,0.081
365.00,0.080
366.00,0.078
367.00,0.077
368.00,0.076
369.00,0.075
370.00,0.073
371.00,0.072
372.00,0.071
373.00,0.070
374.00,0.069
375.00,0.068
376.00,0.067
377.00,0.066
378.00,0.065
379.00,0.064
380.00,0.063
381.00,0.062
382.00,0.061
383.00,0.061
384.00,0.060
385.00,0.059
386.00,0.059
387.00,0.058
388.00,0.058
389.00,0.057
390.00,0.056
391.00,0.056
392.00,0.055
393.00,0.055
394.00,0.054
395.00,0.054
396.00,0.053
397.00,0.053
398.00,0.053
399.00,0.052
400.00,0.052
401.00,0.051
402.00,0.051
403.00,0.051
404.00,0.050
405.00,0.050
406.00,0.050
407.00,0.050
408.00,0.049
409.00,0.049
410.00,0.049
411.00,0.048
412.00,0.048
413.00,0.048
414.00,0.048
415.00,0.048
416.00,0.047
417.00,0.047
418.00,0.047
419.00,0.047
420.00,0.047
421.00,0.047
422.00,0.046
423.00,0.046
424.00,0.046
425.00,0.046
426.00,0.046
427.00,0.046
428.00,0.045
429.00,0.045
430.00,0.045
431.00,0.045
432.00,0.045
433.00,0.045
434.00,0.045
435.00,0.044
436.00,0.044
437.00,0.044
438.00,0.044
439.00,0.044
440.00,0.044
441.00,0.044
442.00,0.044
443.00,0.044
444.00,0.044
445.00,0.043
446.00,0.043
447.00,0.043
448.00,0.043
449.00,0.043
450.00,0.043
451.00,0.043
452.00,0.043
453.00,0.043
454.00,0.043
455.00,0.042
456.00,0.042
457.00,0.042
458.00,0.042
459.00,0.042
460.00,0.042
461.00,0.042
462.00,0.042
463.00,0.042
464.00,0.042
465.00,0.042
466.00,0.042
467.00,0.041
468.00,0.042
469.00,0.041
470.00,0.041
471.00,0.041
472.00,0.041
473.00,0.041
474.00,0.041
475.00,0.041
476.00,0.041
477.00,0.041
478.00,0.041
479.00,0.041
480.00,0.040
481.00,0.040
482.00,0.040
483.00,0.040
484.00,0.040
485.00,0.040
486.00,0.040
487.00,0.040
488.00,0.040
489.00,0.040
490.00,0.040
491.00,0.040
492.00,0.040
493.00,0.040
494.00,0.040
495.00,0.039
496.00,0.039
497.00,0.039
498.00,0.039
499.00,0.039
500.00,0.039
501.00,0.039
502.00,0.039
503.00,0.039
504.00,0.039
505.00,0.039
506.00,0.039
507.00,0.039
508.00,0.039
509.00,0.039
510.00,0.039
511.00,0.039
512.00,0.039
513.00,0.039
514.00,0.039
515.00,0.039
516.00,0.039
517.00,0.039
518.00,0.038
519.00,0.038
520.00,0.038
521.00,0.038
522.00,0.038
523.00,0.038
524.00,0.038
525.00,0.038
526.00,0.038
527.00,0.038
528.00,0.038
529.00,0.038
530.00,0.038
531.00,0.038
532.00,0.038
533.00,0.038
534.00,0.038
535.00,0.038
536.00,0.038
537.00,0.038
538.00,0.038
539.00,0.038
540.00,0.038
541.00,0.038
542.00,0.038
543.00,0.038
544.00,0.037
545.00,0.037
546.00,0.037
547.00,0.037
548.00,0.037
549.00,0.037
550.00,0.037
551.00,0.037
552.00,0.037
553.00,0.037
554.00,0.037
555.00,0.037
556.00,0.037
557.00,0.037
558.00,0.037
559.00,0.037
560.00,0.037
561.00,0.037
562.00,0.037
563.00,0.037
564.00,0.037
565.00,0.037
566.00,0.037
567.00,0.037
568.00,0.037
569.00,0.037
570.00,0.037
571.00,0.037
572.00,0.037
573.00,0.037
574.00,0.037
575.00,0.037
576.00,0.037
577.00,0.037
578.00,0.037
579.00,0.037
580.00,0.037
581.00,0.037
582.00,0.037
583.00,0.037
584.00,0.037
585.00,0.037
586.00,0.037
587.00,0.036
588.00,0.036
589.00,0.037
590.00,0.037
591.00,0.037
592.00,0.037
593.00,0.037
594.00,0.037
595.00,0.037
596.00,0.037
597.00,0.037
598.00,0.037
599.00,0.037
600.00,0.037
601.00,0.037
602.00,0.037
603.00,0.037
604.00,0.037
605.00,0.037
606.00,0.037
607.00,0.037
608.00,0.037
609.00,0.037
610.00,0.037
611.00,0.037
612.00,0.037
613.00,0.037
614.00,0.037
615.00,0.037
616.00,0.037
617.00,0.037
618.00,0.037
619.00,0.037
620.00,0.037
621.00,0.037
622.00,0.036
623.00,0.036
624.00,0.036
625.00,0.036
626.00,0.037
627.00,0.036
628.00,0.036
629.00,0.036
630.00,0.036
631.00,0.036
632.00,0.036
633.00,0.036
634.00,0.036
635.00,0.036
636.00,0.036
637.00,0.036
638.00,0.036
639.00,0.036
640.00,0.036
641.00,0.036
642.00,0.036
643.00,0.036
644.00,0.036
645.00,0.036
646.00,0.036
647.00,0.036
648.00,0.036
649.00,0.036
650.00,0.036
651.00,0.036
652.00,0.036
653.00,0.036
654.00,0.036
655.00,0.036
656.00,0.036
657.00,0.036
658.00,0.036
659.00,0.036
660.00,0.036
661.00,0.036
662.00,0.036
663.00,0.036
664.00,0.036
665.00,0.036
666.00,0.036
667.00,0.036
668.00,0.036
669.00,0.036
670.00,0.036
671.00,0.036
672.00,0.036
673.00,0.036
674.00,0.036
675.00,0.036
676.00,0.036
677.00,0.036
678.00,0.036
679.00,0.036
680.00,0.036
681.00,0.036
682.00,0.036
683.00,0.036
684.00,0.036
685.00,0.036
686.00,0.036
687.00,0.036
688.00,0.036
689.00,0.036
690.00,0.036
691.00,0.036
692.00,0.036
693.00,0.036
694.00,0.036
695.00,0.036
696.00,0.036
697.00,0.036
698.00,0.037
699.00,0.037
700.00,0.037
701.00,0.037
702.00,0.037
703.00,0.037
704.00,0.037
705.00,0.037
706.00,0.037
707.00,0.037
708.00,0.037
709.00,0.037
710.00,0.037
711.00,0.037
712.00,0.038
713.00,0.038
714.00,0.038
715.00,0.038
716.00,0.038
717.00,0.038
718.00,0.039
719.00,0.039
720.00,0.039
721.00,0.039
722.00,0.039
723.00,0.040
724.00,0.040
725.00,0.040
726.00,0.040
727.00,0.041
728.00,0.041
729.00,0.042
730.00,0.042
731.00,0.043
732.00,0.043
733.00,0.044
734.00,0.044
735.00,0.044
736.00,0.045
737.00,0.045
738.00,0.045
739.00,0.045
740.00,0.045
741.00,0.045
742.00,0.045
743.00,0.046
744.00,0.046
745.00,0.046
746.00,0.046
747.00,0.046
748.00,0.046
749.00,0.046
750.00,0.045
751.00,0.045
752.00,0.045
753.00,0.046
754.00,0.046
755.00,0.045
756.00,0.045
757.00,0.045
758.00,0.045
759.00,0.046
760.00,0.046
761.00,0.045
762.00,0.045
763.00,0.045
764.00,0.045
765.00,0.045
766.00,0.045
767.00,0.045
768.00,0.045
769.00,0.045
770.00,0.045
771.00,0.045
772.00,0.045
773.00,0.045
774.00,0.045
775.00,0.045
776.00,0.045
777.00,0.045
778.00,0.045
779.00,0.044
780.00,0.044
781.00,0.044
782.00,0.044
783.00,0.044
784.00,0.044
785.00,0.044
786.00,0.044
787.00,0.044
788.00,0.044
789.00,0.043
790.00,0.043
791.00,0.043
792.00,0.043
793.00,0.043
794.00,0.043
795.00,0.043
796.00,0.043
797.00,0.043
798.00,0.043
799.00,0.043
800.00,0.042
801.00,0.042
802.00,0.042
803.00,0.042
804.00,0.042
805.00,0.042
806.00,0.042
807.00,0.042
808.00,0.042
809.00,0.042
810.00,0.042
811.00,0.042
812.00,0.042
813.00,0.042
814.00,0.042
815.00,0.042
816.00,0.042
817.00,0.043
818.00,0.043
819.00,0.043
820.00,0.043
821.00,0.043
822.00,0.043
823.00,0.044
824.00,0.044
825.00,0.044
826.00,0.045
827.00,0.045
828.00,0.046
829.00,0.046
830.00,0.047
831.00,0.047
832.00,0.048
833.00,0.048
834.00,0.049
835.00,0.049
836.00,0.049
837.00,0.049
838.00,0.049
839.00,0.050
840.00,0.050
841.00,0.050
842.00,0.050
843.00,0.050
844.00,0.050
845.00,0.050
846.00,0.050
847.00,0.051
848.00,0.051
849.00,0.051
850.00,0.051
851.00,0.051
852.00,0.051
853.00,0.051
854.00,0.051
855.00,0.052
856.00,0.052
857.00,0.052
