"BorealeCuivree_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.810
191.00,2.878
192.00,3.165
193.00,3.209
194.00,3.142
195.00,3.142
196.00,3.459
197.00,3.420
198.00,3.287
199.00,3.525
200.00,3.537
201.00,3.724
202.00,3.676
203.00,3.382
204.00,3.461
205.00,3.470
206.00,3.496
207.00,3.705
208.00,3.583
209.00,3.686
210.00,3.442
211.00,3.491
212.00,3.495
213.00,3.465
214.00,3.389
215.00,3.322
216.00,3.233
217.00,3.128
218.00,3.057
219.00,2.873
220.00,2.771
221.00,2.648
222.00,2.529
223.00,2.405
224.00,2.275
225.00,2.153
226.00,2.025
227.00,1.896
228.00,1.770
229.00,1.657
230.00,1.550
231.00,1.451
232.00,1.365
233.00,1.287
234.00,1.221
235.00,1.164
236.00,1.117
237.00,1.077
238.00,1.045
239.00,1.019
240.00,0.999
241.00,0.983
242.00,0.973
243.00,0.966
244.00,0.962
245.00,0.960
246.00,0.961
247.00,0.963
248.00,0.967
249.00,0.971
250.00,0.977
251.00,0.983
252.00,0.990
253.00,0.997
254.00,1.004
255.00,1.011
256.00,1.018
257.00,1.024
258.00,1.028
259.00,1.031
260.00,1.033
261.00,1.035
262.00,1.037
263.00,1.040
264.00,1.043
265.00,1.045
266.00,1.044
267.00,1.043
268.00,1.042
269.00,1.037
270.00,1.031
271.00,1.025
272.00,1.016
273.00,1.006
274.00,0.994
275.00,0.980
276.00,0.964
277.00,0.946
278.00,0.927
279.00,0.906
280.00,0.885
281.00,0.862
282.00,0.839
283.00,0.812
284.00,0.785
285.00,0.756
286.00,0.730
287.00,0.705
288.00,0.678
289.00,0.652
290.00,0.623
291.00,0.597
292.00,0.573
293.00,0.551
294.00,0.534
295.00,0.518
296.00,0.505
297.00,0.493
298.00,0.482
299.00,0.472
300.00,0.464
301.00,0.456
302.00,0.449
303.00,0.442
304.00,0.437
305.00,0.431
306.00,0.426
307.00,0.421
308.00,0.416
309.00,0.411
310.00,0.407
311.00,0.403
312.00,0.399
313.00,0.394
314.00,0.390
315.00,0.387
316.00,0.383
317.00,0.379
318.00,0.374
319.00,0.369
320.00,0.365
321.00,0.360
322.00,0.355
323.00,0.349
324.00,0.344
325.00,0.338
326.00,0.332
327.00,0.326
328.00,0.319
329.00,0.312
330.00,0.306
331.00,0.299
332.00,0.293
333.00,0.285
334.00,0.278
335.00,0.272
336.00,0.265
337.00,0.259
338.00,0.252
339.00,0.246
340.00,0.239
341.00,0.232
342.00,0.225
343.00,0.219
344.00,0.213
345.00,0.208
346.00,0.202
347.00,0.197
348.00,0.192
349.00,0.186
350.00,0.181
351.00,0.177
352.00,0.172
353.00,0.168
354.00,0.164
355.00,0.160
356.00,0.156
357.00,0.153
358.00,0.149
359.00,0.146
360.00,0.142
361.00,0.139
362.00,0.136
363.00,0.134
364.00,0.131
365.00,0.129
366.00,0.126
367.00,0.124
368.00,0.122
369.00,0.120
370.00,0.118
371.00,0.116
372.00,0.114
373.00,0.112
374.00,0.110
375.00,0.108
376.00,0.107
377.00,0.105
378.00,0.104
379.00,0.102
380.00,0.100
381.00,0.099
382.00,0.097
383.00,0.096
384.00,0.095
385.00,0.094
386.00,0.092
387.00,0.091
388.00,0.090
389.00,0.089
390.00,0.088
391.00,0.087
392.00,0.086
393.00,0.085
394.00,0.084
395.00,0.083
396.00,0.082
397.00,0.082
398.00,0.081
399.00,0.080
400.00,0.079
401.00,0.078
402.00,0.078
403.00,0.077
404.00,0.076
405.00,0.076
406.00,0.075
407.00,0.075
408.00,0.074
409.00,0.073
410.00,0.073
411.00,0.072
412.00,0.072
413.00,0.071
414.00,0.071
415.00,0.070
416.00,0.070
417.00,0.069
418.00,0.069
419.00,0.069
420.00,0.068
421.00,0.068
422.00,0.067
423.00,0.067
424.00,0.067
425.00,0.066
426.00,0.066
427.00,0.065
428.00,0.065
429.00,0.065
430.00,0.064
431.00,0.064
432.00,0.064
433.00,0.063
434.00,0.063
435.00,0.063
436.00,0.062
437.00,0.062
438.00,0.062
439.00,0.061
440.00,0.061
441.00,0.061
442.00,0.061
443.00,0.060
444.00,0.060
445.00,0.060
446.00,0.060
447.00,0.059
448.00,0.059
449.00,0.059
450.00,0.059
451.00,0.058
452.00,0.058
453.00,0.058
454.00,0.058
