"BorealeDoubleBlanche50x - RawData"
"Wavelength nm.","Abs."
190.00,3.582
191.00,3.730
192.00,3.850
193.00,3.847
194.00,3.639
195.00,3.880
196.00,3.857
197.00,3.810
198.00,3.799
199.00,3.719
200.00,3.931
201.00,3.847
202.00,3.925
203.00,3.790
204.00,3.887
205.00,3.920
206.00,3.835
207.00,3.683
208.00,3.803
209.00,3.825
210.00,3.613
211.00,3.438
212.00,3.266
213.00,3.133
214.00,3.036
215.00,2.899
216.00,2.753
217.00,2.647
218.00,2.525
219.00,2.410
220.00,2.289
221.00,2.180
222.00,2.069
223.00,1.963
224.00,1.856
225.00,1.751
226.00,1.644
227.00,1.536
228.00,1.432
229.00,1.336
230.00,1.246
231.00,1.164
232.00,1.092
233.00,1.027
234.00,0.972
235.00,0.925
236.00,0.884
237.00,0.851
238.00,0.823
239.00,0.800
240.00,0.782
241.00,0.768
242.00,0.758
243.00,0.751
244.00,0.746
245.00,0.743
246.00,0.742
247.00,0.742
248.00,0.743
249.00,0.745
250.00,0.748
251.00,0.751
252.00,0.755
253.00,0.759
254.00,0.763
255.00,0.769
256.00,0.773
257.00,0.778
258.00,0.781
259.00,0.784
260.00,0.786
261.00,0.789
262.00,0.791
263.00,0.794
264.00,0.796
265.00,0.798
266.00,0.798
267.00,0.799
268.00,0.799
269.00,0.797
270.00,0.793
271.00,0.788
272.00,0.783
273.00,0.775
274.00,0.766
275.00,0.756
276.00,0.744
277.00,0.731
278.00,0.717
279.00,0.702
280.00,0.687
281.00,0.670
282.00,0.653
283.00,0.633
284.00,0.612
285.00,0.591
286.00,0.571
287.00,0.553
288.00,0.533
289.00,0.514
290.00,0.492
291.00,0.472
292.00,0.455
293.00,0.439
294.00,0.426
295.00,0.414
296.00,0.404
297.00,0.396
298.00,0.388
299.00,0.380
300.00,0.374
301.00,0.368
302.00,0.363
303.00,0.359
304.00,0.354
305.00,0.350
306.00,0.346
307.00,0.342
308.00,0.338
309.00,0.335
310.00,0.332
311.00,0.328
312.00,0.325
313.00,0.322
314.00,0.319
315.00,0.316
316.00,0.313
317.00,0.310
318.00,0.307
319.00,0.303
320.00,0.300
321.00,0.297
322.00,0.293
323.00,0.289
324.00,0.285
325.00,0.280
326.00,0.275
327.00,0.271
328.00,0.266
329.00,0.261
330.00,0.256
331.00,0.251
332.00,0.246
333.00,0.241
334.00,0.236
335.00,0.230
336.00,0.225
337.00,0.220
338.00,0.215
339.00,0.210
340.00,0.205
341.00,0.198
342.00,0.193
343.00,0.188
344.00,0.183
345.00,0.179
346.00,0.174
347.00,0.170
348.00,0.165
349.00,0.161
350.00,0.157
351.00,0.153
352.00,0.149
353.00,0.145
354.00,0.142
355.00,0.138
356.00,0.135
357.00,0.132
358.00,0.129
359.00,0.126
360.00,0.123
361.00,0.120
362.00,0.117
363.00,0.115
364.00,0.113
365.00,0.111
366.00,0.109
367.00,0.106
368.00,0.104
369.00,0.102
370.00,0.100
371.00,0.099
372.00,0.097
373.00,0.095
374.00,0.094
375.00,0.092
376.00,0.091
377.00,0.089
378.00,0.087
379.00,0.086
380.00,0.085
381.00,0.083
382.00,0.082
383.00,0.081
384.00,0.080
385.00,0.079
386.00,0.078
387.00,0.077
388.00,0.076
389.00,0.075
390.00,0.074
391.00,0.073
392.00,0.072
393.00,0.072
394.00,0.071
395.00,0.070
396.00,0.069
397.00,0.069
398.00,0.068
399.00,0.067
400.00,0.067
401.00,0.066
402.00,0.066
