"IPABoreal - RawData"
"Wavelength nm.","Abs."
190.00,3.249
191.00,3.616
192.00,3.830
193.00,3.776
194.00,3.842
195.00,3.700
196.00,3.691
197.00,3.765
198.00,3.854
199.00,3.617
200.00,3.705
201.00,3.889
202.00,3.744
203.00,3.879
204.00,3.611
205.00,3.577
206.00,3.511
207.00,3.607
208.00,3.359
209.00,3.153
210.00,3.076
211.00,2.943
212.00,2.812
213.00,2.695
214.00,2.585
215.00,2.464
216.00,2.352
217.00,2.254
218.00,2.154
219.00,2.052
220.00,1.953
221.00,1.861
222.00,1.774
223.00,1.688
224.00,1.600
225.00,1.516
226.00,1.429
227.00,1.343
228.00,1.260
229.00,1.183
230.00,1.110
231.00,1.045
232.00,0.987
233.00,0.935
234.00,0.892
235.00,0.854
236.00,0.822
237.00,0.795
238.00,0.773
239.00,0.754
240.00,0.739
241.00,0.727
242.00,0.719
243.00,0.713
244.00,0.709
245.00,0.707
246.00,0.706
247.00,0.706
248.00,0.706
249.00,0.708
250.00,0.711
251.00,0.714
252.00,0.718
253.00,0.722
254.00,0.725
255.00,0.730
256.00,0.734
257.00,0.738
258.00,0.740
259.00,0.742
260.00,0.744
261.00,0.745
262.00,0.747
263.00,0.749
264.00,0.751
265.00,0.752
266.00,0.752
267.00,0.753
268.00,0.752
269.00,0.751
270.00,0.748
271.00,0.744
272.00,0.739
273.00,0.733
274.00,0.725
275.00,0.717
276.00,0.708
277.00,0.697
278.00,0.685
279.00,0.673
280.00,0.660
281.00,0.646
282.00,0.631
283.00,0.614
284.00,0.597
285.00,0.579
286.00,0.562
287.00,0.545
288.00,0.528
289.00,0.510
290.00,0.492
291.00,0.474
292.00,0.458
293.00,0.444
294.00,0.432
295.00,0.421
296.00,0.413
297.00,0.405
298.00,0.397
299.00,0.391
300.00,0.384
301.00,0.379
302.00,0.374
303.00,0.368
304.00,0.364
305.00,0.359
306.00,0.355
307.00,0.350
308.00,0.345
309.00,0.341
310.00,0.337
311.00,0.333
312.00,0.329
313.00,0.325
314.00,0.321
315.00,0.317
316.00,0.313
317.00,0.309
318.00,0.305
319.00,0.301
320.00,0.297
321.00,0.292
322.00,0.288
323.00,0.283
324.00,0.279
325.00,0.274
326.00,0.269
327.00,0.264
328.00,0.259
329.00,0.254
330.00,0.249
331.00,0.243
332.00,0.238
333.00,0.233
334.00,0.228
335.00,0.222
336.00,0.218
337.00,0.213
338.00,0.208
339.00,0.203
340.00,0.198
341.00,0.193
342.00,0.188
343.00,0.183
344.00,0.179
345.00,0.175
346.00,0.171
347.00,0.167
348.00,0.163
349.00,0.159
350.00,0.155
351.00,0.152
352.00,0.149
353.00,0.145
354.00,0.142
355.00,0.139
356.00,0.136
357.00,0.133
358.00,0.130
359.00,0.128
360.00,0.125
361.00,0.123
362.00,0.121
363.00,0.119
364.00,0.117
365.00,0.115
366.00,0.112
367.00,0.111
368.00,0.109
369.00,0.107
370.00,0.105
371.00,0.104
372.00,0.102
373.00,0.100
374.00,0.099
375.00,0.097
376.00,0.096
377.00,0.094
378.00,0.093
379.00,0.091
380.00,0.090
381.00,0.089
382.00,0.087
383.00,0.086
384.00,0.085
385.00,0.084
386.00,0.083
387.00,0.082
388.00,0.081
389.00,0.080
390.00,0.078
391.00,0.078
392.00,0.077
393.00,0.076
394.00,0.075
395.00,0.074
396.00,0.073
397.00,0.072
398.00,0.072
399.00,0.071
400.00,0.070
401.00,0.069
402.00,0.069
403.00,0.068
404.00,0.068
405.00,0.067
406.00,0.066
407.00,0.066
408.00,0.065
409.00,0.065
410.00,0.064
411.00,0.064
412.00,0.063
413.00,0.063
414.00,0.063
415.00,0.062
416.00,0.062
417.00,0.061
418.00,0.061
419.00,0.061
420.00,0.060
421.00,0.060
422.00,0.060
423.00,0.059
424.00,0.059
425.00,0.059
426.00,0.058
427.00,0.058
428.00,0.058
429.00,0.058
430.00,0.057
431.00,0.057
432.00,0.057
433.00,0.056
434.00,0.056
435.00,0.056
436.00,0.056
437.00,0.055
438.00,0.055
439.00,0.055
440.00,0.055
441.00,0.055
442.00,0.054
443.00,0.054
444.00,0.054
445.00,0.054
446.00,0.053
447.00,0.053
448.00,0.053
449.00,0.053
450.00,0.053
451.00,0.052
452.00,0.052
453.00,0.052
454.00,0.052
455.00,0.052
456.00,0.052
457.00,0.051
458.00,0.051
459.00,0.051
460.00,0.051
461.00,0.051
462.00,0.051
463.00,0.050
464.00,0.050
465.00,0.050
466.00,0.050
467.00,0.050
468.00,0.050
469.00,0.049
470.00,0.049
471.00,0.049
472.00,0.049
473.00,0.049
474.00,0.049
475.00,0.049
476.00,0.048
477.00,0.048
478.00,0.048
479.00,0.048
480.00,0.048
481.00,0.048
482.00,0.048
483.00,0.047
484.00,0.047
485.00,0.047
486.00,0.047
487.00,0.047
488.00,0.047
489.00,0.047
490.00,0.046
491.00,0.046
492.00,0.046
493.00,0.046
494.00,0.046
495.00,0.046
496.00,0.046
497.00,0.046
498.00,0.046
499.00,0.045
500.00,0.045
501.00,0.045
502.00,0.045
503.00,0.045
504.00,0.045
505.00,0.045
506.00,0.045
507.00,0.045
508.00,0.045
509.00,0.044
510.00,0.044
511.00,0.044
512.00,0.044
513.00,0.044
514.00,0.044
515.00,0.044
516.00,0.044
517.00,0.044
518.00,0.044
519.00,0.044
520.00,0.044
521.00,0.043
522.00,0.043
523.00,0.043
524.00,0.043
525.00,0.043
526.00,0.043
527.00,0.043
528.00,0.043
529.00,0.043
530.00,0.043
531.00,0.043
532.00,0.043
533.00,0.042
534.00,0.042
535.00,0.042
536.00,0.043
537.00,0.042
538.00,0.042
539.00,0.042
540.00,0.042
541.00,0.042
542.00,0.042
543.00,0.042
544.00,0.042
545.00,0.042
546.00,0.042
547.00,0.042
548.00,0.042
549.00,0.041
550.00,0.041
551.00,0.041
552.00,0.041
553.00,0.041
554.00,0.041
555.00,0.041
556.00,0.041
557.00,0.041
558.00,0.041
559.00,0.041
560.00,0.041
561.00,0.041
562.00,0.041
563.00,0.041
564.00,0.041
565.00,0.041
566.00,0.041
567.00,0.041
568.00,0.040
569.00,0.040
570.00,0.040
571.00,0.040
572.00,0.040
573.00,0.040
574.00,0.040
575.00,0.040
576.00,0.040
577.00,0.040
578.00,0.040
579.00,0.040
580.00,0.040
581.00,0.040
582.00,0.040
583.00,0.040
584.00,0.040
585.00,0.040
586.00,0.040
587.00,0.040
588.00,0.040
589.00,0.040
590.00,0.040
591.00,0.040
592.00,0.040
593.00,0.040
594.00,0.040
595.00,0.040
596.00,0.040
597.00,0.040
598.00,0.040
599.00,0.040
600.00,0.040
601.00,0.040
602.00,0.040
603.00,0.040
604.00,0.040
605.00,0.040
606.00,0.040
607.00,0.040
608.00,0.040
609.00,0.040
610.00,0.040
611.00,0.040
612.00,0.039
613.00,0.039
614.00,0.040
615.00,0.040
616.00,0.039
617.00,0.039
618.00,0.039
619.00,0.039
620.00,0.039
621.00,0.039
622.00,0.039
623.00,0.039
624.00,0.039
625.00,0.039
626.00,0.039
627.00,0.039
628.00,0.039
629.00,0.039
630.00,0.039
631.00,0.039
632.00,0.039
633.00,0.039
634.00,0.039
635.00,0.039
636.00,0.039
637.00,0.039
638.00,0.039
639.00,0.039
640.00,0.039
641.00,0.039
642.00,0.039
643.00,0.039
644.00,0.039
645.00,0.039
646.00,0.039
647.00,0.039
648.00,0.039
649.00,0.039
650.00,0.039
651.00,0.039
652.00,0.039
653.00,0.039
654.00,0.039
655.00,0.039
656.00,0.039
657.00,0.039
658.00,0.038
659.00,0.039
660.00,0.039
661.00,0.039
662.00,0.039
663.00,0.039
664.00,0.039
665.00,0.039
666.00,0.039
667.00,0.038
668.00,0.038
669.00,0.039
670.00,0.039
671.00,0.038
672.00,0.038
673.00,0.038
674.00,0.038
675.00,0.038
676.00,0.038
677.00,0.038
678.00,0.038
679.00,0.038
680.00,0.038
681.00,0.038
682.00,0.038
683.00,0.038
684.00,0.038
685.00,0.038
686.00,0.038
687.00,0.038
688.00,0.038
689.00,0.038
690.00,0.038
691.00,0.038
692.00,0.038
693.00,0.038
694.00,0.038
695.00,0.038
696.00,0.038
697.00,0.038
698.00,0.039
699.00,0.039
700.00,0.039
701.00,0.039
702.00,0.039
703.00,0.039
704.00,0.039
705.00,0.039
706.00,0.039
707.00,0.039
708.00,0.039
709.00,0.039
710.00,0.039
711.00,0.039
712.00,0.040
713.00,0.040
714.00,0.040
715.00,0.040
716.00,0.040
717.00,0.040
718.00,0.041
719.00,0.041
720.00,0.041
721.00,0.041
722.00,0.041
723.00,0.042
724.00,0.042
725.00,0.042
726.00,0.042
727.00,0.043
728.00,0.043
729.00,0.043
730.00,0.044
731.00,0.044
732.00,0.045
733.00,0.045
734.00,0.046
735.00,0.046
736.00,0.047
737.00,0.047
738.00,0.047
739.00,0.047
740.00,0.047
741.00,0.047
742.00,0.047
743.00,0.047
744.00,0.047
745.00,0.047
746.00,0.047
747.00,0.047
748.00,0.047
749.00,0.047
750.00,0.047
751.00,0.047
752.00,0.047
753.00,0.047
754.00,0.047
755.00,0.047
756.00,0.047
757.00,0.047
758.00,0.047
759.00,0.047
760.00,0.048
761.00,0.047
762.00,0.047
763.00,0.047
764.00,0.047
765.00,0.047
766.00,0.047
767.00,0.047
768.00,0.047
769.00,0.047
770.00,0.047
771.00,0.047
772.00,0.047
773.00,0.047
774.00,0.047
775.00,0.047
776.00,0.047
777.00,0.046
778.00,0.046
779.00,0.046
780.00,0.046
781.00,0.046
782.00,0.046
783.00,0.046
784.00,0.046
785.00,0.046
786.00,0.046
787.00,0.046
788.00,0.045
789.00,0.045
790.00,0.045
791.00,0.045
792.00,0.045
793.00,0.045
794.00,0.045
795.00,0.045
796.00,0.045
797.00,0.044
798.00,0.044
799.00,0.044
800.00,0.044
801.00,0.044
802.00,0.044
803.00,0.044
804.00,0.044
805.00,0.044
806.00,0.044
807.00,0.044
808.00,0.044
809.00,0.044
810.00,0.044
811.00,0.044
812.00,0.044
813.00,0.044
814.00,0.044
815.00,0.044
816.00,0.044
817.00,0.044
818.00,0.044
819.00,0.044
820.00,0.044
821.00,0.045
822.00,0.045
823.00,0.045
824.00,0.045
825.00,0.046
826.00,0.046
827.00,0.047
828.00,0.047
829.00,0.048
830.00,0.048
831.00,0.049
832.00,0.049
833.00,0.050
834.00,0.050
835.00,0.050
836.00,0.051
837.00,0.051
838.00,0.051
839.00,0.051
840.00,0.051
841.00,0.051
842.00,0.051
843.00,0.051
844.00,0.052
845.00,0.052
846.00,0.052
847.00,0.052
848.00,0.052
849.00,0.052
850.00,0.052
851.00,0.052
852.00,0.053
853.00,0.053
854.00,0.053
855.00,0.053
856.00,0.053
857.00,0.053
858.00,0.053
859.00,0.053
860.00,0.054
861.00,0.054
862.00,0.054
863.00,0.054
864.00,0.054
865.00,0.054
866.00,0.054
867.00,0.054
868.00,0.054
869.00,0.055
870.00,0.055
871.00,0.055
872.00,0.055
873.00,0.055
874.00,0.056
875.00,0.056
