"BorealeRousse50x - RawData"
"Wavelength nm.","Abs."
190.00,3.978
191.00,3.839
192.00,3.789
193.00,3.896
194.00,3.966
195.00,3.934
196.00,3.967
197.00,3.880
198.00,3.869
199.00,3.953
200.00,3.906
201.00,3.920
202.00,3.869
203.00,4.000
204.00,3.990
205.00,3.992
206.00,3.966
207.00,3.979
208.00,3.754
209.00,3.524
210.00,3.376
211.00,3.187
212.00,3.088
213.00,2.982
214.00,2.841
215.00,2.722
216.00,2.597
217.00,2.489
218.00,2.376
219.00,2.263
220.00,2.149
221.00,2.046
222.00,1.953
223.00,1.858
224.00,1.763
225.00,1.672
226.00,1.581
227.00,1.488
228.00,1.398
229.00,1.316
230.00,1.238
231.00,1.168
232.00,1.105
233.00,1.048
234.00,1.000
235.00,0.958
236.00,0.923
237.00,0.893
238.00,0.868
239.00,0.847
240.00,0.830
241.00,0.816
242.00,0.807
243.00,0.800
244.00,0.796
245.00,0.794
246.00,0.793
247.00,0.794
248.00,0.795
249.00,0.797
250.00,0.801
251.00,0.805
252.00,0.809
253.00,0.813
254.00,0.818
255.00,0.823
256.00,0.827
257.00,0.831
258.00,0.834
259.00,0.835
260.00,0.836
261.00,0.838
262.00,0.840
263.00,0.842
264.00,0.843
265.00,0.844
266.00,0.844
267.00,0.844
268.00,0.842
269.00,0.840
270.00,0.836
271.00,0.831
272.00,0.826
273.00,0.819
274.00,0.810
275.00,0.801
276.00,0.790
277.00,0.778
278.00,0.764
279.00,0.749
280.00,0.734
281.00,0.719
282.00,0.702
283.00,0.683
284.00,0.663
285.00,0.642
286.00,0.623
287.00,0.604
288.00,0.585
289.00,0.565
290.00,0.544
291.00,0.523
292.00,0.505
293.00,0.489
294.00,0.475
295.00,0.463
296.00,0.452
297.00,0.443
298.00,0.434
299.00,0.425
300.00,0.418
301.00,0.411
302.00,0.405
303.00,0.399
304.00,0.394
305.00,0.389
306.00,0.384
307.00,0.379
308.00,0.374
309.00,0.370
310.00,0.366
311.00,0.361
312.00,0.357
313.00,0.354
314.00,0.350
315.00,0.346
316.00,0.342
317.00,0.338
318.00,0.334
319.00,0.330
320.00,0.326
321.00,0.321
322.00,0.317
323.00,0.312
324.00,0.307
325.00,0.302
326.00,0.297
327.00,0.292
328.00,0.286
329.00,0.281
330.00,0.275
331.00,0.270
332.00,0.264
333.00,0.258
334.00,0.253
335.00,0.247
336.00,0.242
337.00,0.237
338.00,0.231
339.00,0.226
340.00,0.221
341.00,0.214
342.00,0.209
343.00,0.205
344.00,0.199
345.00,0.195
346.00,0.190
347.00,0.186
348.00,0.182
349.00,0.177
350.00,0.173
351.00,0.170
352.00,0.166
353.00,0.162
354.00,0.159
355.00,0.156
356.00,0.152
357.00,0.150
358.00,0.146
359.00,0.143
360.00,0.141
361.00,0.138
362.00,0.136
363.00,0.134
364.00,0.131
365.00,0.129
366.00,0.127
367.00,0.125
368.00,0.123
369.00,0.121
370.00,0.119
371.00,0.118
372.00,0.116
373.00,0.114
374.00,0.113
375.00,0.111
376.00,0.110
377.00,0.108
378.00,0.107
379.00,0.105
380.00,0.104
381.00,0.102
382.00,0.101
383.00,0.100
384.00,0.099
385.00,0.097
386.00,0.096
387.00,0.095
388.00,0.094
389.00,0.093
390.00,0.092
391.00,0.091
392.00,0.090
393.00,0.089
394.00,0.088
395.00,0.087
396.00,0.086
397.00,0.086
398.00,0.085
399.00,0.084
400.00,0.083
401.00,0.083
402.00,0.082
403.00,0.081
404.00,0.080
405.00,0.080
406.00,0.079
407.00,0.079
408.00,0.078
409.00,0.077
410.00,0.077
411.00,0.076
412.00,0.075
413.00,0.075
414.00,0.074
415.00,0.074
416.00,0.073
417.00,0.073
418.00,0.073
419.00,0.072
420.00,0.072
421.00,0.071
422.00,0.071
423.00,0.070
424.00,0.070
425.00,0.069
426.00,0.069
427.00,0.069
428.00,0.068
429.00,0.068
430.00,0.067
431.00,0.067
432.00,0.067
433.00,0.066
434.00,0.066
435.00,0.065
436.00,0.065
437.00,0.065
438.00,0.064
439.00,0.064
440.00,0.064
441.00,0.063
442.00,0.063
443.00,0.063
444.00,0.063
445.00,0.062
446.00,0.062
447.00,0.062
448.00,0.061
449.00,0.061
450.00,0.061
451.00,0.060
452.00,0.060
453.00,0.060
454.00,0.060
455.00,0.059
456.00,0.059
457.00,0.059
458.00,0.059
459.00,0.058
460.00,0.058
461.00,0.058
462.00,0.058
463.00,0.057
464.00,0.057
465.00,0.057
466.00,0.057
467.00,0.056
468.00,0.056
469.00,0.056
470.00,0.056
471.00,0.056
472.00,0.055
473.00,0.055
474.00,0.055
475.00,0.055
476.00,0.055
477.00,0.054
478.00,0.054
479.00,0.054
480.00,0.054
481.00,0.053
482.00,0.053
483.00,0.053
484.00,0.053
485.00,0.053
486.00,0.052
487.00,0.052
488.00,0.052
489.00,0.052
490.00,0.052
491.00,0.052
492.00,0.051
493.00,0.051
494.00,0.051
495.00,0.051
496.00,0.051
497.00,0.051
498.00,0.050
499.00,0.050
500.00,0.050
501.00,0.050
502.00,0.050
503.00,0.050
504.00,0.049
505.00,0.049
506.00,0.049
507.00,0.049
508.00,0.049
509.00,0.049
510.00,0.049
511.00,0.048
512.00,0.048
513.00,0.048
514.00,0.048
515.00,0.048
516.00,0.048
517.00,0.048
518.00,0.048
519.00,0.048
520.00,0.047
521.00,0.047
522.00,0.047
523.00,0.047
524.00,0.047
525.00,0.047
526.00,0.047
527.00,0.047
528.00,0.046
529.00,0.046
530.00,0.046
531.00,0.046
532.00,0.046
533.00,0.046
534.00,0.046
535.00,0.046
536.00,0.046
537.00,0.046
538.00,0.045
539.00,0.045
540.00,0.045
541.00,0.045
542.00,0.045
543.00,0.045
544.00,0.045
545.00,0.045
546.00,0.045
547.00,0.045
548.00,0.044
549.00,0.044
550.00,0.044
551.00,0.044
552.00,0.044
553.00,0.044
554.00,0.044
555.00,0.044
556.00,0.044
557.00,0.044
558.00,0.044
559.00,0.044
560.00,0.044
561.00,0.044
562.00,0.043
563.00,0.043
564.00,0.043
565.00,0.043
566.00,0.043
567.00,0.043
568.00,0.043
569.00,0.043
570.00,0.043
571.00,0.043
572.00,0.043
573.00,0.043
574.00,0.043
575.00,0.043
576.00,0.043
577.00,0.042
578.00,0.042
579.00,0.042
580.00,0.042
581.00,0.042
582.00,0.042
583.00,0.042
584.00,0.042
585.00,0.042
586.00,0.042
587.00,0.042
588.00,0.042
589.00,0.042
590.00,0.042
591.00,0.042
592.00,0.042
593.00,0.042
594.00,0.042
595.00,0.042
596.00,0.042
597.00,0.042
598.00,0.042
599.00,0.042
600.00,0.042
601.00,0.042
602.00,0.042
603.00,0.042
604.00,0.042
605.00,0.042
606.00,0.042
607.00,0.042
608.00,0.042
609.00,0.042
610.00,0.042
611.00,0.042
612.00,0.041
613.00,0.041
614.00,0.041
615.00,0.041
616.00,0.041
617.00,0.041
618.00,0.041
619.00,0.041
620.00,0.041
621.00,0.041
622.00,0.041
623.00,0.041
624.00,0.041
625.00,0.041
626.00,0.041
627.00,0.041
628.00,0.041
629.00,0.041
630.00,0.041
631.00,0.041
632.00,0.041
633.00,0.041
634.00,0.041
635.00,0.041
636.00,0.040
637.00,0.040
638.00,0.040
639.00,0.040
640.00,0.040
641.00,0.040
642.00,0.040
643.00,0.040
644.00,0.040
645.00,0.040
646.00,0.040
647.00,0.040
648.00,0.040
649.00,0.040
650.00,0.040
651.00,0.040
652.00,0.040
653.00,0.040
654.00,0.040
655.00,0.040
656.00,0.040
657.00,0.040
658.00,0.040
659.00,0.040
660.00,0.040
661.00,0.040
662.00,0.040
663.00,0.040
664.00,0.040
665.00,0.040
666.00,0.040
667.00,0.040
668.00,0.040
669.00,0.040
670.00,0.040
671.00,0.040
672.00,0.040
673.00,0.040
674.00,0.040
675.00,0.040
676.00,0.040
677.00,0.040
678.00,0.040
679.00,0.040
680.00,0.040
681.00,0.040
682.00,0.040
683.00,0.040
684.00,0.040
685.00,0.040
686.00,0.040
687.00,0.040
688.00,0.040
689.00,0.040
690.00,0.040
691.00,0.040
692.00,0.040
693.00,0.040
694.00,0.040
695.00,0.040
696.00,0.040
697.00,0.040
698.00,0.040
699.00,0.040
700.00,0.040
701.00,0.040
702.00,0.040
703.00,0.040
704.00,0.040
705.00,0.040
706.00,0.040
707.00,0.040
708.00,0.040
709.00,0.041
710.00,0.041
711.00,0.041
712.00,0.041
713.00,0.041
714.00,0.041
715.00,0.041
716.00,0.041
717.00,0.042
718.00,0.042
719.00,0.042
720.00,0.042
721.00,0.042
722.00,0.043
723.00,0.043
724.00,0.043
725.00,0.043
726.00,0.044
727.00,0.044
728.00,0.044
729.00,0.045
730.00,0.045
731.00,0.046
732.00,0.046
733.00,0.047
734.00,0.047
735.00,0.047
736.00,0.048
737.00,0.048
738.00,0.048
739.00,0.048
740.00,0.048
741.00,0.048
742.00,0.048
743.00,0.048
744.00,0.048
745.00,0.048
746.00,0.048
747.00,0.048
748.00,0.048
749.00,0.048
750.00,0.048
751.00,0.048
752.00,0.048
753.00,0.048
754.00,0.048
755.00,0.048
756.00,0.048
757.00,0.048
758.00,0.048
759.00,0.048
760.00,0.049
761.00,0.048
762.00,0.048
763.00,0.048
764.00,0.048
765.00,0.048
766.00,0.048
767.00,0.048
768.00,0.048
769.00,0.048
770.00,0.048
771.00,0.048
772.00,0.048
773.00,0.048
774.00,0.048
775.00,0.048
776.00,0.047
777.00,0.047
778.00,0.047
779.00,0.047
780.00,0.047
781.00,0.047
782.00,0.047
783.00,0.047
784.00,0.047
785.00,0.047
786.00,0.046
787.00,0.046
788.00,0.046
789.00,0.046
790.00,0.046
791.00,0.046
792.00,0.046
793.00,0.046
794.00,0.046
795.00,0.046
796.00,0.046
797.00,0.045
798.00,0.045
799.00,0.045
800.00,0.045
801.00,0.045
802.00,0.045
803.00,0.045
804.00,0.045
805.00,0.045
806.00,0.045
807.00,0.045
808.00,0.045
809.00,0.045
810.00,0.045
811.00,0.045
812.00,0.045
813.00,0.045
814.00,0.045
815.00,0.045
816.00,0.045
817.00,0.045
818.00,0.045
819.00,0.045
820.00,0.045
821.00,0.046
822.00,0.046
823.00,0.046
824.00,0.046
825.00,0.047
826.00,0.047
827.00,0.048
828.00,0.048
829.00,0.049
830.00,0.049
831.00,0.050
832.00,0.050
833.00,0.051
834.00,0.051
835.00,0.051
836.00,0.051
837.00,0.051
838.00,0.052
839.00,0.052
840.00,0.052
841.00,0.052
842.00,0.052
843.00,0.052
844.00,0.052
845.00,0.052
846.00,0.053
847.00,0.053
848.00,0.053
849.00,0.053
850.00,0.053
851.00,0.053
852.00,0.053
853.00,0.053
854.00,0.053
855.00,0.054
856.00,0.054
857.00,0.054
858.00,0.054
859.00,0.054
860.00,0.054
861.00,0.054
862.00,0.054
863.00,0.054
864.00,0.054
865.00,0.055
866.00,0.055
867.00,0.055
868.00,0.055
869.00,0.055
870.00,0.055
871.00,0.055
872.00,0.056
873.00,0.056
874.00,0.056
