"BrasseurIllimiteSaisonRosemont50x - RawData"
"Wavelength nm.","Abs."
190.00,2.950
191.00,3.246
192.00,3.618
193.00,3.302
194.00,3.344
195.00,3.482
196.00,3.569
197.00,3.633
198.00,3.355
199.00,3.458
200.00,3.655
201.00,3.747
202.00,3.652
203.00,3.513
204.00,3.460
205.00,3.322
206.00,3.164
207.00,3.081
208.00,2.924
209.00,2.800
210.00,2.653
211.00,2.534
212.00,2.421
213.00,2.310
214.00,2.196
215.00,2.091
216.00,1.992
217.00,1.893
218.00,1.801
219.00,1.707
220.00,1.616
221.00,1.536
222.00,1.459
223.00,1.385
224.00,1.310
225.00,1.239
226.00,1.170
227.00,1.100
228.00,1.033
229.00,0.972
230.00,0.915
231.00,0.864
232.00,0.819
233.00,0.779
234.00,0.745
235.00,0.717
236.00,0.693
237.00,0.674
238.00,0.658
239.00,0.647
240.00,0.639
241.00,0.633
242.00,0.631
243.00,0.630
244.00,0.631
245.00,0.633
246.00,0.636
247.00,0.640
248.00,0.645
249.00,0.649
250.00,0.654
251.00,0.660
252.00,0.665
253.00,0.670
254.00,0.674
255.00,0.678
256.00,0.682
257.00,0.685
258.00,0.686
259.00,0.685
260.00,0.684
261.00,0.683
262.00,0.682
263.00,0.681
264.00,0.679
265.00,0.678
266.00,0.674
267.00,0.671
268.00,0.666
269.00,0.659
270.00,0.652
271.00,0.644
272.00,0.635
273.00,0.625
274.00,0.614
275.00,0.602
276.00,0.589
277.00,0.575
278.00,0.561
279.00,0.546
280.00,0.530
281.00,0.515
282.00,0.499
283.00,0.481
284.00,0.464
285.00,0.446
286.00,0.429
287.00,0.412
288.00,0.395
289.00,0.378
290.00,0.361
291.00,0.345
292.00,0.330
293.00,0.317
294.00,0.306
295.00,0.297
296.00,0.289
297.00,0.282
298.00,0.275
299.00,0.269
300.00,0.264
301.00,0.260
302.00,0.256
303.00,0.252
304.00,0.249
305.00,0.246
306.00,0.244
307.00,0.241
308.00,0.239
309.00,0.238
310.00,0.236
311.00,0.234
312.00,0.232
313.00,0.231
314.00,0.229
315.00,0.228
316.00,0.226
317.00,0.225
318.00,0.223
319.00,0.221
320.00,0.220
321.00,0.218
322.00,0.216
323.00,0.214
324.00,0.212
325.00,0.209
326.00,0.207
327.00,0.204
328.00,0.201
329.00,0.198
330.00,0.195
331.00,0.193
332.00,0.189
333.00,0.186
334.00,0.182
335.00,0.180
336.00,0.176
337.00,0.173
338.00,0.170
339.00,0.167
340.00,0.164
341.00,0.159
342.00,0.156
343.00,0.153
344.00,0.150
345.00,0.147
346.00,0.144
347.00,0.141
348.00,0.138
349.00,0.135
350.00,0.132
351.00,0.129
352.00,0.126
353.00,0.124
354.00,0.121
355.00,0.118
356.00,0.116
357.00,0.114
358.00,0.112
359.00,0.110
360.00,0.108
361.00,0.106
362.00,0.104
363.00,0.102
364.00,0.100
365.00,0.099
366.00,0.097
367.00,0.096
368.00,0.094
369.00,0.093
370.00,0.092
371.00,0.090
372.00,0.089
373.00,0.088
374.00,0.087
375.00,0.086
376.00,0.084
377.00,0.083
378.00,0.082
379.00,0.081
380.00,0.080
381.00,0.079
382.00,0.079
383.00,0.078
384.00,0.077
385.00,0.076
386.00,0.075
387.00,0.075
388.00,0.074
389.00,0.073
390.00,0.073
391.00,0.072
392.00,0.072
393.00,0.071
394.00,0.070
395.00,0.070
396.00,0.069
397.00,0.069
398.00,0.068
399.00,0.068
400.00,0.068
401.00,0.067
402.00,0.067
403.00,0.066
404.00,0.066
405.00,0.066
406.00,0.065
407.00,0.065
408.00,0.065
409.00,0.064
410.00,0.064
411.00,0.064
412.00,0.063
413.00,0.063
414.00,0.063
415.00,0.063
416.00,0.062
417.00,0.062
418.00,0.062
419.00,0.062
420.00,0.061
421.00,0.061
422.00,0.061
423.00,0.061
424.00,0.061
425.00,0.060
426.00,0.060
427.00,0.060
428.00,0.060
429.00,0.059
430.00,0.059
431.00,0.059
432.00,0.059
433.00,0.059
434.00,0.059
435.00,0.059
436.00,0.058
437.00,0.058
438.00,0.058
439.00,0.058
440.00,0.058
441.00,0.058
442.00,0.058
443.00,0.057
444.00,0.057
445.00,0.057
446.00,0.057
447.00,0.057
448.00,0.057
449.00,0.057
450.00,0.057
451.00,0.056
452.00,0.056
453.00,0.056
454.00,0.056
455.00,0.056
456.00,0.056
457.00,0.056
458.00,0.056
459.00,0.056
460.00,0.056
461.00,0.055
462.00,0.055
463.00,0.055
464.00,0.055
465.00,0.055
466.00,0.055
467.00,0.055
468.00,0.055
469.00,0.055
470.00,0.055
471.00,0.055
472.00,0.054
473.00,0.054
474.00,0.054
475.00,0.054
476.00,0.054
477.00,0.054
478.00,0.054
479.00,0.054
480.00,0.054
481.00,0.054
482.00,0.054
483.00,0.053
484.00,0.053
485.00,0.053
486.00,0.053
487.00,0.053
488.00,0.053
489.00,0.053
490.00,0.053
491.00,0.053
492.00,0.053
493.00,0.053
494.00,0.053
495.00,0.053
496.00,0.052
497.00,0.052
498.00,0.052
499.00,0.052
500.00,0.052
501.00,0.052
502.00,0.052
503.00,0.052
504.00,0.052
505.00,0.052
506.00,0.052
507.00,0.052
508.00,0.051
509.00,0.051
510.00,0.051
511.00,0.051
512.00,0.051
513.00,0.051
514.00,0.051
515.00,0.051
516.00,0.051
517.00,0.051
518.00,0.051
519.00,0.051
520.00,0.051
521.00,0.051
522.00,0.050
523.00,0.050
524.00,0.050
525.00,0.050
526.00,0.050
527.00,0.050
528.00,0.050
529.00,0.050
530.00,0.050
531.00,0.050
532.00,0.050
533.00,0.050
534.00,0.050
535.00,0.050
536.00,0.050
537.00,0.050
538.00,0.049
539.00,0.049
540.00,0.049
541.00,0.049
542.00,0.049
543.00,0.049
544.00,0.049
545.00,0.049
546.00,0.049
547.00,0.049
548.00,0.049
549.00,0.049
550.00,0.049
551.00,0.049
552.00,0.049
553.00,0.048
554.00,0.048
555.00,0.048
