"CanoeBock_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.908
191.00,2.998
192.00,3.198
193.00,3.664
194.00,3.499
195.00,3.347
196.00,3.673
197.00,3.597
198.00,3.768
199.00,3.770
200.00,3.803
201.00,3.855
202.00,3.883
203.00,3.705
204.00,3.649
205.00,3.732
206.00,3.939
207.00,3.855
208.00,3.841
209.00,3.825
210.00,3.817
211.00,3.933
212.00,3.852
213.00,3.841
214.00,3.738
215.00,3.673
216.00,3.716
217.00,3.519
218.00,3.371
219.00,3.244
220.00,3.107
221.00,2.993
222.00,2.883
223.00,2.755
224.00,2.618
225.00,2.492
226.00,2.360
227.00,2.237
228.00,2.110
229.00,1.989
230.00,1.880
231.00,1.783
232.00,1.695
233.00,1.616
234.00,1.548
235.00,1.490
236.00,1.440
237.00,1.398
238.00,1.363
239.00,1.335
240.00,1.313
241.00,1.297
242.00,1.286
243.00,1.279
244.00,1.276
245.00,1.275
246.00,1.277
247.00,1.280
248.00,1.285
249.00,1.291
250.00,1.297
251.00,1.305
252.00,1.313
253.00,1.322
254.00,1.329
255.00,1.336
256.00,1.345
257.00,1.351
258.00,1.356
259.00,1.359
260.00,1.362
261.00,1.364
262.00,1.365
263.00,1.367
264.00,1.368
265.00,1.369
266.00,1.368
267.00,1.365
268.00,1.362
269.00,1.357
270.00,1.350
271.00,1.343
272.00,1.334
273.00,1.325
274.00,1.314
275.00,1.300
276.00,1.288
277.00,1.274
278.00,1.258
279.00,1.242
280.00,1.224
281.00,1.207
282.00,1.189
283.00,1.167
284.00,1.146
285.00,1.125
286.00,1.103
287.00,1.083
288.00,1.062
289.00,1.040
290.00,1.016
291.00,0.993
292.00,0.971
293.00,0.952
294.00,0.935
295.00,0.919
296.00,0.905
297.00,0.892
298.00,0.877
299.00,0.864
300.00,0.852
301.00,0.839
302.00,0.827
303.00,0.815
304.00,0.802
305.00,0.790
306.00,0.778
307.00,0.766
308.00,0.753
309.00,0.740
310.00,0.728
311.00,0.716
312.00,0.704
313.00,0.693
314.00,0.682
315.00,0.670
316.00,0.658
317.00,0.647
318.00,0.636
319.00,0.625
320.00,0.614
321.00,0.602
322.00,0.591
323.00,0.580
324.00,0.568
325.00,0.557
326.00,0.546
327.00,0.534
328.00,0.523
329.00,0.512
330.00,0.502
331.00,0.491
332.00,0.480
333.00,0.470
334.00,0.459
335.00,0.449
336.00,0.440
337.00,0.430
338.00,0.420
339.00,0.411
340.00,0.402
341.00,0.391
342.00,0.382
343.00,0.373
344.00,0.365
345.00,0.357
346.00,0.349
347.00,0.342
348.00,0.334
349.00,0.326
350.00,0.319
351.00,0.313
352.00,0.306
353.00,0.299
354.00,0.293
355.00,0.287
356.00,0.282
357.00,0.276
358.00,0.270
359.00,0.265
360.00,0.259
361.00,0.254
362.00,0.250
363.00,0.245
364.00,0.241
365.00,0.237
366.00,0.233
367.00,0.229
368.00,0.225
369.00,0.221
370.00,0.217
371.00,0.214
372.00,0.210
373.00,0.207
374.00,0.203
375.00,0.200
376.00,0.197
377.00,0.194
378.00,0.191
379.00,0.188
380.00,0.185
381.00,0.182
382.00,0.180
383.00,0.177
384.00,0.174
385.00,0.172
386.00,0.170
387.00,0.168
388.00,0.166
389.00,0.163
390.00,0.161
391.00,0.159
392.00,0.157
393.00,0.155
394.00,0.153
395.00,0.152
396.00,0.150
397.00,0.148
398.00,0.147
399.00,0.145
400.00,0.144
401.00,0.142
402.00,0.141
403.00,0.139
404.00,0.138
405.00,0.137
406.00,0.135
407.00,0.134
408.00,0.133
409.00,0.132
410.00,0.130
411.00,0.129
412.00,0.128
413.00,0.127
414.00,0.126
415.00,0.125
416.00,0.124
417.00,0.123
418.00,0.122
419.00,0.121
420.00,0.120
421.00,0.119
422.00,0.118
423.00,0.118
424.00,0.117
425.00,0.116
426.00,0.115
427.00,0.114
428.00,0.113
429.00,0.112
430.00,0.112
431.00,0.111
432.00,0.110
433.00,0.109
434.00,0.109
435.00,0.108
436.00,0.107
437.00,0.106
438.00,0.106
439.00,0.105
440.00,0.104
441.00,0.104
442.00,0.103
443.00,0.102
444.00,0.102
445.00,0.101
446.00,0.101
447.00,0.100
448.00,0.099
449.00,0.099
450.00,0.098
451.00,0.098
452.00,0.097
453.00,0.097
454.00,0.096
455.00,0.096
456.00,0.095
457.00,0.095
458.00,0.094
459.00,0.093
460.00,0.093
461.00,0.092
462.00,0.092
463.00,0.091
464.00,0.091
465.00,0.090
466.00,0.090
467.00,0.089
468.00,0.089
469.00,0.088
470.00,0.088
471.00,0.087
472.00,0.087
473.00,0.086
474.00,0.086
475.00,0.085
476.00,0.085
477.00,0.084
478.00,0.084
479.00,0.084
480.00,0.083
481.00,0.083
482.00,0.082
483.00,0.082
484.00,0.081
485.00,0.081
486.00,0.080
487.00,0.080
488.00,0.080
489.00,0.079
490.00,0.079
491.00,0.078
492.00,0.078
493.00,0.078
494.00,0.077
495.00,0.077
496.00,0.077
497.00,0.076
498.00,0.076
499.00,0.076
500.00,0.075
501.00,0.075
502.00,0.075
503.00,0.074
504.00,0.074
505.00,0.074
506.00,0.073
507.00,0.073
508.00,0.073
509.00,0.072
510.00,0.072
511.00,0.072
512.00,0.072
513.00,0.071
514.00,0.071
515.00,0.071
516.00,0.070
517.00,0.070
518.00,0.070
519.00,0.070
520.00,0.069
521.00,0.069
522.00,0.069
523.00,0.068
524.00,0.068
525.00,0.068
526.00,0.068
527.00,0.067
528.00,0.067
529.00,0.067
530.00,0.067
531.00,0.066
532.00,0.066
533.00,0.066
534.00,0.066
535.00,0.066
536.00,0.066
537.00,0.065
538.00,0.065
539.00,0.064
540.00,0.064
541.00,0.064
542.00,0.064
543.00,0.064
544.00,0.063
545.00,0.063
546.00,0.063
547.00,0.063
548.00,0.063
549.00,0.063
550.00,0.062
551.00,0.062
552.00,0.062
553.00,0.062
554.00,0.062
555.00,0.062
556.00,0.061
557.00,0.061
558.00,0.061
559.00,0.061
560.00,0.061
561.00,0.061
562.00,0.060
563.00,0.060
564.00,0.060
565.00,0.060
566.00,0.060
567.00,0.060
568.00,0.060
569.00,0.059
570.00,0.059
571.00,0.059
572.00,0.059
573.00,0.059
574.00,0.059
575.00,0.059
576.00,0.058
577.00,0.058
578.00,0.058
579.00,0.058
580.00,0.058
581.00,0.058
582.00,0.058
583.00,0.058
584.00,0.057
585.00,0.057
586.00,0.057
587.00,0.057
588.00,0.057
589.00,0.057
590.00,0.057
591.00,0.057
592.00,0.057
593.00,0.057
594.00,0.057
595.00,0.057
596.00,0.057
597.00,0.057
598.00,0.057
599.00,0.056
600.00,0.056
601.00,0.056
602.00,0.056
603.00,0.056
604.00,0.056
605.00,0.056
606.00,0.056
607.00,0.056
608.00,0.056
609.00,0.056
610.00,0.055
611.00,0.055
612.00,0.055
613.00,0.055
614.00,0.055
615.00,0.055
616.00,0.055
617.00,0.055
618.00,0.055
619.00,0.054
620.00,0.054
621.00,0.054
622.00,0.054
623.00,0.054
624.00,0.054
625.00,0.054
626.00,0.054
627.00,0.054
628.00,0.054
629.00,0.053
630.00,0.053
631.00,0.053
632.00,0.053
633.00,0.053
634.00,0.053
635.00,0.053
636.00,0.053
637.00,0.053
638.00,0.052
639.00,0.052
640.00,0.052
641.00,0.052
642.00,0.052
643.00,0.052
644.00,0.052
645.00,0.052
646.00,0.052
647.00,0.052
648.00,0.052
649.00,0.052
650.00,0.052
651.00,0.052
652.00,0.052
653.00,0.051
654.00,0.051
655.00,0.051
656.00,0.051
657.00,0.051
658.00,0.051
659.00,0.051
660.00,0.051
661.00,0.051
662.00,0.051
663.00,0.051
664.00,0.051
665.00,0.051
666.00,0.051
667.00,0.051
668.00,0.051
669.00,0.051
670.00,0.051
671.00,0.051
672.00,0.050
673.00,0.050
674.00,0.050
675.00,0.050
676.00,0.050
677.00,0.050
678.00,0.050
679.00,0.050
680.00,0.050
681.00,0.050
682.00,0.050
683.00,0.050
684.00,0.050
685.00,0.050
686.00,0.050
687.00,0.050
688.00,0.050
689.00,0.050
690.00,0.050
691.00,0.050
692.00,0.050
693.00,0.050
694.00,0.050
695.00,0.050
696.00,0.050
697.00,0.050
698.00,0.050
699.00,0.050
700.00,0.050
701.00,0.050
702.00,0.050
703.00,0.050
704.00,0.050
705.00,0.050
706.00,0.050
707.00,0.050
708.00,0.050
709.00,0.050
710.00,0.050
711.00,0.050
712.00,0.050
713.00,0.050
714.00,0.051
715.00,0.051
716.00,0.051
717.00,0.051
718.00,0.051
719.00,0.051
720.00,0.051
721.00,0.052
722.00,0.052
723.00,0.052
724.00,0.052
725.00,0.053
726.00,0.053
727.00,0.053
728.00,0.053
729.00,0.054
730.00,0.054
731.00,0.055
