"CanoeDarkAle_100x - RawData"
"Wavelength nm.","Abs."
190.00,2.712
191.00,3.203
192.00,3.518
193.00,3.389
194.00,3.417
195.00,3.404
196.00,3.569
197.00,3.635
198.00,3.280
199.00,3.641
200.00,3.600
201.00,3.372
202.00,3.554
203.00,3.406
204.00,3.196
205.00,3.171
206.00,3.049
207.00,2.935
208.00,2.861
209.00,2.760
210.00,2.645
211.00,2.543
212.00,2.462
213.00,2.374
214.00,2.284
215.00,2.207
216.00,2.120
217.00,2.042
218.00,1.962
219.00,1.886
220.00,1.812
221.00,1.744
222.00,1.677
223.00,1.611
224.00,1.546
225.00,1.482
226.00,1.419
227.00,1.356
228.00,1.294
229.00,1.237
230.00,1.183
231.00,1.132
232.00,1.085
233.00,1.042
234.00,1.002
235.00,0.967
236.00,0.935
237.00,0.907
238.00,0.882
239.00,0.860
240.00,0.841
241.00,0.825
242.00,0.813
243.00,0.805
244.00,0.798
245.00,0.794
246.00,0.791
247.00,0.790
248.00,0.789
249.00,0.790
250.00,0.791
251.00,0.794
252.00,0.796
253.00,0.800
254.00,0.803
255.00,0.807
256.00,0.811
257.00,0.815
258.00,0.818
259.00,0.820
260.00,0.822
261.00,0.824
262.00,0.827
263.00,0.829
264.00,0.831
265.00,0.833
266.00,0.834
267.00,0.836
268.00,0.836
269.00,0.836
270.00,0.836
271.00,0.834
272.00,0.833
273.00,0.831
274.00,0.829
275.00,0.826
276.00,0.822
277.00,0.817
278.00,0.813
279.00,0.807
280.00,0.801
281.00,0.794
282.00,0.787
283.00,0.779
284.00,0.770
285.00,0.760
286.00,0.750
287.00,0.740
288.00,0.730
289.00,0.719
290.00,0.707
291.00,0.695
292.00,0.683
293.00,0.673
294.00,0.663
295.00,0.653
296.00,0.644
297.00,0.635
298.00,0.626
299.00,0.616
300.00,0.607
301.00,0.598
302.00,0.589
303.00,0.579
304.00,0.570
305.00,0.561
306.00,0.552
307.00,0.541
308.00,0.532
309.00,0.522
310.00,0.513
311.00,0.503
312.00,0.493
313.00,0.484
314.00,0.475
315.00,0.466
316.00,0.458
317.00,0.449
318.00,0.439
319.00,0.431
320.00,0.423
321.00,0.414
322.00,0.405
323.00,0.396
324.00,0.388
325.00,0.379
326.00,0.371
327.00,0.364
328.00,0.355
329.00,0.348
330.00,0.340
331.00,0.332
332.00,0.325
333.00,0.317
334.00,0.311
335.00,0.304
336.00,0.298
337.00,0.292
338.00,0.286
339.00,0.279
340.00,0.274
341.00,0.267
342.00,0.261
343.00,0.256
344.00,0.251
345.00,0.246
346.00,0.241
347.00,0.236
348.00,0.231
349.00,0.227
350.00,0.222
351.00,0.218
352.00,0.214
353.00,0.210
354.00,0.206
355.00,0.202
356.00,0.199
357.00,0.195
358.00,0.191
359.00,0.188
360.00,0.184
361.00,0.181
362.00,0.178
363.00,0.175
364.00,0.172
365.00,0.169
366.00,0.166
367.00,0.163
368.00,0.161
369.00,0.158
370.00,0.155
371.00,0.153
372.00,0.150
373.00,0.148
374.00,0.145
375.00,0.143
376.00,0.140
377.00,0.138
378.00,0.135
379.00,0.133
380.00,0.131
381.00,0.128
382.00,0.126
383.00,0.124
384.00,0.122
385.00,0.120
386.00,0.118
387.00,0.116
388.00,0.114
389.00,0.113
390.00,0.110
391.00,0.109
392.00,0.107
393.00,0.105
394.00,0.103
395.00,0.102
396.00,0.100
397.00,0.099
398.00,0.097
399.00,0.096
400.00,0.094
401.00,0.093
402.00,0.091
403.00,0.090
404.00,0.088
405.00,0.087
406.00,0.086
407.00,0.084
408.00,0.083
409.00,0.082
410.00,0.081
411.00,0.080
412.00,0.078
413.00,0.077
414.00,0.076
415.00,0.075
416.00,0.074
417.00,0.073
418.00,0.072
419.00,0.071
420.00,0.070
421.00,0.069
422.00,0.068
423.00,0.067
424.00,0.066
425.00,0.065
426.00,0.064
427.00,0.064
428.00,0.063
429.00,0.062
430.00,0.061
431.00,0.060
432.00,0.059
433.00,0.058
434.00,0.058
435.00,0.057
436.00,0.056
437.00,0.055
438.00,0.054
439.00,0.054
440.00,0.053
441.00,0.052
442.00,0.052
443.00,0.051
444.00,0.050
445.00,0.050
446.00,0.049
447.00,0.048
448.00,0.048
449.00,0.047
450.00,0.046
451.00,0.046
452.00,0.045
453.00,0.045
454.00,0.044
455.00,0.043
456.00,0.043
457.00,0.042
458.00,0.042
459.00,0.041
460.00,0.040
461.00,0.040
462.00,0.039
463.00,0.039
464.00,0.038
465.00,0.038
466.00,0.037
467.00,0.037
468.00,0.036
469.00,0.036
470.00,0.035
471.00,0.035
472.00,0.034
473.00,0.034
474.00,0.033
475.00,0.033
476.00,0.032
477.00,0.032
478.00,0.031
479.00,0.031
480.00,0.030
481.00,0.030
482.00,0.029
483.00,0.029
484.00,0.028
485.00,0.028
486.00,0.028
487.00,0.027
488.00,0.027
489.00,0.026
490.00,0.026
491.00,0.026
492.00,0.025
493.00,0.025
494.00,0.024
495.00,0.024
496.00,0.024
497.00,0.023
498.00,0.023
499.00,0.023
500.00,0.022
