"CanoeNWAmberAle_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.877
191.00,3.369
192.00,3.413
193.00,3.551
194.00,3.484
195.00,3.742
196.00,3.380
197.00,3.723
198.00,3.804
199.00,3.592
200.00,3.791
201.00,3.838
202.00,3.639
203.00,3.601
204.00,3.785
205.00,3.706
206.00,3.872
207.00,3.754
208.00,3.736
209.00,3.620
210.00,3.497
211.00,3.480
212.00,3.366
213.00,3.250
214.00,3.176
215.00,3.064
216.00,2.932
217.00,2.817
218.00,2.722
219.00,2.583
220.00,2.475
221.00,2.353
222.00,2.257
223.00,2.157
224.00,2.052
225.00,1.950
226.00,1.851
227.00,1.751
228.00,1.653
229.00,1.565
230.00,1.482
231.00,1.406
232.00,1.338
233.00,1.278
234.00,1.226
235.00,1.182
236.00,1.142
237.00,1.109
238.00,1.081
239.00,1.058
240.00,1.040
241.00,1.025
242.00,1.016
243.00,1.009
244.00,1.005
245.00,1.003
246.00,1.003
247.00,1.005
248.00,1.007
249.00,1.011
250.00,1.016
251.00,1.022
252.00,1.029
253.00,1.035
254.00,1.042
255.00,1.049
256.00,1.056
257.00,1.063
258.00,1.067
259.00,1.071
260.00,1.075
261.00,1.078
262.00,1.080
263.00,1.083
264.00,1.085
265.00,1.086
266.00,1.087
267.00,1.088
268.00,1.088
269.00,1.086
270.00,1.081
271.00,1.076
272.00,1.070
273.00,1.062
274.00,1.054
275.00,1.045
276.00,1.034
277.00,1.024
278.00,1.012
279.00,0.999
280.00,0.986
281.00,0.971
282.00,0.956
283.00,0.938
284.00,0.920
285.00,0.901
286.00,0.883
287.00,0.865
288.00,0.845
289.00,0.826
290.00,0.805
291.00,0.784
292.00,0.765
293.00,0.749
294.00,0.734
295.00,0.721
296.00,0.708
297.00,0.697
298.00,0.685
299.00,0.674
300.00,0.664
301.00,0.653
302.00,0.643
303.00,0.633
304.00,0.623
305.00,0.612
306.00,0.602
307.00,0.591
308.00,0.581
309.00,0.570
310.00,0.560
311.00,0.549
312.00,0.539
313.00,0.529
314.00,0.519
315.00,0.509
316.00,0.499
317.00,0.489
318.00,0.479
319.00,0.469
320.00,0.459
321.00,0.449
322.00,0.439
323.00,0.430
324.00,0.420
325.00,0.410
326.00,0.400
327.00,0.391
328.00,0.381
329.00,0.371
330.00,0.361
331.00,0.352
332.00,0.343
333.00,0.334
334.00,0.325
335.00,0.317
336.00,0.309
337.00,0.301
338.00,0.292
339.00,0.285
340.00,0.277
341.00,0.268
342.00,0.260
343.00,0.253
344.00,0.246
345.00,0.239
346.00,0.233
347.00,0.226
348.00,0.220
349.00,0.214
350.00,0.208
351.00,0.202
352.00,0.197
353.00,0.192
354.00,0.186
355.00,0.181
356.00,0.177
357.00,0.172
358.00,0.168
359.00,0.163
360.00,0.159
361.00,0.155
362.00,0.151
363.00,0.147
364.00,0.144
365.00,0.140
366.00,0.137
367.00,0.134
368.00,0.131
369.00,0.128
370.00,0.124
371.00,0.121
372.00,0.118
373.00,0.115
374.00,0.113
375.00,0.110
376.00,0.107
377.00,0.104
