"CanoepaleAle_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.957
191.00,2.839
192.00,3.195
193.00,3.010
194.00,3.139
195.00,3.198
196.00,3.454
197.00,3.257
198.00,3.377
199.00,3.437
200.00,3.471
201.00,3.564
202.00,3.576
203.00,3.444
204.00,3.515
205.00,3.495
206.00,3.402
207.00,3.490
208.00,3.498
209.00,3.422
210.00,3.409
211.00,3.336
212.00,3.306
213.00,3.152
214.00,3.066
215.00,2.949
216.00,2.852
217.00,2.753
218.00,2.631
219.00,2.509
220.00,2.397
221.00,2.286
222.00,2.182
223.00,2.079
224.00,1.976
225.00,1.878
226.00,1.779
227.00,1.680
228.00,1.587
229.00,1.501
230.00,1.421
231.00,1.348
232.00,1.284
233.00,1.227
234.00,1.177
235.00,1.134
236.00,1.097
237.00,1.066
238.00,1.039
239.00,1.017
240.00,1.000
241.00,0.986
242.00,0.977
243.00,0.970
244.00,0.966
245.00,0.964
246.00,0.965
247.00,0.966
248.00,0.968
249.00,0.972
250.00,0.976
251.00,0.981
252.00,0.987
253.00,0.993
254.00,0.998
255.00,1.004
256.00,1.010
257.00,1.015
258.00,1.018
259.00,1.019
260.00,1.021
261.00,1.021
262.00,1.022
263.00,1.024
264.00,1.024
265.00,1.025
266.00,1.023
267.00,1.022
268.00,1.019
269.00,1.015
270.00,1.009
271.00,1.003
272.00,0.995
273.00,0.987
274.00,0.978
275.00,0.967
276.00,0.955
277.00,0.942
278.00,0.928
279.00,0.913
280.00,0.897
281.00,0.881
282.00,0.864
283.00,0.845
284.00,0.826
285.00,0.806
286.00,0.788
287.00,0.769
288.00,0.749
289.00,0.729
290.00,0.707
291.00,0.686
292.00,0.668
293.00,0.651
294.00,0.636
295.00,0.623
296.00,0.611
297.00,0.601
298.00,0.590
299.00,0.580
300.00,0.572
301.00,0.563
302.00,0.555
303.00,0.548
304.00,0.540
305.00,0.533
306.00,0.525
307.00,0.518
308.00,0.511
309.00,0.504
310.00,0.497
311.00,0.490
312.00,0.483
313.00,0.476
314.00,0.470
315.00,0.463
316.00,0.457
317.00,0.450
318.00,0.443
319.00,0.436
320.00,0.430
321.00,0.422
322.00,0.415
323.00,0.408
324.00,0.401
325.00,0.394
326.00,0.386
327.00,0.379
328.00,0.372
329.00,0.364
330.00,0.356
331.00,0.349
332.00,0.342
333.00,0.334
334.00,0.327
335.00,0.320
336.00,0.313
337.00,0.306
338.00,0.299
339.00,0.293
340.00,0.286
341.00,0.278
342.00,0.272
343.00,0.265
344.00,0.260
345.00,0.254
346.00,0.248
347.00,0.243
348.00,0.237
349.00,0.232
350.00,0.226
351.00,0.222
352.00,0.217
353.00,0.212
354.00,0.208
355.00,0.203
356.00,0.199
357.00,0.195
358.00,0.191
359.00,0.187
360.00,0.183
361.00,0.180
362.00,0.177
363.00,0.173
364.00,0.170
365.00,0.167
366.00,0.164
367.00,0.162
368.00,0.159
369.00,0.156
370.00,0.153
371.00,0.151
372.00,0.148
373.00,0.146
374.00,0.143
375.00,0.141
376.00,0.138
377.00,0.136
378.00,0.134
379.00,0.131
380.00,0.129
381.00,0.127
382.00,0.125
383.00,0.123
384.00,0.121
385.00,0.120
386.00,0.118
387.00,0.116
388.00,0.115
389.00,0.113
390.00,0.111
391.00,0.110
392.00,0.108
393.00,0.107
394.00,0.105
395.00,0.104
396.00,0.103
397.00,0.101
398.00,0.100
399.00,0.099
400.00,0.098
401.00,0.097
402.00,0.096
403.00,0.094
404.00,0.094
405.00,0.092
406.00,0.092
407.00,0.091
408.00,0.090
409.00,0.089
410.00,0.088
411.00,0.087
412.00,0.086
413.00,0.086
414.00,0.085
415.00,0.084
416.00,0.084
417.00,0.083
418.00,0.083
419.00,0.082
420.00,0.082
421.00,0.081
422.00,0.080
423.00,0.080
424.00,0.079
425.00,0.079
426.00,0.078
427.00,0.078
428.00,0.077
429.00,0.077
430.00,0.076
431.00,0.076
432.00,0.075
433.00,0.075
434.00,0.074
435.00,0.074
436.00,0.074
437.00,0.073
438.00,0.073
439.00,0.072
440.00,0.072
441.00,0.072
442.00,0.071
443.00,0.071
444.00,0.070
445.00,0.070
446.00,0.070
447.00,0.069
448.00,0.069
449.00,0.069
450.00,0.068
451.00,0.068
452.00,0.068
453.00,0.068
454.00,0.067
455.00,0.067
456.00,0.067
457.00,0.066
458.00,0.066
459.00,0.066
460.00,0.065
461.00,0.065
462.00,0.065
463.00,0.064
464.00,0.064
465.00,0.064
466.00,0.064
467.00,0.063
468.00,0.063
469.00,0.063
470.00,0.062
471.00,0.062
472.00,0.062
473.00,0.062
474.00,0.062
475.00,0.061
476.00,0.061
477.00,0.061
478.00,0.061
479.00,0.060
480.00,0.060
481.00,0.060
482.00,0.060
483.00,0.059
484.00,0.059
485.00,0.059
486.00,0.059
487.00,0.058
488.00,0.058
489.00,0.058
490.00,0.058
491.00,0.058
492.00,0.057
493.00,0.057
494.00,0.057
495.00,0.057
496.00,0.057
497.00,0.056
498.00,0.056
499.00,0.056
500.00,0.056
501.00,0.056
502.00,0.055
503.00,0.055
504.00,0.055
505.00,0.055
506.00,0.055
507.00,0.055
508.00,0.055
509.00,0.054
510.00,0.054
511.00,0.054
512.00,0.054
513.00,0.054
514.00,0.054
515.00,0.053
516.00,0.053
517.00,0.053
518.00,0.053
519.00,0.053
520.00,0.053
521.00,0.053
522.00,0.052
523.00,0.052
524.00,0.052
525.00,0.052
526.00,0.052
527.00,0.052
528.00,0.052
529.00,0.051
530.00,0.051
531.00,0.051
532.00,0.051
533.00,0.051
534.00,0.051
535.00,0.051
536.00,0.051
537.00,0.050
538.00,0.050
539.00,0.050
540.00,0.050
541.00,0.050
542.00,0.050
543.00,0.050
544.00,0.050
545.00,0.050
546.00,0.049
547.00,0.049
548.00,0.049
549.00,0.049
550.00,0.049
551.00,0.049
552.00,0.049
553.00,0.049
554.00,0.049
555.00,0.049
556.00,0.049
557.00,0.049
558.00,0.048
559.00,0.048
560.00,0.048
561.00,0.048
562.00,0.048
563.00,0.048
564.00,0.048
565.00,0.048
566.00,0.048
567.00,0.048
568.00,0.048
569.00,0.048
570.00,0.047
571.00,0.047
572.00,0.047
573.00,0.047
574.00,0.047
575.00,0.047
576.00,0.047
577.00,0.047
578.00,0.047
579.00,0.047
580.00,0.047
581.00,0.047
582.00,0.047
583.00,0.047
584.00,0.047
585.00,0.047
586.00,0.047
587.00,0.046
588.00,0.046
589.00,0.046
590.00,0.046
591.00,0.046
592.00,0.046
593.00,0.046
594.00,0.046
595.00,0.046
596.00,0.046
597.00,0.046
598.00,0.046
599.00,0.046
600.00,0.046
601.00,0.046
602.00,0.046
603.00,0.046
604.00,0.046
605.00,0.046
606.00,0.046
607.00,0.046
608.00,0.046
609.00,0.046
610.00,0.046
611.00,0.046
612.00,0.046
613.00,0.046
614.00,0.046
615.00,0.046
616.00,0.046
617.00,0.046
618.00,0.046
619.00,0.046
620.00,0.045
621.00,0.045
622.00,0.045
623.00,0.045
624.00,0.045
625.00,0.045
626.00,0.045
627.00,0.045
628.00,0.045
629.00,0.045
630.00,0.045
631.00,0.045
632.00,0.045
633.00,0.045
634.00,0.045
635.00,0.045
636.00,0.045
637.00,0.045
638.00,0.045
639.00,0.045
640.00,0.045
641.00,0.045
642.00,0.045
643.00,0.045
644.00,0.045
645.00,0.045
646.00,0.045
647.00,0.045
648.00,0.045
649.00,0.044
650.00,0.045
651.00,0.044
652.00,0.044
653.00,0.044
654.00,0.044
655.00,0.044
656.00,0.044
657.00,0.044
658.00,0.044
659.00,0.044
660.00,0.044
661.00,0.044
662.00,0.044
663.00,0.044
664.00,0.044
665.00,0.044
666.00,0.044
667.00,0.044
668.00,0.044
669.00,0.044
670.00,0.044
671.00,0.044
672.00,0.044
673.00,0.044
674.00,0.044
675.00,0.044
676.00,0.044
677.00,0.044
678.00,0.044
679.00,0.044
680.00,0.044
681.00,0.044
682.00,0.044
683.00,0.044
684.00,0.044
685.00,0.044
686.00,0.044
687.00,0.044
688.00,0.044
689.00,0.044
690.00,0.044
691.00,0.044
692.00,0.044
693.00,0.044
694.00,0.044
695.00,0.044
696.00,0.044
697.00,0.044
698.00,0.044
699.00,0.044
700.00,0.044
701.00,0.044
702.00,0.044
703.00,0.044
704.00,0.044
705.00,0.044
706.00,0.044
707.00,0.045
708.00,0.045
709.00,0.045
710.00,0.045
711.00,0.045
712.00,0.045
713.00,0.045
714.00,0.045
715.00,0.045
716.00,0.046
717.00,0.046
718.00,0.046
719.00,0.046
720.00,0.046
721.00,0.047
722.00,0.047
723.00,0.047
724.00,0.047
725.00,0.048
726.00,0.048
727.00,0.048
728.00,0.049
729.00,0.049
730.00,0.049
731.00,0.050
732.00,0.050
733.00,0.051
734.00,0.051
735.00,0.052
736.00,0.052
737.00,0.052
738.00,0.052
739.00,0.052
740.00,0.052
741.00,0.053
742.00,0.053
743.00,0.053
744.00,0.053
745.00,0.053
746.00,0.052
747.00,0.053
748.00,0.053
749.00,0.053
750.00,0.053
751.00,0.052
752.00,0.052
753.00,0.052
754.00,0.052
755.00,0.052
756.00,0.052
757.00,0.052
758.00,0.052
759.00,0.052
760.00,0.053
761.00,0.053
762.00,0.052
763.00,0.052
764.00,0.052
765.00,0.052
766.00,0.052
767.00,0.052
768.00,0.052
769.00,0.052
770.00,0.052
771.00,0.052
772.00,0.052
773.00,0.052
774.00,0.052
775.00,0.052
776.00,0.051
777.00,0.051
778.00,0.051
779.00,0.051
780.00,0.051
781.00,0.051
782.00,0.051
783.00,0.051
784.00,0.051
785.00,0.051
786.00,0.051
787.00,0.050
788.00,0.050
789.00,0.050
790.00,0.050
791.00,0.050
792.00,0.050
793.00,0.050
794.00,0.050
795.00,0.050
796.00,0.049
797.00,0.049
798.00,0.049
799.00,0.049
800.00,0.049
801.00,0.049
802.00,0.049
803.00,0.049
804.00,0.049
805.00,0.049
806.00,0.049
807.00,0.049
808.00,0.049
809.00,0.049
810.00,0.049
811.00,0.049
812.00,0.049
813.00,0.049
814.00,0.049
815.00,0.049
816.00,0.049
817.00,0.049
818.00,0.049
819.00,0.049
820.00,0.049
821.00,0.049
822.00,0.050
823.00,0.050
824.00,0.050
825.00,0.051
826.00,0.051
827.00,0.051
828.00,0.052
829.00,0.053
830.00,0.053
831.00,0.054
832.00,0.054
833.00,0.055
834.00,0.055
835.00,0.055
836.00,0.055
837.00,0.056
838.00,0.056
839.00,0.056
840.00,0.056
841.00,0.056
842.00,0.056
843.00,0.056
844.00,0.056
845.00,0.056
846.00,0.056
847.00,0.057
848.00,0.057
849.00,0.057
850.00,0.057
851.00,0.057
852.00,0.057
853.00,0.057
854.00,0.057
855.00,0.058
856.00,0.058
857.00,0.058
858.00,0.058
859.00,0.058
860.00,0.058
861.00,0.058
862.00,0.058
863.00,0.058
864.00,0.058
865.00,0.058
866.00,0.059
867.00,0.059
868.00,0.059
869.00,0.059
870.00,0.059
871.00,0.059
872.00,0.059
873.00,0.060
874.00,0.060
875.00,0.060
876.00,0.060
877.00,0.060
878.00,0.060
879.00,0.061
880.00,0.061
881.00,0.061
882.00,0.061
883.00,0.062
884.00,0.062
885.00,0.062
886.00,0.062
887.00,0.063
888.00,0.063
889.00,0.063
890.00,0.063
891.00,0.064
892.00,0.064
893.00,0.064
894.00,0.064
895.00,0.064
896.00,0.065
897.00,0.065
898.00,0.065
899.00,0.065
900.00,0.066
