"CanoeWhiteIPA50x - RawData"
"Wavelength nm.","Abs."
190.00,3.580
191.00,3.162
192.00,3.035
193.00,3.242
194.00,3.294
195.00,3.288
196.00,3.417
197.00,3.516
198.00,3.496
199.00,3.594
200.00,3.412
201.00,3.640
202.00,3.605
203.00,3.366
204.00,3.597
205.00,3.647
206.00,3.541
207.00,3.481
208.00,3.426
209.00,3.399
210.00,3.236
211.00,3.125
212.00,2.969
213.00,2.893
214.00,2.774
215.00,2.650
216.00,2.538
217.00,2.428
218.00,2.315
219.00,2.211
220.00,2.109
221.00,2.008
222.00,1.916
223.00,1.823
224.00,1.731
225.00,1.640
226.00,1.553
227.00,1.464
228.00,1.379
229.00,1.301
230.00,1.227
231.00,1.160
232.00,1.101
233.00,1.048
234.00,1.003
235.00,0.964
236.00,0.930
237.00,0.902
238.00,0.878
239.00,0.857
240.00,0.842
241.00,0.829
242.00,0.820
243.00,0.814
244.00,0.810
245.00,0.808
246.00,0.808
247.00,0.808
248.00,0.810
249.00,0.812
250.00,0.815
251.00,0.819
252.00,0.824
253.00,0.828
254.00,0.833
255.00,0.838
256.00,0.842
257.00,0.845
258.00,0.848
259.00,0.849
260.00,0.850
261.00,0.851
262.00,0.851
263.00,0.852
264.00,0.851
265.00,0.850
266.00,0.849
267.00,0.848
268.00,0.846
269.00,0.842
270.00,0.836
271.00,0.829
272.00,0.821
273.00,0.811
274.00,0.801
275.00,0.790
276.00,0.778
277.00,0.766
278.00,0.752
279.00,0.738
280.00,0.723
281.00,0.707
282.00,0.690
283.00,0.672
284.00,0.653
285.00,0.633
286.00,0.614
287.00,0.596
288.00,0.577
289.00,0.557
290.00,0.536
291.00,0.516
292.00,0.497
293.00,0.480
294.00,0.467
295.00,0.454
296.00,0.443
297.00,0.433
298.00,0.424
299.00,0.415
300.00,0.407
301.00,0.400
302.00,0.394
303.00,0.388
304.00,0.383
305.00,0.378
306.00,0.374
307.00,0.370
308.00,0.366
309.00,0.362
310.00,0.359
311.00,0.355
312.00,0.352
313.00,0.349
314.00,0.346
315.00,0.343
316.00,0.341
317.00,0.338
318.00,0.335
319.00,0.331
320.00,0.328
321.00,0.325
322.00,0.321
323.00,0.318
324.00,0.314
325.00,0.310
326.00,0.305
327.00,0.302
328.00,0.297
329.00,0.292
330.00,0.287
331.00,0.282
332.00,0.278
333.00,0.273
334.00,0.268
335.00,0.263
336.00,0.258
337.00,0.253
338.00,0.248
339.00,0.243
340.00,0.238
341.00,0.232
342.00,0.227
343.00,0.222
344.00,0.217
345.00,0.213
346.00,0.208
347.00,0.204
348.00,0.200
349.00,0.195
350.00,0.191
351.00,0.187
352.00,0.183
353.00,0.180
354.00,0.176
