"CastorWeeheavySpeyside_100x - RawData"
"Wavelength nm.","Abs."
190.00,2.727
191.00,2.838
192.00,2.957
193.00,3.130
194.00,3.071
195.00,3.111
196.00,3.262
197.00,3.215
198.00,3.506
199.00,3.446
200.00,3.467
201.00,3.385
202.00,3.378
203.00,3.370
204.00,3.515
205.00,3.484
206.00,3.616
207.00,3.453
208.00,3.434
209.00,3.515
210.00,3.549
211.00,3.555
212.00,3.577
213.00,3.491
214.00,3.400
215.00,3.320
216.00,3.216
217.00,3.135
218.00,3.044
219.00,2.910
220.00,2.799
221.00,2.700
222.00,2.563
223.00,2.452
224.00,2.355
225.00,2.244
226.00,2.131
227.00,2.023
228.00,1.918
229.00,1.820
230.00,1.727
231.00,1.644
232.00,1.569
233.00,1.502
234.00,1.441
235.00,1.389
236.00,1.345
237.00,1.306
238.00,1.274
239.00,1.247
240.00,1.225
241.00,1.208
242.00,1.196
243.00,1.187
244.00,1.181
245.00,1.177
246.00,1.174
247.00,1.172
248.00,1.172
249.00,1.172
250.00,1.173
251.00,1.175
252.00,1.178
253.00,1.179
254.00,1.181
255.00,1.183
256.00,1.184
257.00,1.185
258.00,1.185
259.00,1.185
260.00,1.186
261.00,1.186
262.00,1.187
263.00,1.187
264.00,1.186
265.00,1.184
266.00,1.182
267.00,1.178
268.00,1.173
269.00,1.167
270.00,1.160
271.00,1.151
272.00,1.141
273.00,1.129
274.00,1.117
275.00,1.103
276.00,1.088
277.00,1.072
278.00,1.055
279.00,1.036
280.00,1.018
281.00,1.000
282.00,0.981
283.00,0.961
284.00,0.941
285.00,0.920
286.00,0.901
287.00,0.882
288.00,0.862
289.00,0.843
290.00,0.822
291.00,0.802
292.00,0.783
293.00,0.766
294.00,0.752
295.00,0.737
296.00,0.724
297.00,0.712
298.00,0.700
299.00,0.688
300.00,0.677
301.00,0.667
302.00,0.657
303.00,0.647
304.00,0.637
305.00,0.628
306.00,0.618
307.00,0.609
308.00,0.600
309.00,0.591
310.00,0.583
311.00,0.575
312.00,0.566
313.00,0.559
314.00,0.551
315.00,0.543
316.00,0.536
317.00,0.529
318.00,0.521
319.00,0.514
320.00,0.507
321.00,0.499
322.00,0.490
323.00,0.483
324.00,0.476
325.00,0.467
326.00,0.459
327.00,0.452
328.00,0.443
329.00,0.435
