"ChalesHenriPAA50x - RawData"
"Wavelength nm.","Abs."
190.00,3.051
191.00,3.171
192.00,3.139
193.00,3.326
194.00,3.283
195.00,3.442
196.00,3.568
197.00,3.498
198.00,3.635
199.00,3.479
200.00,3.638
201.00,3.572
202.00,3.569
203.00,3.671
204.00,3.729
205.00,3.525
206.00,3.550
207.00,3.473
208.00,3.437
209.00,3.405
210.00,3.260
211.00,3.167
212.00,3.055
213.00,2.940
214.00,2.834
215.00,2.707
216.00,2.597
217.00,2.496
218.00,2.377
219.00,2.261
220.00,2.156
221.00,2.061
222.00,1.966
223.00,1.872
224.00,1.781
225.00,1.694
226.00,1.606
227.00,1.516
228.00,1.429
229.00,1.347
230.00,1.269
231.00,1.199
232.00,1.136
233.00,1.081
234.00,1.034
235.00,0.994
236.00,0.960
237.00,0.932
238.00,0.909
239.00,0.891
240.00,0.878
241.00,0.867
242.00,0.861
243.00,0.857
244.00,0.855
245.00,0.855
246.00,0.857
247.00,0.859
248.00,0.863
249.00,0.867
250.00,0.872
251.00,0.877
252.00,0.882
253.00,0.888
254.00,0.893
255.00,0.899
256.00,0.904
257.00,0.908
258.00,0.910
259.00,0.912
260.00,0.913
261.00,0.914
262.00,0.915
263.00,0.916
264.00,0.917
265.00,0.917
266.00,0.916
267.00,0.914
268.00,0.911
269.00,0.907
270.00,0.902
271.00,0.896
272.00,0.889
273.00,0.881
274.00,0.872
275.00,0.861
276.00,0.850
277.00,0.837
278.00,0.823
279.00,0.808
280.00,0.793
281.00,0.776
282.00,0.759
283.00,0.741
284.00,0.721
285.00,0.701
286.00,0.682
287.00,0.664
288.00,0.645
289.00,0.625
290.00,0.604
291.00,0.584
292.00,0.566
293.00,0.549
294.00,0.535
295.00,0.523
296.00,0.512
297.00,0.502
298.00,0.492
299.00,0.483
300.00,0.475
301.00,0.467
302.00,0.460
303.00,0.453
304.00,0.446
305.00,0.440
306.00,0.434
307.00,0.427
308.00,0.421
309.00,0.416
310.00,0.410
311.00,0.404
312.00,0.399
313.00,0.394
314.00,0.389
315.00,0.384
316.00,0.378
317.00,0.373
318.00,0.368
319.00,0.363
320.00,0.358
321.00,0.352
322.00,0.347
323.00,0.341
324.00,0.335
325.00,0.330
326.00,0.324
327.00,0.318
328.00,0.312
329.00,0.306
330.00,0.301
331.00,0.294
332.00,0.289
333.00,0.283
334.00,0.277
335.00,0.271
336.00,0.266
337.00,0.261
338.00,0.255
339.00,0.249
340.00,0.244
341.00,0.237
342.00,0.232
343.00,0.227
344.00,0.222
345.00,0.217
346.00,0.212
347.00,0.208
348.00,0.203
349.00,0.198
350.00,0.194
351.00,0.190
352.00,0.185
353.00,0.181
354.00,0.177
355.00,0.173
356.00,0.170
357.00,0.166
358.00,0.163
359.00,0.159
