"CharlesHenriBlanche_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.970
191.00,2.924
192.00,2.894
193.00,3.080
194.00,3.143
195.00,3.208
196.00,3.230
197.00,3.245
198.00,3.398
199.00,3.169
200.00,3.241
201.00,3.248
202.00,3.208
203.00,3.240
204.00,3.153
205.00,3.066
206.00,2.943
207.00,2.794
208.00,2.707
209.00,2.595
210.00,2.475
211.00,2.374
212.00,2.278
213.00,2.179
214.00,2.078
215.00,1.987
216.00,1.897
217.00,1.814
218.00,1.728
219.00,1.643
220.00,1.564
221.00,1.490
222.00,1.420
223.00,1.349
224.00,1.281
225.00,1.215
226.00,1.149
227.00,1.081
228.00,1.014
229.00,0.952
230.00,0.895
231.00,0.843
232.00,0.798
233.00,0.758
234.00,0.724
235.00,0.695
236.00,0.670
237.00,0.649
238.00,0.633
239.00,0.620
240.00,0.610
241.00,0.602
242.00,0.598
243.00,0.595
244.00,0.594
245.00,0.594
246.00,0.595
247.00,0.597
248.00,0.600
249.00,0.603
250.00,0.606
251.00,0.610
252.00,0.614
253.00,0.618
254.00,0.621
255.00,0.625
256.00,0.627
257.00,0.630
258.00,0.631
259.00,0.631
260.00,0.631
261.00,0.631
262.00,0.630
263.00,0.630
264.00,0.629
265.00,0.628
266.00,0.627
267.00,0.624
268.00,0.621
269.00,0.616
270.00,0.611
271.00,0.605
272.00,0.598
273.00,0.591
274.00,0.582
275.00,0.574
276.00,0.565
277.00,0.555
278.00,0.545
279.00,0.534
280.00,0.522
281.00,0.510
282.00,0.498
283.00,0.485
284.00,0.472
285.00,0.457
286.00,0.444
287.00,0.430
288.00,0.416
289.00,0.402
290.00,0.387
291.00,0.372
292.00,0.357
293.00,0.345
294.00,0.334
295.00,0.324
296.00,0.315
297.00,0.307
298.00,0.299
299.00,0.292
300.00,0.286
301.00,0.280
302.00,0.275
303.00,0.271
304.00,0.266
305.00,0.263
306.00,0.259
307.00,0.256
308.00,0.253
309.00,0.251
310.00,0.248
311.00,0.246
312.00,0.244
313.00,0.243
314.00,0.241
315.00,0.239
316.00,0.237
317.00,0.235
318.00,0.234
319.00,0.232
320.00,0.230
321.00,0.228
322.00,0.226
323.00,0.225
324.00,0.222
325.00,0.220
326.00,0.217
327.00,0.215
328.00,0.212
329.00,0.210
330.00,0.207
331.00,0.204
332.00,0.201
333.00,0.198
334.00,0.195
335.00,0.192
336.00,0.189
337.00,0.186
338.00,0.182
339.00,0.179
340.00,0.176
341.00,0.172
342.00,0.169
343.00,0.165
344.00,0.162
345.00,0.159
346.00,0.156
347.00,0.153
348.00,0.150
349.00,0.147
350.00,0.143
351.00,0.140
352.00,0.138
353.00,0.135
354.00,0.132
355.00,0.129
356.00,0.127
357.00,0.124
358.00,0.121
359.00,0.119
360.00,0.117
361.00,0.115
362.00,0.112
363.00,0.110
364.00,0.108
365.00,0.107
366.00,0.105
367.00,0.103
368.00,0.101
369.00,0.099
370.00,0.098
371.00,0.096
372.00,0.095
373.00,0.093
374.00,0.092
375.00,0.090
376.00,0.089
377.00,0.088
378.00,0.087
379.00,0.085
380.00,0.084
381.00,0.083
382.00,0.082
383.00,0.081
384.00,0.080
385.00,0.079
386.00,0.078
387.00,0.078
388.00,0.077
389.00,0.076
390.00,0.075
391.00,0.074
392.00,0.074
393.00,0.073
394.00,0.072
395.00,0.072
396.00,0.071
397.00,0.071
398.00,0.070
399.00,0.070
400.00,0.069
401.00,0.069
402.00,0.068
403.00,0.068
404.00,0.068
405.00,0.067
406.00,0.067
407.00,0.066
408.00,0.066
409.00,0.066
410.00,0.065
411.00,0.065
412.00,0.065
413.00,0.064
414.00,0.064
415.00,0.064
416.00,0.063
417.00,0.063
418.00,0.063
419.00,0.063
420.00,0.062
421.00,0.062
422.00,0.062
423.00,0.062
424.00,0.062
425.00,0.061
426.00,0.061
427.00,0.061
428.00,0.061
429.00,0.060
430.00,0.060
431.00,0.060
432.00,0.060
433.00,0.060
434.00,0.059
435.00,0.059
436.00,0.059
437.00,0.059
438.00,0.059
439.00,0.058
440.00,0.058
441.00,0.058
442.00,0.058
443.00,0.058
444.00,0.058
445.00,0.058
446.00,0.057
447.00,0.057
448.00,0.057
449.00,0.057
450.00,0.057
451.00,0.056
452.00,0.056
453.00,0.056
454.00,0.056
455.00,0.056
456.00,0.056
457.00,0.056
458.00,0.056
459.00,0.055
460.00,0.055
461.00,0.055
462.00,0.055
463.00,0.055
464.00,0.055
465.00,0.055
466.00,0.055
467.00,0.055
468.00,0.054
469.00,0.054
470.00,0.054
471.00,0.054
472.00,0.054
473.00,0.054
474.00,0.054
475.00,0.054
476.00,0.054
477.00,0.053
478.00,0.053
479.00,0.053
480.00,0.053
481.00,0.053
482.00,0.053
483.00,0.053
484.00,0.053
485.00,0.053
486.00,0.052
487.00,0.052
488.00,0.052
489.00,0.052
490.00,0.052
491.00,0.052
492.00,0.052
493.00,0.052
494.00,0.052
495.00,0.052
496.00,0.052
497.00,0.052
498.00,0.051
