"CharlevoixDominusTriple50x - RawData"
"Wavelength nm.","Abs."
190.00,3.904
191.00,3.557
192.00,3.372
193.00,3.515
194.00,3.708
195.00,3.899
196.00,3.743
197.00,3.934
198.00,3.860
199.00,3.682
200.00,3.915
201.00,3.853
202.00,3.853
203.00,3.870
204.00,3.746
205.00,3.883
206.00,3.875
207.00,3.722
208.00,3.909
209.00,3.937
210.00,3.731
211.00,3.483
212.00,3.427
213.00,3.290
214.00,3.116
215.00,2.978
216.00,2.858
217.00,2.695
218.00,2.564
219.00,2.427
220.00,2.292
221.00,2.169
222.00,2.049
223.00,1.933
224.00,1.820
225.00,1.709
226.00,1.602
227.00,1.492
228.00,1.389
229.00,1.295
230.00,1.206
231.00,1.126
232.00,1.056
233.00,0.995
234.00,0.944
235.00,0.902
236.00,0.867
237.00,0.840
238.00,0.818
239.00,0.802
240.00,0.791
241.00,0.785
242.00,0.782
243.00,0.782
244.00,0.784
245.00,0.788
246.00,0.793
247.00,0.799
248.00,0.807
249.00,0.814
250.00,0.822
251.00,0.830
252.00,0.838
253.00,0.846
254.00,0.853
255.00,0.860
256.00,0.866
257.00,0.871
258.00,0.874
259.00,0.874
260.00,0.874
261.00,0.874
262.00,0.873
263.00,0.873
264.00,0.872
265.00,0.870
266.00,0.866
267.00,0.861
268.00,0.855
269.00,0.846
270.00,0.836
271.00,0.824
272.00,0.812
273.00,0.798
274.00,0.782
275.00,0.765
276.00,0.748
277.00,0.728
278.00,0.707
279.00,0.686
280.00,0.665
281.00,0.644
282.00,0.621
283.00,0.597
284.00,0.572
285.00,0.547
286.00,0.524
287.00,0.502
288.00,0.479
289.00,0.457
290.00,0.434
291.00,0.412
292.00,0.392
293.00,0.376
294.00,0.362
295.00,0.349
296.00,0.339
297.00,0.331
298.00,0.322
299.00,0.315
300.00,0.310
301.00,0.304
302.00,0.300
303.00,0.296
304.00,0.292
305.00,0.289
306.00,0.286
307.00,0.283
308.00,0.281
309.00,0.278
310.00,0.276
311.00,0.274
312.00,0.272
313.00,0.270
314.00,0.268
315.00,0.267
316.00,0.265
317.00,0.262
318.00,0.260
319.00,0.258
320.00,0.255
321.00,0.253
322.00,0.250
323.00,0.247
324.00,0.244
325.00,0.240
326.00,0.236
327.00,0.233
328.00,0.228
329.00,0.224
330.00,0.220
331.00,0.216
332.00,0.211
333.00,0.207
334.00,0.201
335.00,0.197
336.00,0.193
337.00,0.188
338.00,0.183
339.00,0.179
340.00,0.174
341.00,0.168
342.00,0.163
343.00,0.159
344.00,0.154
345.00,0.150
346.00,0.146
347.00,0.142
348.00,0.137
349.00,0.133
350.00,0.130
351.00,0.126
352.00,0.122
353.00,0.119
354.00,0.116
355.00,0.113
356.00,0.110
357.00,0.107
358.00,0.104
359.00,0.101
360.00,0.099
361.00,0.097
362.00,0.094
363.00,0.092
364.00,0.090
365.00,0.088
366.00,0.086
367.00,0.085
368.00,0.083
369.00,0.081
370.00,0.080
371.00,0.078
372.00,0.077
373.00,0.076
374.00,0.075
375.00,0.073
376.00,0.072
377.00,0.071
378.00,0.070
379.00,0.069
380.00,0.068
381.00,0.067
382.00,0.066
383.00,0.065
384.00,0.065
385.00,0.064
386.00,0.063
387.00,0.063
388.00,0.062
389.00,0.061
390.00,0.061
391.00,0.060
392.00,0.059
393.00,0.059
394.00,0.058
395.00,0.058
396.00,0.057
397.00,0.057
398.00,0.057
399.00,0.056
400.00,0.056
401.00,0.055
402.00,0.055
403.00,0.055
404.00,0.055
405.00,0.054
406.00,0.054
407.00,0.054
408.00,0.053
409.00,0.053
410.00,0.053
411.00,0.053
412.00,0.052
413.00,0.052
414.00,0.052
415.00,0.052
416.00,0.051
417.00,0.051
418.00,0.051
419.00,0.051
420.00,0.051
421.00,0.050
422.00,0.050
423.00,0.050
424.00,0.050
425.00,0.050
426.00,0.050
427.00,0.049
428.00,0.049
429.00,0.049
430.00,0.049
431.00,0.049
432.00,0.049
433.00,0.049
434.00,0.049
435.00,0.048
436.00,0.048
437.00,0.048
438.00,0.048
439.00,0.048
440.00,0.048
441.00,0.048
442.00,0.048
443.00,0.048
444.00,0.047
445.00,0.047
446.00,0.047
447.00,0.047
448.00,0.047
449.00,0.047
450.00,0.047
451.00,0.047
452.00,0.047
453.00,0.047
454.00,0.047
455.00,0.046
456.00,0.046
457.00,0.046
458.00,0.046
459.00,0.046
460.00,0.046
461.00,0.046
462.00,0.046
463.00,0.046
464.00,0.046
465.00,0.046
466.00,0.046
467.00,0.046
468.00,0.045
469.00,0.045
470.00,0.045
471.00,0.045
472.00,0.045
473.00,0.045
474.00,0.045
