"CharlevoixImperialeStout_100x - RawData"
"Wavelength nm.","Abs."
190.00,2.799
191.00,2.862
192.00,3.043
193.00,3.057
194.00,3.062
195.00,3.246
196.00,3.195
197.00,3.317
198.00,3.232
199.00,3.248
200.00,3.293
201.00,3.233
202.00,3.140
203.00,3.090
204.00,2.999
205.00,2.852
206.00,2.782
207.00,2.701
208.00,2.600
209.00,2.491
210.00,2.398
211.00,2.315
212.00,2.228
213.00,2.150
214.00,2.063
215.00,1.988
216.00,1.915
217.00,1.844
218.00,1.774
219.00,1.703
220.00,1.637
221.00,1.575
222.00,1.515
223.00,1.456
224.00,1.396
225.00,1.339
226.00,1.282
227.00,1.225
228.00,1.170
229.00,1.120
230.00,1.072
231.00,1.027
232.00,0.985
233.00,0.946
234.00,0.913
235.00,0.883
236.00,0.856
237.00,0.833
238.00,0.813
239.00,0.796
240.00,0.780
241.00,0.768
242.00,0.758
243.00,0.751
244.00,0.746
245.00,0.742
246.00,0.739
247.00,0.737
248.00,0.737
249.00,0.736
250.00,0.736
251.00,0.737
252.00,0.739
253.00,0.740
254.00,0.742
255.00,0.744
256.00,0.745
257.00,0.747
258.00,0.748
259.00,0.748
260.00,0.748
261.00,0.748
262.00,0.749
263.00,0.750
264.00,0.750
265.00,0.750
266.00,0.749
267.00,0.749
268.00,0.747
269.00,0.745
270.00,0.741
271.00,0.738
272.00,0.734
273.00,0.729
274.00,0.724
275.00,0.718
276.00,0.711
277.00,0.704
278.00,0.695
279.00,0.686
280.00,0.676
281.00,0.667
282.00,0.656
283.00,0.644
284.00,0.632
285.00,0.620
286.00,0.608
287.00,0.595
288.00,0.582
289.00,0.569
290.00,0.556
291.00,0.542
292.00,0.530
293.00,0.518
294.00,0.507
295.00,0.498
296.00,0.489
297.00,0.480
298.00,0.472
299.00,0.464
300.00,0.457
301.00,0.450
302.00,0.443
303.00,0.437
304.00,0.431
305.00,0.426
306.00,0.420
307.00,0.414
308.00,0.410
309.00,0.405
310.00,0.400
311.00,0.396
312.00,0.391
313.00,0.388
314.00,0.384
315.00,0.380
316.00,0.376
317.00,0.373
318.00,0.369
319.00,0.365
320.00,0.362
321.00,0.358
322.00,0.354
323.00,0.351
324.00,0.347
325.00,0.343
326.00,0.339
327.00,0.335
328.00,0.331
329.00,0.327
330.00,0.323
331.00,0.319
332.00,0.315
333.00,0.311
334.00,0.306
335.00,0.302
336.00,0.299
337.00,0.295
338.00,0.291
339.00,0.287
340.00,0.283
341.00,0.278
342.00,0.274
343.00,0.271
344.00,0.267
345.00,0.264
346.00,0.260
347.00,0.257
348.00,0.254
349.00,0.250
350.00,0.246
351.00,0.243
352.00,0.240
353.00,0.237
354.00,0.234
355.00,0.231
356.00,0.228
357.00,0.225
358.00,0.222
359.00,0.219
360.00,0.217
361.00,0.214
362.00,0.211
363.00,0.209
364.00,0.207
365.00,0.205
366.00,0.203
367.00,0.200
368.00,0.198
369.00,0.196
370.00,0.193
371.00,0.191
372.00,0.189
373.00,0.187
374.00,0.185
375.00,0.183
376.00,0.181
377.00,0.180
378.00,0.178
379.00,0.176
380.00,0.174
381.00,0.172
382.00,0.170
383.00,0.169
384.00,0.167
385.00,0.165
386.00,0.163
387.00,0.162
388.00,0.160
389.00,0.159
390.00,0.157
391.00,0.156
392.00,0.154
393.00,0.153
394.00,0.152
395.00,0.150
396.00,0.149
397.00,0.147
398.00,0.146
399.00,0.145
400.00,0.143
401.00,0.142
402.00,0.141
403.00,0.140
404.00,0.138
405.00,0.137
406.00,0.136
407.00,0.135
408.00,0.134
409.00,0.133
410.00,0.131
411.00,0.130
412.00,0.129
413.00,0.128
414.00,0.127
415.00,0.126
416.00,0.125
417.00,0.124
418.00,0.123
419.00,0.122
420.00,0.121
421.00,0.120
422.00,0.119
423.00,0.118
424.00,0.117
425.00,0.116
426.00,0.115
427.00,0.115
428.00,0.114
429.00,0.113
430.00,0.112
431.00,0.111
432.00,0.110
433.00,0.109
434.00,0.109
435.00,0.108
436.00,0.107
437.00,0.106
438.00,0.105
439.00,0.105
440.00,0.104
441.00,0.103
442.00,0.102
443.00,0.102
444.00,0.101
445.00,0.100
446.00,0.100
447.00,0.099
448.00,0.098
449.00,0.098
450.00,0.097
451.00,0.096
452.00,0.096
453.00,0.095
454.00,0.094
455.00,0.094
456.00,0.093
457.00,0.093
458.00,0.092
459.00,0.091
460.00,0.091
461.00,0.090
462.00,0.090
463.00,0.089
464.00,0.088
465.00,0.088
466.00,0.087
467.00,0.087
468.00,0.086
469.00,0.086
470.00,0.085
471.00,0.085
472.00,0.084
473.00,0.084
474.00,0.083
475.00,0.083
476.00,0.082
477.00,0.081
478.00,0.081
479.00,0.081
480.00,0.080
481.00,0.079
482.00,0.079
483.00,0.079
484.00,0.078
485.00,0.078
486.00,0.077
487.00,0.077
488.00,0.076
489.00,0.076
490.00,0.075
491.00,0.075
492.00,0.075
493.00,0.074
494.00,0.074
495.00,0.073
496.00,0.073
497.00,0.073
498.00,0.072
499.00,0.072
500.00,0.071
501.00,0.071
502.00,0.071
503.00,0.070
504.00,0.070
505.00,0.070
506.00,0.069
507.00,0.069
508.00,0.069
509.00,0.068
510.00,0.068
511.00,0.067
512.00,0.067
513.00,0.067
514.00,0.067
515.00,0.066
516.00,0.066
517.00,0.066
518.00,0.065
519.00,0.065
520.00,0.065
521.00,0.064
522.00,0.064
523.00,0.064
524.00,0.063
525.00,0.063
526.00,0.063
527.00,0.063
528.00,0.062
529.00,0.062
530.00,0.062
531.00,0.061
532.00,0.061
533.00,0.061
534.00,0.061
535.00,0.060
536.00,0.060
537.00,0.060
538.00,0.060
539.00,0.059
540.00,0.059
541.00,0.059
542.00,0.059
543.00,0.058
544.00,0.058
545.00,0.058
546.00,0.058
547.00,0.057
548.00,0.057
549.00,0.057
550.00,0.057
551.00,0.057
552.00,0.056
553.00,0.056
554.00,0.056
555.00,0.056
556.00,0.055
557.00,0.055
558.00,0.055
559.00,0.055
560.00,0.055
561.00,0.054
562.00,0.054
563.00,0.054
564.00,0.054
565.00,0.054
566.00,0.054
567.00,0.053
568.00,0.053
569.00,0.053
570.00,0.053
571.00,0.053
572.00,0.053
573.00,0.052
574.00,0.052
575.00,0.052
576.00,0.052
577.00,0.052
578.00,0.051
579.00,0.051
580.00,0.051
581.00,0.051
582.00,0.051
583.00,0.051
584.00,0.051
585.00,0.051
586.00,0.050
587.00,0.050
588.00,0.050
589.00,0.050
590.00,0.050
591.00,0.050
592.00,0.050
593.00,0.050
594.00,0.050
595.00,0.049
596.00,0.049
597.00,0.049
598.00,0.049
599.00,0.049
600.00,0.049
601.00,0.049
602.00,0.049
603.00,0.049
604.00,0.049
605.00,0.048
606.00,0.048
607.00,0.048
608.00,0.048
609.00,0.048
610.00,0.048
611.00,0.048
612.00,0.048
613.00,0.048
614.00,0.047
615.00,0.047
616.00,0.047
617.00,0.047
618.00,0.047
619.00,0.047
620.00,0.047
621.00,0.047
622.00,0.047
623.00,0.046
624.00,0.046
625.00,0.046
626.00,0.046
627.00,0.046
628.00,0.046
629.00,0.046
630.00,0.046
631.00,0.046
632.00,0.046
633.00,0.046
634.00,0.046
635.00,0.045
636.00,0.045
637.00,0.045
638.00,0.045
639.00,0.045
640.00,0.045
641.00,0.045
642.00,0.045
643.00,0.045
644.00,0.045
645.00,0.045
646.00,0.045
647.00,0.044
648.00,0.044
649.00,0.044
650.00,0.044
651.00,0.044
652.00,0.044
653.00,0.044
654.00,0.044
655.00,0.044
656.00,0.044
657.00,0.044
658.00,0.044
659.00,0.044
660.00,0.044
661.00,0.044
662.00,0.044
663.00,0.044
664.00,0.044
665.00,0.043
666.00,0.043
667.00,0.043
668.00,0.043
669.00,0.043
670.00,0.043
671.00,0.043
672.00,0.043
673.00,0.043
674.00,0.043
675.00,0.043
676.00,0.043
677.00,0.043
678.00,0.043
679.00,0.043
680.00,0.043
681.00,0.043
682.00,0.043
683.00,0.043
684.00,0.043
685.00,0.042
686.00,0.042
687.00,0.042
688.00,0.042
689.00,0.042
690.00,0.042
691.00,0.042
692.00,0.042
693.00,0.042
694.00,0.042
695.00,0.042
696.00,0.042
697.00,0.042
698.00,0.042
699.00,0.042
700.00,0.042
701.00,0.042
702.00,0.042
703.00,0.042
704.00,0.042
705.00,0.042
706.00,0.042
707.00,0.042
708.00,0.042
709.00,0.043
710.00,0.043
711.00,0.043
712.00,0.043
713.00,0.043
714.00,0.043
715.00,0.043
716.00,0.043
717.00,0.044
718.00,0.044
719.00,0.044
720.00,0.044
721.00,0.044
722.00,0.044
723.00,0.045
724.00,0.045
725.00,0.045
726.00,0.045
727.00,0.046
728.00,0.046
729.00,0.046
730.00,0.047
731.00,0.047
732.00,0.048
733.00,0.048
734.00,0.049
735.00,0.049
736.00,0.049
737.00,0.050
738.00,0.050
739.00,0.050
740.00,0.050
741.00,0.050
742.00,0.050
743.00,0.050
744.00,0.050
745.00,0.050
746.00,0.050
747.00,0.050
748.00,0.050
749.00,0.050
750.00,0.050
751.00,0.050
752.00,0.050
753.00,0.050
754.00,0.050
755.00,0.050
756.00,0.050
757.00,0.050
758.00,0.049
759.00,0.050
760.00,0.050
761.00,0.049
762.00,0.049
763.00,0.049
764.00,0.049
765.00,0.049
766.00,0.049
767.00,0.049
768.00,0.049
769.00,0.049
770.00,0.049
771.00,0.049
772.00,0.049
773.00,0.049
774.00,0.048
775.00,0.048
776.00,0.048
777.00,0.048
778.00,0.048
779.00,0.048
780.00,0.048
781.00,0.048
782.00,0.048
783.00,0.047
784.00,0.047
785.00,0.047
786.00,0.047
787.00,0.047
788.00,0.047
789.00,0.047
790.00,0.047
791.00,0.047
792.00,0.046
793.00,0.046
794.00,0.046
795.00,0.046
796.00,0.046
797.00,0.046
798.00,0.046
799.00,0.046
800.00,0.046
801.00,0.046
802.00,0.045
803.00,0.045
804.00,0.045
805.00,0.045
806.00,0.045
807.00,0.045
808.00,0.045
809.00,0.045
810.00,0.045
811.00,0.045
812.00,0.045
813.00,0.045
814.00,0.045
815.00,0.045
816.00,0.045
817.00,0.046
818.00,0.046
819.00,0.046
820.00,0.046
821.00,0.046
822.00,0.046
823.00,0.046
824.00,0.047
825.00,0.047
826.00,0.048
827.00,0.048
828.00,0.049
829.00,0.049
830.00,0.050
831.00,0.050
832.00,0.051
833.00,0.051
834.00,0.051
835.00,0.052
836.00,0.052
837.00,0.052
838.00,0.052
839.00,0.052
840.00,0.052
841.00,0.053
842.00,0.053
843.00,0.053
844.00,0.053
