"ChouapeRousse50x.txt - RawData"
"Wavelength nm.","Abs."
190.00,2.821
191.00,3.122
192.00,3.718
193.00,3.381
194.00,3.292
195.00,3.426
196.00,3.501
197.00,3.488
198.00,3.622
199.00,3.542
200.00,3.779
201.00,3.528
202.00,3.699
203.00,3.904
204.00,3.873
205.00,3.827
206.00,3.641
207.00,3.529
208.00,3.368
209.00,3.247
210.00,3.169
211.00,3.049
212.00,2.896
213.00,2.798
214.00,2.678
215.00,2.576
216.00,2.472
217.00,2.378
218.00,2.274
219.00,2.179
220.00,2.079
221.00,1.989
222.00,1.906
223.00,1.824
224.00,1.740
225.00,1.659
226.00,1.581
227.00,1.500
228.00,1.423
229.00,1.353
230.00,1.286
231.00,1.223
232.00,1.168
233.00,1.117
234.00,1.074
235.00,1.036
236.00,1.003
237.00,0.975
238.00,0.951
239.00,0.931
240.00,0.915
241.00,0.902
242.00,0.893
243.00,0.887
244.00,0.883
245.00,0.881
246.00,0.880
247.00,0.881
248.00,0.883
249.00,0.885
250.00,0.888
251.00,0.892
252.00,0.896
253.00,0.901
254.00,0.905
255.00,0.910
256.00,0.915
257.00,0.919
258.00,0.921
259.00,0.923
260.00,0.925
261.00,0.926
262.00,0.928
263.00,0.930
264.00,0.931
265.00,0.932
266.00,0.931
267.00,0.931
268.00,0.929
269.00,0.926
270.00,0.922
271.00,0.918
272.00,0.913
273.00,0.906
274.00,0.899
275.00,0.891
276.00,0.881
277.00,0.871
278.00,0.859
279.00,0.846
280.00,0.833
281.00,0.820
282.00,0.805
283.00,0.789
284.00,0.773
285.00,0.755
286.00,0.740
287.00,0.724
288.00,0.707
289.00,0.690
290.00,0.672
291.00,0.655
292.00,0.638
293.00,0.624
294.00,0.612
295.00,0.600
296.00,0.590
297.00,0.580
298.00,0.571
299.00,0.561
300.00,0.553
301.00,0.544
302.00,0.537
303.00,0.529
304.00,0.522
305.00,0.514
306.00,0.507
307.00,0.499
308.00,0.492
309.00,0.485
310.00,0.478
311.00,0.471
312.00,0.464
313.00,0.457
314.00,0.451
315.00,0.445
316.00,0.438
317.00,0.432
318.00,0.425
319.00,0.419
320.00,0.412
321.00,0.405
322.00,0.398
323.00,0.392
324.00,0.385
325.00,0.378
326.00,0.371
327.00,0.364
328.00,0.357
329.00,0.350
330.00,0.343
331.00,0.336
332.00,0.330
333.00,0.323
334.00,0.316
335.00,0.309
336.00,0.304
337.00,0.297
338.00,0.291
339.00,0.285
340.00,0.279
341.00,0.272
342.00,0.266
343.00,0.260
344.00,0.255
345.00,0.250
346.00,0.244
347.00,0.239
348.00,0.234
349.00,0.230
350.00,0.225
351.00,0.220
352.00,0.216
353.00,0.212
354.00,0.208
355.00,0.204
356.00,0.200
357.00,0.196
358.00,0.193
359.00,0.189
360.00,0.186
361.00,0.183
362.00,0.179
363.00,0.177
364.00,0.174
365.00,0.171
366.00,0.168
367.00,0.165
368.00,0.162
369.00,0.160
370.00,0.158
371.00,0.155
372.00,0.153
373.00,0.151
374.00,0.149
375.00,0.147
376.00,0.144
377.00,0.142
378.00,0.141
379.00,0.139
380.00,0.137
381.00,0.135
382.00,0.133
383.00,0.131
384.00,0.130
385.00,0.128
386.00,0.127
387.00,0.125
388.00,0.124
389.00,0.122
390.00,0.121
391.00,0.120
392.00,0.118
393.00,0.117
394.00,0.116
395.00,0.114
396.00,0.113
397.00,0.112
398.00,0.111
399.00,0.110
400.00,0.109
401.00,0.108
402.00,0.107
403.00,0.106
404.00,0.105
405.00,0.104
406.00,0.103
407.00,0.102
408.00,0.101
409.00,0.100
410.00,0.099
411.00,0.098
412.00,0.097
413.00,0.097
414.00,0.096
415.00,0.095
416.00,0.094
417.00,0.094
418.00,0.093
419.00,0.092
420.00,0.091
421.00,0.091
422.00,0.090
423.00,0.089
424.00,0.089
425.00,0.088
426.00,0.087
427.00,0.087
428.00,0.086
429.00,0.085
430.00,0.085
431.00,0.084
432.00,0.083
433.00,0.083
434.00,0.082
435.00,0.082
436.00,0.081
437.00,0.080
438.00,0.080
439.00,0.079
440.00,0.079
441.00,0.078
442.00,0.078
443.00,0.077
444.00,0.077
445.00,0.076
446.00,0.076
447.00,0.075
448.00,0.075
449.00,0.075
450.00,0.074
451.00,0.074
452.00,0.073
453.00,0.073
454.00,0.072
455.00,0.072
456.00,0.071
457.00,0.071
458.00,0.071
459.00,0.070
460.00,0.070
461.00,0.069
462.00,0.069
463.00,0.068
464.00,0.068
465.00,0.068
466.00,0.068
467.00,0.067
468.00,0.067
469.00,0.066
470.00,0.066
471.00,0.066
472.00,0.065
473.00,0.065
474.00,0.065
475.00,0.064
476.00,0.064
477.00,0.064
478.00,0.063
479.00,0.063
480.00,0.062
481.00,0.062
482.00,0.062
483.00,0.061
484.00,0.061
485.00,0.061
486.00,0.061
487.00,0.060
488.00,0.060
489.00,0.060
490.00,0.059
491.00,0.059
492.00,0.059
493.00,0.059
494.00,0.058
495.00,0.058
496.00,0.058
497.00,0.057
498.00,0.057
499.00,0.057
500.00,0.057
501.00,0.056
502.00,0.056
503.00,0.056
504.00,0.056
505.00,0.056
506.00,0.055
507.00,0.055
508.00,0.055
509.00,0.055
510.00,0.054
511.00,0.054
512.00,0.054
513.00,0.054
514.00,0.054
515.00,0.053
516.00,0.053
517.00,0.053
518.00,0.053
519.00,0.053
520.00,0.052
521.00,0.052
522.00,0.052
523.00,0.052
524.00,0.051
525.00,0.051
526.00,0.051
527.00,0.051
528.00,0.051
529.00,0.051
530.00,0.050
531.00,0.050
532.00,0.050
533.00,0.050
534.00,0.050
535.00,0.049
536.00,0.050
537.00,0.049
538.00,0.049
539.00,0.049
540.00,0.049
541.00,0.049
542.00,0.048
543.00,0.048
544.00,0.048
545.00,0.048
546.00,0.048
547.00,0.048
548.00,0.048
549.00,0.047
550.00,0.047
551.00,0.047
552.00,0.047
553.00,0.047
554.00,0.047
555.00,0.047
556.00,0.047
557.00,0.046
558.00,0.046
559.00,0.046
560.00,0.046
561.00,0.046
562.00,0.046
563.00,0.046
564.00,0.046
565.00,0.045
566.00,0.045
567.00,0.045
568.00,0.045
569.00,0.045
570.00,0.045
571.00,0.045
572.00,0.045
573.00,0.045
574.00,0.045
575.00,0.044
576.00,0.044
577.00,0.044
578.00,0.044
579.00,0.044
580.00,0.044
581.00,0.044
582.00,0.044
583.00,0.044
584.00,0.044
585.00,0.044
586.00,0.044
587.00,0.044
588.00,0.043
589.00,0.043
590.00,0.043
591.00,0.043
592.00,0.043
593.00,0.043
594.00,0.043
595.00,0.043
596.00,0.043
597.00,0.043
598.00,0.043
599.00,0.043
600.00,0.043
601.00,0.043
602.00,0.043
603.00,0.043
604.00,0.043
605.00,0.043
606.00,0.043
607.00,0.042
608.00,0.042
609.00,0.042
610.00,0.042
611.00,0.042
612.00,0.042
613.00,0.042
614.00,0.042
615.00,0.042
616.00,0.042
617.00,0.042
618.00,0.042
619.00,0.042
620.00,0.042
621.00,0.042
622.00,0.041
623.00,0.041
624.00,0.041
625.00,0.041
626.00,0.041
627.00,0.041
628.00,0.041
629.00,0.041
630.00,0.041
631.00,0.041
632.00,0.041
