"Cidre_50x - RawData"
"Wavelength nm.","Abs."
190.00,2.704
191.00,2.862
192.00,2.772
193.00,2.684
194.00,2.665
195.00,2.608
196.00,2.557
197.00,2.506
198.00,2.467
199.00,2.417
200.00,2.388
201.00,2.338
202.00,2.276
203.00,2.236
204.00,2.196
205.00,2.124
206.00,2.061
207.00,1.998
208.00,1.936
209.00,1.868
210.00,1.803
211.00,1.744
212.00,1.689
213.00,1.632
214.00,1.579
215.00,1.530
216.00,1.481
217.00,1.430
218.00,1.384
219.00,1.338
220.00,1.292
221.00,1.250
222.00,1.208
223.00,1.167
224.00,1.126
225.00,1.088
226.00,1.050
227.00,1.013
228.00,0.978
229.00,0.945
230.00,0.914
231.00,0.884
232.00,0.856
233.00,0.828
234.00,0.801
235.00,0.775
236.00,0.750
237.00,0.725
238.00,0.700
239.00,0.677
240.00,0.654
241.00,0.631
242.00,0.611
243.00,0.592
244.00,0.574
245.00,0.556
246.00,0.539
247.00,0.523
248.00,0.507
249.00,0.493
250.00,0.480
251.00,0.468
252.00,0.457
253.00,0.447
254.00,0.438
255.00,0.430
256.00,0.423
257.00,0.417
258.00,0.412
259.00,0.408
260.00,0.405
261.00,0.404
262.00,0.402
263.00,0.402
264.00,0.402
265.00,0.403
266.00,0.404
267.00,0.406
268.00,0.408
269.00,0.411
270.00,0.414
271.00,0.417
272.00,0.420
273.00,0.424
274.00,0.427
275.00,0.431
276.00,0.434
277.00,0.437
278.00,0.440
279.00,0.443
280.00,0.445
281.00,0.446
282.00,0.447
283.00,0.446
284.00,0.446
285.00,0.444
286.00,0.441
287.00,0.437
288.00,0.433
289.00,0.428
290.00,0.423
291.00,0.418
292.00,0.413
293.00,0.409
294.00,0.404
295.00,0.400
296.00,0.397
297.00,0.394
298.00,0.391
299.00,0.389
300.00,0.386
301.00,0.383
302.00,0.381
303.00,0.379
304.00,0.378
305.00,0.376
306.00,0.374
307.00,0.373
308.00,0.372
309.00,0.370
310.00,0.369
311.00,0.368
