"CorsairPorter100x - RawData"
"Wavelength nm.","Abs."
190.00,3.306
191.00,3.240
192.00,3.287
193.00,3.031
194.00,3.291
195.00,3.506
196.00,3.314
197.00,3.403
198.00,3.286
199.00,3.340
200.00,3.356
201.00,3.197
202.00,3.159
203.00,3.092
204.00,3.001
205.00,2.884
206.00,2.779
207.00,2.683
208.00,2.571
209.00,2.482
210.00,2.396
211.00,2.314
212.00,2.231
213.00,2.155
214.00,2.084
215.00,2.016
216.00,1.945
217.00,1.882
218.00,1.816
219.00,1.755
220.00,1.696
221.00,1.638
222.00,1.582
223.00,1.527
224.00,1.470
225.00,1.417
226.00,1.364
227.00,1.311
228.00,1.259
229.00,1.211
230.00,1.164
231.00,1.120
232.00,1.079
233.00,1.040
234.00,1.005
235.00,0.974
236.00,0.946
237.00,0.921
238.00,0.897
239.00,0.876
240.00,0.857
241.00,0.841
242.00,0.829
243.00,0.820
244.00,0.812
245.00,0.806
246.00,0.802
247.00,0.799
248.00,0.797
249.00,0.796
250.00,0.796
251.00,0.796
252.00,0.797
253.00,0.800
254.00,0.802
255.00,0.804
256.00,0.807
257.00,0.809
258.00,0.811
259.00,0.812
260.00,0.814
261.00,0.815
262.00,0.817
263.00,0.819
264.00,0.820
265.00,0.822
266.00,0.823
267.00,0.823
268.00,0.823
269.00,0.822
270.00,0.820
271.00,0.818
272.00,0.816
273.00,0.812
274.00,0.808
275.00,0.804
276.00,0.798
277.00,0.791
278.00,0.783
279.00,0.775
280.00,0.767
281.00,0.757
282.00,0.747
283.00,0.736
284.00,0.724
285.00,0.712
286.00,0.700
287.00,0.687
288.00,0.674
289.00,0.660
290.00,0.646
291.00,0.631
292.00,0.618
293.00,0.605
294.00,0.595
295.00,0.584
296.00,0.574
297.00,0.565
298.00,0.555
299.00,0.546
300.00,0.538
301.00,0.530
302.00,0.522
303.00,0.514
304.00,0.507
305.00,0.500
306.00,0.493
307.00,0.486
308.00,0.479
309.00,0.473
310.00,0.466
311.00,0.460
312.00,0.454
313.00,0.449
314.00,0.444
315.00,0.438
316.00,0.433
317.00,0.428
318.00,0.422
319.00,0.417
320.00,0.412
321.00,0.406
322.00,0.401
323.00,0.396
324.00,0.391
325.00,0.386
326.00,0.380
327.00,0.375
328.00,0.369
329.00,0.364
330.00,0.359
331.00,0.354
332.00,0.348
333.00,0.343
334.00,0.338
335.00,0.333
336.00,0.328
337.00,0.323
338.00,0.318
339.00,0.314
340.00,0.309
341.00,0.303
342.00,0.299
343.00,0.294
344.00,0.289
345.00,0.285
346.00,0.281
347.00,0.277
348.00,0.272
349.00,0.268
350.00,0.265
351.00,0.261
352.00,0.257
353.00,0.254
354.00,0.250
355.00,0.247
356.00,0.243
357.00,0.240
358.00,0.237
359.00,0.234
360.00,0.231
361.00,0.228
362.00,0.225
363.00,0.222
364.00,0.219
365.00,0.217
366.00,0.214
367.00,0.212
368.00,0.209
369.00,0.207
370.00,0.204
371.00,0.202
372.00,0.200
373.00,0.197
374.00,0.195
375.00,0.193
376.00,0.190
377.00,0.188
378.00,0.186
379.00,0.184
380.00,0.182
381.00,0.180
382.00,0.178
383.00,0.176
384.00,0.174
385.00,0.173
386.00,0.171
387.00,0.169
388.00,0.167
389.00,0.166
390.00,0.164
391.00,0.162
392.00,0.161
393.00,0.159
394.00,0.158
395.00,0.156
396.00,0.154
397.00,0.153
398.00,0.152
399.00,0.150
400.00,0.149
401.00,0.148
402.00,0.146
403.00,0.145
404.00,0.144
405.00,0.142
406.00,0.141
407.00,0.140
408.00,0.138
409.00,0.137
410.00,0.136
411.00,0.135
412.00,0.134
413.00,0.132
414.00,0.131
415.00,0.130
416.00,0.129
417.00,0.128
418.00,0.127
419.00,0.126
420.00,0.125
421.00,0.124
422.00,0.123
423.00,0.122
424.00,0.121
425.00,0.120
426.00,0.119
427.00,0.118
428.00,0.117
429.00,0.116
430.00,0.116
431.00,0.115
432.00,0.114
433.00,0.113
434.00,0.112
435.00,0.111
436.00,0.110
437.00,0.109
438.00,0.109
439.00,0.108
440.00,0.107
441.00,0.106
442.00,0.105
443.00,0.105
444.00,0.104
445.00,0.103
446.00,0.103
447.00,0.102
448.00,0.101
449.00,0.101
450.00,0.100
451.00,0.099
452.00,0.098
453.00,0.098
454.00,0.097
455.00,0.097
456.00,0.096
457.00,0.095
458.00,0.095
459.00,0.094
460.00,0.093
461.00,0.093
462.00,0.092
463.00,0.091
464.00,0.091
465.00,0.090
466.00,0.090
467.00,0.089
468.00,0.089
469.00,0.088
470.00,0.088
471.00,0.087
472.00,0.087
473.00,0.086
474.00,0.086
475.00,0.085
476.00,0.084
477.00,0.084
478.00,0.083
479.00,0.083
480.00,0.082
481.00,0.082
482.00,0.081
483.00,0.081
484.00,0.080
