"DieuDuCielRigorMortis50x - RawData"
"Wavelength nm.","Abs."
190.00,3.525
191.00,3.595
192.00,3.779
193.00,3.892
194.00,3.649
195.00,3.880
196.00,3.887
197.00,3.767
198.00,3.948
199.00,3.962
200.00,3.831
201.00,3.883
202.00,3.937
203.00,3.993
204.00,3.982
205.00,3.970
206.00,3.916
207.00,3.976
208.00,3.948
209.00,3.951
210.00,3.991
211.00,3.972
212.00,3.974
213.00,3.986
214.00,3.964
215.00,3.929
216.00,3.868
217.00,3.793
218.00,3.728
219.00,3.626
220.00,3.401
221.00,3.284
222.00,3.177
223.00,3.024
224.00,2.882
225.00,2.721
226.00,2.602
227.00,2.442
228.00,2.300
229.00,2.171
230.00,2.048
231.00,1.936
232.00,1.833
233.00,1.741
234.00,1.661
235.00,1.592
236.00,1.534
237.00,1.486
238.00,1.446
239.00,1.412
240.00,1.386
241.00,1.366
242.00,1.354
243.00,1.346
244.00,1.342
245.00,1.341
246.00,1.343
247.00,1.347
248.00,1.353
249.00,1.359
250.00,1.366
251.00,1.374
252.00,1.383
253.00,1.391
254.00,1.398
255.00,1.407
256.00,1.414
257.00,1.420
258.00,1.424
259.00,1.425
260.00,1.425
261.00,1.426
262.00,1.427
263.00,1.428
264.00,1.428
265.00,1.426
266.00,1.424
267.00,1.421
268.00,1.417
269.00,1.410
270.00,1.403
271.00,1.393
272.00,1.382
273.00,1.370
274.00,1.358
275.00,1.342
276.00,1.327
277.00,1.308
278.00,1.289
279.00,1.269
280.00,1.249
281.00,1.229
282.00,1.207
283.00,1.183
284.00,1.158
285.00,1.132
286.00,1.107
287.00,1.083
288.00,1.058
289.00,1.034
290.00,1.006
291.00,0.979
292.00,0.954
293.00,0.931
294.00,0.912
295.00,0.893
296.00,0.878
297.00,0.862
298.00,0.848
299.00,0.834
300.00,0.821
301.00,0.809
302.00,0.797
303.00,0.786
304.00,0.775
305.00,0.763
306.00,0.749
307.00,0.738
308.00,0.727
309.00,0.716
310.00,0.705
311.00,0.694
312.00,0.684
313.00,0.673
314.00,0.663
315.00,0.654
316.00,0.643
317.00,0.633
318.00,0.623
319.00,0.614
320.00,0.603
321.00,0.593
322.00,0.582
323.00,0.572
324.00,0.562
