"DieuDuCielRoséeDHibiscus50x - RawData"
"Wavelength nm.","Abs."
190.00,3.922
191.00,3.433
192.00,3.399
193.00,3.625
194.00,3.860
195.00,3.777
196.00,3.808
197.00,3.817
198.00,3.794
199.00,3.817
200.00,3.871
201.00,3.864
202.00,3.829
203.00,3.875
204.00,3.979
205.00,3.833
206.00,3.836
207.00,3.933
208.00,3.776
209.00,3.652
210.00,3.771
211.00,3.686
212.00,3.534
213.00,3.347
214.00,3.256
215.00,3.054
216.00,2.970
217.00,2.817
218.00,2.703
219.00,2.576
220.00,2.448
221.00,2.329
222.00,2.212
223.00,2.094
224.00,1.975
225.00,1.859
226.00,1.738
227.00,1.617
228.00,1.499
229.00,1.392
230.00,1.292
231.00,1.203
232.00,1.123
233.00,1.051
234.00,0.990
235.00,0.936
236.00,0.890
237.00,0.852
238.00,0.820
239.00,0.795
240.00,0.774
241.00,0.758
242.00,0.747
243.00,0.739
244.00,0.734
245.00,0.731
246.00,0.729
247.00,0.729
248.00,0.730
249.00,0.732
250.00,0.735
251.00,0.738
252.00,0.741
253.00,0.745
254.00,0.749
255.00,0.753
256.00,0.757
257.00,0.761
258.00,0.764
259.00,0.765
260.00,0.767
261.00,0.769
262.00,0.771
263.00,0.774
264.00,0.777
265.00,0.778
266.00,0.780
267.00,0.781
268.00,0.780
269.00,0.779
270.00,0.776
271.00,0.773
272.00,0.768
273.00,0.763
274.00,0.757
275.00,0.749
276.00,0.741
277.00,0.731
278.00,0.720
279.00,0.708
280.00,0.696
281.00,0.683
282.00,0.668
283.00,0.651
284.00,0.634
285.00,0.615
286.00,0.597
287.00,0.580
288.00,0.563
289.00,0.545
290.00,0.524
291.00,0.504
292.00,0.486
293.00,0.469
294.00,0.455
295.00,0.442
296.00,0.431
297.00,0.421
298.00,0.411
299.00,0.401
300.00,0.393
301.00,0.386
302.00,0.379
303.00,0.373
304.00,0.368
305.00,0.363
306.00,0.359
307.00,0.354
308.00,0.351
309.00,0.348
310.00,0.345
311.00,0.343
312.00,0.340
313.00,0.338
314.00,0.336
315.00,0.334
316.00,0.332
317.00,0.330
318.00,0.328
319.00,0.326
320.00,0.323
321.00,0.320
322.00,0.318
323.00,0.315
324.00,0.312
325.00,0.308
326.00,0.304
327.00,0.300
328.00,0.296
329.00,0.291
330.00,0.286
331.00,0.281
332.00,0.275
333.00,0.270
334.00,0.264
