"DDCRoutedesEpices100x - RawData"
"Wavelength nm.","Abs."
190.00,3.329
191.00,3.706
192.00,3.783
193.00,3.711
194.00,3.483
195.00,3.383
196.00,3.629
197.00,3.709
198.00,3.497
199.00,3.370
200.00,3.375
201.00,3.168
202.00,3.085
203.00,2.969
204.00,2.799
205.00,2.681
206.00,2.549
207.00,2.424
208.00,2.311
209.00,2.197
210.00,2.092
211.00,2.004
212.00,1.917
213.00,1.830
214.00,1.751
215.00,1.676
216.00,1.600
217.00,1.530
218.00,1.460
219.00,1.391
220.00,1.326
221.00,1.266
222.00,1.208
223.00,1.151
224.00,1.094
225.00,1.038
226.00,0.983
227.00,0.926
228.00,0.871
229.00,0.821
230.00,0.774
231.00,0.731
232.00,0.694
233.00,0.659
234.00,0.628
235.00,0.602
236.00,0.580
237.00,0.561
238.00,0.545
239.00,0.532
240.00,0.521
241.00,0.513
242.00,0.507
243.00,0.502
244.00,0.499
245.00,0.497
246.00,0.496
247.00,0.495
248.00,0.495
249.00,0.496
250.00,0.497
251.00,0.498
252.00,0.500
253.00,0.502
254.00,0.504
255.00,0.506
256.00,0.508
257.00,0.510
258.00,0.511
259.00,0.512
260.00,0.512
261.00,0.513
262.00,0.514
263.00,0.515
264.00,0.515
265.00,0.516
266.00,0.516
267.00,0.516
268.00,0.516
269.00,0.515
270.00,0.513
271.00,0.511
272.00,0.508
273.00,0.505
274.00,0.501
275.00,0.497
276.00,0.493
277.00,0.487
278.00,0.482
279.00,0.475
280.00,0.469
281.00,0.462
282.00,0.455
283.00,0.447
284.00,0.438
285.00,0.428
286.00,0.419
287.00,0.411
288.00,0.402
289.00,0.392
290.00,0.383
291.00,0.373
292.00,0.364
293.00,0.355
294.00,0.348
295.00,0.341
296.00,0.335
297.00,0.330
298.00,0.325
299.00,0.320
300.00,0.315
301.00,0.311
302.00,0.307
303.00,0.303
304.00,0.299
305.00,0.295
306.00,0.291
307.00,0.288
308.00,0.284
309.00,0.281
310.00,0.277
311.00,0.273
312.00,0.269
313.00,0.266
314.00,0.263
315.00,0.260
316.00,0.256
317.00,0.253
318.00,0.250
319.00,0.247
320.00,0.244
321.00,0.240
322.00,0.237
323.00,0.234
324.00,0.230
325.00,0.227
326.00,0.223
327.00,0.220
328.00,0.217
329.00,0.214
330.00,0.210
331.00,0.206
332.00,0.203
333.00,0.200
334.00,0.196
335.00,0.193
336.00,0.190
337.00,0.187
338.00,0.183
339.00,0.180
340.00,0.177
341.00,0.173
342.00,0.170
343.00,0.167
344.00,0.163
345.00,0.161
346.00,0.158
347.00,0.155
348.00,0.152
349.00,0.149
350.00,0.146
351.00,0.144
352.00,0.141
353.00,0.139
354.00,0.136
355.00,0.134
356.00,0.131
357.00,0.129
358.00,0.127
359.00,0.124
360.00,0.122
361.00,0.120
362.00,0.118
363.00,0.116
364.00,0.114
365.00,0.112
366.00,0.110
367.00,0.109
368.00,0.107
369.00,0.105
370.00,0.103
371.00,0.102
372.00,0.100
373.00,0.098
374.00,0.097
375.00,0.095
376.00,0.094
377.00,0.093
378.00,0.091
379.00,0.090
380.00,0.089
381.00,0.087
382.00,0.086
383.00,0.085
384.00,0.084
385.00,0.083
386.00,0.082
387.00,0.081
388.00,0.080
389.00,0.079
390.00,0.078
391.00,0.077
392.00,0.076
393.00,0.076
394.00,0.075
395.00,0.074
396.00,0.073
397.00,0.073
398.00,0.072
399.00,0.072
400.00,0.071
401.00,0.070
402.00,0.070
403.00,0.069
404.00,0.069
405.00,0.068
406.00,0.068
407.00,0.067
408.00,0.067
409.00,0.066
410.00,0.066
411.00,0.065
412.00,0.065
413.00,0.064
414.00,0.064
415.00,0.064
416.00,0.063
417.00,0.063
418.00,0.062
419.00,0.062
420.00,0.062
421.00,0.061
422.00,0.061
423.00,0.061
424.00,0.060
425.00,0.060
426.00,0.060
427.00,0.059
428.00,0.059
429.00,0.059
430.00,0.058
431.00,0.058
432.00,0.058
433.00,0.058
434.00,0.057
435.00,0.057
436.00,0.057
437.00,0.056
438.00,0.056
439.00,0.056
440.00,0.056
441.00,0.055
442.00,0.055
443.00,0.055
444.00,0.055
445.00,0.054
446.00,0.054
447.00,0.054
448.00,0.054
449.00,0.054
450.00,0.053
451.00,0.053
452.00,0.053
453.00,0.053
454.00,0.053
455.00,0.052
456.00,0.052
457.00,0.052
458.00,0.052
459.00,0.052
460.00,0.051
461.00,0.051
462.00,0.051
463.00,0.051
464.00,0.051
465.00,0.050
466.00,0.050
467.00,0.050
468.00,0.050
469.00,0.050
470.00,0.050
471.00,0.049
472.00,0.049
473.00,0.049
474.00,0.049
475.00,0.049
476.00,0.049
477.00,0.048
478.00,0.048
479.00,0.048
480.00,0.048
481.00,0.048
482.00,0.048
483.00,0.047
484.00,0.047
485.00,0.047
486.00,0.047
487.00,0.047
488.00,0.047
489.00,0.047
490.00,0.046
491.00,0.046
492.00,0.046
493.00,0.046
494.00,0.046
495.00,0.046
496.00,0.046
497.00,0.046
498.00,0.045
499.00,0.045
500.00,0.045
501.00,0.045
502.00,0.045
503.00,0.045
504.00,0.045
505.00,0.045
506.00,0.044
507.00,0.044
508.00,0.044
509.00,0.044
510.00,0.044
511.00,0.044
512.00,0.044
513.00,0.044
514.00,0.044
515.00,0.044
516.00,0.043
517.00,0.043
518.00,0.043
519.00,0.043
520.00,0.043
521.00,0.043
522.00,0.043
523.00,0.043
524.00,0.043
525.00,0.043
526.00,0.043
527.00,0.042
528.00,0.042
529.00,0.042
530.00,0.042
531.00,0.042
532.00,0.042
533.00,0.042
534.00,0.042
535.00,0.042
536.00,0.042
537.00,0.042
538.00,0.042
539.00,0.041
540.00,0.041
541.00,0.041
542.00,0.041
543.00,0.041
544.00,0.041
545.00,0.041
546.00,0.041
547.00,0.041
548.00,0.041
549.00,0.041
550.00,0.041
551.00,0.041
552.00,0.041
553.00,0.041
554.00,0.040
555.00,0.040
556.00,0.040
557.00,0.040
558.00,0.040
559.00,0.040
560.00,0.040
561.00,0.040
562.00,0.040
563.00,0.040
564.00,0.040
565.00,0.040
566.00,0.040
567.00,0.040
568.00,0.040
569.00,0.040
570.00,0.040
571.00,0.040
572.00,0.039
573.00,0.039
574.00,0.039
575.00,0.039
576.00,0.039
577.00,0.039
578.00,0.039
579.00,0.039
580.00,0.039
581.00,0.039
582.00,0.039
583.00,0.039
584.00,0.039
585.00,0.039
586.00,0.039
587.00,0.039
588.00,0.039
589.00,0.039
590.00,0.039
591.00,0.039
592.00,0.039
593.00,0.039
594.00,0.039
595.00,0.039
596.00,0.039
597.00,0.039
598.00,0.039
599.00,0.039
600.00,0.039
601.00,0.039
602.00,0.039
603.00,0.039
604.00,0.039
605.00,0.039
606.00,0.039
607.00,0.039
608.00,0.039
609.00,0.039
610.00,0.039
611.00,0.039
612.00,0.039
613.00,0.039
614.00,0.039
615.00,0.039
616.00,0.039
617.00,0.039
618.00,0.038
619.00,0.038
620.00,0.038
621.00,0.038
622.00,0.038
623.00,0.038
624.00,0.038
625.00,0.038
626.00,0.038
627.00,0.038
628.00,0.038
629.00,0.038
630.00,0.038
631.00,0.038
632.00,0.038
633.00,0.038
634.00,0.038
635.00,0.038
636.00,0.038
637.00,0.038
638.00,0.038
639.00,0.038
640.00,0.038
641.00,0.038
642.00,0.038
643.00,0.038
644.00,0.038
645.00,0.038
646.00,0.038
647.00,0.038
648.00,0.038
649.00,0.038
650.00,0.038
651.00,0.038
652.00,0.038
653.00,0.038
654.00,0.038
655.00,0.038
656.00,0.038
657.00,0.038
658.00,0.038
659.00,0.038
660.00,0.038
661.00,0.038
662.00,0.038
663.00,0.038
664.00,0.038
665.00,0.038
666.00,0.038
667.00,0.038
668.00,0.038
669.00,0.038
670.00,0.038
671.00,0.038
672.00,0.038
673.00,0.038
674.00,0.038
675.00,0.038
676.00,0.038
677.00,0.038
678.00,0.038
679.00,0.038
680.00,0.038
681.00,0.038
682.00,0.038
683.00,0.038
684.00,0.038
685.00,0.038
686.00,0.038
687.00,0.038
688.00,0.038
689.00,0.038
690.00,0.038
691.00,0.038
692.00,0.038
693.00,0.038
694.00,0.038
695.00,0.038
696.00,0.038
697.00,0.038
698.00,0.038
699.00,0.038
700.00,0.038
701.00,0.038
702.00,0.038
703.00,0.038
704.00,0.038
705.00,0.038
706.00,0.038
707.00,0.038
708.00,0.038
709.00,0.039
710.00,0.039
711.00,0.039
712.00,0.039
713.00,0.039
714.00,0.039
715.00,0.039
716.00,0.039
717.00,0.040
718.00,0.040
719.00,0.040
720.00,0.040
721.00,0.040
722.00,0.041
723.00,0.041
724.00,0.041
725.00,0.041
726.00,0.042
727.00,0.042
728.00,0.042
729.00,0.043
730.00,0.043
731.00,0.044
732.00,0.044
733.00,0.045
734.00,0.045
735.00,0.046
736.00,0.046
737.00,0.046
738.00,0.046
739.00,0.047
740.00,0.047
741.00,0.047
742.00,0.047
743.00,0.047
744.00,0.047
745.00,0.047
746.00,0.047
747.00,0.047
748.00,0.047
749.00,0.047
750.00,0.047
751.00,0.047
752.00,0.047
753.00,0.047
754.00,0.047
755.00,0.047
756.00,0.047
757.00,0.047
758.00,0.047
759.00,0.047
760.00,0.047
761.00,0.047
762.00,0.047
763.00,0.047
764.00,0.046
765.00,0.046
766.00,0.046
767.00,0.046
768.00,0.046
769.00,0.046
770.00,0.046
771.00,0.046
772.00,0.046
773.00,0.046
774.00,0.046
775.00,0.046
776.00,0.046
777.00,0.046
778.00,0.046
779.00,0.045
780.00,0.045
781.00,0.045
782.00,0.045
783.00,0.045
784.00,0.045
785.00,0.045
786.00,0.045
787.00,0.045
788.00,0.045
789.00,0.045
790.00,0.044
791.00,0.044
792.00,0.044
793.00,0.044
794.00,0.044
795.00,0.044
796.00,0.044
797.00,0.044
798.00,0.044
799.00,0.044
800.00,0.044
801.00,0.044
802.00,0.043
803.00,0.043
804.00,0.043
805.00,0.043
806.00,0.043
807.00,0.043
808.00,0.043
809.00,0.043
810.00,0.043
811.00,0.043
812.00,0.043
813.00,0.043
814.00,0.043
815.00,0.043
816.00,0.043
817.00,0.044
818.00,0.044
819.00,0.044
820.00,0.044
821.00,0.044
822.00,0.044
823.00,0.045
824.00,0.045
825.00,0.045
826.00,0.046
827.00,0.046
828.00,0.047
829.00,0.047
830.00,0.048
831.00,0.048
832.00,0.049
833.00,0.049
834.00,0.050
835.00,0.050
836.00,0.050
837.00,0.050
838.00,0.050
839.00,0.051
840.00,0.051
841.00,0.051
842.00,0.051
843.00,0.051
844.00,0.051
845.00,0.051
846.00,0.051
847.00,0.052
848.00,0.052
849.00,0.052
850.00,0.052
851.00,0.052
852.00,0.052
853.00,0.052
854.00,0.052
855.00,0.053
856.00,0.053
857.00,0.053
858.00,0.053
859.00,0.053
860.00,0.053
861.00,0.053
862.00,0.053
863.00,0.053
864.00,0.054
865.00,0.054
866.00,0.054
867.00,0.054
868.00,0.054
869.00,0.054
870.00,0.055
871.00,0.055
872.00,0.055
873.00,0.055
874.00,0.055
875.00,0.055
876.00,0.056
877.00,0.056
878.00,0.056
879.00,0.056
880.00,0.057
881.00,0.057
882.00,0.057
883.00,0.057
884.00,0.058
885.00,0.058
886.00,0.058
887.00,0.058
888.00,0.058
889.00,0.059
890.00,0.059
891.00,0.059
892.00,0.059
893.00,0.060
894.00,0.060
895.00,0.060
896.00,0.060
897.00,0.061
898.00,0.061
899.00,0.061
900.00,0.061
