"DDCSentinelle50x - RawData"
"Wavelength nm.","Abs."
190.00,3.764
191.00,3.542
192.00,3.639
193.00,3.715
194.00,3.833
195.00,3.780
196.00,3.880
197.00,3.726
198.00,3.726
199.00,3.857
200.00,3.921
201.00,3.936
202.00,3.822
203.00,3.916
204.00,3.828
205.00,3.712
206.00,3.648
207.00,3.515
208.00,3.419
209.00,3.321
210.00,3.163
211.00,3.034
212.00,2.886
213.00,2.769
214.00,2.624
215.00,2.508
216.00,2.390
217.00,2.273
218.00,2.165
219.00,2.061
220.00,1.960
221.00,1.865
222.00,1.771
223.00,1.682
224.00,1.588
225.00,1.497
226.00,1.406
227.00,1.314
228.00,1.226
229.00,1.146
230.00,1.072
231.00,1.004
232.00,0.945
233.00,0.891
234.00,0.845
235.00,0.806
236.00,0.773
237.00,0.745
238.00,0.722
239.00,0.704
240.00,0.689
241.00,0.678
242.00,0.670
243.00,0.664
244.00,0.660
245.00,0.658
246.00,0.657
247.00,0.657
248.00,0.658
249.00,0.660
250.00,0.663
251.00,0.666
252.00,0.670
253.00,0.674
254.00,0.677
255.00,0.681
256.00,0.684
257.00,0.687
258.00,0.689
259.00,0.689
260.00,0.690
261.00,0.691
262.00,0.692
263.00,0.693
264.00,0.695
265.00,0.695
266.00,0.695
267.00,0.695
268.00,0.694
269.00,0.692
270.00,0.689
271.00,0.685
272.00,0.679
273.00,0.673
274.00,0.666
275.00,0.657
276.00,0.648
277.00,0.638
278.00,0.626
279.00,0.614
280.00,0.601
281.00,0.588
282.00,0.574
283.00,0.557
284.00,0.539
285.00,0.521
286.00,0.504
287.00,0.487
288.00,0.470
289.00,0.453
290.00,0.433
291.00,0.415
292.00,0.398
293.00,0.383
294.00,0.370
295.00,0.359
296.00,0.349
297.00,0.341
298.00,0.333
299.00,0.326
300.00,0.320
301.00,0.315
302.00,0.311
303.00,0.307
304.00,0.303
305.00,0.299
306.00,0.296
307.00,0.293
308.00,0.290
309.00,0.288
310.00,0.286
311.00,0.283
312.00,0.281
313.00,0.279
314.00,0.276
315.00,0.275
316.00,0.272
317.00,0.270
318.00,0.268
319.00,0.265
320.00,0.262
321.00,0.259
322.00,0.256
323.00,0.253
324.00,0.249
325.00,0.245
326.00,0.241
327.00,0.237
328.00,0.233
329.00,0.228
330.00,0.223
331.00,0.218
332.00,0.214
333.00,0.209
334.00,0.204
335.00,0.198
336.00,0.194
337.00,0.189
338.00,0.184
339.00,0.179
340.00,0.175
341.00,0.169
342.00,0.164
343.00,0.159
344.00,0.154
345.00,0.150
346.00,0.146
347.00,0.142
348.00,0.138
349.00,0.134
350.00,0.130
351.00,0.127
352.00,0.123
353.00,0.119
354.00,0.116
355.00,0.113
356.00,0.110
357.00,0.108
358.00,0.105
359.00,0.102
360.00,0.099
361.00,0.098
362.00,0.095
363.00,0.093
364.00,0.092
365.00,0.090
366.00,0.088
367.00,0.086
368.00,0.085
369.00,0.083
370.00,0.081
371.00,0.080
372.00,0.079
373.00,0.078
374.00,0.076
375.00,0.075
376.00,0.074
377.00,0.073
378.00,0.071
379.00,0.070
380.00,0.069
381.00,0.068
382.00,0.067
383.00,0.066
384.00,0.066
385.00,0.065
386.00,0.064
387.00,0.063
388.00,0.062
389.00,0.062
390.00,0.061
391.00,0.060
392.00,0.060
393.00,0.059
394.00,0.059
395.00,0.058
396.00,0.057
397.00,0.057
398.00,0.056
399.00,0.056
400.00,0.056
401.00,0.055
402.00,0.055
403.00,0.054
404.00,0.054
405.00,0.053
406.00,0.053
407.00,0.053
408.00,0.052
409.00,0.052
410.00,0.052
411.00,0.052
412.00,0.051
413.00,0.051
414.00,0.051
415.00,0.051
416.00,0.050
417.00,0.050
418.00,0.050
419.00,0.050
420.00,0.049
421.00,0.049
422.00,0.049
423.00,0.049
424.00,0.049
425.00,0.049
426.00,0.048
427.00,0.048
428.00,0.048
429.00,0.048
430.00,0.048
431.00,0.048
432.00,0.047
433.00,0.047
434.00,0.047
435.00,0.047
436.00,0.047
437.00,0.047
438.00,0.047
439.00,0.046
440.00,0.046
441.00,0.046
442.00,0.046
443.00,0.046
444.00,0.046
445.00,0.046
446.00,0.046
447.00,0.045
448.00,0.045
449.00,0.045
450.00,0.045
451.00,0.045
452.00,0.045
453.00,0.045
454.00,0.045
455.00,0.045
456.00,0.045
457.00,0.045
458.00,0.044
459.00,0.044
460.00,0.044
461.00,0.044
462.00,0.044
463.00,0.044
464.00,0.044
465.00,0.044
466.00,0.044
467.00,0.044
468.00,0.044
469.00,0.044
470.00,0.043
471.00,0.043
472.00,0.043
473.00,0.043
474.00,0.043
475.00,0.043
476.00,0.043
477.00,0.043
478.00,0.043
479.00,0.043
480.00,0.043
481.00,0.043
482.00,0.043
483.00,0.042
484.00,0.042
485.00,0.042
486.00,0.042
487.00,0.042
488.00,0.042
489.00,0.042
490.00,0.042
491.00,0.042
492.00,0.042
493.00,0.042
494.00,0.042
495.00,0.042
496.00,0.042
497.00,0.042
498.00,0.042
499.00,0.042
500.00,0.041
501.00,0.041
502.00,0.041
503.00,0.041
504.00,0.041
505.00,0.041
506.00,0.041
507.00,0.041
508.00,0.041
509.00,0.041
510.00,0.041
511.00,0.041
512.00,0.041
513.00,0.041
514.00,0.041
515.00,0.041
516.00,0.041
517.00,0.041
518.00,0.041
519.00,0.041
520.00,0.041
521.00,0.040
522.00,0.040
523.00,0.040
524.00,0.040
525.00,0.040
526.00,0.040
527.00,0.040
528.00,0.040
529.00,0.040
530.00,0.040
531.00,0.040
532.00,0.040
533.00,0.040
534.00,0.040
535.00,0.040
536.00,0.040
537.00,0.040
538.00,0.040
539.00,0.040
540.00,0.040
541.00,0.040
542.00,0.040
543.00,0.040
544.00,0.039
545.00,0.039
546.00,0.039
547.00,0.039
548.00,0.039
549.00,0.039
550.00,0.039
551.00,0.039
552.00,0.039
553.00,0.039
554.00,0.039
555.00,0.039
556.00,0.039
557.00,0.039
558.00,0.039
559.00,0.039
560.00,0.039
561.00,0.039
562.00,0.039
563.00,0.039
564.00,0.039
565.00,0.039
566.00,0.039
567.00,0.039
568.00,0.039
569.00,0.039
