"DDCSolsticeDete_50x - RawData"
"Wavelength nm.","Abs."
190.00,1.781
191.00,1.911
192.00,1.957
193.00,2.037
194.00,2.145
195.00,2.165
196.00,2.226
197.00,2.265
198.00,2.306
199.00,2.343
200.00,2.387
201.00,2.412
202.00,2.427
203.00,2.457
204.00,2.476
205.00,2.497
206.00,2.514
207.00,2.527
208.00,2.533
209.00,2.536
210.00,2.534
211.00,2.526
212.00,2.489
213.00,2.464
214.00,2.419
215.00,2.371
216.00,2.326
217.00,2.269
218.00,2.210
219.00,2.143
220.00,2.072
221.00,2.007
222.00,1.936
223.00,1.866
224.00,1.793
225.00,1.719
226.00,1.644
227.00,1.566
228.00,1.485
229.00,1.409
230.00,1.334
231.00,1.264
232.00,1.200
233.00,1.140
234.00,1.086
235.00,1.036
236.00,0.990
237.00,0.948
238.00,0.909
239.00,0.873
240.00,0.840
241.00,0.809
242.00,0.783
243.00,0.760
244.00,0.739
245.00,0.720
246.00,0.704
247.00,0.690
248.00,0.678
249.00,0.668
250.00,0.661
251.00,0.656
252.00,0.652
253.00,0.649
254.00,0.648
255.00,0.647
256.00,0.647
257.00,0.648
258.00,0.650
259.00,0.652
260.00,0.654
261.00,0.657
262.00,0.661
263.00,0.665
264.00,0.668
265.00,0.672
266.00,0.675
267.00,0.678
268.00,0.680
269.00,0.681
270.00,0.681
271.00,0.681
272.00,0.680
273.00,0.678
274.00,0.675
275.00,0.671
276.00,0.665
277.00,0.659
278.00,0.652
279.00,0.644
280.00,0.635
281.00,0.624
282.00,0.613
283.00,0.599
284.00,0.584
285.00,0.568
286.00,0.553
287.00,0.537
288.00,0.521
289.00,0.505
290.00,0.488
291.00,0.471
292.00,0.456
293.00,0.442
294.00,0.430
295.00,0.418
296.00,0.408
297.00,0.398
298.00,0.388
299.00,0.378
300.00,0.370
301.00,0.362
302.00,0.355
303.00,0.348
304.00,0.342
305.00,0.337
306.00,0.330
307.00,0.325
308.00,0.320
309.00,0.315
310.00,0.311
311.00,0.307
312.00,0.303
313.00,0.300
314.00,0.297
315.00,0.293
316.00,0.290
317.00,0.288
318.00,0.284
319.00,0.281
320.00,0.278
321.00,0.275
322.00,0.272
323.00,0.269
324.00,0.265
325.00,0.262
326.00,0.258
327.00,0.254
328.00,0.251
329.00,0.247
330.00,0.243
331.00,0.239
332.00,0.234
333.00,0.231
334.00,0.226
335.00,0.222
336.00,0.218
337.00,0.214
338.00,0.209
339.00,0.205
340.00,0.202
341.00,0.196
342.00,0.192
343.00,0.188
344.00,0.184
345.00,0.181
346.00,0.178
347.00,0.174
348.00,0.171
349.00,0.167
350.00,0.164
351.00,0.161
352.00,0.158
353.00,0.155
354.00,0.153
355.00,0.150
356.00,0.147
357.00,0.145
358.00,0.142
359.00,0.140
360.00,0.137
361.00,0.135
362.00,0.133
363.00,0.131
364.00,0.129
365.00,0.127
366.00,0.126
367.00,0.124
368.00,0.123
369.00,0.121
370.00,0.119
371.00,0.118
372.00,0.116
373.00,0.115
374.00,0.114
375.00,0.112
376.00,0.111
377.00,0.110
378.00,0.109
379.00,0.107
380.00,0.106
381.00,0.105
382.00,0.104
383.00,0.103
384.00,0.102
385.00,0.101
386.00,0.100
387.00,0.099
388.00,0.098
389.00,0.097
390.00,0.097
391.00,0.096
392.00,0.095
393.00,0.095
394.00,0.094
395.00,0.093
396.00,0.093
397.00,0.093
398.00,0.092
399.00,0.092
400.00,0.091
401.00,0.091
402.00,0.090
403.00,0.090
404.00,0.090
405.00,0.089
406.00,0.089
407.00,0.089
408.00,0.088
409.00,0.088
410.00,0.088
411.00,0.087
412.00,0.087
413.00,0.087
414.00,0.087
415.00,0.086
416.00,0.086
417.00,0.086
418.00,0.086
419.00,0.085
420.00,0.085
421.00,0.085
422.00,0.085
423.00,0.085
424.00,0.084
425.00,0.084
426.00,0.084
427.00,0.084
428.00,0.084
429.00,0.083
430.00,0.083
431.00,0.083
432.00,0.083
433.00,0.083
434.00,0.082
435.00,0.082
436.00,0.082
437.00,0.082
438.00,0.082
439.00,0.081
440.00,0.081
441.00,0.081
442.00,0.081
443.00,0.081
444.00,0.081
445.00,0.081
446.00,0.080
447.00,0.080
448.00,0.080
449.00,0.080
450.00,0.080
451.00,0.080
452.00,0.080
453.00,0.080
454.00,0.079
455.00,0.079
456.00,0.080
457.00,0.079
458.00,0.079
459.00,0.079
460.00,0.079
461.00,0.079
462.00,0.079
463.00,0.079
464.00,0.079
465.00,0.080
466.00,0.080
467.00,0.079
468.00,0.080
469.00,0.080
470.00,0.080
471.00,0.080
472.00,0.080
473.00,0.080
474.00,0.080
475.00,0.080
476.00,0.081
477.00,0.081
478.00,0.081
479.00,0.081
480.00,0.081
481.00,0.081
482.00,0.082
483.00,0.082
484.00,0.082
485.00,0.082
486.00,0.082
487.00,0.083
488.00,0.083
489.00,0.083
490.00,0.083
491.00,0.083
492.00,0.083
493.00,0.084
494.00,0.084
495.00,0.084
496.00,0.084
497.00,0.084
498.00,0.084
499.00,0.084
500.00,0.084
501.00,0.084
502.00,0.084
503.00,0.084
504.00,0.084
505.00,0.084
506.00,0.084
507.00,0.084
508.00,0.084
509.00,0.084
510.00,0.084
511.00,0.084
512.00,0.084
513.00,0.083
514.00,0.083
515.00,0.083
516.00,0.083
517.00,0.083
518.00,0.082
519.00,0.082
520.00,0.082
521.00,0.082
522.00,0.081
523.00,0.081
524.00,0.081
525.00,0.080
526.00,0.080
527.00,0.079
528.00,0.079
529.00,0.079
530.00,0.078
531.00,0.078
532.00,0.077
533.00,0.077
534.00,0.076
535.00,0.076
536.00,0.075
537.00,0.075
538.00,0.074
539.00,0.073
540.00,0.073
541.00,0.072
542.00,0.072
543.00,0.071
544.00,0.071
545.00,0.070
546.00,0.069
547.00,0.069
548.00,0.068
549.00,0.068
550.00,0.067
551.00,0.067
552.00,0.066
553.00,0.066
554.00,0.065
555.00,0.065
556.00,0.064
557.00,0.064
558.00,0.063
559.00,0.063
560.00,0.062
561.00,0.062
562.00,0.061
563.00,0.061
564.00,0.061
565.00,0.060
566.00,0.060
567.00,0.060
568.00,0.059
569.00,0.059
570.00,0.059
571.00,0.058
572.00,0.058
573.00,0.058
574.00,0.057
575.00,0.057
576.00,0.057
577.00,0.057
578.00,0.056
579.00,0.056
580.00,0.056
581.00,0.056
582.00,0.056
583.00,0.055
584.00,0.055
585.00,0.055
586.00,0.055
587.00,0.055
588.00,0.055
589.00,0.054
590.00,0.054
591.00,0.054
592.00,0.054
593.00,0.054
594.00,0.054
595.00,0.054
596.00,0.053
597.00,0.053
598.00,0.053
599.00,0.053
600.00,0.053
601.00,0.053
602.00,0.053
603.00,0.053
604.00,0.052
605.00,0.052
606.00,0.052
607.00,0.052
608.00,0.052
609.00,0.052
610.00,0.052
611.00,0.051
612.00,0.051
613.00,0.051
614.00,0.051
615.00,0.051
616.00,0.051
617.00,0.051
618.00,0.051
619.00,0.051
620.00,0.050
621.00,0.050
622.00,0.050
623.00,0.050
624.00,0.050
625.00,0.050
626.00,0.050
627.00,0.050
628.00,0.050
629.00,0.050
630.00,0.049
631.00,0.049
632.00,0.049
633.00,0.049
634.00,0.049
635.00,0.049
636.00,0.049
637.00,0.049
638.00,0.049
639.00,0.049
640.00,0.049
641.00,0.049
642.00,0.049
643.00,0.049
644.00,0.049
645.00,0.049
646.00,0.048
647.00,0.048
648.00,0.048
649.00,0.048
650.00,0.048
651.00,0.048
652.00,0.048
653.00,0.048
654.00,0.048
655.00,0.048
656.00,0.048
657.00,0.048
658.00,0.048
659.00,0.048
660.00,0.048
661.00,0.048
662.00,0.048
663.00,0.048
664.00,0.048
665.00,0.048
666.00,0.048
667.00,0.048
668.00,0.047
669.00,0.048
670.00,0.047
671.00,0.047
672.00,0.047
673.00,0.047
674.00,0.047
