"DieuDuCielCorneDuDiable50x - RawData"
"Wavelength nm.","Abs."
190.00,3.279
191.00,3.701
192.00,3.899
193.00,3.694
194.00,3.813
195.00,3.692
196.00,3.787
197.00,3.887
198.00,3.949
199.00,3.876
200.00,3.947
201.00,3.903
202.00,3.904
203.00,3.957
204.00,3.942
205.00,3.937
206.00,3.945
207.00,3.943
208.00,3.947
209.00,3.918
210.00,3.953
211.00,3.923
212.00,3.972
213.00,3.677
214.00,3.729
215.00,3.542
216.00,3.505
217.00,3.333
218.00,3.147
219.00,3.001
220.00,2.867
221.00,2.749
222.00,2.624
223.00,2.510
224.00,2.397
225.00,2.278
226.00,2.162
227.00,2.043
228.00,1.931
229.00,1.828
230.00,1.730
231.00,1.643
232.00,1.566
233.00,1.492
234.00,1.429
235.00,1.376
236.00,1.331
237.00,1.292
238.00,1.258
239.00,1.230
240.00,1.207
241.00,1.189
242.00,1.176
243.00,1.168
244.00,1.161
245.00,1.158
246.00,1.157
247.00,1.157
248.00,1.159
249.00,1.162
250.00,1.166
251.00,1.172
252.00,1.178
253.00,1.185
254.00,1.191
255.00,1.198
256.00,1.204
257.00,1.209
258.00,1.213
259.00,1.215
260.00,1.218
261.00,1.220
262.00,1.222
263.00,1.223
264.00,1.224
265.00,1.224
266.00,1.224
267.00,1.224
268.00,1.223
269.00,1.219
270.00,1.213
271.00,1.205
272.00,1.196
273.00,1.186
274.00,1.174
275.00,1.162
276.00,1.148
277.00,1.134
278.00,1.118
279.00,1.100
280.00,1.083
281.00,1.064
282.00,1.044
283.00,1.021
284.00,0.998
285.00,0.973
286.00,0.950
287.00,0.927
288.00,0.902
289.00,0.877
290.00,0.851
291.00,0.826
292.00,0.802
293.00,0.782
294.00,0.764
295.00,0.748
296.00,0.734
297.00,0.721
298.00,0.708
299.00,0.696
300.00,0.684
301.00,0.673
302.00,0.663
303.00,0.653
304.00,0.644
305.00,0.634
306.00,0.625
307.00,0.617
308.00,0.607
309.00,0.598
310.00,0.589
311.00,0.581
312.00,0.573
313.00,0.565
314.00,0.556
315.00,0.549
316.00,0.541
317.00,0.533
318.00,0.525
319.00,0.517
320.00,0.509
321.00,0.501
322.00,0.492
323.00,0.484
324.00,0.476
325.00,0.468
326.00,0.460
327.00,0.451
328.00,0.442
329.00,0.434
330.00,0.425
331.00,0.417
332.00,0.408
333.00,0.400
334.00,0.392
335.00,0.384
336.00,0.376
337.00,0.369
338.00,0.361
339.00,0.353
340.00,0.346
341.00,0.336
342.00,0.327
343.00,0.320
344.00,0.314
345.00,0.306
346.00,0.300
347.00,0.294
348.00,0.287
349.00,0.281
350.00,0.275
351.00,0.269
352.00,0.264
353.00,0.258
354.00,0.253
355.00,0.249
356.00,0.244
357.00,0.239
358.00,0.234
359.00,0.229
360.00,0.225
361.00,0.221
362.00,0.217
363.00,0.213
364.00,0.210
365.00,0.206
366.00,0.202
367.00,0.199
368.00,0.196
369.00,0.193
370.00,0.190
371.00,0.187
372.00,0.184
373.00,0.181
374.00,0.178
375.00,0.175
376.00,0.173
377.00,0.170
378.00,0.167
379.00,0.164
380.00,0.162
381.00,0.159
382.00,0.157
383.00,0.155
384.00,0.153
385.00,0.150
386.00,0.148
387.00,0.146
388.00,0.144
389.00,0.142
390.00,0.140
391.00,0.139
392.00,0.137
393.00,0.135
394.00,0.133
395.00,0.131
396.00,0.130
397.00,0.128
398.00,0.127
399.00,0.125
400.00,0.124
401.00,0.123
402.00,0.121
