"DomaineBerthiaumeLEauClaire50x - RawData"
"Wavelength nm.","Abs."
190.00,3.324
191.00,3.510
192.00,3.121
193.00,3.424
194.00,3.681
195.00,3.515
196.00,3.706
197.00,3.800
198.00,3.573
199.00,3.785
200.00,3.664
201.00,3.663
202.00,3.744
203.00,3.522
204.00,3.707
205.00,3.532
206.00,3.485
207.00,3.379
208.00,3.382
209.00,3.267
210.00,3.136
211.00,2.995
212.00,2.884
213.00,2.784
214.00,2.681
215.00,2.555
216.00,2.442
217.00,2.331
218.00,2.221
219.00,2.117
220.00,2.006
221.00,1.911
222.00,1.818
223.00,1.731
224.00,1.642
225.00,1.558
226.00,1.475
227.00,1.393
228.00,1.314
229.00,1.243
230.00,1.176
231.00,1.114
232.00,1.059
233.00,1.011
234.00,0.969
235.00,0.933
236.00,0.903
237.00,0.878
238.00,0.856
239.00,0.839
240.00,0.825
241.00,0.815
242.00,0.807
243.00,0.802
244.00,0.798
245.00,0.796
246.00,0.795
247.00,0.795
248.00,0.796
249.00,0.797
250.00,0.799
251.00,0.802
252.00,0.805
253.00,0.808
254.00,0.811
255.00,0.814
256.00,0.817
257.00,0.819
258.00,0.820
259.00,0.820
260.00,0.819
261.00,0.818
262.00,0.818
263.00,0.817
264.00,0.817
265.00,0.815
266.00,0.812
267.00,0.810
268.00,0.805
269.00,0.800
270.00,0.794
271.00,0.787
272.00,0.780
273.00,0.772
274.00,0.763
275.00,0.753
276.00,0.742
277.00,0.731
278.00,0.719
279.00,0.705
280.00,0.692
281.00,0.678
282.00,0.663
283.00,0.647
284.00,0.630
285.00,0.613
286.00,0.596
287.00,0.580
288.00,0.563
289.00,0.546
290.00,0.528
291.00,0.510
292.00,0.494
293.00,0.480
294.00,0.468
295.00,0.457
296.00,0.447
297.00,0.439
298.00,0.430
299.00,0.423
300.00,0.416
301.00,0.410
302.00,0.404
303.00,0.399
304.00,0.394
305.00,0.389
306.00,0.385
307.00,0.380
308.00,0.376
309.00,0.373
310.00,0.369
311.00,0.365
312.00,0.361
313.00,0.358
314.00,0.355
315.00,0.351
316.00,0.347
317.00,0.344
318.00,0.340
319.00,0.336
320.00,0.332
321.00,0.327
322.00,0.323
323.00,0.318
324.00,0.314
325.00,0.309
326.00,0.303
327.00,0.299
328.00,0.293
329.00,0.288
330.00,0.282
331.00,0.275
332.00,0.270
333.00,0.264
334.00,0.258
335.00,0.251
336.00,0.246
337.00,0.240
338.00,0.234
339.00,0.229
340.00,0.223
341.00,0.216
342.00,0.210
343.00,0.204
344.00,0.200
345.00,0.194
346.00,0.189
347.00,0.184
348.00,0.179
349.00,0.175
350.00,0.170
351.00,0.165
352.00,0.161
353.00,0.157
354.00,0.153
355.00,0.149
356.00,0.146
357.00,0.142
358.00,0.139
359.00,0.135
