"DominusVobiscumBlanche50x - RawData"
"Wavelength nm.","Abs."
190.00,3.059
191.00,3.254
192.00,3.296
193.00,3.679
194.00,3.857
195.00,3.629
196.00,3.603
197.00,3.588
198.00,3.437
199.00,3.593
200.00,3.732
201.00,3.684
202.00,3.478
203.00,3.510
204.00,3.346
205.00,3.267
206.00,3.176
207.00,2.990
208.00,2.855
209.00,2.722
210.00,2.589
211.00,2.481
212.00,2.355
213.00,2.247
214.00,2.141
215.00,2.042
216.00,1.944
217.00,1.848
218.00,1.759
219.00,1.670
220.00,1.584
221.00,1.504
222.00,1.425
223.00,1.348
224.00,1.269
225.00,1.193
226.00,1.119
227.00,1.042
228.00,0.968
229.00,0.901
230.00,0.838
231.00,0.783
232.00,0.734
233.00,0.691
234.00,0.655
235.00,0.624
236.00,0.598
237.00,0.577
238.00,0.559
239.00,0.545
240.00,0.534
241.00,0.526
242.00,0.520
243.00,0.515
244.00,0.512
245.00,0.510
246.00,0.509
247.00,0.509
248.00,0.509
249.00,0.510
250.00,0.511
251.00,0.512
252.00,0.513
253.00,0.514
254.00,0.515
255.00,0.516
256.00,0.517
257.00,0.518
258.00,0.519
259.00,0.520
260.00,0.521
261.00,0.522
262.00,0.522
263.00,0.523
264.00,0.522
265.00,0.522
266.00,0.520
267.00,0.519
268.00,0.517
269.00,0.514
270.00,0.509
271.00,0.504
272.00,0.498
273.00,0.491
274.00,0.483
275.00,0.475
276.00,0.467
277.00,0.458
278.00,0.449
279.00,0.439
280.00,0.430
281.00,0.420
282.00,0.410
283.00,0.399
284.00,0.388
285.00,0.376
286.00,0.366
287.00,0.356
288.00,0.347
289.00,0.337
290.00,0.325
291.00,0.314
292.00,0.303
293.00,0.294
294.00,0.286
295.00,0.279
296.00,0.273
297.00,0.268
298.00,0.263
299.00,0.258
300.00,0.255
301.00,0.251
302.00,0.248
303.00,0.245
304.00,0.242
305.00,0.240
306.00,0.238
307.00,0.236
308.00,0.234
309.00,0.232
310.00,0.231
311.00,0.229
312.00,0.228
313.00,0.227
314.00,0.226
315.00,0.225
316.00,0.223
317.00,0.222
318.00,0.221
319.00,0.220
320.00,0.218
321.00,0.216
322.00,0.214
323.00,0.212
324.00,0.210
325.00,0.208
326.00,0.205
327.00,0.203
328.00,0.201
329.00,0.198
330.00,0.195
331.00,0.192
332.00,0.189
333.00,0.185
334.00,0.182
335.00,0.179
336.00,0.176
337.00,0.173
338.00,0.169
339.00,0.166
340.00,0.163
341.00,0.158
342.00,0.155
343.00,0.152
344.00,0.149
345.00,0.146
346.00,0.142
347.00,0.140
348.00,0.137
349.00,0.134
350.00,0.131
351.00,0.128
352.00,0.125
353.00,0.123
354.00,0.120
355.00,0.118
356.00,0.115
357.00,0.113
358.00,0.111
359.00,0.109
360.00,0.107
361.00,0.104
362.00,0.103
363.00,0.101
364.00,0.099
365.00,0.098
366.00,0.096
367.00,0.095
368.00,0.093
369.00,0.092
370.00,0.090
371.00,0.089
372.00,0.088
373.00,0.087
374.00,0.086
375.00,0.084
376.00,0.083
377.00,0.082
378.00,0.081
379.00,0.080
380.00,0.079
381.00,0.078
382.00,0.078
383.00,0.077
384.00,0.076
385.00,0.075
386.00,0.075
387.00,0.074
388.00,0.073
389.00,0.073
390.00,0.072
391.00,0.071
392.00,0.071
393.00,0.070
394.00,0.070
395.00,0.069
396.00,0.069
397.00,0.069
398.00,0.068
399.00,0.068
400.00,0.067
401.00,0.067
402.00,0.067
403.00,0.066
404.00,0.066
405.00,0.066
406.00,0.065
407.00,0.065
408.00,0.065
409.00,0.065
410.00,0.064
411.00,0.064
412.00,0.064
413.00,0.064
414.00,0.063
415.00,0.063
416.00,0.063
417.00,0.063
418.00,0.063
419.00,0.063
420.00,0.062
421.00,0.062
422.00,0.062
423.00,0.062
424.00,0.062
425.00,0.062
426.00,0.061
427.00,0.061
428.00,0.061
429.00,0.061
430.00,0.061
431.00,0.061
432.00,0.060
433.00,0.060
434.00,0.060
435.00,0.060
436.00,0.060
437.00,0.060
438.00,0.060
439.00,0.060
440.00,0.060
441.00,0.059
442.00,0.059
443.00,0.059
444.00,0.059
445.00,0.059
446.00,0.059
447.00,0.059
448.00,0.059
449.00,0.059
450.00,0.059
451.00,0.058
452.00,0.058
453.00,0.058
454.00,0.058
455.00,0.058
456.00,0.058
457.00,0.058
458.00,0.058
459.00,0.058
460.00,0.058
461.00,0.058
462.00,0.057
463.00,0.057
464.00,0.057
465.00,0.057
466.00,0.057
467.00,0.057
468.00,0.057
469.00,0.057
470.00,0.057
471.00,0.057
472.00,0.057
473.00,0.057
474.00,0.056
475.00,0.056
476.00,0.056
477.00,0.056
478.00,0.056
479.00,0.056
480.00,0.056
481.00,0.056
482.00,0.056
483.00,0.056
484.00,0.056
485.00,0.055
486.00,0.055
487.00,0.055
488.00,0.055
489.00,0.055
490.00,0.055
491.00,0.055
492.00,0.055
493.00,0.055
494.00,0.055
495.00,0.055
496.00,0.055
497.00,0.055
498.00,0.055
499.00,0.054
500.00,0.054
501.00,0.054
502.00,0.054
503.00,0.054
504.00,0.054
505.00,0.054
506.00,0.054
507.00,0.054
508.00,0.054
509.00,0.054
510.00,0.054
511.00,0.054
512.00,0.054
513.00,0.054
514.00,0.053
515.00,0.053
516.00,0.053
517.00,0.053
518.00,0.053
519.00,0.053
520.00,0.053
521.00,0.053
522.00,0.053
523.00,0.053
524.00,0.053
525.00,0.053
526.00,0.053
527.00,0.052
528.00,0.052
529.00,0.052
530.00,0.052
531.00,0.052
532.00,0.052
533.00,0.052
534.00,0.052
535.00,0.052
536.00,0.052
537.00,0.052
538.00,0.052
539.00,0.052
540.00,0.052
541.00,0.052
542.00,0.051
543.00,0.051
544.00,0.051
545.00,0.051
546.00,0.051
547.00,0.051
548.00,0.051
549.00,0.051
550.00,0.051
551.00,0.051
552.00,0.051
553.00,0.051
554.00,0.051
555.00,0.051
556.00,0.051
557.00,0.051
558.00,0.051
559.00,0.051
560.00,0.051
561.00,0.051
562.00,0.051
563.00,0.050
564.00,0.050
565.00,0.050
566.00,0.050
567.00,0.050
568.00,0.050
569.00,0.050
570.00,0.050
571.00,0.050
572.00,0.050
573.00,0.050
574.00,0.050
575.00,0.050
576.00,0.050
577.00,0.050
578.00,0.050
579.00,0.050
580.00,0.050
581.00,0.050
582.00,0.050
583.00,0.050
584.00,0.050
585.00,0.050
586.00,0.050
587.00,0.050
588.00,0.049
