"DunhamCyclope50x - RawData"
"Wavelength nm.","Abs."
190.00,2.736
191.00,3.223
192.00,3.148
193.00,3.268
194.00,3.157
195.00,3.212
196.00,3.305
197.00,3.339
198.00,3.394
199.00,3.370
200.00,3.460
201.00,3.369
202.00,3.535
203.00,3.523
204.00,3.422
205.00,3.440
206.00,3.395
207.00,3.438
208.00,3.256
209.00,3.133
210.00,3.051
211.00,2.915
212.00,2.848
213.00,2.716
214.00,2.608
215.00,2.506
216.00,2.398
217.00,2.295
218.00,2.200
219.00,2.100
220.00,2.006
221.00,1.919
222.00,1.833
223.00,1.752
224.00,1.667
225.00,1.588
226.00,1.509
227.00,1.432
228.00,1.358
229.00,1.292
230.00,1.229
231.00,1.172
232.00,1.119
233.00,1.072
234.00,1.030
235.00,0.994
236.00,0.962
237.00,0.934
238.00,0.910
239.00,0.890
240.00,0.872
241.00,0.856
242.00,0.845
243.00,0.835
244.00,0.828
245.00,0.822
246.00,0.817
247.00,0.814
248.00,0.812
249.00,0.811
250.00,0.811
251.00,0.813
252.00,0.814
253.00,0.817
254.00,0.819
255.00,0.821
256.00,0.824
257.00,0.826
258.00,0.826
259.00,0.827
260.00,0.827
261.00,0.827
262.00,0.828
263.00,0.829
264.00,0.830
265.00,0.830
266.00,0.829
267.00,0.828
268.00,0.826
269.00,0.823
270.00,0.818
271.00,0.813
272.00,0.807
273.00,0.799
274.00,0.790
275.00,0.779
276.00,0.767
277.00,0.754
278.00,0.739
279.00,0.724
280.00,0.707
281.00,0.690
282.00,0.672
283.00,0.652
284.00,0.632
285.00,0.610
286.00,0.589
287.00,0.568
288.00,0.547
289.00,0.526
290.00,0.503
291.00,0.482
292.00,0.462
293.00,0.446
294.00,0.432
295.00,0.419
296.00,0.408
297.00,0.399
298.00,0.391
299.00,0.383
300.00,0.377
301.00,0.370
302.00,0.365
303.00,0.361
304.00,0.356
305.00,0.353
306.00,0.349
307.00,0.346
308.00,0.342
309.00,0.340
310.00,0.337
311.00,0.334
312.00,0.332
313.00,0.329
314.00,0.326
315.00,0.324
316.00,0.321
317.00,0.319
318.00,0.317
319.00,0.313
320.00,0.311
321.00,0.308
322.00,0.305
323.00,0.301
324.00,0.299
325.00,0.295
326.00,0.292
327.00,0.288
328.00,0.284
329.00,0.280
330.00,0.276
331.00,0.272
332.00,0.268
333.00,0.264
334.00,0.259
335.00,0.255
336.00,0.251
337.00,0.247
338.00,0.243
339.00,0.239
340.00,0.235
341.00,0.229
342.00,0.225
343.00,0.221
344.00,0.217
345.00,0.213
346.00,0.210
347.00,0.206
348.00,0.202
349.00,0.198
350.00,0.195
351.00,0.191
352.00,0.188
353.00,0.185
354.00,0.181
355.00,0.178
356.00,0.175
357.00,0.172
358.00,0.169
359.00,0.166
360.00,0.163
361.00,0.161
362.00,0.159
363.00,0.156
364.00,0.153
365.00,0.151
366.00,0.149
367.00,0.146
368.00,0.144
369.00,0.142
370.00,0.139
371.00,0.137
372.00,0.135
373.00,0.133
374.00,0.131
375.00,0.129
376.00,0.127
377.00,0.125
378.00,0.123
379.00,0.121
380.00,0.119
381.00,0.117
382.00,0.116
383.00,0.114
384.00,0.112
385.00,0.111
386.00,0.109
387.00,0.108
388.00,0.106
389.00,0.105
390.00,0.103
391.00,0.102
392.00,0.101
393.00,0.100
394.00,0.098
395.00,0.097
396.00,0.096
397.00,0.095
398.00,0.094
399.00,0.093
400.00,0.092
401.00,0.091
402.00,0.090
403.00,0.090
404.00,0.089
405.00,0.088
406.00,0.088
407.00,0.087
408.00,0.086
409.00,0.086
410.00,0.085
411.00,0.084
412.00,0.084
413.00,0.083
414.00,0.083
415.00,0.083
416.00,0.082
417.00,0.082
418.00,0.082
419.00,0.081
420.00,0.081
421.00,0.080
422.00,0.080
423.00,0.080
424.00,0.080
425.00,0.079
426.00,0.079
427.00,0.079
428.00,0.078
429.00,0.078
430.00,0.078
431.00,0.078
432.00,0.077
433.00,0.077
434.00,0.077
435.00,0.077
436.00,0.076
437.00,0.076
438.00,0.076
439.00,0.076
440.00,0.075
441.00,0.075
442.00,0.075
443.00,0.075
444.00,0.075
445.00,0.075
446.00,0.074
447.00,0.074
448.00,0.074
449.00,0.074
450.00,0.074
451.00,0.073
452.00,0.073
453.00,0.073
454.00,0.073
455.00,0.073
456.00,0.073
457.00,0.072
458.00,0.072
459.00,0.072
460.00,0.072
461.00,0.072
462.00,0.072
463.00,0.071
464.00,0.071
465.00,0.071
466.00,0.071
467.00,0.071
468.00,0.071
469.00,0.071
470.00,0.070
471.00,0.070
472.00,0.070
473.00,0.070
474.00,0.070
475.00,0.070
476.00,0.069
477.00,0.069
478.00,0.069
479.00,0.069
480.00,0.069
481.00,0.069
482.00,0.068
483.00,0.068
484.00,0.068
485.00,0.068
486.00,0.068
487.00,0.068
488.00,0.068
489.00,0.067
490.00,0.067
491.00,0.067
492.00,0.067
493.00,0.067
494.00,0.067
495.00,0.066
496.00,0.066
497.00,0.066
498.00,0.066
499.00,0.066
500.00,0.066
501.00,0.066
502.00,0.065
503.00,0.065
504.00,0.065
505.00,0.065
506.00,0.065
507.00,0.065
508.00,0.065
509.00,0.064
510.00,0.064
511.00,0.064
512.00,0.064
513.00,0.064
514.00,0.064
515.00,0.064
516.00,0.064
517.00,0.063
518.00,0.063
519.00,0.063
520.00,0.063
521.00,0.063
522.00,0.063
523.00,0.063
524.00,0.062
525.00,0.062
526.00,0.062
527.00,0.062
528.00,0.062
529.00,0.062
530.00,0.062
531.00,0.062
532.00,0.062
533.00,0.061
534.00,0.061
535.00,0.061
536.00,0.061
537.00,0.061
538.00,0.061
539.00,0.061
540.00,0.061
541.00,0.060
542.00,0.060
543.00,0.060
544.00,0.060
545.00,0.060
546.00,0.060
547.00,0.060
548.00,0.060
549.00,0.060
550.00,0.060
551.00,0.060
552.00,0.059
553.00,0.059
554.00,0.059
555.00,0.059
556.00,0.059
557.00,0.059
558.00,0.059
559.00,0.059
560.00,0.059
561.00,0.059
562.00,0.059
563.00,0.059
564.00,0.059
565.00,0.058
566.00,0.058
567.00,0.058
568.00,0.058
569.00,0.058
570.00,0.058
571.00,0.058
572.00,0.058
