"EnfantRoiBenelux50x - RawData"
"Wavelength nm.","Abs."
190.00,3.522
191.00,3.471
192.00,3.643
193.00,3.610
194.00,3.817
195.00,3.775
196.00,3.574
197.00,3.761
198.00,3.685
199.00,3.630
200.00,3.622
201.00,3.801
202.00,3.665
203.00,3.747
204.00,3.715
205.00,3.801
206.00,3.513
207.00,3.292
208.00,3.163
209.00,3.037
210.00,2.903
211.00,2.769
212.00,2.644
213.00,2.537
214.00,2.422
215.00,2.310
216.00,2.205
217.00,2.103
218.00,2.001
219.00,1.901
220.00,1.805
221.00,1.715
222.00,1.629
223.00,1.544
224.00,1.457
225.00,1.374
226.00,1.290
227.00,1.205
228.00,1.122
229.00,1.044
230.00,0.971
231.00,0.905
232.00,0.846
233.00,0.792
234.00,0.746
235.00,0.705
236.00,0.670
237.00,0.639
238.00,0.613
239.00,0.591
240.00,0.573
241.00,0.559
242.00,0.548
243.00,0.540
244.00,0.534
245.00,0.530
246.00,0.528
247.00,0.527
248.00,0.527
249.00,0.528
250.00,0.530
251.00,0.533
252.00,0.536
253.00,0.540
254.00,0.544
255.00,0.548
256.00,0.553
257.00,0.556
258.00,0.559
259.00,0.562
260.00,0.564
261.00,0.566
262.00,0.569
263.00,0.572
264.00,0.574
265.00,0.576
266.00,0.577
267.00,0.577
268.00,0.577
269.00,0.576
270.00,0.573
271.00,0.571
272.00,0.567
273.00,0.563
274.00,0.557
275.00,0.551
276.00,0.544
277.00,0.536
278.00,0.527
279.00,0.517
280.00,0.507
281.00,0.497
282.00,0.486
283.00,0.473
284.00,0.459
285.00,0.445
286.00,0.431
287.00,0.418
288.00,0.405
289.00,0.391
290.00,0.376
291.00,0.361
292.00,0.348
293.00,0.337
294.00,0.327
295.00,0.318
296.00,0.310
297.00,0.303
298.00,0.296
299.00,0.290
300.00,0.284
301.00,0.279
302.00,0.274
303.00,0.270
304.00,0.267
305.00,0.263
306.00,0.259
307.00,0.256
308.00,0.254
309.00,0.251
310.00,0.248
311.00,0.245
312.00,0.243
313.00,0.241
314.00,0.239
315.00,0.236
316.00,0.235
317.00,0.232
318.00,0.230
319.00,0.227
320.00,0.225
321.00,0.222
322.00,0.220
323.00,0.217
324.00,0.214
325.00,0.211
326.00,0.208
327.00,0.205
328.00,0.201
329.00,0.198
330.00,0.194
331.00,0.190
332.00,0.186
333.00,0.182
334.00,0.178
335.00,0.175
336.00,0.171
337.00,0.167
338.00,0.163
339.00,0.159
340.00,0.156
341.00,0.151
342.00,0.147
343.00,0.143
344.00,0.140
345.00,0.136
346.00,0.133
347.00,0.129
348.00,0.126
349.00,0.122
350.00,0.119
351.00,0.116
352.00,0.113
353.00,0.111
354.00,0.108
355.00,0.105
356.00,0.103
357.00,0.100
358.00,0.098
359.00,0.095
360.00,0.093
361.00,0.091
362.00,0.089
363.00,0.087
364.00,0.086
365.00,0.084
366.00,0.082
367.00,0.081
368.00,0.079
369.00,0.078
370.00,0.076
371.00,0.075
372.00,0.073
373.00,0.072
374.00,0.071
375.00,0.070
376.00,0.069
377.00,0.068
378.00,0.066
379.00,0.065
380.00,0.065
381.00,0.064
382.00,0.063
383.00,0.062
384.00,0.061
385.00,0.060
386.00,0.059
387.00,0.058
388.00,0.058
389.00,0.057
390.00,0.056
391.00,0.056
392.00,0.055
393.00,0.054
394.00,0.054
395.00,0.053
396.00,0.053
397.00,0.052
398.00,0.052
399.00,0.052
400.00,0.051
401.00,0.051
402.00,0.050
403.00,0.050
404.00,0.050
405.00,0.049
406.00,0.049
407.00,0.049
408.00,0.048
409.00,0.048
410.00,0.048
411.00,0.047
412.00,0.047
413.00,0.047
414.00,0.047
415.00,0.046
416.00,0.046
417.00,0.046
418.00,0.046
419.00,0.046
420.00,0.045
421.00,0.045
422.00,0.045
423.00,0.045
424.00,0.045
425.00,0.044
426.00,0.044
427.00,0.044
428.00,0.044
429.00,0.044
430.00,0.044
431.00,0.044
432.00,0.043
433.00,0.043
434.00,0.043
435.00,0.043
436.00,0.043
437.00,0.043
438.00,0.043
439.00,0.043
440.00,0.042
441.00,0.042
442.00,0.042
443.00,0.042
444.00,0.042
445.00,0.042
446.00,0.042
447.00,0.042
448.00,0.042
449.00,0.042
450.00,0.041
451.00,0.041
452.00,0.041
453.00,0.041
454.00,0.041
455.00,0.041
456.00,0.041
457.00,0.041
458.00,0.041
459.00,0.041
460.00,0.041
461.00,0.040
462.00,0.040
463.00,0.040
464.00,0.040
465.00,0.040
466.00,0.040
467.00,0.040
468.00,0.040
469.00,0.040
470.00,0.040
471.00,0.040
472.00,0.040
473.00,0.040
474.00,0.040
475.00,0.039
476.00,0.039
477.00,0.039
478.00,0.039
479.00,0.039
480.00,0.039
481.00,0.039
482.00,0.039
483.00,0.039
484.00,0.039
485.00,0.039
486.00,0.039
487.00,0.039
488.00,0.038
489.00,0.039
490.00,0.038
491.00,0.038
492.00,0.038
493.00,0.038
494.00,0.038
495.00,0.038
496.00,0.038
497.00,0.038
498.00,0.038
499.00,0.038
500.00,0.038
501.00,0.038
502.00,0.038
503.00,0.038
504.00,0.038
505.00,0.038
506.00,0.038
507.00,0.038
508.00,0.038
509.00,0.037
510.00,0.037
511.00,0.037
512.00,0.037
513.00,0.037
514.00,0.037
515.00,0.037
516.00,0.037
517.00,0.037
518.00,0.037
519.00,0.037
520.00,0.037
521.00,0.037
522.00,0.037
523.00,0.037
524.00,0.037
525.00,0.037
526.00,0.037
527.00,0.037
528.00,0.037
529.00,0.037
530.00,0.037
531.00,0.036
532.00,0.036
533.00,0.036
534.00,0.036
535.00,0.036
536.00,0.037
537.00,0.036
538.00,0.036
539.00,0.036
540.00,0.036
541.00,0.036
542.00,0.036
543.00,0.036
544.00,0.036
545.00,0.036
546.00,0.036
547.00,0.036
548.00,0.036
549.00,0.036
550.00,0.036
551.00,0.036
552.00,0.036
553.00,0.036
554.00,0.036
555.00,0.036
556.00,0.036
557.00,0.036
558.00,0.036
559.00,0.036
560.00,0.036
561.00,0.036
562.00,0.036
563.00,0.036
564.00,0.036
565.00,0.036
566.00,0.036
567.00,0.036
568.00,0.036
569.00,0.036
570.00,0.036
571.00,0.035
572.00,0.035
573.00,0.036
574.00,0.035
575.00,0.035
576.00,0.036
577.00,0.035
578.00,0.035
579.00,0.035
580.00,0.035
581.00,0.035
582.00,0.035
583.00,0.035
584.00,0.035
585.00,0.035
586.00,0.035
587.00,0.035
588.00,0.035
589.00,0.035
590.00,0.035
591.00,0.035
592.00,0.035
593.00,0.035
594.00,0.036
595.00,0.036
596.00,0.036
597.00,0.035
598.00,0.035
599.00,0.036
600.00,0.036
601.00,0.036
602.00,0.036
603.00,0.036
604.00,0.036
605.00,0.036
606.00,0.036
607.00,0.036
608.00,0.036
609.00,0.036
610.00,0.036
611.00,0.036
612.00,0.036
613.00,0.036
614.00,0.035
615.00,0.036
616.00,0.036
617.00,0.036
618.00,0.035
619.00,0.035
620.00,0.035
621.00,0.035
622.00,0.035
623.00,0.035
624.00,0.035
625.00,0.035
626.00,0.035
627.00,0.035
628.00,0.035
629.00,0.035
630.00,0.035
631.00,0.035
632.00,0.035
633.00,0.035
634.00,0.035
635.00,0.035
636.00,0.035
