"Equinox2printemps - RawData"
"Wavelength nm.","Abs."
190.00,3.375
191.00,3.734
192.00,3.817
193.00,3.745
194.00,3.959
195.00,3.806
196.00,3.730
197.00,3.871
198.00,3.655
199.00,3.830
200.00,3.893
201.00,3.834
202.00,3.965
203.00,3.964
204.00,3.793
205.00,3.888
206.00,3.956
207.00,3.919
208.00,3.883
209.00,3.894
210.00,3.980
211.00,3.935
212.00,3.977
213.00,3.935
214.00,3.984
215.00,3.912
216.00,3.744
217.00,3.738
218.00,3.572
219.00,3.411
220.00,3.340
221.00,3.183
222.00,3.078
223.00,2.954
224.00,2.832
225.00,2.709
226.00,2.579
227.00,2.451
228.00,2.317
229.00,2.201
230.00,2.085
231.00,1.982
232.00,1.889
233.00,1.803
234.00,1.727
235.00,1.664
236.00,1.607
237.00,1.559
238.00,1.516
239.00,1.480
240.00,1.451
241.00,1.428
242.00,1.411
243.00,1.400
244.00,1.394
245.00,1.389
246.00,1.388
247.00,1.388
248.00,1.393
249.00,1.397
250.00,1.402
251.00,1.410
252.00,1.418
253.00,1.426
254.00,1.434
255.00,1.443
256.00,1.450
257.00,1.458
258.00,1.463
259.00,1.466
260.00,1.469
261.00,1.471
262.00,1.475
263.00,1.478
264.00,1.480
265.00,1.483
266.00,1.483
267.00,1.484
268.00,1.481
269.00,1.480
270.00,1.476
271.00,1.471
272.00,1.464
273.00,1.457
274.00,1.449
275.00,1.439
276.00,1.428
277.00,1.414
278.00,1.399
279.00,1.383
280.00,1.366
281.00,1.350
282.00,1.331
283.00,1.308
284.00,1.285
285.00,1.262
286.00,1.240
287.00,1.218
288.00,1.193
289.00,1.169
290.00,1.143
291.00,1.117
292.00,1.094
293.00,1.071
294.00,1.053
295.00,1.035
296.00,1.019
297.00,1.004
298.00,0.989
299.00,0.973
300.00,0.959
301.00,0.945
302.00,0.932
303.00,0.918
304.00,0.904
305.00,0.890
306.00,0.876
307.00,0.861
308.00,0.848
309.00,0.834
310.00,0.820
311.00,0.807
312.00,0.793
313.00,0.780
314.00,0.767
315.00,0.754
316.00,0.742
317.00,0.729
318.00,0.716
319.00,0.703
320.00,0.691
321.00,0.678
322.00,0.665
323.00,0.652
324.00,0.640
325.00,0.627
326.00,0.614
327.00,0.602
328.00,0.590
329.00,0.577
330.00,0.564
331.00,0.552
332.00,0.541
333.00,0.529
334.00,0.517
335.00,0.506
336.00,0.495
337.00,0.485
338.00,0.474
339.00,0.463
340.00,0.453
341.00,0.442
342.00,0.431
343.00,0.422
344.00,0.412
345.00,0.404
346.00,0.395
347.00,0.387
348.00,0.378
349.00,0.370
350.00,0.362
351.00,0.355
352.00,0.348
353.00,0.340
354.00,0.333
355.00,0.327
356.00,0.320
357.00,0.314
358.00,0.308
359.00,0.302
360.00,0.296
361.00,0.291
362.00,0.286
363.00,0.281
364.00,0.276
365.00,0.271
366.00,0.266
367.00,0.262
368.00,0.258
369.00,0.254
370.00,0.250
371.00,0.246
372.00,0.242
373.00,0.238
374.00,0.235
375.00,0.231
376.00,0.227
377.00,0.224
378.00,0.221
379.00,0.217
380.00,0.214
381.00,0.211
382.00,0.208
383.00,0.205
384.00,0.202
385.00,0.199
386.00,0.196
387.00,0.194
388.00,0.191
389.00,0.189
390.00,0.186
391.00,0.184
392.00,0.181
393.00,0.179
394.00,0.177
395.00,0.174
396.00,0.172
397.00,0.170
398.00,0.168
399.00,0.166
400.00,0.164
401.00,0.162
402.00,0.161
403.00,0.159
404.00,0.157
405.00,0.155
406.00,0.154
407.00,0.152
408.00,0.150
409.00,0.149
410.00,0.147
411.00,0.146
412.00,0.144
413.00,0.143
414.00,0.141
415.00,0.140
416.00,0.138
417.00,0.137
418.00,0.136
419.00,0.135
420.00,0.133
421.00,0.132
422.00,0.131
423.00,0.130
424.00,0.129
425.00,0.127
426.00,0.126
427.00,0.125
428.00,0.124
429.00,0.123
430.00,0.122
431.00,0.121
432.00,0.120
433.00,0.119
434.00,0.118
435.00,0.117
436.00,0.116
437.00,0.115
438.00,0.114
439.00,0.113
440.00,0.112
441.00,0.111
442.00,0.110
443.00,0.109
444.00,0.108
445.00,0.108
446.00,0.107
447.00,0.106
448.00,0.105
449.00,0.104
450.00,0.104
451.00,0.103
452.00,0.102
453.00,0.101
454.00,0.100
455.00,0.100
456.00,0.099
457.00,0.098
458.00,0.098
459.00,0.097
460.00,0.096
461.00,0.095
462.00,0.095
463.00,0.094
464.00,0.093
465.00,0.093
466.00,0.092
467.00,0.091
468.00,0.091
469.00,0.090
470.00,0.089
471.00,0.089
472.00,0.088
473.00,0.088
474.00,0.087
475.00,0.086
476.00,0.086
477.00,0.085
478.00,0.084
479.00,0.084
480.00,0.083
481.00,0.083
482.00,0.082
483.00,0.081
484.00,0.081
485.00,0.080
486.00,0.080
487.00,0.079
488.00,0.079
489.00,0.078
490.00,0.078
491.00,0.077
492.00,0.077
493.00,0.076
494.00,0.076
495.00,0.075
496.00,0.075
497.00,0.075
498.00,0.074
499.00,0.074
500.00,0.073
501.00,0.073
502.00,0.072
503.00,0.072
504.00,0.071
505.00,0.071
506.00,0.071
507.00,0.070
508.00,0.070
509.00,0.069
510.00,0.069
511.00,0.069
512.00,0.068
513.00,0.068
514.00,0.068
515.00,0.067
516.00,0.067
517.00,0.067
518.00,0.066
519.00,0.066
520.00,0.066
521.00,0.065
522.00,0.065
523.00,0.064
524.00,0.064
525.00,0.064
526.00,0.064
527.00,0.063
528.00,0.063
529.00,0.063
530.00,0.062
531.00,0.062
532.00,0.062
533.00,0.062
534.00,0.061
535.00,0.061
536.00,0.061
537.00,0.060
538.00,0.060
539.00,0.060
540.00,0.060
541.00,0.059
542.00,0.059
543.00,0.059
544.00,0.059
545.00,0.059
546.00,0.058
547.00,0.058
548.00,0.058
549.00,0.058
550.00,0.057
551.00,0.057
552.00,0.057
553.00,0.057
554.00,0.057
555.00,0.056
556.00,0.056
557.00,0.056
558.00,0.056
559.00,0.056
560.00,0.055
561.00,0.055
562.00,0.055
563.00,0.055
564.00,0.055
565.00,0.054
566.00,0.054
567.00,0.054
568.00,0.054
569.00,0.054
570.00,0.054
571.00,0.054
572.00,0.053
573.00,0.053
574.00,0.053
575.00,0.053
576.00,0.053
577.00,0.053
578.00,0.052
579.00,0.052
580.00,0.052
581.00,0.052
582.00,0.052
583.00,0.052
584.00,0.052
585.00,0.052
586.00,0.051
587.00,0.051
588.00,0.051
589.00,0.051
590.00,0.051
591.00,0.051
592.00,0.051
593.00,0.051
594.00,0.051
595.00,0.051
596.00,0.050
597.00,0.050
598.00,0.050
599.00,0.050
600.00,0.050
601.00,0.050
602.00,0.050
603.00,0.050
604.00,0.050
605.00,0.050
606.00,0.050
607.00,0.050
608.00,0.049
609.00,0.049
610.00,0.049
611.00,0.049
612.00,0.049
613.00,0.049
614.00,0.049
615.00,0.049
616.00,0.049
617.00,0.048
618.00,0.048
619.00,0.048
620.00,0.048
621.00,0.048
622.00,0.048
623.00,0.048
624.00,0.048
625.00,0.048
626.00,0.048
627.00,0.048
628.00,0.048
629.00,0.048
630.00,0.047
631.00,0.047
632.00,0.047
633.00,0.047
634.00,0.047
635.00,0.047
636.00,0.047
637.00,0.047
638.00,0.047
639.00,0.047
640.00,0.047
641.00,0.047
642.00,0.047
643.00,0.046
644.00,0.046
645.00,0.046
646.00,0.046
647.00,0.046
648.00,0.046
649.00,0.046
650.00,0.046
651.00,0.046
652.00,0.046
653.00,0.046
654.00,0.046
655.00,0.046
656.00,0.046
657.00,0.046
658.00,0.046
659.00,0.046
660.00,0.046
661.00,0.046
662.00,0.046
663.00,0.046
664.00,0.046
665.00,0.045
666.00,0.045
667.00,0.045
668.00,0.045
669.00,0.045
670.00,0.045
671.00,0.045
672.00,0.045
673.00,0.045
674.00,0.045
675.00,0.045
676.00,0.045
677.00,0.045
678.00,0.045
679.00,0.045
680.00,0.045
681.00,0.045
682.00,0.045
683.00,0.045
684.00,0.045
685.00,0.045
686.00,0.045
687.00,0.045
688.00,0.045
689.00,0.045
690.00,0.044
691.00,0.045
692.00,0.045
693.00,0.045
694.00,0.045
695.00,0.044
696.00,0.045
697.00,0.045
698.00,0.045
699.00,0.045
700.00,0.045
701.00,0.045
702.00,0.045
703.00,0.045
704.00,0.045
705.00,0.045
706.00,0.045
707.00,0.045
708.00,0.045
709.00,0.045
710.00,0.045
711.00,0.045
712.00,0.045
713.00,0.045
714.00,0.046
715.00,0.046
716.00,0.046
717.00,0.046
718.00,0.046
719.00,0.046
720.00,0.047
721.00,0.047
722.00,0.047
723.00,0.047
724.00,0.048
725.00,0.048
726.00,0.048
727.00,0.048
728.00,0.049
729.00,0.049
730.00,0.049
731.00,0.050
732.00,0.051
733.00,0.051
734.00,0.051
735.00,0.052
736.00,0.052
737.00,0.052
738.00,0.052
739.00,0.053
740.00,0.053
741.00,0.053
742.00,0.053
743.00,0.053
744.00,0.053
745.00,0.053
746.00,0.053
747.00,0.053
748.00,0.053
749.00,0.053
750.00,0.053
751.00,0.053
752.00,0.052
753.00,0.052
754.00,0.052
755.00,0.052
756.00,0.052
757.00,0.053
758.00,0.052
759.00,0.052
760.00,0.053
761.00,0.052
762.00,0.052
763.00,0.052
764.00,0.052
765.00,0.052
766.00,0.052
767.00,0.052
768.00,0.052
769.00,0.052
770.00,0.052
771.00,0.052
772.00,0.052
773.00,0.052
774.00,0.052
775.00,0.052
776.00,0.051
777.00,0.051
778.00,0.051
779.00,0.051
780.00,0.051
781.00,0.051
782.00,0.051
783.00,0.051
784.00,0.051
785.00,0.051
786.00,0.050
787.00,0.050
788.00,0.050
789.00,0.050
790.00,0.050
791.00,0.050
792.00,0.050
793.00,0.050
794.00,0.049
795.00,0.049
796.00,0.049
797.00,0.049
798.00,0.049
799.00,0.049
800.00,0.049
801.00,0.049
802.00,0.049
803.00,0.049
804.00,0.048
805.00,0.048
806.00,0.048
807.00,0.048
808.00,0.048
809.00,0.048
810.00,0.048
811.00,0.048
812.00,0.048
813.00,0.048
814.00,0.048
815.00,0.048
816.00,0.048
817.00,0.048
818.00,0.049
819.00,0.049
820.00,0.049
821.00,0.049
822.00,0.049
823.00,0.049
824.00,0.050
825.00,0.050
826.00,0.051
827.00,0.051
828.00,0.051
829.00,0.052
830.00,0.053
831.00,0.053
832.00,0.054
833.00,0.054
834.00,0.054
835.00,0.055
836.00,0.055
837.00,0.055
838.00,0.055
839.00,0.055
840.00,0.055
841.00,0.055
842.00,0.056
843.00,0.056
844.00,0.056
845.00,0.056
846.00,0.056
847.00,0.056
848.00,0.056
849.00,0.056
850.00,0.056
851.00,0.057
852.00,0.057
853.00,0.057
854.00,0.057
855.00,0.057
856.00,0.057
857.00,0.057
858.00,0.057
859.00,0.057
860.00,0.057
861.00,0.057
862.00,0.058
863.00,0.058
864.00,0.058
865.00,0.058
866.00,0.058
867.00,0.058
868.00,0.058
869.00,0.058
870.00,0.059
871.00,0.059
872.00,0.059
873.00,0.059
874.00,0.059
875.00,0.060
876.00,0.060
877.00,0.060
878.00,0.060
879.00,0.060
880.00,0.061
881.00,0.061
882.00,0.061
883.00,0.061
884.00,0.062
885.00,0.062
886.00,0.062
887.00,0.062
888.00,0.063
889.00,0.063
890.00,0.063
891.00,0.063
892.00,0.063
893.00,0.064
894.00,0.064
895.00,0.064
896.00,0.064
897.00,0.065
898.00,0.065
899.00,0.065
900.00,0.065
