"Balcon50x - RawData"
"Wavelength nm.","Abs."
190.00,2.765
191.00,2.970
192.00,2.975
193.00,3.106
194.00,3.215
195.00,3.111
196.00,3.219
197.00,3.270
198.00,3.240
199.00,3.256
200.00,3.204
201.00,3.137
202.00,3.015
203.00,2.877
204.00,2.791
205.00,2.648
206.00,2.521
207.00,2.389
208.00,2.261
209.00,2.149
210.00,2.040
211.00,1.941
212.00,1.849
213.00,1.761
214.00,1.676
215.00,1.597
216.00,1.521
217.00,1.448
218.00,1.379
219.00,1.310
220.00,1.244
221.00,1.182
222.00,1.122
223.00,1.063
224.00,1.005
225.00,0.949
226.00,0.893
227.00,0.837
228.00,0.782
229.00,0.731
230.00,0.682
231.00,0.637
232.00,0.596
233.00,0.559
234.00,0.526
235.00,0.498
236.00,0.473
237.00,0.451
238.00,0.433
239.00,0.417
240.00,0.404
241.00,0.393
242.00,0.385
243.00,0.378
244.00,0.374
245.00,0.370
246.00,0.368
247.00,0.366
248.00,0.365
249.00,0.365
250.00,0.366
251.00,0.367
252.00,0.369
253.00,0.370
254.00,0.372
255.00,0.374
256.00,0.376
257.00,0.379
258.00,0.381
259.00,0.383
260.00,0.384
261.00,0.386
262.00,0.388
263.00,0.390
264.00,0.392
265.00,0.393
266.00,0.394
267.00,0.394
268.00,0.394
269.00,0.393
270.00,0.392
271.00,0.391
272.00,0.389
273.00,0.386
274.00,0.383
275.00,0.379
276.00,0.374
277.00,0.368
278.00,0.362
279.00,0.356
280.00,0.349
281.00,0.342
282.00,0.335
283.00,0.327
284.00,0.318
285.00,0.309
286.00,0.300
287.00,0.292
288.00,0.283
289.00,0.275
290.00,0.266
291.00,0.257
292.00,0.249
293.00,0.241
294.00,0.234
295.00,0.228
296.00,0.223
297.00,0.218
298.00,0.212
299.00,0.208
300.00,0.203
301.00,0.199
302.00,0.196
303.00,0.192
304.00,0.189
305.00,0.186
306.00,0.185
307.00,0.183
308.00,0.181
309.00,0.179
310.00,0.177
311.00,0.175
312.00,0.174
313.00,0.172
314.00,0.171
315.00,0.170
316.00,0.169
317.00,0.167
318.00,0.166
319.00,0.165
320.00,0.163
321.00,0.162
322.00,0.160
323.00,0.159
324.00,0.157
325.00,0.155
326.00,0.153
327.00,0.152
328.00,0.149
329.00,0.147
330.00,0.145
331.00,0.143
332.00,0.141
333.00,0.138
334.00,0.136
335.00,0.134
336.00,0.131
337.00,0.129
338.00,0.126
339.00,0.124
340.00,0.122
341.00,0.118
342.00,0.116
343.00,0.113
344.00,0.111
345.00,0.109
346.00,0.107
347.00,0.105
348.00,0.102
349.00,0.100
350.00,0.098
351.00,0.097
352.00,0.095
353.00,0.093
354.00,0.091
355.00,0.089
356.00,0.088
357.00,0.086
358.00,0.085
359.00,0.083
360.00,0.082
361.00,0.081
362.00,0.080
363.00,0.078
364.00,0.077
365.00,0.076
366.00,0.075
367.00,0.074
368.00,0.073
369.00,0.072
370.00,0.071
371.00,0.071
372.00,0.070
373.00,0.069
374.00,0.069
375.00,0.068
376.00,0.067
377.00,0.067
378.00,0.066
379.00,0.065
380.00,0.065
381.00,0.064
382.00,0.064
383.00,0.063
384.00,0.063
385.00,0.062
386.00,0.062
387.00,0.061
388.00,0.061
389.00,0.061
390.00,0.060
391.00,0.060
392.00,0.060
393.00,0.059
394.00,0.059
395.00,0.059
396.00,0.059
397.00,0.058
398.00,0.058
399.00,0.058
400.00,0.058
401.00,0.057
402.00,0.057
403.00,0.057
404.00,0.057
405.00,0.057
406.00,0.057
407.00,0.056
408.00,0.056
409.00,0.056
410.00,0.056
411.00,0.056
412.00,0.056
413.00,0.056
414.00,0.055
415.00,0.055
416.00,0.055
417.00,0.055
418.00,0.055
419.00,0.055
420.00,0.055
421.00,0.055
422.00,0.055
423.00,0.055
424.00,0.055
425.00,0.054
426.00,0.054
427.00,0.054
428.00,0.054
429.00,0.054
430.00,0.054
431.00,0.054
432.00,0.054
433.00,0.054
434.00,0.054
435.00,0.054
436.00,0.053
437.00,0.053
438.00,0.053
439.00,0.053
440.00,0.053
441.00,0.053
442.00,0.053
443.00,0.053
444.00,0.053
445.00,0.053
446.00,0.053
447.00,0.053
448.00,0.053
449.00,0.053
450.00,0.053
451.00,0.053
452.00,0.053
453.00,0.053
454.00,0.053
455.00,0.052
456.00,0.052
457.00,0.052
458.00,0.052
459.00,0.052
460.00,0.052
461.00,0.052
462.00,0.052
463.00,0.052
464.00,0.052
465.00,0.052
466.00,0.052
467.00,0.052
468.00,0.052
469.00,0.052
470.00,0.052
471.00,0.052
472.00,0.052
473.00,0.052
474.00,0.052
475.00,0.052
476.00,0.052
477.00,0.052
478.00,0.052
479.00,0.052
480.00,0.052
481.00,0.052
482.00,0.052
483.00,0.052
484.00,0.052
485.00,0.052
486.00,0.052
487.00,0.052
488.00,0.052
489.00,0.052
490.00,0.052
491.00,0.052
492.00,0.052
493.00,0.052
494.00,0.052
495.00,0.052
496.00,0.051
497.00,0.051
498.00,0.051
499.00,0.051
500.00,0.051
501.00,0.051
502.00,0.051
503.00,0.051
504.00,0.051
505.00,0.051
506.00,0.051
507.00,0.051
508.00,0.051
509.00,0.051
510.00,0.051
511.00,0.051
512.00,0.051
513.00,0.051
514.00,0.051
515.00,0.051
516.00,0.051
517.00,0.051
518.00,0.051
519.00,0.051
520.00,0.051
521.00,0.051
522.00,0.051
523.00,0.051
524.00,0.051
525.00,0.051
526.00,0.051
527.00,0.051
528.00,0.051
529.00,0.051
530.00,0.051
531.00,0.051
532.00,0.050
533.00,0.050
534.00,0.050
535.00,0.050
536.00,0.051
537.00,0.051
538.00,0.050
539.00,0.050
540.00,0.050
541.00,0.050
542.00,0.050
543.00,0.050
544.00,0.050
545.00,0.050
546.00,0.050
547.00,0.050
548.00,0.050
549.00,0.050
550.00,0.050
551.00,0.050
552.00,0.050
553.00,0.050
554.00,0.050
555.00,0.050
556.00,0.050
557.00,0.050
558.00,0.050
559.00,0.050
560.00,0.050
561.00,0.050
562.00,0.049
563.00,0.049
564.00,0.049
565.00,0.049
566.00,0.049
567.00,0.049
568.00,0.049
569.00,0.049
570.00,0.049
571.00,0.049
572.00,0.049
573.00,0.049
574.00,0.049
575.00,0.049
576.00,0.049
577.00,0.049
578.00,0.049
579.00,0.049
580.00,0.049
581.00,0.049
582.00,0.049
583.00,0.049
584.00,0.049
585.00,0.049
586.00,0.049
587.00,0.049
588.00,0.049
589.00,0.049
590.00,0.049
591.00,0.049
592.00,0.049
593.00,0.049
594.00,0.049
595.00,0.049
596.00,0.049
597.00,0.049
598.00,0.049
599.00,0.049
600.00,0.049
601.00,0.049
602.00,0.049
603.00,0.049
604.00,0.049
605.00,0.049
606.00,0.049
607.00,0.049
608.00,0.049
609.00,0.049
610.00,0.049
611.00,0.049
612.00,0.049
613.00,0.049
614.00,0.049
615.00,0.049
616.00,0.049
617.00,0.049
618.00,0.049
619.00,0.049
620.00,0.049
621.00,0.049
622.00,0.049
623.00,0.049
624.00,0.049
625.00,0.049
626.00,0.049
627.00,0.049
628.00,0.049
629.00,0.049
630.00,0.049
631.00,0.049
632.00,0.049
633.00,0.049
634.00,0.049
635.00,0.049
636.00,0.049
637.00,0.049
638.00,0.049
639.00,0.049
640.00,0.049
641.00,0.049
642.00,0.049
643.00,0.049
644.00,0.049
645.00,0.049
646.00,0.049
647.00,0.049
648.00,0.049
649.00,0.049
650.00,0.049
651.00,0.049
652.00,0.049
653.00,0.050
654.00,0.050
655.00,0.050
656.00,0.050
657.00,0.050
658.00,0.050
659.00,0.050
660.00,0.050
661.00,0.050
662.00,0.050
663.00,0.050
664.00,0.050
665.00,0.050
666.00,0.050
667.00,0.050
668.00,0.050
669.00,0.050
670.00,0.050
671.00,0.050
672.00,0.050
673.00,0.050
674.00,0.050
675.00,0.050
676.00,0.050
677.00,0.050
678.00,0.050
679.00,0.050
680.00,0.050
681.00,0.050
682.00,0.050
683.00,0.050
684.00,0.050
685.00,0.050
686.00,0.050
687.00,0.050
688.00,0.050
689.00,0.050
690.00,0.050
691.00,0.050
692.00,0.050
693.00,0.050
694.00,0.051
695.00,0.051
696.00,0.051
697.00,0.051
698.00,0.051
699.00,0.051
700.00,0.051
701.00,0.051
702.00,0.051
703.00,0.051
704.00,0.051
705.00,0.051
706.00,0.051
707.00,0.051
708.00,0.051
709.00,0.052
710.00,0.052
711.00,0.052
712.00,0.052
713.00,0.052
714.00,0.052
715.00,0.053
716.00,0.053
717.00,0.053
718.00,0.053
719.00,0.053
720.00,0.053
721.00,0.054
722.00,0.054
723.00,0.054
724.00,0.055
725.00,0.055
726.00,0.055
727.00,0.056
728.00,0.056
729.00,0.056
730.00,0.057
731.00,0.057
732.00,0.058
733.00,0.058
734.00,0.059
735.00,0.059
736.00,0.059
737.00,0.060
738.00,0.060
739.00,0.060
740.00,0.060
741.00,0.060
742.00,0.060
743.00,0.060
744.00,0.060
745.00,0.060
746.00,0.061
747.00,0.061
748.00,0.060
749.00,0.061
750.00,0.060
751.00,0.060
752.00,0.061
753.00,0.061
754.00,0.061
755.00,0.061
756.00,0.061
757.00,0.061
758.00,0.061
759.00,0.061
760.00,0.061
761.00,0.061
762.00,0.061
763.00,0.061
764.00,0.061
765.00,0.061
766.00,0.061
767.00,0.061
768.00,0.061
769.00,0.061
770.00,0.061
771.00,0.060
772.00,0.060
773.00,0.060
774.00,0.060
775.00,0.060
776.00,0.060
777.00,0.060
778.00,0.060
779.00,0.060
780.00,0.060
781.00,0.060
782.00,0.060
783.00,0.060
784.00,0.060
785.00,0.060
786.00,0.060
787.00,0.059
788.00,0.059
789.00,0.059
790.00,0.059
791.00,0.059
792.00,0.059
793.00,0.059
794.00,0.059
795.00,0.059
796.00,0.059
797.00,0.059
798.00,0.059
799.00,0.059
800.00,0.058
801.00,0.058
802.00,0.058
803.00,0.058
804.00,0.058
805.00,0.058
806.00,0.058
807.00,0.058
808.00,0.058
809.00,0.058
810.00,0.058
811.00,0.058
812.00,0.058
813.00,0.058
814.00,0.059
815.00,0.059
816.00,0.059
817.00,0.059
818.00,0.059
819.00,0.059
820.00,0.059
821.00,0.059
822.00,0.060
823.00,0.060
824.00,0.060
825.00,0.061
826.00,0.061
827.00,0.062
828.00,0.062
829.00,0.063
830.00,0.063
831.00,0.064
832.00,0.064
833.00,0.065
834.00,0.065
835.00,0.065
836.00,0.066
837.00,0.066
838.00,0.066
839.00,0.066
840.00,0.066
841.00,0.066
842.00,0.067
843.00,0.067
844.00,0.067
845.00,0.067
846.00,0.067
847.00,0.067
848.00,0.067
849.00,0.068
850.00,0.068
851.00,0.068
852.00,0.068
853.00,0.068
854.00,0.068
855.00,0.068
856.00,0.068
857.00,0.069
858.00,0.069
859.00,0.069
860.00,0.069
861.00,0.069
862.00,0.069
863.00,0.069
864.00,0.070
865.00,0.070
866.00,0.070
867.00,0.070
868.00,0.070
869.00,0.070
870.00,0.071
871.00,0.071
872.00,0.071
873.00,0.071
874.00,0.071
875.00,0.072
876.00,0.072
877.00,0.072
878.00,0.072
879.00,0.073
880.00,0.073
881.00,0.073
882.00,0.073
883.00,0.074
884.00,0.074
885.00,0.074
886.00,0.074
887.00,0.075
888.00,0.075
889.00,0.075
890.00,0.075
891.00,0.076
892.00,0.076
893.00,0.076
894.00,0.076
895.00,0.077
896.00,0.077
897.00,0.077
898.00,0.077
899.00,0.078
900.00,0.078
