"EspacePubliqueGazebo50x - RawData"
"Wavelength nm.","Abs."
190.00,2.755
191.00,2.968
192.00,3.144
193.00,2.977
194.00,3.062
195.00,3.114
196.00,3.392
197.00,3.421
198.00,3.219
199.00,3.301
200.00,3.293
201.00,3.228
202.00,3.572
203.00,3.309
204.00,3.448
205.00,3.377
206.00,3.342
207.00,3.216
208.00,3.162
209.00,3.092
210.00,2.958
211.00,2.834
212.00,2.715
213.00,2.621
214.00,2.520
215.00,2.407
216.00,2.302
217.00,2.200
218.00,2.098
219.00,1.998
220.00,1.900
221.00,1.809
222.00,1.721
223.00,1.636
224.00,1.547
225.00,1.462
226.00,1.377
227.00,1.289
228.00,1.202
229.00,1.122
230.00,1.046
231.00,0.977
232.00,0.915
233.00,0.858
234.00,0.808
235.00,0.765
236.00,0.728
237.00,0.696
238.00,0.670
239.00,0.649
240.00,0.631
241.00,0.618
242.00,0.608
243.00,0.602
244.00,0.598
245.00,0.595
246.00,0.594
247.00,0.595
248.00,0.596
249.00,0.598
250.00,0.601
251.00,0.604
252.00,0.608
253.00,0.612
254.00,0.616
255.00,0.621
256.00,0.625
257.00,0.629
258.00,0.633
259.00,0.636
260.00,0.638
261.00,0.641
262.00,0.644
263.00,0.647
264.00,0.650
265.00,0.652
266.00,0.653
267.00,0.653
268.00,0.653
269.00,0.652
270.00,0.650
271.00,0.647
272.00,0.643
273.00,0.639
274.00,0.634
275.00,0.627
276.00,0.619
277.00,0.611
278.00,0.601
279.00,0.591
280.00,0.580
281.00,0.569
282.00,0.556
283.00,0.542
284.00,0.528
285.00,0.512
286.00,0.497
287.00,0.483
288.00,0.468
289.00,0.454
290.00,0.439
291.00,0.424
292.00,0.410
293.00,0.398
294.00,0.387
295.00,0.377
296.00,0.368
297.00,0.359
298.00,0.352
299.00,0.344
300.00,0.337
301.00,0.331
302.00,0.326
303.00,0.321
304.00,0.317
305.00,0.313
306.00,0.310
307.00,0.307
308.00,0.304
309.00,0.301
310.00,0.300
311.00,0.298
312.00,0.296
313.00,0.294
314.00,0.292
315.00,0.291
316.00,0.289
317.00,0.288
