"FramptonBrassePilsner_25x - RawData"
"Wavelength nm.","Abs."
190.00,3.834
191.00,3.600
192.00,3.731
193.00,3.267
194.00,3.376
195.00,3.763
196.00,3.658
197.00,3.656
198.00,3.416
199.00,3.648
200.00,3.774
201.00,3.803
202.00,3.714
203.00,3.883
204.00,3.870
205.00,3.906
206.00,3.787
207.00,3.746
208.00,3.800
209.00,3.911
210.00,3.888
211.00,3.666
212.00,3.885
213.00,3.879
214.00,3.684
215.00,3.826
216.00,3.709
217.00,3.695
218.00,3.509
219.00,3.524
220.00,3.468
221.00,3.318
222.00,3.196
223.00,3.055
224.00,2.885
225.00,2.730
226.00,2.588
227.00,2.427
228.00,2.269
229.00,2.129
230.00,2.000
231.00,1.884
232.00,1.778
233.00,1.686
234.00,1.609
235.00,1.542
236.00,1.487
237.00,1.443
238.00,1.406
239.00,1.378
240.00,1.356
241.00,1.340
242.00,1.329
243.00,1.322
244.00,1.318
245.00,1.317
246.00,1.318
247.00,1.321
248.00,1.325
249.00,1.331
250.00,1.338
251.00,1.346
252.00,1.354
253.00,1.363
254.00,1.371
255.00,1.380
256.00,1.387
257.00,1.394
258.00,1.398
259.00,1.400
260.00,1.402
261.00,1.403
262.00,1.403
263.00,1.405
264.00,1.406
265.00,1.403
266.00,1.401
267.00,1.398
268.00,1.393
269.00,1.387
270.00,1.377
271.00,1.363
272.00,1.347
273.00,1.328
274.00,1.309
275.00,1.288
276.00,1.263
277.00,1.237
278.00,1.207
279.00,1.179
280.00,1.148
281.00,1.117
282.00,1.083
283.00,1.047
284.00,1.009
285.00,0.970
286.00,0.933
287.00,0.897
288.00,0.861
289.00,0.825
290.00,0.787
291.00,0.750
292.00,0.718
293.00,0.690
294.00,0.667
295.00,0.646
296.00,0.629
297.00,0.614
298.00,0.600
299.00,0.588
300.00,0.577
301.00,0.567
302.00,0.558
303.00,0.551
304.00,0.544
305.00,0.537
306.00,0.531
307.00,0.524
308.00,0.519
309.00,0.514
310.00,0.508
311.00,0.503
312.00,0.498
313.00,0.494
314.00,0.489
315.00,0.485
316.00,0.481
317.00,0.475
318.00,0.471
319.00,0.466
320.00,0.460
321.00,0.455
322.00,0.450
323.00,0.444
324.00,0.438
325.00,0.432
326.00,0.425
327.00,0.419
328.00,0.412
329.00,0.405
330.00,0.397
331.00,0.390
332.00,0.383
333.00,0.376
334.00,0.368
335.00,0.360
336.00,0.353
337.00,0.346
338.00,0.338
339.00,0.330
340.00,0.323
341.00,0.314
342.00,0.306
343.00,0.299
344.00,0.291
345.00,0.284
346.00,0.278
347.00,0.271
348.00,0.264
349.00,0.257
350.00,0.251
351.00,0.244
352.00,0.238
353.00,0.232
354.00,0.227
355.00,0.221
356.00,0.216
357.00,0.211
358.00,0.205
359.00,0.200
360.00,0.195
361.00,0.191
362.00,0.187
363.00,0.183
364.00,0.179
365.00,0.175
366.00,0.171
367.00,0.168
368.00,0.165
369.00,0.161
370.00,0.158
371.00,0.155
372.00,0.152
373.00,0.149
374.00,0.146
375.00,0.143
376.00,0.141
377.00,0.138
378.00,0.136
379.00,0.133
380.00,0.131
381.00,0.129
382.00,0.126
383.00,0.124
384.00,0.122
385.00,0.120
386.00,0.119
387.00,0.117
388.00,0.115
389.00,0.113
390.00,0.112
391.00,0.110
392.00,0.109
393.00,0.107
394.00,0.106
395.00,0.104
396.00,0.103
397.00,0.102
398.00,0.101
399.00,0.100
400.00,0.099
401.00,0.098
402.00,0.097
403.00,0.096
404.00,0.095
405.00,0.094
406.00,0.093
407.00,0.093
408.00,0.092
409.00,0.091
410.00,0.090
411.00,0.090
412.00,0.089
413.00,0.088
414.00,0.088
415.00,0.087
416.00,0.086
417.00,0.086
418.00,0.086
419.00,0.085
420.00,0.085
421.00,0.084
422.00,0.084
423.00,0.083
424.00,0.083
425.00,0.082
426.00,0.082
427.00,0.081
428.00,0.081
429.00,0.081
430.00,0.080
431.00,0.080
432.00,0.079
433.00,0.079
434.00,0.079
435.00,0.078
436.00,0.078
437.00,0.078
438.00,0.077
439.00,0.077
440.00,0.077
441.00,0.076
442.00,0.076
443.00,0.076
444.00,0.076
445.00,0.075
446.00,0.075
447.00,0.075
448.00,0.075
449.00,0.074
450.00,0.074
451.00,0.074
452.00,0.073
453.00,0.073
454.00,0.073
455.00,0.073
456.00,0.073
457.00,0.072
458.00,0.072
459.00,0.072
460.00,0.072
461.00,0.071
462.00,0.071
463.00,0.071
464.00,0.071
465.00,0.070
466.00,0.070
467.00,0.070
468.00,0.070
469.00,0.070
470.00,0.069
471.00,0.069
472.00,0.069
473.00,0.069
474.00,0.069
475.00,0.068
476.00,0.068
477.00,0.068
478.00,0.068
479.00,0.068
480.00,0.067
481.00,0.067
482.00,0.067
483.00,0.067
484.00,0.067
485.00,0.067
486.00,0.066
487.00,0.066
488.00,0.066
489.00,0.066
490.00,0.066
491.00,0.065
492.00,0.065
493.00,0.065
494.00,0.065
495.00,0.065
496.00,0.065
497.00,0.064
498.00,0.064
499.00,0.064
500.00,0.064
501.00,0.064
502.00,0.064
503.00,0.063
504.00,0.063
505.00,0.063
506.00,0.063
507.00,0.063
508.00,0.063
509.00,0.062
510.00,0.062
511.00,0.062
512.00,0.062
513.00,0.062
514.00,0.062
515.00,0.062
516.00,0.061
517.00,0.061
518.00,0.061
519.00,0.061
520.00,0.061
521.00,0.061
522.00,0.061
523.00,0.060
524.00,0.060
525.00,0.060
526.00,0.060
527.00,0.060
528.00,0.060
529.00,0.060
530.00,0.060
531.00,0.059
532.00,0.059
533.00,0.059
534.00,0.059
535.00,0.059
536.00,0.059
537.00,0.059
538.00,0.059
539.00,0.059
540.00,0.058
541.00,0.058
542.00,0.058
543.00,0.058
544.00,0.058
545.00,0.058
546.00,0.058
547.00,0.058
548.00,0.058
549.00,0.058
550.00,0.057
551.00,0.057
552.00,0.057
553.00,0.057
554.00,0.057
555.00,0.057
556.00,0.057
557.00,0.057
558.00,0.057
559.00,0.057
560.00,0.057
561.00,0.057
562.00,0.057
563.00,0.057
564.00,0.057
565.00,0.056
566.00,0.056
567.00,0.056
568.00,0.056
569.00,0.056
570.00,0.056
571.00,0.056
572.00,0.056
573.00,0.056
574.00,0.056
575.00,0.056
576.00,0.056
577.00,0.056
578.00,0.056
579.00,0.056
580.00,0.055
581.00,0.055
582.00,0.055
583.00,0.055
584.00,0.055
585.00,0.055
586.00,0.055
587.00,0.055
588.00,0.055
589.00,0.055
590.00,0.055
591.00,0.055
592.00,0.055
593.00,0.055
594.00,0.055
595.00,0.055
596.00,0.055
597.00,0.055
598.00,0.055
599.00,0.055
600.00,0.055
601.00,0.055
602.00,0.055
603.00,0.055
604.00,0.055
605.00,0.054
606.00,0.054
607.00,0.054
608.00,0.054
609.00,0.054
610.00,0.054
611.00,0.054
612.00,0.054
613.00,0.054
614.00,0.054
615.00,0.054
616.00,0.054
617.00,0.054
618.00,0.054
619.00,0.054
620.00,0.054
621.00,0.053
622.00,0.053
623.00,0.053
624.00,0.053
625.00,0.053
626.00,0.053
627.00,0.053
628.00,0.053
629.00,0.053
630.00,0.053
631.00,0.053
632.00,0.053
633.00,0.053
634.00,0.053
635.00,0.053
636.00,0.053
637.00,0.053
638.00,0.053
639.00,0.053
640.00,0.053
641.00,0.053
642.00,0.053
643.00,0.053
644.00,0.052
645.00,0.052
646.00,0.052
647.00,0.052
648.00,0.052
649.00,0.052
650.00,0.052
651.00,0.052
652.00,0.052
653.00,0.052
654.00,0.052
655.00,0.052
656.00,0.052
657.00,0.052
658.00,0.052
659.00,0.052
660.00,0.052
661.00,0.052
662.00,0.052
663.00,0.052
664.00,0.052
665.00,0.052
666.00,0.052
667.00,0.052
668.00,0.052
669.00,0.052
670.00,0.052
671.00,0.052
672.00,0.052
673.00,0.052
674.00,0.052
675.00,0.052
676.00,0.052
677.00,0.052
678.00,0.052
679.00,0.052
680.00,0.052
681.00,0.052
682.00,0.052
683.00,0.052
684.00,0.052
685.00,0.051
686.00,0.051
687.00,0.051
688.00,0.051
689.00,0.051
690.00,0.051
691.00,0.052
692.00,0.052
693.00,0.051
694.00,0.051
695.00,0.051
696.00,0.052
697.00,0.052
698.00,0.052
699.00,0.052
700.00,0.052
701.00,0.052
702.00,0.052
703.00,0.052
704.00,0.052
705.00,0.052
706.00,0.052
707.00,0.052
708.00,0.052
709.00,0.052
710.00,0.052
711.00,0.052
712.00,0.052
713.00,0.053
714.00,0.053
715.00,0.053
716.00,0.053
717.00,0.053
718.00,0.053
719.00,0.053
720.00,0.053
721.00,0.054
722.00,0.054
723.00,0.054
724.00,0.054
725.00,0.055
726.00,0.055
727.00,0.055
728.00,0.056
729.00,0.056
730.00,0.056
731.00,0.057
732.00,0.057
733.00,0.058
734.00,0.058
735.00,0.058
736.00,0.059
737.00,0.059
738.00,0.059
739.00,0.059
740.00,0.059
741.00,0.059
742.00,0.059
743.00,0.060
744.00,0.060
745.00,0.060
746.00,0.059
747.00,0.059
748.00,0.059
749.00,0.060
750.00,0.059
751.00,0.059
752.00,0.059
753.00,0.059
754.00,0.059
755.00,0.059
756.00,0.059
757.00,0.059
758.00,0.059
759.00,0.059
760.00,0.060
761.00,0.059
762.00,0.059
763.00,0.059
764.00,0.059
765.00,0.059
