"FramptonBrasseNuitDAutomne50x - RawData"
"Wavelength nm.","Abs."
190.00,3.857
191.00,3.613
192.00,3.704
193.00,3.734
194.00,3.808
195.00,3.902
196.00,3.910
197.00,3.957
198.00,4.000
199.00,3.966
200.00,3.933
201.00,3.916
202.00,3.934
203.00,4.000
204.00,3.978
205.00,3.917
206.00,3.993
207.00,4.000
208.00,3.984
209.00,4.000
210.00,3.995
211.00,3.982
212.00,3.995
213.00,3.999
214.00,3.989
215.00,3.920
216.00,3.938
217.00,3.980
218.00,3.977
219.00,3.994
220.00,3.988
221.00,3.979
222.00,3.948
223.00,3.834
224.00,3.695
225.00,3.467
226.00,3.443
227.00,3.224
228.00,3.096
229.00,2.945
230.00,2.783
231.00,2.647
232.00,2.529
233.00,2.417
234.00,2.314
235.00,2.226
236.00,2.152
237.00,2.088
238.00,2.031
239.00,1.984
240.00,1.945
241.00,1.912
242.00,1.891
243.00,1.873
244.00,1.860
245.00,1.851
246.00,1.844
247.00,1.842
248.00,1.843
249.00,1.843
250.00,1.845
251.00,1.848
252.00,1.852
253.00,1.860
254.00,1.863
255.00,1.871
256.00,1.879
257.00,1.883
258.00,1.887
259.00,1.890
260.00,1.893
261.00,1.893
262.00,1.893
263.00,1.899
264.00,1.897
265.00,1.899
266.00,1.893
267.00,1.891
268.00,1.888
269.00,1.882
270.00,1.876
271.00,1.869
272.00,1.852
273.00,1.843
274.00,1.828
275.00,1.807
276.00,1.789
277.00,1.767
278.00,1.744
279.00,1.722
280.00,1.693
281.00,1.664
282.00,1.639
283.00,1.609
284.00,1.577
285.00,1.541
286.00,1.509
287.00,1.476
288.00,1.444
289.00,1.410
290.00,1.376
291.00,1.342
292.00,1.311
293.00,1.280
294.00,1.257
295.00,1.233
296.00,1.211
297.00,1.192
298.00,1.172
299.00,1.155
300.00,1.138
301.00,1.121
302.00,1.106
303.00,1.091
304.00,1.078
305.00,1.065
306.00,1.048
307.00,1.035
308.00,1.021
309.00,1.010
310.00,0.997
311.00,0.986
312.00,0.975
313.00,0.965
314.00,0.955
315.00,0.944
316.00,0.934
317.00,0.924
318.00,0.913
319.00,0.903
320.00,0.893
321.00,0.882
322.00,0.871
323.00,0.861
324.00,0.850
325.00,0.838
326.00,0.827
327.00,0.816
328.00,0.804
329.00,0.792
330.00,0.781
331.00,0.769
332.00,0.757
333.00,0.745
334.00,0.733
335.00,0.721
336.00,0.710
