"GaiaBenelux50x - RawData"
"Wavelength nm.","Abs."
190.00,3.946
191.00,3.591
192.00,3.252
193.00,3.233
194.00,3.361
195.00,3.442
196.00,3.673
197.00,3.663
198.00,3.694
199.00,3.702
200.00,3.487
201.00,3.347
202.00,3.230
203.00,3.121
204.00,2.968
205.00,2.825
206.00,2.683
207.00,2.542
208.00,2.411
209.00,2.291
210.00,2.178
211.00,2.077
212.00,1.980
213.00,1.892
214.00,1.805
215.00,1.726
216.00,1.649
217.00,1.574
218.00,1.502
219.00,1.430
220.00,1.361
221.00,1.297
222.00,1.233
223.00,1.171
224.00,1.106
225.00,1.043
226.00,0.980
227.00,0.915
228.00,0.851
229.00,0.793
230.00,0.739
231.00,0.691
232.00,0.648
233.00,0.610
234.00,0.578
235.00,0.550
236.00,0.526
237.00,0.506
238.00,0.489
239.00,0.476
240.00,0.466
241.00,0.458
242.00,0.453
243.00,0.449
244.00,0.447
245.00,0.447
246.00,0.447
247.00,0.448
248.00,0.450
249.00,0.452
250.00,0.455
251.00,0.458
252.00,0.461
253.00,0.465
254.00,0.469
255.00,0.472
256.00,0.476
257.00,0.479
258.00,0.481
259.00,0.482
260.00,0.484
261.00,0.485
262.00,0.487
263.00,0.489
264.00,0.490
265.00,0.491
266.00,0.491
267.00,0.491
268.00,0.491
269.00,0.489
270.00,0.486
271.00,0.483
272.00,0.479
273.00,0.475
274.00,0.469
275.00,0.462
276.00,0.455
277.00,0.448
278.00,0.439
279.00,0.430
280.00,0.421
281.00,0.411
282.00,0.400
283.00,0.389
284.00,0.377
285.00,0.363
286.00,0.351
287.00,0.340
288.00,0.327
289.00,0.315
290.00,0.300
291.00,0.286
292.00,0.274
293.00,0.263
294.00,0.253
295.00,0.245
296.00,0.237
297.00,0.231
298.00,0.224
299.00,0.218
300.00,0.213
301.00,0.209
302.00,0.205
303.00,0.202
304.00,0.199
305.00,0.196
306.00,0.194
307.00,0.192
308.00,0.190
309.00,0.189
310.00,0.187
311.00,0.186
312.00,0.185
313.00,0.184
314.00,0.183
315.00,0.182
316.00,0.181
317.00,0.181
318.00,0.180
319.00,0.178
320.00,0.177
321.00,0.176
322.00,0.175
323.00,0.173
324.00,0.172
325.00,0.170
326.00,0.168
327.00,0.166
328.00,0.163
329.00,0.161
330.00,0.159
331.00,0.156
332.00,0.153
333.00,0.150
334.00,0.147
335.00,0.145
336.00,0.142
337.00,0.139
338.00,0.136
339.00,0.133
340.00,0.131
341.00,0.127
342.00,0.123
343.00,0.120
344.00,0.118
345.00,0.115
346.00,0.112
347.00,0.109
348.00,0.106
349.00,0.104
350.00,0.101
351.00,0.099
352.00,0.096
353.00,0.094
354.00,0.092
355.00,0.090
356.00,0.087
