"GlutenbergAPAFut50x - RawData"
"Wavelength nm.","Abs."
190.00,3.087
191.00,2.861
192.00,2.881
193.00,2.855
194.00,2.992
195.00,2.984
196.00,2.988
197.00,2.900
198.00,2.849
199.00,2.727
200.00,2.615
201.00,2.528
202.00,2.444
203.00,2.343
204.00,2.236
205.00,2.132
206.00,2.047
207.00,1.957
208.00,1.869
209.00,1.788
210.00,1.710
211.00,1.641
212.00,1.571
213.00,1.507
214.00,1.446
215.00,1.389
216.00,1.333
217.00,1.278
218.00,1.227
219.00,1.177
220.00,1.128
221.00,1.083
222.00,1.040
223.00,0.997
224.00,0.954
225.00,0.914
226.00,0.875
227.00,0.835
228.00,0.797
229.00,0.762
230.00,0.729
231.00,0.697
232.00,0.669
233.00,0.644
234.00,0.621
235.00,0.602
236.00,0.584
237.00,0.569
238.00,0.556
239.00,0.545
240.00,0.536
241.00,0.529
242.00,0.523
243.00,0.519
244.00,0.516
245.00,0.514
246.00,0.513
247.00,0.512
248.00,0.512
249.00,0.513
250.00,0.514
251.00,0.515
252.00,0.517
253.00,0.518
254.00,0.520
255.00,0.521
256.00,0.522
257.00,0.522
258.00,0.523
259.00,0.522
260.00,0.522
261.00,0.521
262.00,0.521
263.00,0.520
264.00,0.520
265.00,0.519
266.00,0.518
267.00,0.518
268.00,0.517
269.00,0.515
270.00,0.514
271.00,0.512
272.00,0.510
273.00,0.507
274.00,0.504
275.00,0.500
276.00,0.495
277.00,0.490
278.00,0.483
279.00,0.476
280.00,0.468
281.00,0.460
282.00,0.451
283.00,0.442
284.00,0.433
285.00,0.423
286.00,0.413
287.00,0.403
288.00,0.392
289.00,0.381
290.00,0.369
291.00,0.358
292.00,0.347
293.00,0.338
294.00,0.330
295.00,0.322
296.00,0.315
297.00,0.309
298.00,0.302
299.00,0.296
300.00,0.291
301.00,0.286
302.00,0.281
303.00,0.277
304.00,0.273
305.00,0.269
306.00,0.266
307.00,0.262
308.00,0.259
309.00,0.255
310.00,0.252
311.00,0.249
312.00,0.247
313.00,0.244
314.00,0.241
315.00,0.239
316.00,0.236
317.00,0.234
318.00,0.232
319.00,0.229
320.00,0.226
321.00,0.224
322.00,0.221
323.00,0.218
324.00,0.215
325.00,0.212
326.00,0.209
327.00,0.206
328.00,0.203
329.00,0.200
330.00,0.196
331.00,0.193
332.00,0.190
333.00,0.186
334.00,0.183
335.00,0.179
336.00,0.176
337.00,0.173
338.00,0.170
339.00,0.166
340.00,0.164
341.00,0.159
342.00,0.156
343.00,0.153
344.00,0.149
345.00,0.146
346.00,0.143
347.00,0.140
348.00,0.137
349.00,0.134
350.00,0.132
351.00,0.129
352.00,0.126
353.00,0.123
354.00,0.121
355.00,0.118
356.00,0.116
357.00,0.114
358.00,0.111
359.00,0.109
360.00,0.107
361.00,0.105
362.00,0.103
363.00,0.101
364.00,0.100
