"GrandeAlleeRoseePaleAle - RawData"
"Wavelength nm.","Abs."
190.00,3.093
191.00,3.442
192.00,3.353
193.00,3.802
194.00,3.653
195.00,3.633
196.00,3.849
197.00,3.760
198.00,3.774
199.00,3.513
200.00,3.571
201.00,3.790
202.00,3.703
203.00,3.678
204.00,3.855
205.00,3.822
206.00,3.599
207.00,3.510
208.00,3.593
209.00,3.358
210.00,3.215
211.00,3.077
212.00,2.953
213.00,2.846
214.00,2.720
215.00,2.620
216.00,2.517
217.00,2.401
218.00,2.296
219.00,2.187
220.00,2.083
221.00,1.991
222.00,1.898
223.00,1.806
224.00,1.716
225.00,1.626
226.00,1.538
227.00,1.448
228.00,1.361
229.00,1.282
230.00,1.208
231.00,1.140
232.00,1.079
233.00,1.025
234.00,0.977
235.00,0.938
236.00,0.904
237.00,0.876
238.00,0.853
239.00,0.835
240.00,0.821
241.00,0.810
242.00,0.802
243.00,0.798
244.00,0.795
245.00,0.794
246.00,0.795
247.00,0.796
248.00,0.798
249.00,0.802
250.00,0.805
251.00,0.810
252.00,0.814
253.00,0.819
254.00,0.824
255.00,0.829
256.00,0.834
257.00,0.837
258.00,0.840
259.00,0.842
260.00,0.843
261.00,0.845
262.00,0.847
263.00,0.849
264.00,0.851
265.00,0.852
266.00,0.852
267.00,0.852
268.00,0.852
269.00,0.849
270.00,0.846
271.00,0.841
272.00,0.834
273.00,0.827
274.00,0.818
275.00,0.808
276.00,0.797
277.00,0.786
278.00,0.772
279.00,0.758
280.00,0.744
281.00,0.728
282.00,0.711
283.00,0.692
284.00,0.673
285.00,0.651
286.00,0.632
287.00,0.614
288.00,0.594
289.00,0.574
290.00,0.552
291.00,0.532
292.00,0.513
293.00,0.497
294.00,0.483
295.00,0.470
296.00,0.458
297.00,0.448
298.00,0.438
299.00,0.429
300.00,0.421
301.00,0.413
302.00,0.406
303.00,0.400
304.00,0.395
305.00,0.390
306.00,0.386
307.00,0.381
308.00,0.377
309.00,0.373
310.00,0.370
311.00,0.366
312.00,0.363
313.00,0.360
314.00,0.357
315.00,0.355
316.00,0.352
317.00,0.349
318.00,0.345
319.00,0.342
320.00,0.339
321.00,0.336
322.00,0.332
323.00,0.328
324.00,0.324
325.00,0.320
326.00,0.315
327.00,0.311
328.00,0.306
329.00,0.301
330.00,0.295
331.00,0.290
332.00,0.285
333.00,0.279
334.00,0.274
335.00,0.268
336.00,0.263
337.00,0.257
338.00,0.251
339.00,0.245
340.00,0.240
341.00,0.232
342.00,0.226
343.00,0.221
344.00,0.215
345.00,0.210
346.00,0.204
347.00,0.199
348.00,0.194
349.00,0.189
350.00,0.184
351.00,0.180
352.00,0.175
353.00,0.171
354.00,0.167
355.00,0.163
356.00,0.159
357.00,0.155
358.00,0.151
359.00,0.148
360.00,0.144
361.00,0.141
362.00,0.138
363.00,0.135
364.00,0.133
365.00,0.131
366.00,0.128
367.00,0.126
368.00,0.123
369.00,0.121
370.00,0.119
371.00,0.117
372.00,0.115
373.00,0.113
374.00,0.112
375.00,0.110
376.00,0.108
377.00,0.107
378.00,0.105
379.00,0.104
380.00,0.102
381.00,0.101
382.00,0.100
383.00,0.098
384.00,0.097
385.00,0.096
